술이름,용량,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
와일드 터키 레어브리드,750ML,79800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌 그란트 12년,700ML,59400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
듀어스 15년 파이노크 스페셜 리저브,700ML,59400,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
벤니학 10년,700ML,49940,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
몽키 숄더,700ML,49980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
노마드 아울랜드 쉐리 피니시,700ML,49980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
라프로익 10년,750ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
조니워커 그린,,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
조니워커 블랙라벨,700ML,49980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
버팔로 트레이스,1L,2980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
메이커스 마크,1L,9980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
뱅크홀 싱글몰트 위스키,700ML,29940,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
골든 블루 사피루스,450ML,28980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
발렌타인 10년,700ML,39980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
1792 스몰 배치,750ML,44980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
커티삭 프로히비션,1L,9980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
듀어스 12년 퍼스트필 법원 캐스크,700ML,39980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
다카라 미아자키 망고,700ML,24980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
에반 윌리엄스 12주년 에디션 50도,1L,9980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
앱솔루트 보드카,1L,34980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
호세코에보 에스페셜 레포사도,750ML,27980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
탈리스만 9년 포르투기즈 캐스크 에디션,700ML,25980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
제임슨 스탠더드,700ML,27980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
진빔 화이트,750ML,19980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
탈리스만 위스키,1L,14980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
바톤 보드카,1L,9980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
바톤진,1L,9980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
에반 윌리엄스 블랙,1L,29980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
카발란 디스틸러리 셀렉트 싱글 몰트,700ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌피딕 15년,700ML,99800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
글렌킨치 12년,700ML,59800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
조니워커 블랙루비,700ML,44800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
잭다니엘 애플 전용잔 패키지,700ML,39980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
잭다니엘 테네시 전용잔 패키지,700ML,39980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
봄베이 사파이어 진,750ML,3980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
피치트리,1L,980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
페로네 리몬첼,1L,24980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
바카디 모이또 클래식,700ML,21980,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
호로지스 스몰 배치 셀렉트,750ML,116800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
발베니 14년 캐리비안 캐스크,700ML,139800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
블렌고인 CS 171,700ML,149800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌드로 오드투더 다크,700ML,159800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
탐두 15년,700ML,169800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
로얄 살루트 21년 그레인,700ML,179800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
아벨라워 아브나르 쉐리케스크 에디션,700ML,235800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
조니 워커 블루라베,750ML,259800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌리벳 17년 스몰 배치 2,700ML,229800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
더 글렌리벳 19년 스몰 배치 2,700ML,349800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
달모어 2005 빈티지 67만,700ML,8000,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),낮음,ASR 자릿수 누락/오인 추정-재확인
옥타브 스트레스 클라이드 1990 31년,700ML,69800,트레이더스,2026-05-27,위스키픽 ASR(nYUtBO0v7vI),중,
