술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
글랜드로 오드투더 다크 700ml,159800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:39,중,조사 2026-05-27(촬영일)
탐두 15년 700ml,169800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:46,중,조사 2026-05-27(촬영일)
아벨라워 아브나르 쉐리케스크 에디션 700ml,235800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:01,중,조사 2026-05-27(촬영일)
조니 워커 블루라베 750mml,259800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:10,중,조사 2026-05-27(촬영일)
글렌리벳 17년 스몰 배치 2 700ml,229800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:20,중,조사 2026-05-27(촬영일)
글렌리벳 19년 스몰 배치 2 700ml,349800,트레이더스,2026-05-27,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:29,중,조사 2026-05-27(촬영일)
더 글랜드 로드투더 닥 700ml,159800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 0:19,중,조사 2026-05-19(촬영일)
에반 윌리엄스 블랙 1L,33980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 0:43,중,조사 2026-05-19(촬영일)
발베니 12년 700ml,96800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 0:49,중,조사 2026-05-19(촬영일)
맥캘란 12년 더블 캐스크 700ml,99800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 0:55,중,조사 2026-05-19(촬영일)
글렌리벳 19년 스몰 배치 2 700ml,349800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:03,중,조사 2026-05-19(촬영일)
글렌리벳 17년 스몰 배치 2 700ml,229800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:11,중,조사 2026-05-19(촬영일)
에반 윌리엄스 12년 750ml,89800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:27,중,조사 2026-05-19(촬영일)
포 로지스 싱글 베럴 750ml,59800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:42,중,조사 2026-05-19(촬영일)
글렌리벳 15년 700ml,94800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:49,중,조사 2026-05-19(촬영일)
글렌라키 10년 루비 포트 700ml,89800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 1:56,중,조사 2026-05-19(촬영일)
뱅크홀 싱글트 위스키 700ml,29940,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:04,중,조사 2026-05-19(촬영일)
더 글랜 그란트 12년 700ml,59400,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:11,중,조사 2026-05-19(촬영일)
글렌피딕 14년 버번 캐스크 700ml,99800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:18,중,조사 2026-05-19(촬영일)
탈리스커 10년 700ml,69800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:26,중,조사 2026-05-19(촬영일)
탈리스커 와일드 블루 700ml,84800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:32,중,조사 2026-05-19(촬영일)
라프로익 10년 750mml,69800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 2:47,중,조사 2026-05-19(촬영일)
글렌피딕 12년 700ml,69800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:00,중,조사 2026-05-19(촬영일)
글렌피딕 15년 700ml,99800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:07,중,조사 2026-05-19(촬영일)
에버펠 16년 700ml,75800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:21,중,조사 2026-05-19(촬영일)
듀어스 12년 퍼스트필 법원 케스크 700ml,39980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:38,중,조사 2026-05-19(촬영일)
듀어스 15년 파이노크 스페셜 리저브 700ml,59400,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:47,중,조사 2026-05-19(촬영일)
탈리스만 위스키 1L,16980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 3:56,중,조사 2026-05-19(촬영일)
더 글랜드 로낙 12년 700ml,79800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 4:15,중,조사 2026-05-19(촬영일)
몽키 숄더 700ml,49980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 4:22,중,조사 2026-05-19(촬영일)
발렌타인 10년 700ml,39980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 4:29,중,조사 2026-05-19(촬영일)
발렌타인 싱글트 글램버기 15년 700ml,94800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 4:38,중,조사 2026-05-19(촬영일)
조니워커 블랙라베 700ml,49980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 4:56,중,조사 2026-05-19(촬영일)
조니워커 그린에 700ml,74800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 5:04,중,조사 2026-05-19(촬영일)
조니워커 블랙 루비 700ml,44800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 5:13,중,조사 2026-05-19(촬영일)
와일드 터키 레어 브리드 750ml,79800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 5:37,중,조사 2026-05-19(촬영일)
와일드 터키 캔터키 스피릿 싱글 배럴 750mml,69400,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 5:49,중,조사 2026-05-19(촬영일)
잭다니엘 테네시 700ml 전용잔 패키지,39980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:01,중,조사 2026-05-19(촬영일)
잭다니엘 애플 700ml 전용잔 패키지,39980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:09,중,조사 2026-05-19(촬영일)
이글레어 10년 750ml,69800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:17,중,조사 2026-05-19(촬영일)
골든 블루 사피루스 450ml,28980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:24,중,조사 2026-05-19(촬영일)
1792 스몰 배치 750ml,44980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:32,중,조사 2026-05-19(촬영일)
러셀 리저브 싱글 배럴 750ml,89400,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:42,중,조사 2026-05-19(촬영일)
가쿠빈 700ml,29980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 6:47,중,조사 2026-05-19(촬영일)
가쿠빈 700ml 두 개입 메가잔 패키지,62800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 7:00,중,조사 2026-05-19(촬영일)
진빔 화이트 750ml,27980,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 7:08,중,조사 2026-05-19(촬영일)
달모어 12년 700ml,99800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 8:06,중,조사 2026-05-19(촬영일)
발렌타인 싱글트 글램버이 16년 스몰 배치 700ml,169800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 8:25,중,조사 2026-05-19(촬영일)
포 로지스 스몰 배치 셀렉트 750mml,116800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 8:34,중,조사 2026-05-19(촬영일)
파클라스 15년 700ml,119400,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 8:56,중,조사 2026-05-19(촬영일)
조니워커 블로라 750ml,259800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 9:27,중,조사 2026-05-19(촬영일)
발렌타인 17년 말본 리미티드 에디션 700ml,149800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 9:46,중,조사 2026-05-19(촬영일)
카발란 디스틸러 리셀레트 싱글 몰트 700ml,69800,트레이더스,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 9:54,중,조사 2026-05-19(촬영일)
발렌타인 17년 700ml,119900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 0:27,중,조사 2026-05-15(촬영일)
발렌타인 21년 700ml,182900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 0:33,중,조사 2026-05-15(촬영일)
달모어 12년 쉐리케스크 700ml,144900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 0:40,중,조사 2026-05-15(촬영일)
로얄 브라클라 12년 700ml,82900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 0:54,중,조사 2026-05-15(촬영일)
조니워커 블루 750mml,256900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:01,중,조사 2026-05-15(촬영일)
글렌피딕 15년 700ml,96900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:08,중,조사 2026-05-15(촬영일)
글렌모렌지 D 오리지널 12년 700ml,79900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:14,중,조사 2026-05-15(촬영일)
몽키 숄더 700ml,49790,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:22,중,조사 2026-05-15(촬영일)
맥캘란 12년 더블 캐스크 700ml,96900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:28,중,조사 2026-05-15(촬영일)
조니워커 그린 700ml,69900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:36,중,조사 2026-05-15(촬영일)
발베니 12년 더블로드 700ml,94900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:50,중,조사 2026-05-15(촬영일)
글렌피딕 12년 쉐리케스크 700ml,69900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 1:57,중,조사 2026-05-15(촬영일)
잭 다니엘스 테네시 위스키 1L,55900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 2:04,중,조사 2026-05-15(촬영일)
우드포드 리저브 1L,79900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 2:07,중,조사 2026-05-15(촬영일)
조니워커 블랙 700ml,48790,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 2:16,중,조사 2026-05-15(촬영일)
잭 다니엘스 애플 1L,55900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 2:36,중,조사 2026-05-15(촬영일)
제임슨 아이리시 위스키 700ml,26690,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 2:56,중,조사 2026-05-15(촬영일)
커클랜드 시그니처 꼬약 XO 750ml,147900,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 4:33,중,조사 2026-05-15(촬영일)
가쿠빈 700ml,27690,코스트코,2026-05-15,유튜브 @whiskeypick / mOQYp7EJ8GE @ 5:14,중,조사 2026-05-15(촬영일)
글렌리벳 15년 700ml,94800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 0:47,중,조사 2026-05-13(촬영일)
포 로지스 스몰 배치 셀렉트 750ml,116800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 0:53,중,조사 2026-05-13(촬영일)
맥캘란 쉐리오크 12년 700ml,119800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 1:01,중,조사 2026-05-13(촬영일)
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 1:11,중,조사 2026-05-13(촬영일)
더 글랜드 로드투더 다크 700ml,159800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 1:19,중,조사 2026-05-13(촬영일)
조니워커 블루라베 750mml,259800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 1:33,중,조사 2026-05-13(촬영일)
맥캘란 12년 더블 캐스크 700ml,99800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 2:14,중,조사 2026-05-13(촬영일)
글렌피딕 14년 버번 캐스크 700ml,99800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 2:22,중,조사 2026-05-13(촬영일)
글렌피딕 15년 700ml,99800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 2:30,중,조사 2026-05-13(촬영일)
발베니 12년 700ml,96800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 2:37,중,조사 2026-05-13(촬영일)
탈리스커 와일드 블루 700ml,84800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 2:51,중,조사 2026-05-13(촬영일)
아란쉐리 캐스크 700ml,99800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:05,중,조사 2026-05-13(촬영일)
러셀 리저브 싱글 베럴 750ml,99800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:11,중,조사 2026-05-13(촬영일)
더 글랜 그란트 12년 700ml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:33,중,조사 2026-05-13(촬영일)
이글레어 10년 750ml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:40,중,조사 2026-05-13(촬영일)
탈리스커 10년 700ml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:47,중,조사 2026-05-13(촬영일)
글렌피딕 12년 700ml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 3:54,중,조사 2026-05-13(촬영일)
에버펠 16년 700ml,75800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 4:01,중,조사 2026-05-13(촬영일)
조니워커 그인라 700ml,74800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 4:14,중,조사 2026-05-13(촬영일)
와일드 터키 레어브리드 750mml,79800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 4:21,중,조사 2026-05-13(촬영일)
듀어스 15년 파이노크 스페셜 리저브 700ml,59400,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 4:32,중,조사 2026-05-13(촬영일)
라프로잇 10년 750mml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 4:44,중,조사 2026-05-13(촬영일)
조니워커 블랙루비 700ml,44800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:03,중,조사 2026-05-13(촬영일)
조니워커 블랙라베 700ml,49980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:10,중,조사 2026-05-13(촬영일)
1792 스몰 배치 750ml,44980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:31,중,조사 2026-05-13(촬영일)
뱅크홀 싱글 몰트 위스키 700ml,29940,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:39,중,조사 2026-05-13(촬영일)
골든 블루 사피루스 450ml,28980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:49,중,조사 2026-05-13(촬영일)
몽키 숄더 700ml,49980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 5:54,중,조사 2026-05-13(촬영일)
듀어스 12년 퍼스트필 버번 캐스크 700ml,39980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 6:11,중,조사 2026-05-13(촬영일)
발렌타인 10년 700ml,39980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 6:18,중,조사 2026-05-13(촬영일)
에반율리엄스 블랙 1L,33980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 6:24,중,조사 2026-05-13(촬영일)
잭다니엘스 애플 700ml 전용잔 패키지,39980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 6:34,중,조사 2026-05-13(촬영일)
잭다니엘스 테네시 700ml 전용잔 패키지,39980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 6:39,중,조사 2026-05-13(촬영일)
진빔 화이트 750ml,19980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 7:30,중,조사 2026-05-13(촬영일)
카발란 디스틸러리 셀렉트 싱글 몰트 700ml,69800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 8:29,중,조사 2026-05-13(촬영일)
에반 윌리엄스 12년 750ml,89800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 8:47,중,조사 2026-05-13(촬영일)
더 글랜 그란트 익스플로레이션 넘버원 700ml,79800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 8:56,중,조사 2026-05-13(촬영일)
포 로지스 싱글 베럴 750ml,59800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 9:01,중,조사 2026-05-13(촬영일)
발렌타인 싱글트 글램버기 16년 스몰 배치,169800,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 9:15,중,조사 2026-05-13(촬영일)
가쿠빈 700ml,29980,트레이더스,2026-05-13,유튜브 @whiskeypick / zQT7MeJP60g @ 9:31,중,조사 2026-05-13(촬영일)
발렌타인 21년 700ml,182900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 0:26,중,조사 2026-05-05(촬영일)
발렌타인 17년 700ml,119900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 0:34,중,조사 2026-05-05(촬영일)
글렌피딕 12년 쉐리케스크 700ml,69900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 0:40,중,조사 2026-05-05(촬영일)
몽키 숄더 700ml,42290,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 0:48,중,조사 2026-05-05(촬영일)
조니워커블 블루 750ml,256900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 0:54,중,조사 2026-05-05(촬영일)
로얄 브라클라 12년 700ml,82900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:01,중,조사 2026-05-05(촬영일)
글렌피딕 15년 싱글트 위스키 700ml,96900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:15,중,조사 2026-05-05(촬영일)
발베니 14년 캐리비안 캐스크 700ml,134900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:25,중,조사 2026-05-05(촬영일)
맥캘란 12년 더블 캐스크 700ml,96900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:32,중,조사 2026-05-05(촬영일)
조니워커 그린 700ml,69900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:40,중,조사 2026-05-05(촬영일)
발베니 12년 700ml,94900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 1:54,중,조사 2026-05-05(촬영일)
조니워커 블랙 700ml,48790,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 2:08,중,조사 2026-05-05(촬영일)
우드포드 리저브 1L,79900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 2:11,중,조사 2026-05-05(촬영일)
잭다니엘스 테네시 위스키 1L,55900,코스트코,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 2:21,중,조사 2026-05-05(촬영일)
