순위,할랄등급,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,평판점수,user_score,리뷰수,대표사진,네이버지도,식당ID,lat,lng
11,A·명시할랄,피자버거플러스 Pb+,"수제버거, 할랄",웨스턴(양식),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울 용산구 우사단로 33 1층 피자버거플러스,0507-1369-4883,174,3,60,5,1,,https://map.naver.com/p/search/%ED%94%BC%EC%9E%90%EB%B2%84%EA%B1%B0%ED%94%8C%EB%9F%AC%EC%8A%A4%20Pb%2B,n1iYgUFbmVj1,37.5331971,126.9954782
12,A·명시할랄,바라카카페,"카페, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 39 신관건물 1층,0507-1387-7867,307,5,60,3.5,1,,https://map.naver.com/p/search/%EB%B0%94%EB%9D%BC%EC%B9%B4%EC%B9%B4%ED%8E%98,DbcnDPbgfUyq,37.5337243,126.9977348
13,A·명시할랄,아라베스크,"인도음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 이태원로 227,02-790-6910,406,6,59,5,3,,https://map.naver.com/p/search/%EC%95%84%EB%9D%BC%EB%B2%A0%EC%8A%A4%ED%81%AC,UPOPrfEYZsbN,37.5355806,126.9988015
14,A·명시할랄,라자트,"우즈베키스탄, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로 37,02-792-7008,143,2,58,4.4,2,,https://map.naver.com/p/search/%EB%9D%BC%EC%9E%90%ED%8A%B8,59dVox46mlRp,37.5335315,126.9954489
15,A·명시할랄,리틀인디아,"인도음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 21,02-793-5416,246,4,56,3.4,4,,https://map.naver.com/p/search/%EB%A6%AC%ED%8B%80%EC%9D%B8%EB%94%94%EC%95%84,qTo2uhSed93m,37.53325,126.996694
16,A·명시할랄,호지보보,"러시아음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 이태원로 140-1 3층,0507-1405-2037,440,7,51,5,1,,https://map.naver.com/p/search/%ED%98%B8%EC%A7%80%EB%B3%B4%EB%B3%B4,RoK4Y6uJtp2c,37.5339749,126.9894568
17,A·명시할랄,이드,"북미음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 15 1층,0507-1404-8219,224,3,47,0,0,,https://map.naver.com/p/search/%EC%9D%B4%EB%93%9C,0WXy7Qprwbt7,37.5332746,126.9964157
18,A·명시할랄,후르레스토랑,"인도음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 20,0507-1418-0245,254,4,47,0,0,,https://map.naver.com/p/search/%ED%9B%84%EB%A5%B4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91,JeHiTrKU3PeW,37.5330842,126.9966503
19,A·명시할랄,이스탄불딜라이트,"터키, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 40 1층 이스탄불딜라이트,02-790-5366,341,5,47,0,0,,https://map.naver.com/p/search/%EC%9D%B4%EC%8A%A4%ED%83%84%EB%B6%88%EB%94%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8,R0e9qF7FpqY1,37.5331754,126.9978801
20,A·명시할랄,시티사라,"인도네시아음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 7,02-796-8515,205,3,45,0,0,,https://map.naver.com/p/search/%EC%8B%9C%ED%8B%B0%EC%82%AC%EB%9D%BC,PgFvFzerfwrF,37.5331569,126.9959748
21,A·명시할랄,자프란,"인도음식, 이슬람",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 36,02-794-3570,324,5,42,0,0,,https://map.naver.com/p/search/%EC%9E%90%ED%94%84%EB%9E%80,1ub9p442X6Pf,37.5330234,126.9975674
22,A·명시할랄,쌀람베이커리,"터키, 이슬람",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10길 39 이슬람사원 1층,070-4128-7044,342,5,42,0,0,,https://map.naver.com/p/search/%EC%8C%80%EB%9E%8C%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC,w8EWgXp5NqNc,37.5332894,126.9979624
23,A·명시할랄,Yell-O chicken,"북미음식, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 보광로60길 22,02-790-1193,123,2,25,0,0,,https://map.naver.com/p/search/Yell-O%20chicken,wCba7TFXnCGW,37.5338768,126.9955433
24,A·명시할랄,엘로치킨,"치킨, 할랄",중동·인도(할랄친화),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울 용산구 보광로60길 22,,123,2,25,0,0,,https://map.naver.com/p/search/%EC%97%98%EB%A1%9C%EC%B9%98%ED%82%A8,5jBOMKe26kFp,37.5338675,126.9955438
25,A·명시할랄,알바라카,"양고기, 할랄",고기(돼지위험),명시 할랄/무슬림 신호,표기 신뢰. 단 인증 범위·갱신·자바이하 도축은 매장 확인 권장,공개검색 추정,서울특별시 용산구 우사단로10가길 2,02-6404-7774,273,4,25,0,0,,https://map.naver.com/p/search/%EC%95%8C%EB%B0%94%EB%9D%BC%EC%B9%B4,NDy9Njafxqpj,37.5333241,126.9971089
26,B·추정(확인필요),알페도,"튀르키예, 카이막",중동·인도(할랄친화),할랄친화 cuisine(튀르/튀르키예),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 174 1층 4-5호,02-794-1134,113,2,81,4.2,38,,https://map.naver.com/p/search/%EC%95%8C%ED%8E%98%EB%8F%84,w4yORaQjC4fh,37.5343068,126.9931485
27,B·추정(확인필요),미스터케밥 이태원본점,"케밥, 닭고기",중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 192 1층,0507-1393-2005,93,1,77,4,15,,https://map.naver.com/p/search/%EB%AF%B8%EC%8A%A4%ED%84%B0%EC%BC%80%EB%B0%A5%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%B3%B8%EC%A0%90,iIXUo7IOL8IP,37.5344133,126.9954446
28,B·추정(확인필요),앙카라 피크닉,"케밥, 터키",중동·인도(할랄친화),할랄친화 cuisine(케밥/터키),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 182,02-793-2550,22,0,76,4.5,14,,https://map.naver.com/p/search/%EC%95%99%EC%B9%B4%EB%9D%BC%20%ED%94%BC%ED%81%AC%EB%8B%89,yGHfyTx6RJ4M,37.5343488,126.9942496
29,B·추정(확인필요),사라바나 바반,"인도음식, 비건",중동·인도(할랄친화),할랄친화 cuisine(인도),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로27가길 18 2층,0507-1473-7278,70,1,75,4.7,6,,https://map.naver.com/p/search/%EC%82%AC%EB%9D%BC%EB%B0%94%EB%82%98%20%EB%B0%94%EB%B0%98,yo4cbUghOQNm,37.5351322,126.9942911
30,B·추정(확인필요),탁심 케밥,"케밥, 터키",중동·인도(할랄친화),할랄친화 cuisine(케밥/터키),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 176-1 1층 TAKSIM KEBAB,02-790-1282,77,1,75,4.2,8,,https://map.naver.com/p/search/%ED%83%81%EC%8B%AC%20%EC%BC%80%EB%B0%A5,NHKjEoYqGMlE,37.5343133,126.9935637
31,B·추정(확인필요),카무플라주,비건,채식,채식·비건(육류 없음),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로26길 19 2층,0507-1446-3224,122,2,75,4.6,9,,https://map.naver.com/p/search/%EC%B9%B4%EB%AC%B4%ED%94%8C%EB%9D%BC%EC%A3%BC,qPO6PpLZTGm8,37.5336238,126.9935757
32,B·추정(확인필요),몽크스부처,"비건, 비건레스토랑",채식,채식·비건(육류 없음),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 228-1 대로변 3층 4층,02-790-1108,438,7,75,4,17,,https://map.naver.com/p/search/%EB%AA%BD%ED%81%AC%EC%8A%A4%EB%B6%80%EC%B2%98,rOLdQ8mQg3d7,37.535452,126.9992256
33,B·추정(확인필요),큐리,"카레, 커리",기타,할랄친화 cuisine(카레/커리),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 녹사평대로 168-11 1층,0507-1358-2597,440,7,67,4.6,3,,https://map.naver.com/p/search/%ED%81%90%EB%A6%AC,DQmQDdwaF24Y,37.5334038,126.9896094
34,B·추정(확인필요),알페도케밥,케밥,중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 176 1층,02-794-1132,86,1,63,5,1,,https://map.naver.com/p/search/%EC%95%8C%ED%8E%98%EB%8F%84%EC%BC%80%EB%B0%A5,VPDjeleEWAgL,37.5343211,126.9934494
35,B·추정(확인필요),정글수산,"횟집, 숙성회",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 164-1 1층 정글수산,0507-1353-6599,192,3,63,4.4,2,,https://map.naver.com/p/search/%EC%A0%95%EA%B8%80%EC%88%98%EC%82%B0,mf4zw2RORe8j,37.5340279,126.9923147
36,B·추정(확인필요),솔솥 한남점,"꼬막솥밥, 전복솥밥",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로54가길 26 지하 1층,0507-1498-7995,667,10,62,4.4,13,,https://map.naver.com/p/search/%EC%86%94%EC%86%A5%20%ED%95%9C%EB%82%A8%EC%A0%90,oRMjIvwo6m0G,37.5367846,127.0013978
37,B·추정(확인필요),집시,"bar, 커리",기타,할랄친화 cuisine(커리),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 보광로60길 9,,56,1,56,4,1,,https://map.naver.com/p/search/%EC%A7%91%EC%8B%9C,qhrLbME49EPR,37.534056,126.9946882
38,B·추정(확인필요),이태원왕김밥,"김밥, 참치",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 203 103호 이태원왕김밥,0507-1355-7003,197,3,56,3.6,5,,https://map.naver.com/p/search/%EC%9D%B4%ED%83%9C%EC%9B%90%EC%99%95%EA%B9%80%EB%B0%A5,quiajFg6OLIH,37.5348187,126.9965974
39,B·추정(확인필요),운칠기삼,"낙곱새, 낙지",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,"서울특별시 용산구 이태원로26길 18 1층, 2층",0507-1324-7438,134,2,53,5,1,,https://map.naver.com/p/search/%EC%9A%B4%EC%B9%A0%EA%B8%B0%EC%82%BC,yN03vr3EWxqH,37.5335866,126.9934273
40,B·추정(확인필요),킹케밥버거앤후라이즈,케밥,중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 185 1층,0507-1347-3750,30,0,52,5,1,,https://map.naver.com/p/search/%ED%82%B9%EC%BC%80%EB%B0%A5%EB%B2%84%EA%B1%B0%EC%95%A4%ED%9B%84%EB%9D%BC%EC%9D%B4%EC%A6%88,a3UyHZrMxa6D,37.5346811,126.9946576
41,B·추정(확인필요),반가칼국수,"집밥, 고등어구이",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 238-1,02-794-9198,515,8,52,5,1,,https://map.naver.com/p/search/%EB%B0%98%EA%B0%80%EC%B9%BC%EA%B5%AD%EC%88%98,3RGCkUxtwQQ5,37.5359221,126.9999676
42,B·추정(확인필요),호롱불,"요리주점, 오징어",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로16길 15 1층,0507-1396-5408,287,4,50,5,2,,https://map.naver.com/p/search/%ED%98%B8%EB%A1%B1%EB%B6%88,3wH9OfEzNyY5,37.5336212,126.9913388
43,B·추정(확인필요),써브웨이 이태원역점,"샌드위치, 터키",웨스턴(양식),할랄친화 cuisine(터키),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 189,02-790-1014,62,1,47,4,1,,https://map.naver.com/p/search/%EC%8D%A8%EB%B8%8C%EC%9B%A8%EC%9D%B4%20%EC%9D%B4%ED%83%9C%EC%9B%90%EC%97%AD%EC%A0%90,PNT1pdvxvK32,37.5347841,126.9950114
44,B·추정(확인필요),케밥코너,케밥,중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 169-1 1층,0507-1380-6468,135,2,47,0,0,,https://map.naver.com/p/search/%EC%BC%80%EB%B0%A5%EC%BD%94%EB%84%88,klZDaCfm7vjD,37.5345774,126.9928762
45,B·추정(확인필요),cleopatra lounge cafe,"이집트음식, 케밥",중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 이태원로 199 2층,0507-1460-5645,157,2,47,0,0,,https://map.naver.com/p/search/cleopatra%20lounge%20cafe,3RiV38haNRIX,37.5348402,126.9961351
46,B·추정(확인필요),우태원,조개탕,물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 보광로59길 7 1층,02-790-2860,107,2,42,0,0,,https://map.naver.com/p/search/%EC%9A%B0%ED%83%9C%EC%9B%90,gSgmRBrSBQgh,37.5337988,126.9935881
47,B·추정(확인필요),느네집 2호점,"오징어볶음, 오징어",물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 보광로60길 20 느네집 2호점,0507-1472-8386,99,1,25,0,0,,https://map.naver.com/p/search/%EB%8A%90%EB%84%A4%EC%A7%91%202%ED%98%B8%EC%A0%90,hUQtKUmiv8Yy,37.5339175,126.9952347
48,B·추정(확인필요),림프,"디저트, 케밥",중동·인도(할랄친화),할랄친화 cuisine(케밥),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 우사단로 37,02-796-2178,145,2,25,0,0,,https://map.naver.com/p/search/%EB%A6%BC%ED%94%84,FFzNo6uFvwbY,37.5335107,126.9954558
49,B·추정(확인필요),바다코코넛,횟집,물고기·해산물,해산물·생선 업종(다수 학파 할랄),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 녹사평대로40길 63 2층,02-6953-4063,449,7,25,4,1,,https://map.naver.com/p/search/%EB%B0%94%EB%8B%A4%EC%BD%94%EC%BD%94%EB%84%9B,cAnAHjoNjyVa,37.5344145,126.9893157
50,B·추정(확인필요),아이엠랑데자뷰 한남비자림점,비건,채식,채식·비건(육류 없음),추정 후보 — 돼지파생물(라드/젤라틴/육수)·조리용 알코올·도축방식 매장 확인 필수,공개검색 추정,서울특별시 용산구 대사관로5길 17 1층,070-8657-3054,550,8,25,0,0,,https://map.naver.com/p/search/%EC%95%84%EC%9D%B4%EC%97%A0%EB%9E%91%EB%8D%B0%EC%9E%90%EB%B7%B0%20%ED%95%9C%EB%82%A8%EB%B9%84%EC%9E%90%EB%A6%BC%EC%A0%90,fn5qIxRgYw4o,37.5349417,127.0006196
