raw_name,status,canonical_id,canonical_name_ko,match_reason,source_files
글렌고인 캐스크 스트렝스 배치171,matched,w028,글렌고인 캐스크 스트렝스 배치171,rule,whisky-list.csv
글렌그란트 12년,matched,w013,글렌그란트 12년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌그란트 12년 700ml,matched,w013,글렌그란트 12년,rule,2026-05.csv
글렌그란트 15년,matched,w014,글렌그란트 15년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌그란트 익스플로레이션 No.1,matched,w015,글렌그란트 익스플로레이션 No.1,rule,whisky-list.csv
글렌글라사 샌드엔드,matched,w029,글렌글라사 샌드엔드,rule,whisky-list.csv
글렌글라사 포트소이,matched,w030,글렌글라사 포트소이,rule,whisky-list.csv
글렌드로(?) 오드 투 더 다크,matched,w087,글렌드로(?) 오드 투 더 다크,rule,whisky-list.csv
글렌드로(?) 오드 투 더 밸리,matched,w085,글렌드로(?) 오드 투 더 밸리,rule,whisky-list.csv
글렌드로(?) 오드 투 더 엠버스,matched,w086,글렌드로(?) 오드 투 더 엠버스,rule,whisky-list.csv
글렌드로낙 12년,matched,w018,글렌드로낙 12년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌라사 샌드엔드,matched,w029,글렌글라사 샌드엔드,rule,2026-05_whiskeypick_traders_guwol.csv
글렌라사 포트소이,matched,w030,글렌글라사 포트소이,rule,2026-05_whiskeypick_traders_guwol.csv
글렌라키 10년 루비 포트,unmatched,,,,2026-05_dailyshot.csv
글렌라키 10년 루비 포트 700ml,unmatched,,,,2026-05.csv
글렌리벳 12년,matched,w001,글렌리벳 12년,rule,2026-05_dailyshot.csv;whisky-list.csv
글렌리벳 12년 1L,matched,w001,글렌리벳 12년,rule,2026-04.csv
글렌리벳 15년,matched,w002,글렌리벳 15년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌리벳 15년 700ml,matched,w002,글렌리벳 15년,rule,2026-04.csv;2026-05.csv
글렌리벳 17년 스몰 배치 2,matched,w003,글렌리벳 17년 스몰배치,rule,2026-05_dailyshot.csv
글렌리벳 17년 스몰 배치 2 700ml,matched,w003,글렌리벳 17년 스몰배치,rule,2026-05.csv
글렌리벳 17년 스몰배치,matched,w003,글렌리벳 17년 스몰배치,rule,whisky-list.csv
글렌리벳 19년 스몰 배치 2,matched,w004,글렌리벳 19년 스몰배치,rule,2026-05_dailyshot.csv
글렌리벳 19년 스몰 배치 2 700ml,matched,w004,글렌리벳 19년 스몰배치,rule,2026-05.csv
글렌리벳 19년 스몰배치,matched,w004,글렌리벳 19년 스몰배치,rule,whisky-list.csv
글렌리벳 파운더스 리저브 700ml,unmatched,,,,2026-04.csv
글렌모렌지 12년,matched,w020,글렌모렌지 12년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌모렌지 15년,matched,w021,글렌모렌지 15년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
글렌모렌지 D 오리지널 12년,matched,w020,글렌모렌지 12년,rule,2026-05_dailyshot.csv
글렌모렌지 D 오리지널 12년 700ml,matched,w020,글렌모렌지 12년,rule,2026-03.csv;2026-04.csv;2026-05.csv
글렌모렌지 더 라산타 15년,matched,w021,글렌모렌지 15년,rule,2026-05_dailyshot.csv
글렌모렌지 디 오리지널 12년,matched,w020,글렌모렌지 12년,rule,2026-05_dailyshot.csv
글렌모렌지 라산타 12년,unmatched,,,,2026-05_dailyshot.csv
글렌모렌지 익스플로전 #1,matched,w022,글렌모렌지 익스플로전 No.1,rule,2026-04.csv;2026-05_dailyshot.csv
글렌모렌지 익스플로전 No.1,matched,w022,글렌모렌지 익스플로전 No.1,rule,whisky-list.csv
글렌알라키 10년 루비 포트 우드 피니시,unmatched,,,,2026-05_dailyshot.csv
글렌알라키 10년 루비포트,unmatched,,,,2026-05_dailyshot.csv
글렌알라키 10년 루비포트 700ml,unmatched,,,,2026-04.csv;2026-05.csv
글렌킨치 12년,matched,w038,글렌킨치 12년,rule,2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
글렌파클라스 15년,unmatched,,,,2026-05_dailyshot.csv
글렌피딕 12년,matched,w005,글렌피딕 12년,rule,2026-04.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
글렌피딕 12년 700ml,matched,w005,글렌피딕 12년,rule,2026-03.csv;2026-04.csv;2026-05.csv;2026-05_dailyshot.csv
글렌피딕 12년 쉐리 700ml,unmatched,,,,2026-04.csv
글렌피딕 12년 쉐리케스크,unmatched,,,,2026-05_dailyshot.csv
글렌피딕 12년 쉐리케스크 700ml,unmatched,,,,2026-04.csv;2026-05.csv
글렌피딕 14년,matched,w006,글렌피딕 14년 버번배럴,rule,2026-04.csv;2026-05_dailyshot.csv
글렌피딕 14년 버번 배럴 리저브,matched,w006,글렌피딕 14년 버번배럴,rule,2026-05_dailyshot.csv
글렌피딕 14년 버번 캐스크,matched,w006,글렌피딕 14년 버번배럴,rule,2026-05_dailyshot.csv
글렌피딕 14년 버번 캐스크 700ml,matched,w006,글렌피딕 14년 버번배럴,rule,2026-04.csv;2026-05.csv
글렌피딕 14년 버번배럴,matched,w006,글렌피딕 14년 버번배럴,rule,whisky-list.csv
글렌피딕 14년 법원 캐스크,matched,w006,글렌피딕 14년 버번배럴,rule,2026-05_whiskeypick_traders_guwol.csv
글렌피딕 15년,matched,w007,글렌피딕 15년,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
글렌피딕 15년 700ml,matched,w007,글렌피딕 15년,rule,2026-03.csv;2026-04.csv;2026-05.csv
글렌피딕 15년 700ml 14만1,matched,w007,글렌피딕 15년,rule,2026-04.csv
글렌피딕 15년 싱글 몰트 위스키,matched,w007,글렌피딕 15년,rule,2026-05_dailyshot.csv
글렌피딕 15년 싱글 몰트 위스키 700ml,matched,w007,글렌피딕 15년,rule,2026-03.csv
글렌피딕 15년 싱글트 위스키,matched,w007,글렌피딕 15년,rule,2026-05_dailyshot.csv
글렌피딕 15년 싱글트 위스키 700ml,matched,w007,글렌피딕 15년,rule,2026-03.csv;2026-05.csv
글렌피딕 18년 700ml,unmatched,,,,2026-04.csv
네이키드 몰트 700ml,unmatched,,,,2026-04.csv
노마드 아울랜드 쉐리 피니시,matched,w060,노마드 아웃랜드 셰리 피니시,rule,2026-05_whiskeypick_traders_guwol.csv
노마드 아웃랜드 셰리 피니시,matched,w060,노마드 아웃랜드 셰리 피니시,rule,whisky-list.csv
다카라 미아자키 망고,excluded,,,liqueur-shochu,2026-05_whiskeypick_traders_guwol.csv
달모어 12년,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
달모어 12년 700ml,matched,w023,달모어 12년,rule,2026-05.csv
달모어 12년 쉐리캐스크,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv
달모어 12년 쉐리캐스크 700ml,matched,w023,달모어 12년,rule,2026-04.csv
달모어 12년 쉐리케스크,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv
달모어 12년 쉐리케스크 700ml,matched,w023,달모어 12년,rule,2026-04.csv;2026-05.csv
달모어 12년 쉐리케스크 싱글 모트 위스키,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv
달모어 12년 쉐리케스크 싱글 모트 위스키 700ml,matched,w023,달모어 12년,rule,2026-03.csv
달모어 12년 쉐리케스크 싱글 몰트 위스키,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv
달모어 12년 쉐리케스크 싱글 몰트 위스키 700ml,matched,w023,달모어 12년,rule,2026-03.csv
달모어 12년 쉐리케스크 싱글트 위스키,matched,w023,달모어 12년,rule,2026-05_dailyshot.csv
달모어 12년 쉐리케스크 싱글트 위스키 700ml,matched,w023,달모어 12년,rule,2026-04.csv
달모어 2 5 빈티지,matched,w024,달모어 2005 빈티지,rule,2026-05_dailyshot.csv
달모어 2 5 빈티지 700ml 67만,matched,w024,달모어 2005 빈티지,rule,2026-05.csv
달모어 2 호 빈티지,matched,w024,달모어 2005 빈티지,rule,2026-05_dailyshot.csv
달모어 2 호 빈티지 700ml 67만,matched,w024,달모어 2005 빈티지,rule,2026-05.csv
달모어 2005 빈티지,matched,w024,달모어 2005 빈티지,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
달모어 2005 빈티지 67만,matched,w024,달모어 2005 빈티지,rule,2026-05_whiskeypick_traders_guwol.csv
달모어 2005 빈티지 700ml 67만,matched,w024,달모어 2005 빈티지,rule,2026-05.csv
달모어 2005 빈티지 700ml 67만8,matched,w024,달모어 2005 빈티지,rule,2026-04.csv
더 글랜 그란트 12년,matched,w013,글렌그란트 12년,rule,2026-05_dailyshot.csv
더 글랜 그란트 12년 700ml,matched,w013,글렌그란트 12년,rule,2026-04.csv;2026-05.csv
더 글랜 그란트 익스플로레이션 넘버 1,matched,w015,글렌그란트 익스플로레이션 No.1,rule,2026-05_dailyshot.csv
더 글랜 그란트 익스플로레이션 넘버 1 700ml,matched,w015,글렌그란트 익스플로레이션 No.1,rule,2026-05.csv
더 글랜 그란트 익스플로레이션 넘버원,matched,w015,글렌그란트 익스플로레이션 No.1,rule,2026-05_dailyshot.csv
더 글랜 그란트 익스플로레이션 넘버원 700ml,matched,w015,글렌그란트 익스플로레이션 No.1,rule,2026-05.csv
더 글랜드 로낙 12년,matched,w018,글렌드로낙 12년,rule,2026-05_dailyshot.csv
더 글랜드 로낙 12년 700ml,matched,w018,글렌드로낙 12년,rule,2026-05.csv
더 글랜드 로드투더 다크,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05_dailyshot.csv
더 글랜드 로드투더 다크 700ml,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05.csv
더 글랜드 로드투더 닥,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05_dailyshot.csv
더 글랜드 로드투더 닥 700ml,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05.csv
더 글렌 그란트 12년,matched,w013,글렌그란트 12년,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌 그란트 익스플로레이션 넘버 1,matched,w015,글렌그란트 익스플로레이션 No.1,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌그란트 12년,matched,w013,글렌그란트 12년,rule,2026-05_dailyshot.csv
더 글렌그란트 15년 배치 스트렝스 1L,matched,w014,글렌그란트 15년,rule,2026-05_dailyshot.csv
더 글렌드로 오드 to투더 엠버스,matched,w086,글렌드로(?) 오드 투 더 엠버스,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌드로 오드투더 다크,matched,w087,글렌드로(?) 오드 투 더 다크,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌드로 오드투더 밸리,matched,w085,글렌드로(?) 오드 투 더 밸리,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌드로낙 12년,matched,w018,글렌드로낙 12년,rule,2026-05_dailyshot.csv
더 글렌리벳 12년,matched,w001,글렌리벳 12년,rule,2026-05_dailyshot.csv
더 글렌리벳 15년,matched,w002,글렌리벳 15년,rule,2026-05.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
더 글렌리벳 17년 스몰 배치 2,matched,w003,글렌리벳 17년 스몰배치,rule,2026-05_whiskeypick_traders_guwol.csv
더 글렌리벳 19년 스몰 배치 2,matched,w004,글렌리벳 19년 스몰배치,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
더 달 모어 12년 700ml 10만9,matched,w023,달모어 12년,rule,2026-04.csv
더 탈리스만,matched,w088,탈리스만 9년 포르투기즈 캐스크,rule,2026-05_dailyshot.csv
더 페이머스 그라우스 1L,matched,w054,페이머스 그라우스,rule,2026-05_dailyshot.csv
듀어스 12년,matched,w055,듀어스 12년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
듀어스 12년 1L,matched,w055,듀어스 12년,rule,2026-05_dailyshot.csv
듀어스 12년 700ml,matched,w055,듀어스 12년,rule,2026-04.csv
듀어스 12년 퍼스트필 버번 캐스크,matched,w055,듀어스 12년,rule,2026-05_dailyshot.csv
듀어스 12년 퍼스트필 버번 캐스크 700ml,matched,w055,듀어스 12년,rule,2026-03.csv;2026-04.csv;2026-05.csv
듀어스 12년 퍼스트필 법원 캐스크,matched,w055,듀어스 12년,rule,2026-05_whiskeypick_traders_guwol.csv
듀어스 12년 퍼스트필 법원 케스크,matched,w055,듀어스 12년,rule,2026-05_dailyshot.csv
듀어스 12년 퍼스트필 법원 케스크 700ml,matched,w055,듀어스 12년,rule,2026-05.csv
듀어스 15년,matched,w056,듀어스 15년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
듀어스 15년 파이노크 스페셜 리저브,matched,w056,듀어스 15년,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
듀어스 15년 파이노크 스페셜 리저브 700ml,matched,w056,듀어스 15년,rule,2026-04.csv;2026-05.csv
듀어스 15년 파인노크 스페셜 리저브,matched,w056,듀어스 15년,rule,2026-05_dailyshot.csv
듀어스 15년 파인노크 스페셜 리저브 700ml,matched,w056,듀어스 15년,rule,2026-04.csv;2026-05.csv
듀어스 18년,matched,w057,듀어스 18년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
듀어스 18년 미즈나라 캐스크,matched,w057,듀어스 18년,rule,2026-05_dailyshot.csv
듀어스 18년 미즈나라 캐스크 700ml,matched,w057,듀어스 18년,rule,2026-04.csv
듀어스 캐리비안 스무스 8연 700ml,unmatched,,,,2026-04.csv
듀어스 화이트랍에 700ml,unmatched,,,,2026-04.csv
라가불린 11년 스위트 피트,matched,w036,라가불린 11년 오퍼맨 스위트피트,rule,2026-04.csv;2026-05_dailyshot.csv
라가불린 11년 스위트피트,matched,w036,라가불린 11년 오퍼맨 스위트피트,rule,2026-05_whiskeypick_traders_guwol.csv
라가불린 11년 오퍼맨 스위트피트,matched,w036,라가불린 11년 오퍼맨 스위트피트,rule,whisky-list.csv
라벨 5오 스카치 위스키 700ml,unmatched,,,,2026-04.csv
라프로익 10년,matched,w035,라프로익 10년,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
라프로익 10년 43% 700ml,matched,w035,라프로익 10년,rule,2026-05_dailyshot.csv
라프로익 10년 750ml,matched,w035,라프로익 10년,rule,2026-03.csv;2026-04.csv;2026-05.csv
라프로익 10년 750mml,matched,w035,라프로익 10년,rule,2026-05.csv
라프로익 오크 셀렉트,unmatched,,,,2026-05_dailyshot.csv
라프로익 오크셀렉트,unmatched,,,,2026-05_dailyshot.csv
라프로익 오크셀렉트 700ml,unmatched,,,,2026-03.csv
라프로잇 10년,matched,w035,라프로익 10년,rule,2026-05_dailyshot.csv
라프로잇 10년 750mml,matched,w035,라프로익 10년,rule,2026-05.csv
러셀 리저브 10년,unmatched,,,,2026-05_dailyshot.csv
러셀 리저브 10년 700ml,unmatched,,,,2026-05_dailyshot.csv
러셀 리저브 10년 750ml,unmatched,,,,2026-03.csv;2026-04.csv
러셀 리저브 싱글 배럴,matched,w077,러셀스 리저브 싱글배럴,rule,2026-05_dailyshot.csv
러셀 리저브 싱글 배럴 750ml,matched,w077,러셀스 리저브 싱글배럴,rule,2026-04.csv;2026-05.csv
러셀 리저브 싱글 베럴,matched,w077,러셀스 리저브 싱글배럴,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
러셀 리저브 싱글 베럴 750ml,matched,w077,러셀스 리저브 싱글배럴,rule,2026-04.csv;2026-05.csv
러셀 리저브 싱글배럴,matched,w077,러셀스 리저브 싱글배럴,rule,2026-05_dailyshot.csv
러셀스 리저브 싱글배럴,matched,w077,러셀스 리저브 싱글배럴,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
레미마틴 VSOP,excluded,,,cognac,2026-05_whiskeypick_traders_guwol.csv
로얄 브라클라 12년,matched,w026,로얄 브라클라 12년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
로얄 브라클라 12년 1L,matched,w026,로얄 브라클라 12년,rule,2026-05_dailyshot.csv
로얄 브라클라 12년 700ml,matched,w026,로얄 브라클라 12년,rule,2026-03.csv;2026-04.csv;2026-05.csv
로얄 살루트 21년,matched,w059,로얄 살루트 21년,rule,2026-05_dailyshot.csv;whisky-list.csv
로얄 살루트 21년 700ml,matched,w059,로얄 살루트 21년,rule,2026-04.csv
로얄 살루트 21년 그레인,matched,w059,로얄 살루트 21년,rule,2026-05_whiskeypick_traders_guwol.csv
로얄살루트 21년 700ml,matched,w059,로얄 살루트 21년,rule,2026-05_dailyshot.csv
린도어스 1494 코어 위스키,unmatched,,,,2026-05_dailyshot.csv
린도어스 1494 코어 위스키 700ml,unmatched,,,,2026-03.csv
맥캘란 12년 더블 캐스크,matched,w012,맥캘란 12년 더블캐스크,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
맥캘란 12년 더블 캐스크 700ml,matched,w012,맥캘란 12년 더블캐스크,rule,2026-03.csv;2026-04.csv;2026-05.csv
맥캘란 12년 더블 캐스크 싱글 모트 위스키,matched,w012,맥캘란 12년 더블캐스크,rule,2026-05_dailyshot.csv
맥캘란 12년 더블 캐스크 싱글 모트 위스키 700ml,matched,w012,맥캘란 12년 더블캐스크,rule,2026-03.csv
맥캘란 12년 더블캐스크,matched,w012,맥캘란 12년 더블캐스크,rule,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;whisky-list.csv
맥캘란 15년 더블 캐스크 700ml 25만9,unmatched,,,,2026-04.csv
맥캘란 쉐리오크 12년,unmatched,,,,2026-05_dailyshot.csv
맥캘란 쉐리오크 12년 700ml,unmatched,,,,2026-05.csv
메이커스 마크,matched,w071,메이커스 마크,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
메이커스 마크 1L,matched,w071,메이커스 마크,rule,2026-05.csv
메이커스 마크 200ml,matched,w071,메이커스 마크,rule,2026-04.csv
메이커스 마크 700ml,matched,w071,메이커스 마크,rule,2026-05_dailyshot.csv
메이커스 마크 750mml,matched,w071,메이커스 마크,rule,2026-04.csv
몽키 숄더,matched,w041,몽키숄더,rule,2026-03.csv;2026-05_whiskeypick_traders_guwol.csv
몽키 숄더 200ml,matched,w041,몽키숄더,rule,2026-04.csv
몽키 숄더 700ml,matched,w041,몽키숄더,rule,2026-03.csv;2026-04.csv;2026-05.csv
몽키숄더,matched,w041,몽키숄더,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
미스터 보스턴 스카치 위스키 1L,unmatched,,,,2026-04.csv
바카디 모이또 클래식,excluded,,,rum-cocktail,2026-05_whiskeypick_traders_guwol.csv
바톤 보드카,excluded,,,vodka,2026-05_whiskeypick_traders_guwol.csv
바톤진,excluded,,,gin,2026-05_whiskeypick_traders_guwol.csv
발렌타인 10년,matched,w044,발렌타인 10년,rule,2026-04.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
발렌타인 10년 1L9,matched,w044,발렌타인 10년,rule,2026-04.csv
발렌타인 10년 500ml,matched,w044,발렌타인 10년,rule,2026-04.csv
발렌타인 10년 700ml,matched,w044,발렌타인 10년,rule,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv
발렌타인 12년,matched,w045,발렌타인 12년,rule,whisky-list.csv
발렌타인 17년,unmatched,,,,2026-05_dailyshot.csv
발렌타인 17년 500mml,unmatched,,,,2026-04.csv
발렌타인 17년 700ml,unmatched,,,,2026-03.csv;2026-04.csv;2026-05.csv;2026-05_dailyshot.csv
발렌타인 17년 말본 리미티드 에디션,unmatched,,,,2026-05_dailyshot.csv
발렌타인 17년 말본 리미티드 에디션 700ml,unmatched,,,,2026-05.csv
발렌타인 17년 말본 리미티드 에디션 700ml 14만,unmatched,,,,2026-05.csv
발렌타인 18년 싱글트 글램버기 700ml,unmatched,,,,2026-04.csv
발렌타인 21년,matched,w047,발렌타인 21년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
발렌타인 21년 700ml,matched,w047,발렌타인 21년,rule,2026-03.csv;2026-04.csv;2026-05.csv
발렌타인 마스터즈 700ml,unmatched,,,,2026-04.csv
발렌타인 싱글 몰트 글램버이 15년 700ml,matched,w046,발렌타인 싱글몰트 15년,rule,2026-04.csv
발렌타인 싱글몰트 15년,matched,w046,발렌타인 싱글몰트 15년,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
발렌타인 싱글몰트 글렌버기 15년,matched,w046,발렌타인 싱글몰트 15년,rule,2026-05_dailyshot.csv
발렌타인 싱글트 글램버기 12년 500ml,matched,w045,발렌타인 12년,rule,2026-04.csv
발렌타인 싱글트 글램버기 15년,matched,w046,발렌타인 싱글몰트 15년,rule,2026-05_dailyshot.csv
발렌타인 싱글트 글램버기 15년 700ml,matched,w046,발렌타인 싱글몰트 15년,rule,2026-04.csv;2026-05.csv
발렌타인 싱글트 글램버기 16년 스몰 배치,unmatched,,,,2026-05.csv;2026-05_dailyshot.csv
발렌타인 싱글트 글램버이 16년 스몰 배치,unmatched,,,,2026-05_dailyshot.csv
발렌타인 싱글트 글램버이 16년 스몰 배치 700ml,unmatched,,,,2026-05.csv
발렌타인 파이니스트,matched,w043,발렌타인 파이니스트,rule,2026-04.csv;2026-05_dailyshot.csv;whisky-list.csv
발렌타인 파이니스트 1L,matched,w043,발렌타인 파이니스트,rule,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv
발렌타인 파이니스트 200ml,matched,w043,발렌타인 파이니스트,rule,2026-04.csv
발베니 12년,matched,w008,발베니 12년 더블우드,rule,2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv
발베니 12년 700ml,matched,w008,발베니 12년 더블우드,rule,2026-04.csv;2026-05.csv
발베니 12년 더블 우드 700ml,matched,w008,발베니 12년 더블우드,rule,2026-04.csv
발베니 12년 더블로드,matched,w008,발베니 12년 더블우드,rule,2026-05_dailyshot.csv
발베니 12년 더블로드 700ml,matched,w008,발베니 12년 더블우드,rule,2026-03.csv;2026-05.csv
발베니 12년 더블우드,matched,w008,발베니 12년 더블우드,rule,2026-03.csv;2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;whisky-list.csv
발베니 12년 싱글트 위스키,matched,w008,발베니 12년 더블우드,rule,2026-05_dailyshot.csv
발베니 12년 싱글트 위스키 700ml,matched,w008,발베니 12년 더블우드,rule,2026-03.csv
발베니 14년 &gt;&gt; &gt;&gt; 캐리비안 캐스크 700ml,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-05.csv
발베니 14년 캐리비안 캐스크,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-04.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;whisky-list.csv
발베니 14년 캐리비안 캐스크 700ml,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-03.csv;2026-04.csv;2026-05.csv
발베니 14년 캐리비안 케스크,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-05_dailyshot.csv
발베니 14년 캐리비안 케스크 700ml,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-04.csv
발베니 16년 프렌치 오크,unmatched,,,,2026-05_dailyshot.csv
발베니 16년 프렌치오크,unmatched,,,,2026-05_dailyshot.csv
발베니 16년 프렌치오크 700ml,unmatched,,,,2026-03.csv
발베니 더블우드 12년,matched,w008,발베니 12년 더블우드,rule,2026-05_dailyshot.csv
발베니 캐리비안 캐스크 14년,matched,w009,발베니 14년 캐리비안 캐스크,rule,2026-05_dailyshot.csv
뱅콜 싱글트 위스키,matched,w040,뱅크홀 싱글몰트,rule,2026-05_dailyshot.csv
뱅콜 싱글트 위스키 700ml,matched,w040,뱅크홀 싱글몰트,rule,2026-04.csv
뱅크홀 싱글 모트 위스키,matched,w040,뱅크홀 싱글몰트,rule,2026-05_dailyshot.csv
뱅크홀 싱글 모트 위스키 700ml,matched,w040,뱅크홀 싱글몰트,rule,2026-04.csv
