술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
벤니학 10년 700ml,49940,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:39,중,id=w017
몽키 숄더 700ml,49980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:45,중,id=w041
노마드 아울랜드 쉐리 피니시 700ml,49980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 3:54,중,id=w060
라프로익 10년 750mml,69800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:01,중,id=w035
조니워커 그린납,69800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:08,중,id=w042
조니워커 블랙라베 700ml,49980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:15,중,id=w050
"조니워커 레드 1.75L,940원. 버팔로 트레이스 1l",2980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:25,낮음,ASR 자릿수 누락/오인 추정-재확인; id=w049
메이커스 마크 1l,9980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:31,낮음,ASR 자릿수 누락/오인 추정-재확인; id=w071
뱅크홀 싱글트 위스키 700ml,29940,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:41,중,id=w040
골든 블루 사피루스 450ml,28980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:48,중,id=w064
발렌타인 10년 700ml,39980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 4:55,중,id=w044
1792 스몰 배치 750ml,44980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:03,중,id=w070
커티삭 프로이비션 1l,9980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:07,낮음,ASR 자릿수 누락/오인 추정-재확인; id=w058
듀어스 12년 퍼스트필 법원 캐스크 700ml,39980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:19,중,id=w055
다카라 미아자키 망고 700ml,24980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:26,중,
에반윌리엄스 12주년 에디션 50도 1l,9980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:34,낮음,ASR 자릿수 누락/오인 추정-재확인
에반 윌리엄스 블랙 1.75l,47980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:43,중,id=w080
앱솔루트 보드카 1l,34980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:47,중,
호세코에보 에스페셜 레포사도 750ml,27980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 5:58,중,
탈리스만 9년 포르투기즈 캐스크 에디션 700ml,25980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:07,중,id=w088
제임슨 스탠더드 700ml,27980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:13,중,id=w061
진빔 화이트 750mml,19980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:20,중,id=w065
탈리스만 위스키 1l,14980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:24,낮음,ASR 자릿수 누락/오인 추정-재확인; id=w088
바톤 보드카 1l,9980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:30,낮음,ASR 자릿수 누락/오인 추정-재확인
바톤진 1l,9980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:35,낮음,ASR 자릿수 누락/오인 추정-재확인
에바리엄스 블랙 1l,29980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:40,중,
카발란 디스틸러리 셀렉트 싱글 몰트 700ml,69800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:51,중,id=w084
글램피딕 15년 700ml,99800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 6:58,중,
글랜킨치 12년 700ml,59800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:05,중,
조니워커 블랙루비 700ml,44800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:12,중,id=w052
잭다니엘 애플 700ml,39980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:18,중,id=w067
잭다니엘 테네시 700ml,39980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:28,중,id=w066
봄베이 사파이어 진 750ml,3980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:36,낮음,ASR 자릿수 누락/오인 추정-재확인
"피치트리 1L,980원. 업타운 마가리타 1.5l",24980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:48,중,
페로네 리몬첼 1l,24980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 7:52,중,
바카디 모이또 클래식 700ml,21980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:02,중,
칼라일 블렌디드 스카치 위스키 1.5l,23980,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:10,중,
호로지스 스몰 배치 셀렉트 750ml,116800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:18,중,id=w079
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:26,중,id=w009
블렌고인 CS 171 700ml,149800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:34,중,id=w028
더 글랜드로 오드투더 다크 700ml,159800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:42,중,id=w087
탐두 15년 700ml,169800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:49,중,id=w016
로얄 살루트 21년 그레인 700ml,179800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 8:58,중,id=w059
아벨라워 아브나르 쉐리케스크 에디션 700ml,235800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:04,중,id=w011
조니 워커 블루라베 750mml,259800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:13,중,id=w053
더 글랜리벳 17년 스몰 배치 2 700ml,229800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:22,중,
더 글랜리벳 19년 스몰 배치 2 700ml,349800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:30,중,
달모어 2005 빈티지 700ml,8000,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:38,낮음,ASR 자릿수 누락/오인 추정-재확인; id=w024
옥타브 스트레스 클라이드 1990 31년 700ml,69800,트레이더스 구월점,2026-05-28,유튜브 @whiskeypick / nYUtBO0v7vI @ 9:47,중,id=w039
