순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
16,이박사의 신동막걸리,"막걸리, 토종닭",한식·기타,"서울특별시 마포구 토정로 263 1층,2층",02-702-7717,670,10,콜키지무료,,64,4.6,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9D%B4%EB%B0%95%EC%82%AC%EC%9D%98%20%EC%8B%A0%EB%8F%99%EB%A7%89%EA%B1%B8%EB%A6%AC,GeuXxORZwHy1,37.5429474,126.9395287,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
17,서울안심축산,"한우, 소고기",고기,서울특별시 마포구 토정로35길 11 인우빌딩 1층,0507-1392-1515,184,3,콜키지프리,,62,4.9,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%EC%95%88%EC%8B%AC%EC%B6%95%EC%82%B0,aqpHRWB5FFhB,37.5404484,126.9440607,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
18,석양집,"고깃집, 돼지갈비",고기,서울특별시 마포구 토정로 317,02-716-6847,163,2,콜키지프리,,61,5,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%84%9D%EC%96%91%EC%A7%91,5qSMhd1cRieF,37.5397625,126.9440593,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
19,연고지,"고깃집, 늑간살",고기,서울특별시 마포구 토정로 286-1 1층 연고지,0507-1390-7319,458,7,콜키지프리,,61,4.5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%97%B0%EA%B3%A0%EC%A7%80,vHlNMYCDuwEi,37.5414036,126.9411892,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
20,청춘구락부,"고깃집, 양대창",고기,서울특별시 마포구 토정로 308 1층 2층,0507-1389-1399,270,4,콜키지프리,,60,4.7,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B2%AD%EC%B6%98%EA%B5%AC%EB%9D%BD%EB%B6%80,2OcGgnnWZhyT,37.5401296,126.9428996,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
21,경복궁 블랙 마포 로이넷호텔점,"한정식, 고기집",한식·기타,"서울특별시 마포구 마포대로 67 마포 로이넷호텔 2층, 5호선 마포역 2번출구 250m, 5호선 마포역 2번출구 250m",02-6951-3998,295,4,콜키지프리,,58,4.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B2%BD%EB%B3%B5%EA%B6%81%20%EB%B8%94%EB%9E%99%20%EB%A7%88%ED%8F%AC%20%EB%A1%9C%EC%9D%B4%EB%84%B7%ED%98%B8%ED%85%94%EC%A0%90,M5ae31g4ZgZm,37.5416894,126.9480712,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
22,샐러드킹,"닭가슴살샐러드, 연어샐러드",한식·기타,서울특별시 마포구 큰우물로 75 지하 상가24호,0507-1321-2127,184,3,콜키지프리,,57,4,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%83%90%EB%9F%AC%EB%93%9C%ED%82%B9,Z4OXgFnb0bWX,37.5412913,126.9462941,테네시,버번,"차콜필터 둥근 단맛·바닐라가 양념 닭구이와 매칭, 하이볼."
23,금고기 마포본점,"고기집, 삼겹살",고기,"서울특별시 마포구 도화길 20-6 1층, 2층",0507-1306-1488,214,3,콜키지프리,,57,4,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B8%88%EA%B3%A0%EA%B8%B0%20%EB%A7%88%ED%8F%AC%EB%B3%B8%EC%A0%90,ui5DnvNivQWz,37.5400979,126.9482687,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
24,냉삼이오,냉삼,한식·기타,서울특별시 마포구 도화길 35 1층,0507-1410-7524,377,6,콜키지프리,,57,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%83%89%EC%82%BC%EC%9D%B4%EC%98%A4,3lwFgJTWAluQ,37.5414376,126.9495467,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
25,바브로,"솥밥, 북카페",한식·기타,서울특별시 마포구 마포대로4다길 31 1층,0507-1364-7556,474,7,콜키지프리,,57,3.6,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%94%EB%B8%8C%EB%A1%9C,q7dirGcfc2QD,37.5356245,126.944193,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
26,원조부안집 마포직영점,"고깃집, 목살",고기,서울특별시 마포구 토정로 311,0507-1384-0814,219,3,콜키지프리,,54,4.5,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9B%90%EC%A1%B0%EB%B6%80%EC%95%88%EC%A7%91%20%EB%A7%88%ED%8F%AC%EC%A7%81%EC%98%81%EC%A0%90,tgySCJFIG16b,37.5401584,126.9435033,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
27,써니호프,"치킨, 술집",바·주류,서울특별시 마포구 마포대로4다길 23 1층,0507-1358-4733,418,6,콜키지프리,,52,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8D%A8%EB%8B%88%ED%98%B8%ED%94%84,xS2gfr35yjOk,37.5361338,126.9442813,버번,블렌디드(하이볼),펍 안주·맥주 곁들임에 버번 하이볼/보일러메이커가 가벼움.
28,심야식당 와인보우,와인바,바·주류,서울특별시 마포구 삼개로 8 3층,0507-1354-9463,133,2,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8B%AC%EC%95%BC%EC%8B%9D%EB%8B%B9%20%EC%99%80%EC%9D%B8%EB%B3%B4%EC%9A%B0,AElMYfrvU8Ec,37.5396357,126.9474072,셰리,스페이사이드(과일몰트),"치즈·차콘 안주와 식후 한 잔, 셰리 단맛이 디저트처럼 마무리."
29,연원참숯구이,"고깃집, 흑돼지",고기,서울특별시 마포구 마포대로4길 42 1층 연원참숯구이,0507-1448-5553,211,3,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%97%B0%EC%9B%90%EC%B0%B8%EC%88%AF%EA%B5%AC%EC%9D%B4,Nff1E1N2NHGm,37.5378564,126.9466149,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
30,일레븐,"위스키, 하이볼",한식·기타,서울특별시 마포구 토정로31길 23 래미안 상가 112호,0507-1353-0633,435,6,콜키지프리,"위스키,하이볼,위스키검색매칭",25,0,0,위스키신호有(매장확인),,https://map.naver.com/p/search/%EC%9D%BC%EB%A0%88%EB%B8%90,M607819uXc0x,37.5415039,126.941545,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
31,그때그집 공덕점,"술집, 전통주",바·주류,서울특별시 마포구 새창로4길 12 1층,0507-1494-7867,538,8,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B7%B8%EB%95%8C%EA%B7%B8%EC%A7%91%20%EA%B3%B5%EB%8D%95%EC%A0%90,NwkwSwXkY3ne,37.5415779,126.951516,버번,블렌디드(하이볼),펍 안주·맥주 곁들임에 버번 하이볼/보일러메이커가 가벼움.
