순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
16,와인주막차차,"와인바, 화이트와인",바·주류,서울특별시 영등포구 국제금융로2길 37 에스트레뉴 2층,0507-1324-3378,144,2,콜키지프리,,67,4.8,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%99%80%EC%9D%B8%EC%A3%BC%EB%A7%89%EC%B0%A8%EC%B0%A8,Ts1iVjlqzypF,37.5229166,126.9241238,셰리,스페이사이드(과일몰트),"치즈·차콘 안주와 식후 한 잔, 셰리 단맛이 디저트처럼 마무리."
17,청도미나리식당 여의도점,"오리고기, 미나리샤브샤브",한식·기타,서울특별시 영등포구 의사당대로 108 2층 210호,0507-1437-3540,59,1,콜키지프리,,66,4.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B2%AD%EB%8F%84%EB%AF%B8%EB%82%98%EB%A6%AC%EC%8B%9D%EB%8B%B9%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,RhayL4lCDn4h,37.5210891,126.9241521,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
18,푸에르코 여의도웨스트,이베리코,고기,서울특별시 영등포구 의사당대로 96 TP타워 지하 2층,0507-1368-1837,117,2,콜키지프리,,66,4.7,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%91%B8%EC%97%90%EB%A5%B4%EC%BD%94%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%9B%A8%EC%8A%A4%ED%8A%B8,SLmlSXJ2g36z,37.5215212,126.9228725,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
19,만유,"이자카야, 우나기동",일식,서울특별시 영등포구 의사당대로 127 1층 1-123호 만유,02-780-0486,253,4,콜키지프리,,66,3.1,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%A7%8C%EC%9C%A0,0dCOIw9OHpXK,37.5203911,126.9266003,재패니즈(하이볼),스페이사이드(과일몰트),야키토리·라멘 등 기름·짭짤한 안주에 일본식 하이볼 정석.
20,무안회관 여의도점,"한식, 낙지",한식·기타,서울특별시 영등포구 여의대로 70 2층,0507-1445-8528,358,5,콜키지프리,,66,4.7,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AC%B4%EC%95%88%ED%9A%8C%EA%B4%80%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,k3iStmrqKwhi,37.5248417,126.9241972,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
21,차이나플레인,중식,중식,서울특별시 영등포구 여의대로 24 FKI타워B1층,0507-1374-4500,374,6,콜키지프리,,66,4,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B0%A8%EC%9D%B4%EB%82%98%ED%94%8C%EB%A0%88%EC%9D%B8,54ZzKpCTZ0Vi,37.5221282,126.9199951,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
22,잭슨피자 여의도점,"피자, 페페로니",웨스턴(양식),"서울특별시 영등포구 여의동로3길 10 여의도자이 상가동 1층 107호, 107-1호",0507-1312-1911,423,6,콜키지프리,,66,4.3,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9E%AD%EC%8A%A8%ED%94%BC%EC%9E%90%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,J0hrb8Wq9D7a,37.5184603,126.9268685,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
23,로스옥 여의도점,"한우, 한우무한리필",고기,서울특별시 영등포구 국제금융로2길 24 지하1층,02-2088-3041,305,5,콜키지프리,,64,3,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%A1%9C%EC%8A%A4%EC%98%A5%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,gRgp9BEWnz5Z,37.5243159,126.9248449,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
24,경천애인2237,"한우, 소고기",고기,서울특별시 영등포구 국제금융로8길 31 지하2층 B203,0507-1421-2265,400,6,콜키지프리,,64,4.6,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B2%BD%EC%B2%9C%EC%95%A0%EC%9D%B82237,DCV0QKMnq9Cr,37.519746,126.9280666,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
25,본보야지,"파스타, 한우스테이크",웨스턴(양식),서울특별시 영등포구 국제금융로2길 7 한주빌딩 2층 본보야지,0507-1429-8889,409,6,콜키지프리,,64,3.9,8,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B3%B8%EB%B3%B4%EC%95%BC%EC%A7%80,Rn4NYsS2ylwy,37.5246726,126.9267799,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
26,푸에르코 여의도점,"이베리코, 파이",고기,서울특별시 영등포구 국제금융로2길 32 4층 402호,0507-1311-8312,252,4,콜키지프리,위스키검색매칭,63,4.6,3,위스키신호有(매장확인),,https://map.naver.com/p/search/%ED%91%B8%EC%97%90%EB%A5%B4%EC%BD%94%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,EqIACccJuINu,37.5238818,126.924138,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
27,여의도우삼겹집,"우삼겹, 고기집",고기,서울특별시 영등포구 의사당대로 108 지하1층,0507-1483-3777,75,1,콜키지프리,,62,5,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%97%AC%EC%9D%98%EB%8F%84%EC%9A%B0%EC%82%BC%EA%B2%B9%EC%A7%91,hDsuwG7qf5hV,37.5210051,126.9238388,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
28,우상화로구이 여의도점,"소고기, 안거미",고기,서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 3층 305,0507-1324-8598,252,4,콜키지프리,,62,4,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9A%B0%EC%83%81%ED%99%94%EB%A1%9C%EA%B5%AC%EC%9D%B4%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,iTvwP521ixtx,37.5238818,126.924138,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
29,서울로인 여의도점,"한우, 코스요리",고기,서울특별시 영등포구 여의나루로 50 한국교직원공제회관 지하1층 9호,0507-1312-2260,130,2,콜키지프리,,61,4.3,38,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%EB%A1%9C%EC%9D%B8%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,Lrh98qnED3qi,37.5218052,126.9256512,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
30,몰트커피바,"위스키, 칵테일",바·주류,서울특별시 영등포구 국제금융로2길 37 1층 107호,0507-1342-5401,166,2,콜키지프리,위스키,61,4,1,위스키신호有(매장확인),,https://map.naver.com/p/search/%EB%AA%B0%ED%8A%B8%EC%BB%A4%ED%94%BC%EB%B0%94,846ty9dYVGfo,37.5231039,126.9243728,버번,라이,올드패션드·위스키사워 등 클래식 칵테일 베이스로 버번/라이.
31,조도,"이자카야, 와인",일식,"서울특별시 영등포구 의사당대로1길 11 제1지하층 101, 102, 103호",0507-1407-9942,470,7,콜키지프리,위스키검색매칭,61,5,1,위스키신호有(매장확인),,https://map.naver.com/p/search/%EC%A1%B0%EB%8F%84,zqElpQm1M765,37.519225,126.9285868,셰리,스페이사이드(과일몰트),"치즈·차콘 안주와 식후 한 잔, 셰리 단맛이 디저트처럼 마무리."
32,육랩 여의도점,"고깃집, 소고기",고기,"서울특별시 영등포구 여의나루로 42 238호, 239호",0507-1369-3145,71,1,콜키지프리,하이볼,59,5,1,위스키신호有(매장확인),,https://map.naver.com/p/search/%EC%9C%A1%EB%9E%A9%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,TARIkNHLJ6o1,37.5214704,126.9249738,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
33,스시도손,스시오마카세,일식,서울특별시 영등포구 국제금융로2길 37 S-T RENUE 2층 206-2호,0507-1313-9884,152,2,콜키지프리,,59,4.1,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8A%A4%EC%8B%9C%EB%8F%84%EC%86%90,t2b2vXzfBgcc,37.5229862,126.92431,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
34,미스터향 여의도점,"짬뽕, 중식당",중식,서울특별시 영등포구 여의나루로 60 포스트타워 지하1층 134호,0507-1498-9321,207,3,콜키지프리,,59,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AF%B8%EC%8A%A4%ED%84%B0%ED%96%A5%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,YGcGvk3Uq2fF,37.522327,126.9263576,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
35,바다반찬,"갈비탕, 왕갈비탕",한식·기타,서울특별시 영등포구 의사당대로 108 아일렉스 상가,02-780-3512,73,1,콜키지무료,,56,3,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%94%EB%8B%A4%EB%B0%98%EC%B0%AC,6MRx6E5JVk7q,37.5209944,126.9239572,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
36,스시젠,"초밥, 일식집",일식,서울특별시 영등포구 의사당대로 127 지하 11호,0507-1425-7806,267,4,콜키지프리,,55,5,3,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8A%A4%EC%8B%9C%EC%A0%A0,6vuyClmqoFgB,37.5202651,126.9266868,코스탈(해안 몰트),스페이사이드(과일몰트),해안 몰트의 해풍·미네랄이 회의 바다향과 동조; 피트 없는 경량 몰트로 담백함 보존.
37,배꼽집 여의도점,"갈비탕, 파이",한식·기타,서울특별시 영등포구 국제금융로2길 32 파이낸스타워(유안타증권) 지하1층,0507-1319-9326,242,4,콜키지프리,,53,3,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%B0%EA%BC%BD%EC%A7%91%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,ZmPFyjepsHxs,37.5237983,126.924164,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
38,삼씨오화 여의도점,"술집, pub",바·주류,서울특별시 영등포구 의사당대로 83 오투타워 3층,0507-1484-3335,205,3,콜키지프리,,52,3,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%82%BC%EC%94%A8%EC%98%A4%ED%99%94%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90,BzvABAkNg6Qk,37.5233663,126.9234407,버번,블렌디드(하이볼),펍 안주·맥주 곁들임에 버번 하이볼/보일러메이커가 가벼움.
39,미방 여의도역점,"양갈비, 양고기",고기,서울특별시 영등포구 국제금융로2길 37 에스트레뉴 상가 2층 207-1호,02-780-8850,147,2,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%AF%B8%EB%B0%A9%20%EC%97%AC%EC%9D%98%EB%8F%84%EC%97%AD%EC%A0%90,7RdIOJ6KuXCu,37.5229368,126.9242785,피트(스모키),셰리,누린향·쯔란(커민)에 피트 훈연이 '훈제양고기'처럼 동조; 셰리는 풍미를 받쳐줌.
