예산대,순위,위스키명,브랜드,면세가_KRW,할인율_%,종합점수,평점,리뷰수,국내구매처,국내최저_KRW,국내현재_KRW,면세vs국내_%,상품URL
20–30만원,5,글렌피딕 21년 700ml,글렌피딕,213840,46.0,85.5,10.0,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/275686
20–30만원,6,카발란 비노바리끄 솔리스트 1000ml,카발란,276000,20.0,76.5,9.7,49,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101582
20–30만원,7,부쉬밀 마르사라 캐스크 21년 700ml,부쉬밀,230550,42.0,72.9,10.0,2,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5200760
20–30만원,8,카발란 포트 솔리스트 1000ml,카발란,261600,20.0,71.2,10.0,10,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101642
30만원 이상,1,보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,443700,42.0,67.5,10.0,6,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5489102
30만원 이상,2,글렌피딕 26년 GC 700ml,글렌피딕,688350,35.0,67.4,10.0,8,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5105340
30만원 이상,3,카발란 피노 솔리스트 1000ml,카발란,456000,20.0,67.3,9.8,11,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5101823
30만원 이상,4,조니워커 블루 750ml,조니워커,323475,5.0,66.7,10.0,35,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/287148
30만원 이상,5,발베니 25년 Rare Marrige 700ml ,발베니,868260,42.0,65.6,10.0,4,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5188632
30만원 이상,6,로얄 브라클라 25년 700ml,로얄브라클라,810000,40.0,65.0,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5560830
30만원 이상,7,글렌피딕 30년 Time Series 700ml ,글렌피딕,1170000,48.0,64.0,10.0,1,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5188729
30만원 이상,8,발렌타인 30년 RESTAGE 700ml,발렌타인,636975,5.0,63.1,9.3,48,국내 미확인,,,,https://www.shilladfs.com/estore/kr/ko/p/5086095
