술이름,브랜드,숙성년수,용량_ml,원가격_JPY,통화,환율_1JPY_KRW,가격_KRW,관세_KRW,주세_KRW,교육세_KRW,부가세_KRW,한국반입추정가_KRW,반입배수,국가,셀러,URL,itemCode,가져온날짜,출처,신뢰도,비고
산토리 가쿠빈 NAS 700ml,kakubin,,700,1780,JPY,9.460043,16839,3368,14549,4365,3912,43032,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman/kakubin/,likaman:kaku,2026-05-30,Rakuten Ichiba API (サントリー 角瓶),중,
산토리 가쿠빈 NAS 1920ml,kakubin,,1920,3680,JPY,9.460043,34813,6963,30078,9024,8088,88965,2.5555,일본(JP),業務用酒店,https://item.rakuten.co.jp/gyomu/kakubin-1920/,gyomu:kaku19,2026-05-30,Rakuten Ichiba API (サントリー 角瓶),중,대용량(1920ml)
산토리 토키 NAS 700ml,toki,,700,3180,JPY,9.460043,30083,6017,25992,7797,6989,76878,2.5555,일본(JP),リカーマウンテン楽天市場店,https://item.rakuten.co.jp/likaman:toki/,likaman:toki,2026-05-30,Rakuten Ichiba API (サントリー 季 TOKI),중,
산토리 토키 NAS 700ml,toki,,700,3680,JPY,9.460043,34813,6963,30078,9024,8088,88965,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai:toki2/,sakai:toki2,2026-05-30,Rakuten Ichiba API (サントリー 季 TOKI),중,
니카 데이즈 NAS 700ml,nikka_days,,700,1780,JPY,9.460043,16839,3368,14549,4365,3912,43032,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa:days/,hasegawa:days,2026-05-30,Rakuten Ichiba API (ニッカ デイズ),중,
니카 데이즈 NAS 180ml,nikka_days,,180,780,JPY,9.460043,7379,1476,6375,1913,1714,18857,2.5555,일본(JP),ミニボトル館,https://item.rakuten.co.jp/mini:days180/,mini:days180,2026-05-30,Rakuten Ichiba API (ニッカ デイズ),중,"소용량(180ml) — 700ml 환산 아님, 직접비교 주의"
마쓰이 쿠라요시 8년 700ml,kurayoshi,8,700,13200,JPY,9.460043,124873,24975,107890,32367,29010,319114,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya:kura8/,shinanoya:kura8,2026-05-30,Rakuten Ichiba API (マツイ 倉吉),중,
마쓰이 쿠라요시 NAS 700ml,kurayoshi,,700,9800,JPY,9.460043,92708,18542,80100,24030,21538,236918,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai:kuranv/,sakai:kuranv,2026-05-30,Rakuten Ichiba API (マツイ 倉吉),중,
아카시(에이가시마) NAS 500ml,akashi,,500,6800,JPY,9.460043,64328,12866,55580,16674,14945,164392,2.5555,일본(JP),リカーズハセガワ,https://item.rakuten.co.jp/hasegawa:akashi/,hasegawa:akashi,2026-05-30,Rakuten Ichiba API (明石 ホワイトオーク),중,
아카시(에이가시마) NAS 500ml,akashi,,500,2980,JPY,9.460043,28191,5638,24357,7307,6549,72042,2.5555,일본(JP),酒のSAKAI,https://item.rakuten.co.jp/sakai:akashiwo/,sakai:akashiwo,2026-05-30,Rakuten Ichiba API (明石 ホワイトオーク),중,
마르스 쓰누키 NAS 700ml,tsunuki,,700,16500,JPY,9.460043,156091,31218,134862,40459,36263,398893,2.5555,일본(JP),ウイスキー専門 信濃屋,https://item.rakuten.co.jp/shinanoya:tsunuki/,shinanoya:tsunuki,2026-05-30,Rakuten Ichiba API (マルス 津貫),중,
