위스키명,브랜드,구매가능,신라면세_USD,신라면세_KRW_1500,심리구간,코스트코최저_KRW,코스트코매칭상품,신라-코스트코_차이,종합매력도,피트분류,상품URL
탈리스커 다크 스톰 1000ml,탈리스커,Y,57.15,85725,①10만이하,,,,43.2,B,https://www.shilladfs.com/estore/kr/ko/p/5070436
시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,Y,59.8,89700,①10만이하,,,,51.0,A,https://www.shilladfs.com/estore/kr/ko/p/5065829
라프로익 레거시 에디션 700ml,라프로익,Y,62.78,94170,①10만이하,,,,44.2,A,https://www.shilladfs.com/estore/kr/ko/p/3612827
아드벡 언 오 1000ml,아드벡,Y,65.6,98400,①10만이하,,,,31.0,A,https://www.shilladfs.com/estore/kr/ko/p/5388184
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,Y,70.3,105450,②10~20만,,,,19.1,A,https://www.shilladfs.com/estore/kr/ko/p/5228863
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,Y,71.1,106650,②10~20만,,,,16.5,A,https://www.shilladfs.com/estore/kr/ko/p/5372477
암룻 PEATED 700ml,암룻,Y,75.05,112575,②10~20만,,,,12.2,A,https://www.shilladfs.com/estore/kr/ko/p/5337847
보모어 16년 700ml,보모어,Y,77.0,115500,②10~20만,,,,51.9,A,https://www.shilladfs.com/estore/kr/ko/p/5524532
탈리스커 10년 1L ,탈리스커,Y,80.75,121125,②10~20만,,,,22.2,B,https://www.shilladfs.com/estore/kr/ko/p/5604485
턴테이블 스모킨 리프 700ml,턴테이블,Y,84.6,126900,②10~20만,,,,15.2,A,https://www.shilladfs.com/estore/kr/ko/p/5408660
라프로익 PX Cask 1000ml,라프로익,Y,114.0,171000,②10~20만,,,,20.3,A,https://www.shilladfs.com/estore/kr/ko/p/3333183
PAUL JOHN PEATED 올로로소 700ml,폴 존,Y,123.75,185625,②10~20만,,,,40.3,A,https://www.shilladfs.com/estore/kr/ko/p/5461900
보모어 19년 700ml,보모어,Y,142.8,214200,③20~30만,,,,52.4,A,https://www.shilladfs.com/estore/kr/ko/p/5524533
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,Y,145.0,217500,③20~30만,,,,51.3,A,https://www.shilladfs.com/estore/kr/ko/p/5065826
발베니 Balvenie 19년 Week of Peat 700ml,발베니,Y,166.95,250425,③20~30만,,,,56.6,A,https://www.shilladfs.com/estore/kr/ko/p/5108417
브룩라디 옥토모어 15.1 700ml,브룩라디,Y,167.0,250500,③20~30만,,,,23.5,A,https://www.shilladfs.com/estore/kr/ko/p/5611045
옥토모어 16.1 700ml,브룩라디,Y,167.0,250500,③20~30만,,,,21.9,A,https://www.shilladfs.com/estore/kr/ko/p/5900472
라프로익 포트우드 2023 700ml,라프로익,Y,167.2,250800,③20~30만,,,,17.5,A,https://www.shilladfs.com/estore/kr/ko/p/5298064
로얄살루트 21년 Peated Blend 700ml,로얄살루트,Y,190.0,285000,③20~30만,,,,28.4,A,https://www.shilladfs.com/estore/kr/ko/p/5081231
옥토모어 14.2 700ml,브룩라디,Y,190.0,285000,③20~30만,,,,20.6,A,https://www.shilladfs.com/estore/kr/ko/p/5900470
옥토모어 16.2 700ml,브룩라디,Y,190.0,285000,③20~30만,,,,19.9,A,https://www.shilladfs.com/estore/kr/ko/p/5934208
옥토모어 14.3 700ml,브룩라디,Y,230.0,345000,④30만초과,,,,22.5,A,https://www.shilladfs.com/estore/kr/ko/p/5900471
옥토모어 16.3 700ml,브룩라디,Y,230.0,345000,④30만초과,,,,21.5,A,https://www.shilladfs.com/estore/kr/ko/p/5934209
보모어 22년 700ml,보모어,Y,279.3,418950,④30만초과,,,,54.3,A,https://www.shilladfs.com/estore/kr/ko/p/5524534
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,Y,295.8,443700,④30만초과,,,,67.9,A,https://www.shilladfs.com/estore/kr/ko/p/5489102
보모어 타임리스 33년 700ml,보모어,Y,1484.0,2226000,④30만초과,,,,82.9,A,https://www.shilladfs.com/estore/kr/ko/p/5265734
보모어 30년 700ml,보모어,Y,1495.2,2242800,④30만초과,,,,76.9,A,https://www.shilladfs.com/estore/kr/ko/p/5298204
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,Y,2090.0,3135000,④30만초과,,,,84.6,A,https://www.shilladfs.com/estore/kr/ko/p/5489103
보모어 36년 FQ 2023 700ml,보모어,Y,2200.0,3300000,④30만초과,,,,76.6,A,https://www.shilladfs.com/estore/kr/ko/p/5221776
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,Y,2340.8,3511200,④30만초과,,,,71.6,A,https://www.shilladfs.com/estore/kr/ko/p/5739770
아드벡 10년 1000ml,아드벡,N,54.0,81000,①10만이하,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5070389
아드벡 우거다일 700ml,아드벡,N,68.25,102375,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5713333
아드벡 스모크트레일즈 배치3 1000ml,아드벡,N,71.25,106875,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5867964
아드벡 코리브레칸 700ml,아드벡,N,83.25,124875,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5786504
라가불린 10년 700ml,라가불린,N,86.45,129675,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5704238
보모어 15년 골든앤엘레강트 1000ml,보모어,N,99.75,149625,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5166833
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,N,107.1,160650,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5372479
브룩라디 Port Charlotte 10년 1000ml,브룩라디,N,109.25,163875,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5208379
라가불린 16년 700ml,라가불린,N,115.9,173850,②10~20만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5358630
브룩라디 옥토모어 14.1 700ml,브룩라디,N,163.0,244500,③20~30만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5310713
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,N,194.75,292125,③20~30만,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5677233
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,N,216.0,324000,④30만초과,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5677236
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,N,626.4,939600,④30만초과,,,,,A,https://www.shilladfs.com/estore/kr/ko/p/5513344
