위스키명,브랜드,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL,피트분류,피트근거
발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,315.0,47.0,1173,8,10.0,6,Y,1220:싱글몰트 위스키,5108417,112231000027,https://www.shilladfs.com/estore/kr/ko/p/5108417,A,키워드:peat
벤리악 Quarter Cask Peated 1000ml,벤리악,34.3,70.0,51.0,67,0,0.0,6,Y,1220:싱글몰트 위스키,5303575,114931000041,https://www.shilladfs.com/estore/kr/ko/p/5303575,A,키워드:peated
보모어 11년 700ml,보모어,38.5,55.0,30.0,13,0,0.0,6,Y,1220:싱글몰트 위스키,5833044,114231000059,https://www.shilladfs.com/estore/kr/ko/p/5833044,A,증류소:보모어
보모어 14년 700ml,보모어,47.6,68.0,30.0,143,0,0.0,6,Y,1220:싱글몰트 위스키,5524536,114231000052,https://www.shilladfs.com/estore/kr/ko/p/5524536,A,증류소:보모어
보모어 15년 골든앤엘레강트 1000ml,보모어,99.75,105.0,5.0,725,3,10.0,0,N,1220:싱글몰트 위스키,5166833,114231000013,https://www.shilladfs.com/estore/kr/ko/p/5166833,A,증류소:보모어
보모어 16년 700ml,보모어,77.0,110.0,30.0,378,1,10.0,6,Y,1220:싱글몰트 위스키,5524532,114231000053,https://www.shilladfs.com/estore/kr/ko/p/5524532,A,증류소:보모어
보모어 19년 700ml,보모어,142.8,204.0,30.0,221,0,0.0,6,Y,1220:싱글몰트 위스키,5524533,114231000054,https://www.shilladfs.com/estore/kr/ko/p/5524533,A,증류소:보모어
보모어 22년 700ml,보모어,279.3,399.0,30.0,218,0,0.0,6,Y,1220:싱글몰트 위스키,5524534,114231000055,https://www.shilladfs.com/estore/kr/ko/p/5524534,A,증류소:보모어
보모어 24년 프랭크 콰이어틀리 4 700ml,보모어,295.8,510.0,42.0,671,6,10.0,6,Y,1220:싱글몰트 위스키,5489102,114231000048,https://www.shilladfs.com/estore/kr/ko/p/5489102,A,증류소:보모어
보모어 30년 700ml,보모어,1495.2,3115.0,52.0,48,0,0.0,2,Y,1220:싱글몰트 위스키,5298204,114231000046,https://www.shilladfs.com/estore/kr/ko/p/5298204,A,증류소:보모어
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,2090.0,3800.0,45.0,3,0,0.0,1,Y,1220:싱글몰트 위스키,5489103,114231000049,https://www.shilladfs.com/estore/kr/ko/p/5489103,A,증류소:보모어
보모어 36년 FQ 2023 700ml,보모어,2200.0,4000.0,45.0,36,0,0.0,6,Y,1220:싱글몰트 위스키,5221776,114231000038,https://www.shilladfs.com/estore/kr/ko/p/5221776,A,증류소:보모어
보모어 타임리스 33년 700ml,보모어,1484.0,2800.0,47.0,93,0,0.0,3,Y,1220:싱글몰트 위스키,5265734,114231000041,https://www.shilladfs.com/estore/kr/ko/p/5265734,A,증류소:보모어
브룩라디 Port Charlotte 10년 1000ml,브룩라디,109.25,115.0,5.0,195,0,0.0,0,N,1220:싱글몰트 위스키,5208379,085131000069,https://www.shilladfs.com/estore/kr/ko/p/5208379,A,증류소:port charlotte
브룩라디 옥토모어 14.1 700ml,브룩라디,163.0,163.0,0.0,1889,6,10.0,0,N,1220:싱글몰트 위스키,5310713,085131000076,https://www.shilladfs.com/estore/kr/ko/p/5310713,A,증류소:옥토모어
브룩라디 옥토모어 15.1 700ml,브룩라디,167.0,167.0,0.0,741,2,10.0,6,Y,1220:싱글몰트 위스키,5611045,085131000102,https://www.shilladfs.com/estore/kr/ko/p/5611045,A,증류소:옥토모어
옥토모어 14.2 700ml,브룩라디,190.0,190.0,0.0,184,1,10.0,6,Y,1220:싱글몰트 위스키,5900470,085131000112,https://www.shilladfs.com/estore/kr/ko/p/5900470,A,증류소:옥토모어
옥토모어 14.3 700ml,브룩라디,230.0,230.0,0.0,470,0,0.0,6,Y,1220:싱글몰트 위스키,5900471,085131000113,https://www.shilladfs.com/estore/kr/ko/p/5900471,A,증류소:옥토모어
옥토모어 16.1 700ml,브룩라디,167.0,167.0,0.0,347,0,0.0,6,Y,1220:싱글몰트 위스키,5900472,085131000115,https://www.shilladfs.com/estore/kr/ko/p/5900472,A,증류소:옥토모어
옥토모어 16.2 700ml,브룩라디,190.0,190.0,0.0,130,0,0.0,6,Y,1220:싱글몰트 위스키,5934208,085131000116,https://www.shilladfs.com/estore/kr/ko/p/5934208,A,증류소:옥토모어
옥토모어 16.3 700ml,브룩라디,230.0,230.0,0.0,280,0,0.0,6,Y,1220:싱글몰트 위스키,5934209,085131000117,https://www.shilladfs.com/estore/kr/ko/p/5934209,A,증류소:옥토모어
아드벡 10년 1000ml,아드벡,54.0,72.0,25.0,92,0,0.0,0,N,1220:싱글몰트 위스키,5070389,108631000004,https://www.shilladfs.com/estore/kr/ko/p/5070389,A,증류소:아드벡
아드벡 스모크트레일즈 배치3 1000ml,아드벡,71.25,95.0,25.0,42,0,0.0,0,N,1220:싱글몰트 위스키,5867964,108631000065,https://www.shilladfs.com/estore/kr/ko/p/5867964,A,증류소:아드벡; 키워드:스모크
아드벡 언 오 1000ml,아드벡,65.6,82.0,20.0,110,0,0.0,6,Y,1220:싱글몰트 위스키,5388184,108631000023,https://www.shilladfs.com/estore/kr/ko/p/5388184,A,증류소:아드벡
아드벡 우거다일 700ml,아드벡,68.25,91.0,25.0,294,0,0.0,0,N,1220:싱글몰트 위스키,5713333,108631000058,https://www.shilladfs.com/estore/kr/ko/p/5713333,A,증류소:아드벡
아드벡 코리브레칸 700ml,아드벡,83.25,111.0,25.0,227,0,0.0,0,N,1220:싱글몰트 위스키,5786504,108631000057,https://www.shilladfs.com/estore/kr/ko/p/5786504,A,증류소:아드벡
암룻 PEATED 700ml,암룻,75.05,79.0,5.0,26,0,0.0,6,Y,1220:싱글몰트 위스키,5337847,275031000004,https://www.shilladfs.com/estore/kr/ko/p/5337847,A,키워드:peated
암룻 PEATED CASK STRENGTH 700ml,암룻,52.44,114.0,54.0,88,0,0.0,6,Y,1220:싱글몰트 위스키,5337845,275031000005,https://www.shilladfs.com/estore/kr/ko/p/5337845,A,키워드:peated
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,46.87,109.0,57.0,18,0,0.0,6,Y,1211:블렌디드 위스키,5372478,276331000002,https://www.shilladfs.com/estore/kr/ko/p/5372478,A,산지:아일라
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,107.1,119.0,10.0,40,0,0.0,0,N,1211:블렌디드 위스키,5372479,276331000004,https://www.shilladfs.com/estore/kr/ko/p/5372479,A,산지:아일라
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,31.86,59.0,46.0,16,0,0.0,6,Y,1211:블렌디드 위스키,5372476,276331000001,https://www.shilladfs.com/estore/kr/ko/p/5372476,A,산지:아일라
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,71.1,79.0,10.0,16,0,0.0,6,Y,1211:블렌디드 위스키,5372477,276331000003,https://www.shilladfs.com/estore/kr/ko/p/5372477,A,산지:아일라
컴파스 박스 Peat Monster 700ml,컴파스 박스,32.34,77.0,58.0,37,0,0.0,6,Y,1211:블렌디드 위스키,5229030,263731000002,https://www.shilladfs.com/estore/kr/ko/p/5229030,A,키워드:peat
턴테이블 스모킨 리프 700ml,턴테이블,84.6,94.0,10.0,8,0,0.0,6,Y,1211:블렌디드 위스키,5408660,280431000002,https://www.shilladfs.com/estore/kr/ko/p/5408660,A,키워드:스모킨
PAUL JOHN PEATED 올로로소 700ml,폴 존,123.75,275.0,55.0,37,0,0.0,6,Y,1220:싱글몰트 위스키,5461900,249031000057,https://www.shilladfs.com/estore/kr/ko/p/5461900,A,키워드:peated
폴 존 피티드 1000ml,폴 존,42.0,100.0,58.0,64,0,0.0,6,Y,1220:싱글몰트 위스키,5311922,249031000023,https://www.shilladfs.com/estore/kr/ko/p/5311922,A,키워드:피티
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,45.15,105.0,57.0,54,0,0.0,6,Y,1211:블렌디드 위스키,5392882,273831000001,https://www.shilladfs.com/estore/kr/ko/p/5392882,A,키워드:피트
탈리스커 10년 1L ,탈리스커,80.75,85.0,5.0,322,0,0.0,6,Y,1220:싱글몰트 위스키,5604485,111131000024,https://www.shilladfs.com/estore/kr/ko/p/5604485,B,스모키섬몰트:탈리스커
탈리스커 다크 스톰 1000ml,탈리스커,57.15,127.0,55.0,198,1,10.0,6,Y,1220:싱글몰트 위스키,5070436,111131000001,https://www.shilladfs.com/estore/kr/ko/p/5070436,B,스모키섬몰트:탈리스커
탈리스커 써지 700ml,탈리스커,51.66,123.0,58.0,171,1,10.0,6,Y,1220:싱글몰트 위스키,5185537,111131000021,https://www.shilladfs.com/estore/kr/ko/p/5185537,B,스모키섬몰트:탈리스커
