순위,위스키명,브랜드,구매가능,재고,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,스타일분류,스타일근거,소분류,상품코드,SKU,상품URL
11,잭다니엘 아메리칸 싱글몰트 1000ml,잭다니엘,Y,6,55.2,80.0,31.0,183,0,77.4,0.0,70.4,45.4,"할인31%, 절감$25, 판매多",A,브랜드:잭다니엘,1220:싱글몰트 위스키,5316476,114931000047,https://www.shilladfs.com/estore/kr/ko/p/5316476
12,와일드터키 LONGBRANCH 1000ml,와일드터키,Y,6,30.74,58.0,47.0,134,2,78.1,0.0,66.4,45.1,"할인47%, 절감$27, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5173188,257231000001,https://www.shilladfs.com/estore/kr/ko/p/5173188
13,짐빔 화이트 1000ml,짐빔,Y,6,11.88,27.0,56.0,264,6,74.5,0.0,75.6,44.9,"할인56%, 절감$15, 판매多",A,브랜드:짐빔,1211:블렌디드 위스키,5070546,109831000008,https://www.shilladfs.com/estore/kr/ko/p/5070546
14,짐빔 바질 하이든 700ml,짐빔,Y,6,24.94,58.0,57.0,73,0,79.9,0.0,58.1,44.7,"할인57%, 절감$33",A,브랜드:짐빔,1211:블렌디드 위스키,5169530,109831000019,https://www.shilladfs.com/estore/kr/ko/p/5169530
15,"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스,Y,6,41.44,74.0,44.0,56,0,79.7,0.0,54.6,44.1,"할인44%, 절감$33",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5762840,258231000025,https://www.shilladfs.com/estore/kr/ko/p/5762840
16,사제락 라이 위스키 750ml,버팔로 트레이스,Y,6,21.62,46.0,53.0,89,0,77.3,0.0,60.7,43.9,"할인53%, 절감$24",A,브랜드:버팔로 트레이스; 키워드:라이 위스키,1211:블렌디드 위스키,5310162,258231000001,https://www.shilladfs.com/estore/kr/ko/p/5310162
17,짐빔 리젠트 버번 700ml,짐빔,Y,6,30.1,70.0,57.0,30,0,81.9,0.0,46.4,43.8,"할인57%, 절감$40",A,브랜드:짐빔; 키워드:버번,1211:블렌디드 위스키,5264871,109831000031,https://www.shilladfs.com/estore/kr/ko/p/5264871
18,잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,Y,6,20.58,42.0,51.0,103,0,76.4,0.0,62.7,43.8,"할인51%, 절감$21, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5334658,114931000048,https://www.shilladfs.com/estore/kr/ko/p/5334658
19,사가모어 Rye Whiskey 750ml,사가모어,Y,6,31.85,65.0,51.0,31,0,79.9,0.0,46.8,43.0,"할인51%, 절감$33",A,키워드:rye whiskey,1211:블렌디드 위스키,5285450,270431000001,https://www.shilladfs.com/estore/kr/ko/p/5285450
20,와일드터키101 라이 1000ml,와일드터키,Y,6,20.7,46.0,55.0,46,0,77.5,0.0,52.0,42.7,"할인55%, 절감$25",A,브랜드:와일드터키,1211:블렌디드 위스키,5690489,257231000009,https://www.shilladfs.com/estore/kr/ko/p/5690489
21,헤븐스도어 Straight Bourbon Whiskey 750ml,헤븐스도어,Y,6,26.4,60.0,56.0,16,0,80.0,0.0,38.2,41.7,"할인56%, 절감$34",A,키워드:bourbon,1211:블렌디드 위스키,5284791,270331000001,https://www.shilladfs.com/estore/kr/ko/p/5284791
22,켄터키아울 더 와이즈맨 스트라이트 버번 위스키 700ml,켄터키아울,Y,6,31.95,71.0,55.0,8,0,81.6,0.0,29.7,41.2,"할인55%, 절감$39",A,키워드:버번,1211:블렌디드 위스키,5249134,258131000006,https://www.shilladfs.com/estore/kr/ko/p/5249134
23,웰러 스페셜 리저브 375ml,버팔로 트레이스,Y,6,27.36,48.0,43.0,25,0,76.2,0.0,44.0,40.9,"할인43%, 절감$21",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5898263,258231000027,https://www.shilladfs.com/estore/kr/ko/p/5898263
24,윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,WILDERNESS TRAIL,Y,6,24.2,55.0,56.0,9,0,79.2,0.0,31.1,40.3,"할인56%, 절감$31",A,키워드:버번,1211:블렌디드 위스키,5690486,256731000009,https://www.shilladfs.com/estore/kr/ko/p/5690486
25,윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml,WILDERNESS TRAIL,Y,6,22.0,50.0,56.0,11,0,78.3,0.0,33.5,40.3,"할인56%, 절감$28",A,키워드:버번,1211:블렌디드 위스키,5690487,256731000010,https://www.shilladfs.com/estore/kr/ko/p/5690487
26,잭다니엘 Black Label Tin 1000ml,잭다니엘,Y,6,19.95,35.0,43.0,21,0,74.5,0.0,41.7,39.8,"할인43%, 절감$15",A,브랜드:잭다니엘,1211:블렌디드 위스키,5303971,114931000046,https://www.shilladfs.com/estore/kr/ko/p/5303971
27,짐빔 블랙 체커팩 1000ml,짐빔,Y,6,18.72,39.0,52.0,3,0,76.0,0.0,18.7,37.0,"할인52%, 절감$20",A,브랜드:짐빔,1211:블렌디드 위스키,5394250,109831000032,https://www.shilladfs.com/estore/kr/ko/p/5394250
28,메이커스마크 할리데이 에디션 1000ml,메이커스마크,Y,6,36.4,56.0,35.0,2,0,75.8,0.0,14.8,36.4,"할인35%, 절감$20",A,브랜드:메이커스마크,1211:블렌디드 위스키,5809826,109831000037,https://www.shilladfs.com/estore/kr/ko/p/5809826
29,페넬로페 프로젝트 X 메이플 브륄레 750ml,페닐로페,Y,6,71.2,89.0,20.0,57,0,52.0,0.0,54.8,31.6,"할인20%, 절감$18",A,브랜드:메이플,1220:싱글몰트 위스키,5916221,287531000014,https://www.shilladfs.com/estore/kr/ko/p/5916221
30,잭다니엘 싱글배럴 100프루프 700ml,잭다니엘,Y,6,64.6,68.0,5.0,482,0,12.7,24.0,83.4,27.8,"할인5%, 절감$3, 한정/특별, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5429236,114931000058,https://www.shilladfs.com/estore/kr/ko/p/5429236
31,와일드 터키 레어브리드 1000ml,와일드터키,Y,6,56.7,63.0,10.0,1341,4,25.2,0.0,97.3,25.9,"할인10%, 절감$6, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5331751,257231000004,https://www.shilladfs.com/estore/kr/ko/p/5331751
32,뉴리프 싱글배럴 버번 750ml,뉴리프,Y,6,83.6,88.0,5.0,51,0,13.0,24.0,53.3,23.4,"할인5%, 절감$4, 한정/특별",A,키워드:버번,1211:블렌디드 위스키,5917130,295531000004,https://www.shilladfs.com/estore/kr/ko/p/5917130
33,우드포드 리저브 더블 오크 1000ml,우드포드 리저브,Y,6,71.25,75.0,5.0,1639,8,12.8,0.0,100.0,20.8,"할인5%, 절감$4, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5088299,114931000024,https://www.shilladfs.com/estore/kr/ko/p/5088299
34,잭다니엘 젠틀맨 잭 200ml,잭다니엘,Y,6,13.5,15.0,10.0,74,0,23.8,0.0,58.3,19.4,"할인10%, 절감$2",A,브랜드:잭다니엘,1211:블렌디드 위스키,5088301,114931000030,https://www.shilladfs.com/estore/kr/ko/p/5088301
35,잭다니엘 시나트라 셀렉트 1000ml,잭다니엘,Y,5,161.5,170.0,5.0,137,1,14.2,6.7,66.6,19.0,"할인5%, 절감$8, 판매多",A,브랜드:잭다니엘,1211:Blended Whisky,5070944,114931000006,https://www.shilladfs.com/estore/kr/ko/p/5070944
36,우드포드 리저브 디스틸러 셀렉트 1000ml,우드포드 리저브,Y,6,47.5,50.0,5.0,583,1,12.4,0.0,86.0,18.5,"할인5%, 절감$2, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5070939,114931000004,https://www.shilladfs.com/estore/kr/ko/p/5070939
37,짐빔 블랙 1000ml,짐빔,Y,5,37.05,39.0,5.0,159,0,12.2,6.7,68.5,18.5,"할인5%, 절감$2, 판매多",A,브랜드:짐빔,1211:블렌디드 위스키,5070542,109831000003,https://www.shilladfs.com/estore/kr/ko/p/5070542
38,잭다니엘 Tennessee Apple 1000ml,잭다니엘,Y,6,33.25,35.0,5.0,533,15,12.2,0.0,85.2,18.3,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘; 키워드:tennessee,1211:블렌디드 위스키,5303578,114931000044,https://www.shilladfs.com/estore/kr/ko/p/5303578
39,메이커스 마크 1000ml,메이커스마크,Y,6,53.2,56.0,5.0,523,3,12.5,0.0,84.6,18.3,"할인5%, 절감$3, 판매多",A,브랜드:메이커스 마크,1211:블렌디드 위스키,5070543,109831000005,https://www.shilladfs.com/estore/kr/ko/p/5070543
40,메이커스 마크 케스크 스트랭스 700ml,메이커스마크,Y,6,83.6,88.0,5.0,424,0,13.0,0.0,81.7,18.1,"할인5%, 절감$4, 판매多",A,브랜드:메이커스 마크,1211:블렌디드 위스키,5125106,109831000025,https://www.shilladfs.com/estore/kr/ko/p/5125106
41,버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스,Y,6,28.5,30.0,5.0,472,1,12.1,0.0,83.2,17.9,"할인5%, 절감$2, 판매多",A,브랜드:버팔로 트레이스; 키워드:버번,1211:블렌디드 위스키,5310223,258231000003,https://www.shilladfs.com/estore/kr/ko/p/5310223
42,잭다니엘 허니 1000ml,잭다니엘,Y,6,33.25,35.0,5.0,315,4,12.2,0.0,77.9,17.2,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘,1211:Blended Whisky,3299108,114931000005,https://www.shilladfs.com/estore/kr/ko/p/3299108
43,메이커스 마크 101 1000ml,메이커스마크,Y,6,70.3,74.0,5.0,255,0,12.8,0.0,74.9,17.0,"할인5%, 절감$4, 판매多",A,브랜드:메이커스 마크,1211:블렌디드 위스키,5285854,109831000020,https://www.shilladfs.com/estore/kr/ko/p/5285854
44,짐빔 놉크릭 700ml,짐빔,Y,6,50.35,53.0,5.0,241,0,12.5,0.0,74.1,16.7,"할인5%, 절감$3, 판매多",A,브랜드:짐빔,1211:블렌디드 위스키,5166851,109831000017,https://www.shilladfs.com/estore/kr/ko/p/5166851
45,잭다니엘 FOB Set 250ml,잭다니엘,Y,6,32.3,34.0,5.0,181,0,12.2,0.0,70.3,16.0,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5657679,114931000066,https://www.shilladfs.com/estore/kr/ko/p/5657679
46,우드포드 리저브 Kentucky Derby 적마 에디션 1000ml,우드포드 리저브,Y,6,57.0,60.0,5.0,154,0,12.6,0.0,68.1,15.9,"할인5%, 절감$3, 판매多",A,브랜드:우드포드,1211:블렌디드 위스키,5070956,114931000012,https://www.shilladfs.com/estore/kr/ko/p/5070956
47,잭다니엘 젠틀맨 잭 1000ml,잭다니엘,Y,6,43.7,46.0,5.0,122,0,12.4,0.0,65.0,15.3,"할인5%, 절감$2, 판매多",A,브랜드:잭다니엘,1211:블렌디드 위스키,5070934,114931000002,https://www.shilladfs.com/estore/kr/ko/p/5070934
48,짐빔 베이커스 BBN 750ml,짐빔,Y,6,85.5,90.0,5.0,92,0,13.0,0.0,61.2,15.0,"할인5%, 절감$4",A,브랜드:짐빔,1211:블렌디드 위스키,5221867,109831000029,https://www.shilladfs.com/estore/kr/ko/p/5221867
49,우드포드 리저브 홀리데이 에디션 1L,우드포드 리저브,Y,6,57.0,60.0,5.0,90,1,12.6,0.0,61.0,14.8,"할인5%, 절감$3",A,브랜드:우드포드,1211:블렌디드 위스키,5429234,114931000056,https://www.shilladfs.com/estore/kr/ko/p/5429234
50,잭다니엘 테네시 허니 200ml,잭다니엘,Y,6,11.4,12.0,5.0,80,0,11.8,0.0,59.3,14.2,"할인5%, 절감$1",A,브랜드:잭다니엘; 키워드:테네시,1211:블렌디드 위스키,5088306,114931000031,https://www.shilladfs.com/estore/kr/ko/p/5088306
51,파이어볼 시나몬 위스키 1000ml,버팔로 트레이스,Y,6,19.95,21.0,5.0,59,2,12.0,0.0,55.7,13.7,"할인5%, 절감$1",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5302184,258231000006,https://www.shilladfs.com/estore/kr/ko/p/5302184
52,뉴리프 8년 버번 750ml,뉴리프,Y,6,98.0,98.0,0.0,125,1,0.0,9.6,65.4,13.6,"8년, 판매多",A,키워드:버번,1211:블렌디드 위스키,5917129,295531000003,https://www.shilladfs.com/estore/kr/ko/p/5917129
53,잭다니엘 본디드 1000ml,잭다니엘,Y,6,45.6,48.0,5.0,49,0,12.4,0.0,52.8,13.5,"할인5%, 절감$2",A,브랜드:잭다니엘,1211:블렌디드 위스키,5712650,114931000068,https://www.shilladfs.com/estore/kr/ko/p/5712650
54,뉴리프 바틀인본드 버번 750ml,뉴리프,Y,6,64.6,68.0,5.0,32,0,12.7,0.0,47.2,12.8,"할인5%, 절감$3",A,키워드:버번,1211:블렌디드 위스키,5916570,295531000001,https://www.shilladfs.com/estore/kr/ko/p/5916570
55,메이커스마크 셀러에이지드 2025 700ml,메이커스마크,Y,6,160.0,160.0,0.0,406,0,0.0,0.0,81.1,12.2,판매多,A,브랜드:메이커스마크,1211:블렌디드 위스키,5796325,109831000036,https://www.shilladfs.com/estore/kr/ko/p/5796325
56,잭다니엘 본디드 라이 1000ml,잭다니엘,Y,6,45.6,48.0,5.0,25,0,12.4,0.0,44.0,12.2,"할인5%, 절감$2",A,브랜드:잭다니엘,1211:블렌디드 위스키,5712651,114931000067,https://www.shilladfs.com/estore/kr/ko/p/5712651
57,잭다니엘 블랙 라벨 200ml,잭다니엘,Y,6,11.4,12.0,5.0,27,0,11.8,0.0,45.0,12.1,"할인5%, 절감$1",A,브랜드:잭다니엘,1211:블렌디드 위스키,5657680,114931000065,https://www.shilladfs.com/estore/kr/ko/p/5657680
58,켄터키아울 더 와이즈맨 라이 버번 위스키 700ml,켄터키아울,Y,6,67.45,71.0,5.0,19,0,12.7,0.0,40.4,11.8,"할인5%, 절감$4",A,키워드:버번,1211:블렌디드 위스키,5248877,258131000002,https://www.shilladfs.com/estore/kr/ko/p/5248877
59,헤븐스도어 Straight Rye Whiskey 750ml,헤븐스도어,Y,6,76.0,80.0,5.0,17,0,12.9,0.0,39.0,11.6,"할인5%, 절감$4",A,키워드:rye whiskey,1211:블렌디드 위스키,5284790,270331000003,https://www.shilladfs.com/estore/kr/ko/p/5284790
60,짐빔 블랙 7년 1000ml,짐빔,Y,6,37.05,39.0,5.0,1,0,12.2,8.4,9.4,10.3,"할인5%, 절감$2, 7년",A,브랜드:짐빔,1211:블렌디드 위스키,5833135,109831000038,https://www.shilladfs.com/estore/kr/ko/p/5833135
61,와일드터키 마스터스 킵 보야지 750ml,와일드터키,N,0,165.3,174.0,5.0,368,2,14.3,0.0,79.9,,"할인5%, 절감$9, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5605211,257231000008,https://www.shilladfs.com/estore/kr/ko/p/5605211
62,이에이치 테일러 스몰배치 750ml,버팔로 트레이스,N,0,79.8,84.0,5.0,642,1,12.9,24.0,87.3,,"할인5%, 절감$4, 한정/특별, 판매多",A,브랜드:버팔로 트레이스,1211:블렌디드 위스키,5399401,258231000007,https://www.shilladfs.com/estore/kr/ko/p/5399401
63,메이커스 마크 46 1000ml,메이커스마크,N,0,63.65,67.0,5.0,61,0,12.7,0.0,55.7,,"할인5%, 절감$3",A,브랜드:메이커스 마크,1220:싱글몰트 위스키,5592649,109831000035,https://www.shilladfs.com/estore/kr/ko/p/5592649
64,와일드터키 마스터스 킵 언포가튼 750ml,와일드터키,N,0,126.0,140.0,10.0,368,1,27.5,0.0,79.8,,"할인10%, 절감$14, 판매多",A,브랜드:와일드터키,1211:블렌디드 위스키,5605263,257231000007,https://www.shilladfs.com/estore/kr/ko/p/5605263
65,우드포드 리저브 Baccarat Edition 700ml,우드포드 리저브,N,0,1054.0,1700.0,38.0,22,0,100.0,0.0,42.3,,"할인38%, 절감$646",A,브랜드:우드포드,1211:블렌디드 위스키,5088307,114931000035,https://www.shilladfs.com/estore/kr/ko/p/5088307
66,켄터키아울 컨피스케이티드 버번 위스키 700ml,켄터키아울,N,0,148.2,156.0,5.0,196,0,14.0,0.0,71.3,,"할인5%, 절감$8, 판매多",A,키워드:버번,1211:블렌디드 위스키,5248878,258131000003,https://www.shilladfs.com/estore/kr/ko/p/5248878
