위스키명,브랜드,구매가능,가용사유,재고,라이브할인가,정상가,라이브할인율,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,피트분류,소분류,상품코드,SKU,상품URL
시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,Y,,6,145.0,290.0,50.0,59,1,72.4,25.2,57.7,51.3,"할인50%, 절감$145, 21년",A,1220:싱글몰트 위스키,5065826,110431000021,https://www.shilladfs.com/estore/kr/ko/p/5065826
시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,Y,,6,59.8,130.0,54.0,133,0,71.2,21.6,68.7,51.0,"할인54%, 절감$70, 18년, 판매多",A,1220:싱글몰트 위스키,5065829,110431000020,https://www.shilladfs.com/estore/kr/ko/p/5065829
암룻 PEATED CASK STRENGTH 700ml,암룻,Y,,6,52.44,114.0,54.0,88,0,71.0,24.0,63.0,51.0,"할인54%, 절감$62, 한정/특별",A,1220:싱글몰트 위스키,5337845,275031000005,https://www.shilladfs.com/estore/kr/ko/p/5337845
보모어 14년 700ml,보모어,Y,,6,47.6,68.0,30.0,143,0,70.3,16.8,69.7,48.8,"할인30%, 절감$20, 14년, 판매多",A,1220:싱글몰트 위스키,5524536,114231000052,https://www.shilladfs.com/estore/kr/ko/p/5524536
라프로익 12년 700ml,라프로익,Y,,6,42.0,70.0,40.0,39,0,70.5,14.4,51.7,45.2,"할인40%, 절감$28, 12년",A,1220:싱글몰트 위스키,5917035,114131000053,https://www.shilladfs.com/estore/kr/ko/p/5917035
라프로익 레거시 에디션 700ml,라프로익,Y,,6,62.78,146.0,57.0,310,1,71.4,0.0,80.5,44.2,"할인57%, 절감$83, 판매多",A,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827
탈리스커 다크 스톰 1000ml,탈리스커,Y,,6,57.15,127.0,55.0,198,1,71.2,0.0,74.3,43.2,"할인55%, 절감$70, 판매多",B,1220:싱글몰트 위스키,5070436,111131000001,https://www.shilladfs.com/estore/kr/ko/p/5070436
탈리스커 써지 700ml,탈리스커,Y,,6,51.66,123.0,58.0,171,1,71.2,0.0,72.3,42.9,"할인58%, 절감$71, 판매多",B,1220:싱글몰트 위스키,5185537,111131000021,https://www.shilladfs.com/estore/kr/ko/p/5185537
보모어 11년 700ml,보모어,Y,,6,38.5,55.0,30.0,13,0,70.3,13.2,37.0,42.5,"할인30%, 절감$16, 11년",A,1220:싱글몰트 위스키,5833044,114231000059,https://www.shilladfs.com/estore/kr/ko/p/5833044
폴 존 피티드 1000ml,폴 존,Y,,6,42.0,100.0,58.0,64,0,71.0,0.0,58.5,40.7,"할인58%, 절감$58",A,1220:싱글몰트 위스키,5311922,249031000023,https://www.shilladfs.com/estore/kr/ko/p/5311922
벤리악 Quarter Cask Peated 1000ml,벤리악,Y,,6,34.3,70.0,51.0,67,0,70.6,0.0,59.2,40.6,"할인51%, 절감$36",A,1220:싱글몰트 위스키,5303575,114931000041,https://www.shilladfs.com/estore/kr/ko/p/5303575
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,Y,,6,45.15,105.0,57.0,54,0,71.0,0.0,56.2,40.4,"할인57%, 절감$60",A,1211:블렌디드 위스키,5392882,273831000001,https://www.shilladfs.com/estore/kr/ko/p/5392882
PAUL JOHN PEATED 올로로소 700ml,폴 존,Y,,6,123.75,275.0,55.0,37,0,72.5,0.0,51.0,40.3,"할인55%, 절감$151",A,1220:싱글몰트 위스키,5461900,249031000057,https://www.shilladfs.com/estore/kr/ko/p/5461900
컴파스 박스 Peat Monster 700ml,컴파스 박스,Y,,6,32.34,77.0,58.0,37,0,70.7,0.0,51.0,39.5,"할인58%, 절감$45",A,1211:블렌디드 위스키,5229030,263731000002,https://www.shilladfs.com/estore/kr/ko/p/5229030
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,Y,,6,37.8,105.0,64.0,20,0,71.1,0.0,42.7,38.4,"할인64%, 절감$67",A,1220:싱글몰트 위스키,5248992,266731000003,https://www.shilladfs.com/estore/kr/ko/p/5248992
마츠이 피트 700ml,마츠이,Y,,6,52.25,95.0,45.0,20,0,70.7,0.0,42.7,38.2,"할인45%, 절감$43",A,1220:싱글몰트 위스키,5157351,254631000020,https://www.shilladfs.com/estore/kr/ko/p/5157351
엘리먼츠오브아일라 버번캐스크 700ml,엘리먼츠 오브 아일라,Y,,6,46.87,109.0,57.0,18,0,71.0,0.0,41.3,38.2,"할인57%, 절감$62",A,1211:블렌디드 위스키,5372478,276331000002,https://www.shilladfs.com/estore/kr/ko/p/5372478
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,Y,,6,33.54,78.0,57.0,17,0,70.7,0.0,40.5,37.9,"할인57%, 절감$44",A,1220:싱글몰트 위스키,5232740,263431000001,https://www.shilladfs.com/estore/kr/ko/p/5232740
엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,Y,,6,31.86,59.0,46.0,16,0,70.5,0.0,39.7,37.7,"할인46%, 절감$27",A,1211:블렌디드 위스키,5372476,276331000001,https://www.shilladfs.com/estore/kr/ko/p/5372476
아드벡 언 오 1000ml,아드벡,Y,,6,65.6,82.0,20.0,110,0,46.9,0.0,66.1,31.0,"할인20%, 절감$16, 판매多",A,1220:싱글몰트 위스키,5388184,108631000023,https://www.shilladfs.com/estore/kr/ko/p/5388184
로얄살루트 21년 Peated Blend 700ml,로얄살루트,Y,,6,190.0,200.0,5.0,487,3,11.8,25.2,86.9,28.4,"할인5%, 절감$10, 21년, 판매多",A,1211:블렌디드 위스키,5081231,110231000021,https://www.shilladfs.com/estore/kr/ko/p/5081231
브룩라디 옥토모어 15.1 700ml,브룩라디,Y,,6,167.0,167.0,0.0,741,2,0.0,24.0,92.7,23.5,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5611045,085131000102,https://www.shilladfs.com/estore/kr/ko/p/5611045
옥토모어 14.3 700ml,브룩라디,Y,,6,230.0,230.0,0.0,470,0,0.0,24.0,86.3,22.5,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5900471,085131000113,https://www.shilladfs.com/estore/kr/ko/p/5900471
탈리스커 10년 1L ,탈리스커,Y,,6,80.75,85.0,5.0,322,0,11.7,12.0,81.0,22.2,"할인5%, 절감$4, 10년, 판매多",B,1220:싱글몰트 위스키,5604485,111131000024,https://www.shilladfs.com/estore/kr/ko/p/5604485
옥토모어 16.1 700ml,브룩라디,Y,,6,167.0,167.0,0.0,347,0,0.0,24.0,82.1,21.9,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5900472,085131000115,https://www.shilladfs.com/estore/kr/ko/p/5900472
옥토모어 16.3 700ml,브룩라디,Y,,6,230.0,230.0,0.0,280,0,0.0,24.0,79.1,21.5,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5934209,085131000117,https://www.shilladfs.com/estore/kr/ko/p/5934209
옥토모어 14.2 700ml,브룩라디,Y,,6,190.0,190.0,0.0,184,1,0.0,24.0,73.3,20.6,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5900470,085131000112,https://www.shilladfs.com/estore/kr/ko/p/5900470
라프로익 PX Cask 1000ml,라프로익,Y,,6,114.0,120.0,5.0,1246,2,11.8,0.0,100.0,20.3,"할인5%, 절감$6, 판매多",A,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183
옥토모어 16.2 700ml,브룩라디,Y,,6,190.0,190.0,0.0,130,0,0.0,24.0,68.4,19.9,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5934208,085131000116,https://www.shilladfs.com/estore/kr/ko/p/5934208
더글라스랭 BIG PEAT 12년 700ml,더글라스랭,Y,,6,70.3,74.0,5.0,46,0,11.7,14.4,54.0,19.1,"할인5%, 절감$4, 12년",A,1220:싱글몰트 위스키,5228863,265431000001,https://www.shilladfs.com/estore/kr/ko/p/5228863
라프로익 포트우드 2023 700ml,라프로익,Y,,6,167.2,176.0,5.0,325,1,11.8,0.0,81.2,17.5,"할인5%, 절감$9, 판매多",A,1220:싱글몰트 위스키,5298064,114131000036,https://www.shilladfs.com/estore/kr/ko/p/5298064
엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,Y,,6,71.1,79.0,10.0,16,0,23.5,0.0,39.7,16.5,"할인10%, 절감$8",A,1211:블렌디드 위스키,5372477,276331000003,https://www.shilladfs.com/estore/kr/ko/p/5372477
턴테이블 스모킨 리프 700ml,턴테이블,Y,,6,84.6,94.0,10.0,8,0,23.5,0.0,30.8,15.2,"할인10%, 절감$9",A,1211:블렌디드 위스키,5408660,280431000002,https://www.shilladfs.com/estore/kr/ko/p/5408660
암룻 PEATED 700ml,암룻,Y,,6,75.05,79.0,5.0,26,0,11.7,0.0,46.2,12.2,"할인5%, 절감$4",A,1220:싱글몰트 위스키,5337847,275031000004,https://www.shilladfs.com/estore/kr/ko/p/5337847
고든앤맥패일 코노세어초이스 쿨일라 2006 17년 700ml,고든 앤 맥패일,N,재고 0(품절),0,216.0,270.0,20.0,51,0,47.6,44.4,55.4,,"할인20%, 절감$54, 17년, 한정/특별",A,1220:싱글몰트 위스키,5677236,115431000186,https://www.shilladfs.com/estore/kr/ko/p/5677236
고든앤맥패일 코노세어초이스 쿨일라 사시까이아 2010 12년 700ml,고든 앤 맥패일,N,재고 0(품절),0,194.75,205.0,5.0,111,0,11.8,38.4,66.2,,"할인5%, 절감$10, 12년, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5677233,115431000184,https://www.shilladfs.com/estore/kr/ko/p/5677233
라가불린 10년 700ml,라가불린,N,재고 0(품절),0,86.45,91.0,5.0,38,0,11.7,12.0,51.4,,"할인5%, 절감$5, 10년",A,1220:싱글몰트 위스키,5704238,111131000033,https://www.shilladfs.com/estore/kr/ko/p/5704238
라가불린 16년 700ml,라가불린,N,재고 0(품절),0,115.9,122.0,5.0,2022,3,11.8,19.2,100.0,,"할인5%, 절감$6, 16년, 판매多",A,1220:싱글몰트 위스키,5358630,111131000020,https://www.shilladfs.com/estore/kr/ko/p/5358630
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,N,재고 0(품절),0,626.4,1080.0,42.0,172,0,77.6,60.0,72.3,,"할인42%, 절감$454, 33년, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5513344,114131000040,https://www.shilladfs.com/estore/kr/ko/p/5513344
보모어 15년 골든앤엘레강트 1000ml,보모어,N,재고 0(품절),0,99.75,105.0,5.0,725,3,11.8,18.0,92.4,,"할인5%, 절감$5, 15년, 판매多",A,1220:싱글몰트 위스키,5166833,114231000013,https://www.shilladfs.com/estore/kr/ko/p/5166833
브룩라디 Port Charlotte 10년 1000ml,브룩라디,N,재고 0(품절),0,109.25,115.0,5.0,195,0,11.8,12.0,74.0,,"할인5%, 절감$6, 10년, 판매多",A,1220:싱글몰트 위스키,5208379,085131000069,https://www.shilladfs.com/estore/kr/ko/p/5208379
브룩라디 옥토모어 14.1 700ml,브룩라디,N,재고 0(품절),0,163.0,163.0,0.0,1889,6,0.0,24.0,100.0,,"한정/특별, 판매多",A,1220:싱글몰트 위스키,5310713,085131000076,https://www.shilladfs.com/estore/kr/ko/p/5310713
아드벡 10년 1000ml,아드벡,N,재고 0(품절),0,54.0,72.0,25.0,92,0,58.6,12.0,63.6,,"할인25%, 절감$18, 10년",A,1220:싱글몰트 위스키,5070389,108631000004,https://www.shilladfs.com/estore/kr/ko/p/5070389
아드벡 스모크트레일즈 배치3 1000ml,아드벡,N,재고 0(품절),0,71.25,95.0,25.0,42,0,58.7,0.0,52.8,,"할인25%, 절감$24",A,1220:싱글몰트 위스키,5867964,108631000065,https://www.shilladfs.com/estore/kr/ko/p/5867964
아드벡 우거다일 700ml,아드벡,N,재고 0(품절),0,68.25,91.0,25.0,294,0,58.7,24.0,79.8,,"할인25%, 절감$23, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5713333,108631000058,https://www.shilladfs.com/estore/kr/ko/p/5713333
아드벡 코리브레칸 700ml,아드벡,N,재고 0(품절),0,83.25,111.0,25.0,227,0,58.8,24.0,76.1,,"할인25%, 절감$28, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5786504,108631000057,https://www.shilladfs.com/estore/kr/ko/p/5786504
엘리먼츠오브아일라 쉐리캐스크 700ml,엘리먼츠 오브 아일라,N,재고 0(품절),0,107.1,119.0,10.0,40,0,23.5,0.0,52.1,,"할인10%, 절감$12",A,1211:블렌디드 위스키,5372479,276331000004,https://www.shilladfs.com/estore/kr/ko/p/5372479
