위스키명,브랜드,면세_정상가_USD,면세_할인가_USD,면세_할인율_%,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷_KRW,데일리샷_USD,데일리샷용량_ml,데일리샷_₩100ml,데일리샷매칭명,면세vs데샷_병당_KRW,면세vs데샷_병당_USD,면세vs데샷_병당_%,면세vs데샷_100ml_%,면세가_더쌈,구매가능,상품URL
아드벡 언 오 1000ml,아드벡,82.0,65.6,20.0,96257,1000,9626,121300,82.67,700,17329,아드벡 언 오,25043,17.07,20.6,44.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5388184
보모어 19년 700ml,보모어,204.0,112.2,45.0,164635,700,23519,295000,201.04,700,42143,보모어 19년 피노 누아 캐스크 피니시,130365,88.84,44.2,44.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5524533
브룩라디 Port Charlotte 10년 1000ml,브룩라디,115.0,69.0,40.0,101246,1000,10125,125000,85.19,700,17857,브룩라디 포트샬롯 10년,23754,16.19,19.0,43.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5208379
토마틴 12년 1000ml,토마틴,58.0,52.2,10.0,76595,1000,7660,94000,64.06,700,13429,토마틴 12년,17405,11.86,18.5,43.0,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5310054
글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지,99.0,74.25,25.0,108950,1000,10895,190000,129.49,1000,19000,글렌모렌지 트리뷰트 16년 1L,81050,55.24,42.7,42.7,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5843623
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,99.0,54.45,45.0,79896,700,11414,139000,94.73,700,19857,글렌피딕 15년 퍼페추얼 컬렉션 VAT 03,59104,40.28,42.5,42.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5105342
발렌타인 18년 GLENBURGIE 700ml,발렌타인,131.0,66.81,49.0,98033,700,14005,170000,115.86,700,24286,발렌타인 싱글몰트 글렌버기 18년,71967,49.05,42.3,42.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5524471
글렌피딕 18년 벳4 퍼페츄얼 IGL CNY 700ml,글렌피딕,145.0,79.75,45.0,117020,700,16717,202000,137.66,700,28857,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,84980,57.91,42.1,42.1,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5904120
로크로몬드 14년 Inchmoan 1000ml,로크 로몬드,82.0,73.8,10.0,108289,1000,10829,130000,88.6,700,18571,로크로몬드 14년,21711,14.8,16.7,41.7,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5267808
제임슨 블랙배럴 1000ml,제임슨,59.0,30.68,48.0,45018,1000,4502,54000,36.8,700,7714,제임슨 블랙 배럴,8982,6.12,16.6,41.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5661456
인드리 700ml,인드리,55.0,27.5,50.0,40352,700,5765,69000,47.02,700,9857,인드리 싱글몰트 위스키,28648,19.52,41.5,41.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5360892
발베니12년 골든캐스크 IGL 700ml,발베니,80.0,48.0,40.0,70432,700,10062,120000,81.78,700,17143,발베니 12년 골든 캐스크,49568,33.78,41.3,41.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5815472
부쉬밀 쉐리 캐스크 10년 1000ml,부쉬밀,70.0,31.5,55.0,46221,1000,4622,78000,53.16,1000,7800,부쉬밀 10년 셰리 피니시 1L,31779,21.66,40.7,40.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5200752
Balblair 15 Years Old 1000ml,발블레어,125.0,112.5,10.0,165075,1000,16508,195000,132.89,700,27857,발블레어 15년,29925,20.39,15.3,40.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5865409
글렌파클라스 15년 700ml,글렌파클라스,135.0,67.5,50.0,99045,700,14149,166300,113.33,700,23757,글렌파클라스 15년,67255,45.83,40.4,40.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5226623
발베니 12년 Golden Cask 700ml ,발베니,80.0,48.8,39.0,71606,700,10229,120000,81.78,700,17143,발베니 12년 골든 캐스크,48394,32.98,40.3,40.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5516907
더 글렌그란트 12년 1000ml,더 글렌그란트,78.0,35.1,55.0,51503,1000,5150,59900,40.82,700,8557,더 글렌그란트 12년,8397,5.72,14.0,39.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5224926
발베니 15년 마데이라 캐스크 빅토 응아이 에디션 700ml,발베니,164.0,103.32,37.0,151605,700,21658,249000,169.7,700,35571,발베니 15년 마데이라 캐스크,97395,66.38,39.1,39.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5966607
카발란 비노바리끄 솔리스트 1000ml,카발란,230.0,184.0,20.0,269990,1000,26999,309000,210.59,700,44143,카발란 솔리스트 비노 바리끄 싱글 캐스크 CS,39010,26.59,12.6,38.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5101582
발렌타인 15년 GLENBURGIE 700ml,발렌타인,81.0,39.69,51.0,58238,700,8320,95000,64.74,700,13571,발렌타인 싱글몰트 글렌버기 15년,36762,25.05,38.7,38.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5499394
짐빔 화이트 1000ml,짐빔,27.0,11.88,56.0,17432,1000,1743,19900,13.56,700,2843,짐빔 화이트 700ml,2468,1.68,12.4,38.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5070546
아드벡 10년 1000ml,아드벡,72.0,54.0,25.0,79236,1000,7924,90000,61.34,700,12857,아드벡 10년,10764,7.34,12.0,38.4,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5070389
카발란 클래식 1000ml,카발란,109.0,87.2,20.0,127952,1000,12795,142000,96.77,700,20286,카발란 클래식 싱글몰트,14048,9.57,9.9,36.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5101821
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,145.0,87.0,40.0,127658,700,18237,202000,137.66,700,28857,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,74342,50.66,36.8,36.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
글렌모렌지 인피니타 18년 700ml,글렌모렌지,120.0,90.0,25.0,132060,700,18866,208000,141.75,700,29714,글렌모렌지 디 인피니타 18년,75940,51.75,36.5,36.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5713332
아녹 12년 700ml,아녹,71.0,31.95,55.0,46881,700,6697,73500,50.09,700,10500,아녹 12년,26619,18.14,36.2,36.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5248782
글렌파클라스 105 1000ml,글렌파클라스,126.0,64.26,49.0,94291,1000,9429,145000,98.82,1000,14500,글렌파클라스 105 CS 1L,50709,34.56,35.0,35.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5226622
카발란 포트 솔리스트 1000ml,카발란,218.0,174.4,20.0,255903,1000,25590,275000,187.41,700,39286,카발란 솔리스트 포트 CS,19097,13.01,6.9,34.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5101642
하이랜드 파크 EAGLE 16년 700ml,하이랜드 파크,125.0,100.0,20.0,146733,700,20962,225000,153.34,700,32143,하이랜드 파크 16년 윙즈 오브 더 이글,78267,53.34,34.8,34.8,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5145173
글렌알라키 15년 (24RB) 700ml,글렌알라키,169.0,84.5,50.0,123990,700,17713,189000,128.81,700,27000,[바로픽업가능] 글렌알라키 15년,65010,44.3,34.4,34.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5463432
크라이겔라키 13년 1000ml,크라이겔라키,84.0,79.8,5.0,117093,1000,11709,125000,85.19,700,17857,크라이겔라키 13년,7907,5.39,6.3,34.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5560825
미클토어 오리지널 700ml,미클토어,92.0,41.4,55.0,60748,700,8678,91900,62.63,700,13129,미클토어 더 오리지널,31152,21.23,33.9,33.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5418558
글렌피딕 21년 700ml,글렌피딕,264.0,145.2,45.0,213057,700,30437,319000,217.4,700,45571,글렌피딕 21년 40%,105943,72.2,33.2,33.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
주라 21년 타임 700ml,주라,218.0,163.5,25.0,239909,700,34273,354000,241.25,700,50571,주라 21년 Tide & Time,114091,77.75,32.2,32.2,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5166847
달모어 시가 몰트 1000ml,달모어,183.0,173.85,5.0,255096,1000,25510,260000,177.19,700,37143,[지금바로 24시간 픽업가능] 달모어 시가 몰트 리저브,4904,3.34,1.9,31.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5070717
와일드터키 101 1000ml,와일드터키,48.0,24.96,48.0,36625,1000,3662,39800,27.12,750,5307,와일드 터키 101 750ml,3175,2.16,8.0,31.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5173368
화이트헤더 15년 700ml,화이트헤더,126.0,56.7,55.0,83198,700,11885,119900,81.71,700,17129,화이트 헤더 15년,36702,25.01,30.6,30.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5372580
몰트락 네버바운드 700ml,몰트락,120.0,114.0,5.0,167276,700,23897,240000,163.56,700,34286,몰트락 네버바운드,72724,49.56,30.3,30.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5845281
로얄살루트 21년 Peated Blend 700ml,로얄살루트,200.0,190.0,5.0,278794,700,39828,399000,271.92,700,57000,로얄살루트 21년 피티드 블렌드,120206,81.92,30.1,30.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5081231
조니워커 더블 블랙 1000ml,조니워커,67.0,32.16,52.0,47189,1000,4719,46900,31.96,700,6700,조니워커 더블 블랙 700ml,-289,-0.2,-0.6,29.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/3625938
발베니 21년 포트우드 700ml,발베니,360.0,288.0,20.0,422592,700,60370,599000,408.22,700,85571,발베니 포트우드 21년,176408,120.22,29.5,29.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
로크로몬드 12년 Perfectly Balanced 1000ml ,로크 로몬드,59.0,53.1,10.0,77915,1000,7792,76500,52.14,700,10929,로크로몬드 12년 700ml,-1415,-0.96,-1.8,28.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5267807
달모어 트리오 1000ml,달모어,105.0,99.75,5.0,146367,1000,14637,205000,139.71,1000,20500,달모어 트리오 1L,58633,39.96,28.6,28.6,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5125160
글렌파클라스 25년 700ml,글렌파클라스,378.0,219.24,42.0,321698,700,45957,450000,306.68,700,64286,글렌파클라스 25년,128302,87.44,28.5,28.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5226626
발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,210.0,199.5,5.0,292733,700,41819,409000,278.74,700,58429,발렌타인 23년,116267,79.24,28.4,28.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/4486823
아드벡 우거다일 700ml,아드벡,91.0,68.25,25.0,100146,700,14307,139000,94.73,700,19857,아드벡 우거다일,38854,26.48,28.0,28.0,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5713333
조니워커 블랙 루비 1000ml,조니워커,71.0,31.95,55.0,46881,1000,4688,44000,29.99,700,6286,조니워커 블랙 700ml,-2881,-1.96,-6.5,25.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5624247
우드포드 리저브 더블 오크 1000ml,우드포드 리저브,75.0,71.25,5.0,104548,1000,10455,98000,66.79,700,14000,우드포드 리저브 더블 오크드,-6548,-4.46,-6.7,25.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5088299
밀크앤허니 크리스마스에디션 트릿 700ml,밀크앤허니,119.0,48.79,59.0,71591,700,10227,95300,64.95,700,13614,밀크앤허니 크리스마스 에디션,23709,16.16,24.9,24.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5248990
글렌모렌지 12년 어코드 1000ml,글렌모렌지,77.0,57.75,25.0,84739,1000,8474,84000,57.25,750,11200,글렌모렌지 라산타 12년 750ml,-739,-0.5,-0.9,24.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5868420
올트모어 12년 1000ml,올트모어,104.0,78.0,25.0,114452,1000,11445,105000,71.56,700,15000,올트모어 12년,-9452,-6.44,-9.0,23.7,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5102008
로얄살루트 25년 700ml,로얄살루트,264.0,250.8,5.0,368007,700,52572,479000,326.44,700,68429,로얄살루트 25년,110993,75.64,23.2,23.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
부쉬밀 버번 캐스크 15년 700ml,부쉬밀,90.0,85.5,5.0,125457,700,17922,163000,111.09,700,23286,부쉬밀 15년,37543,25.59,23.0,23.0,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5200759
미클토어 친커핀 700ml,미클토어,91.0,47.32,48.0,69434,700,9919,89900,61.27,700,12843,미클토어 더 친커핀 원,20466,13.95,22.8,22.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5372472
더 글렌그란트 18년 1000ml,더 글렌그란트,192.0,172.8,10.0,253555,1000,25356,230000,156.75,700,32857,더 글렌그란트 18년,-23555,-16.05,-10.2,22.8,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5193075
잭다니엘 본디드 1000ml,잭다니엘,48.0,45.6,5.0,66910,1000,6691,59900,40.82,700,8557,잭 다니엘스 본디드,-7010,-4.78,-11.7,21.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5712650
밀크앤허니 엘리먼츠 피티드 캐스크 700ml,밀크앤허니,105.0,38.85,63.0,57006,700,8144,72900,49.68,700,10414,밀크앤허니 엘리먼츠 피티드 싱글몰트 위스키,15894,10.83,21.8,21.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5248992
부나하벤 크루아모나 1000ml,부나하벤,96.0,86.4,10.0,126778,1000,12678,159000,108.36,1000,15900,부나하벤 크루아모나 1L,32222,21.96,20.3,20.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5229281
글렌드로낙 10년 1000ml,글렌드로낙,80.0,76.0,5.0,111517,1000,11152,139000,94.73,1000,13900,더 글렌드로낙 10년 포그 1L,27483,18.73,19.8,19.8,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5088303
더 글렌그란트 18년 700ml,더 글렌그란트,142.0,127.8,10.0,187525,700,26789,230000,156.75,700,32857,더 글렌그란트 18년,42475,28.95,18.5,18.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5817221
카미키 사쿠라 750ml,카미키,119.0,95.2,20.0,139690,750,18625,160000,109.04,700,22857,카미키 사쿠라,20310,13.84,12.7,18.5,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5157329
오켄토션 18년 700ml,오켄토션,105.0,94.5,10.0,138663,700,19809,169900,115.79,700,24271,오켄토션 18년,31237,21.29,18.4,18.4,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5489104
글렌모레이 15년 1000ml,글렌모레이,92.0,87.4,5.0,128245,1000,12824,110000,74.97,700,15714,글렌 모레이 15년,-18245,-12.43,-16.6,18.4,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5311847
퍼컬렌 21년 700ml,퍼컬렌,265.0,251.75,5.0,369401,700,52772,450000,306.68,700,64286,퍼컬렌 21년 싱글몰트,80599,54.93,17.9,17.9,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5304440
발베니 12년 몬틸라 700ml,발베니,88.0,57.2,35.0,83932,700,11990,102000,69.51,700,14571,발베니 더블우드 12년,18068,12.31,17.7,17.7,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5798333
달모어 15년 1000ml,달모어,184.0,174.8,5.0,256490,1000,25649,218000,148.57,700,31143,달모어 15년,-38490,-26.23,-17.7,17.6,Y,N,https://www.shilladfs.com/estore/kr/ko/p/3331485
와일드 터키 레어브리드 1000ml,와일드터키,63.0,56.7,10.0,83198,1000,8320,69900,47.64,700,9986,와일드 터키 레어브리드,-13298,-9.06,-19.0,16.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5331751
글렌모렌지 시그넷 700ml,글렌모렌지,198.0,178.2,10.0,261479,700,37354,309000,210.59,700,44143,글렌모렌지 시그넷,47521,32.39,15.4,15.4,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5843621
짐빔 블랙 1000ml,짐빔,39.0,37.05,5.0,54365,1000,5436,45000,30.67,700,6429,짐빔 블랙,-9365,-6.38,-20.8,15.4,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5070542
더 글렌리벳 21년 700ml,글렌리벳,262.0,248.9,5.0,365220,700,52174,430000,293.05,700,61429,더 글렌리벳 21년,64780,44.15,15.1,15.1,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5948827
글렌모렌지 14년 엘레멘타 1000ml,글렌모렌지,90.0,67.5,25.0,99045,1000,9904,115000,78.37,1000,11500,글렌모렌지 엘리멘타 14년 1L,15955,10.87,13.9,13.9,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5843622
토마틴 21년 700ml,토마틴,238.0,214.2,10.0,314303,700,44900,365000,248.75,700,52143,토마틴 21년,50697,34.55,13.9,13.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5310055
밀크앤허니 엘리먼츠 레드와인 캐스크 700ml,밀크앤허니,105.0,43.05,59.0,63169,700,9024,72900,49.68,700,10414,밀크앤허니 엘리먼츠 레드 와인 캐스크 싱글몰트 위스키,9731,6.63,13.3,13.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5248989
달모어 18년 2024년 에디션 700ml,달모어,350.0,332.5,5.0,487889,700,69698,559000,380.96,700,79857,달모어 18년,71111,48.46,12.7,12.7,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5358024
듀어스 DEWARS 18년 1000ml,듀어스,106.0,100.7,5.0,147761,1000,14776,118000,80.42,700,16857,듀어스 18년,-29761,-20.28,-25.2,12.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5268156
듀어스 18년 1000ml,듀어스,106.0,100.7,5.0,147761,1000,14776,118000,80.42,700,16857,듀어스 18년,-29761,-20.28,-25.2,12.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5070787
발렌타인 23년 GLENTAUCHERS 700ml,발렌타인,262.0,248.9,5.0,365220,700,52174,409000,278.74,700,58429,발렌타인 23년,43780,29.84,10.7,10.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5068900
글렌피딕 XX 700ml,글렌피딕,92.0,50.6,45.0,74247,700,10607,83000,56.57,700,11857,글렌피딕 몰트 마스터스 에디션,8753,5.97,10.5,10.5,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5437409
글렌피딕 XX 700ml ,글렌피딕,92.0,50.6,45.0,74247,700,10607,83000,56.57,700,11857,글렌피딕 몰트 마스터스 에디션,8753,5.97,10.5,10.5,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5544313
잭다니엘 허니 1000ml,잭다니엘,35.0,33.25,5.0,48789,1000,4879,38000,25.9,700,5429,잭 다니엘스 허니,-10789,-7.35,-28.4,10.1,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/3299108
잭다니엘 젠틀맨 잭 1000ml,잭다니엘,46.0,43.7,5.0,64123,1000,6412,49000,33.39,700,7000,잭 다니엘스 젠틀맨 잭,-15123,-10.31,-30.9,8.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5070934
듀어스 15년 (New Edition) 1000ml ,듀어스,64.0,60.8,5.0,89214,1000,8921,68000,46.34,700,9714,듀어스 15년,-21214,-14.46,-31.2,8.2,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5575518
글렌알라키 9년 도우로밸리 700ml,글렌알라키,108.0,97.2,10.0,142625,700,20375,152000,103.59,700,21714,글렌알라키 9년 도우로 밸리 와인 피니시,9375,6.39,6.2,6.2,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5330414
메이커스 마크 101 1000ml,메이커스마크,74.0,70.3,5.0,103154,1000,10315,109000,74.28,1000,10900,메이커스 마크 101 1L,5846,3.98,5.4,5.4,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5285854
듀어스 25년 750ml,듀어스,357.0,303.45,15.0,445263,750,59368,439000,299.18,700,62714,듀어스 25년 더 시그니처,-6263,-4.27,-1.4,5.3,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5268253
사가모어 Rye Whiskey 750ml,사가모어,65.0,30.55,53.0,44827,750,5977,44000,29.99,700,6286,사가모어 스피릿 시그니처 라이 700ml,-827,-0.56,-1.9,4.9,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5285450
화이트헤더 21년 700ml,화이트헤더,278.0,222.4,20.0,326335,700,46619,342700,233.55,700,48957,화이트 헤더 21년,16365,11.15,4.8,4.8,Y,N,https://www.shilladfs.com/estore/kr/ko/p/5372581
카미키 오리지널 500ml,카미키,80.0,64.0,20.0,93909,500,18782,138000,94.05,700,19714,카미키 오리지널,44091,30.05,31.9,4.7,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5157330
퍼컬렌 18년 700ml,퍼컬렌,157.0,109.9,30.0,161260,700,23037,169000,115.17,700,24143,퍼컬렌 18년 싱글몰트,7740,5.27,4.6,4.6,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5304448
잭다니엘 싱글배럴 100프루프 700ml,잭다니엘,68.0,64.6,5.0,94790,700,13541,99000,67.47,700,14143,잭 다니엘스 싱글배럴 100 프루프,4210,2.87,4.3,4.3,Y,Y,https://www.shilladfs.com/estore/kr/ko/p/5429236
시바스리갈 12년 1000ml,시바스리갈,48.0,45.6,5.0,66910,1000,6691,49900,34.01,750,6653,시바스 리갈 12년 750ml,-17010,-11.59,-34.1,-0.6,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5070399
달모어 12년 1000ml,달모어,117.0,111.15,5.0,163094,1000,16309,113000,77.01,700,16143,달모어 12년,-50094,-34.14,-44.3,-1.0,N,N,https://www.shilladfs.com/estore/kr/ko/p/3612922
카발란 피노 솔리스트 1000ml,카발란,380.0,304.0,20.0,446070,1000,44607,309000,210.59,700,44143,카발란 솔리스트 비노 바리끄 싱글 캐스크 CS,-137070,-93.41,-44.4,-1.1,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5101823
발렌타인 10년 1000ml,발렌타인,44.0,41.8,5.0,61335,1000,6134,42000,28.62,700,6000,발렌타인 10년 700ml,-19335,-13.18,-46.0,-2.2,N,Y,https://www.shilladfs.com/estore/kr/ko/p/5269996
