canonical_id,위스키,신라상품명,면세_USD,면세용량_ml,면세_KRW,면세_₩100ml,면세_USD_per100ml,국내용량_ml,국내최저_KRW,국내최저_USD,국내현재_KRW,국내현재_USD,국내_₩100ml,국내_USD_per100ml,절약_USD,국내채널,매력도_%,면세할인율_%,상품URL
w013,글렌그란트 12년,더 글렌그란트 12년 1000ml,35.1,1000,51503,5150,3.51,700,54900,37.41,54900,37.41,7843,5.34,2.32,데일리샷·롯데마트·트레이더스,34.3,55.0,https://www.shilladfs.com/estore/kr/ko/p/5224926
w029,글렌글라사 샌드엔드,글렌글라사 샌드엔드 700ml,35.910000000000004,700,52692,7527,5.13,700,79800,54.38,79800,54.38,11400,7.77,18.47,트레이더스,34.0,5.0,https://www.shilladfs.com/estore/kr/ko/p/5534637
w055,듀어스 12년,듀어스 12년 1000ml,26.676000000000002,1000,39143,3914,2.67,700,39900,27.19,39900,27.19,5700,3.88,0.52,데일리샷·롯데마트·이마트·트레이더스,31.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070785
w014,글렌그란트 15년,더 글렌그란트 15년 1000ml,61.44,1000,90153,9015,6.14,700,89400,60.93,94000,64.06,12771,8.7,-0.51,데일리샷·롯데마트·이마트·트레이더스,29.4,52.0,https://www.shilladfs.com/estore/kr/ko/p/5173493
w041,몽키숄더,몽키숄더 1000ml,30.0,1000,44020,4402,3.0,700,42900,29.24,42900,29.24,6129,4.18,-0.76,데일리샷·롯데마트·코스트코·트레이더스,28.2,40.0,https://www.shilladfs.com/estore/kr/ko/p/2011674
w052,조니워커 블랙 루비,조니워커 블랙 루비 1000ml,31.95,1000,46881,4688,3.19,700,45000,30.67,45000,30.67,6429,4.38,-1.28,데일리샷·롯데마트·이마트·트레이더스,27.1,55.0,https://www.shilladfs.com/estore/kr/ko/p/5624247
w051,조니워커 더블블랙,조니워커 더블 블랙 1000ml,32.16,1000,47189,4719,3.22,700,44000,29.99,44000,29.99,6286,4.28,-2.17,데일리샷·트레이더스,24.9,52.0,https://www.shilladfs.com/estore/kr/ko/p/3625938
w071,메이커스 마크,메이커스 마크 1000ml,28.196,1000,41373,4137,2.82,700,36990,25.21,36990,25.21,5284,3.6,-2.99,롯데마트·코스트코·트레이더스,21.7,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070543
w032,탈리스커 10년,탈리스커 10년 1L ,48.449999999999996,1000,71092,7109,4.84,700,62900,42.87,62900,42.87,8986,6.12,-5.58,데일리샷·롯데마트·트레이더스,20.9,5.0,https://www.shilladfs.com/estore/kr/ko/p/5604485
w011,아벨라워 아부나흐,아벨라워 아부나흐 700ml,80.5,700,118120,16874,11.5,700,148000,100.86,148000,100.86,21143,14.41,20.36,데일리샷·트레이더스,20.2,30.0,https://www.shilladfs.com/estore/kr/ko/p/5887242
w054,페이머스 그라우스,페이머스 그라우스 1000ml,15.75,1000,23111,2311,1.57,700,19800,13.49,34980,23.84,2829,1.93,-2.26,롯데마트·트레이더스,18.3,37.0,https://www.shilladfs.com/estore/kr/ko/p/5957381
w093,글렌파클라스 15년,글렌파클라스 15년 700ml,67.5,700,99045,14149,9.64,700,119400,81.37,137000,93.37,17057,11.62,13.87,데일리샷·트레이더스,17.0,50.0,https://www.shilladfs.com/estore/kr/ko/p/5226623
w048,시바스 리갈 12년,시바스리갈 12년 1000ml,33.6072,1000,49313,4931,3.36,700,39500,26.92,39500,26.92,5643,3.85,-6.69,데일리샷·코스트코,12.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070399
w001,글렌리벳 12년,더 글렌리벳 12년 1000ml,52.51125,1000,77052,7705,5.25,700,57000,38.85,57000,38.85,8143,5.55,-13.67,데일리샷·트레이더스,5.4,5.0,https://www.shilladfs.com/estore/kr/ko/p/5615979
w047,발렌타인 21년,발렌타인 21년 500ml,84.71815,500,124310,24862,16.94,700,173000,117.9,173000,117.9,24714,16.84,33.18,데일리샷·롯데마트·코스트코·트레이더스,-0.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5900540
w059,로얄 살루트 21년,로얄살루트 21년 700ml,123.22639999999998,700,180814,25831,17.6,700,179800,122.54,185000,126.08,25686,17.51,-0.69,데일리샷·마트·트레이더스,-0.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5081230
w053,조니워커 블루라벨,조니워커 블루라벨 500ml,103.35999999999999,500,151664,30333,20.67,700,209800,142.98,650000,442.98,29971,20.43,39.62,데일리샷·롯데마트·이마트·코스트코·트레이더스,-1.2,5.0,https://www.shilladfs.com/estore/kr/ko/p/5878261
w090,발렌타인 17년,발렌타인 17년 RESTAGE 700ml,65.8141,700,96571,13796,9.4,700,95000,64.74,95000,64.74,13571,9.25,-1.07,데일리샷·롯데마트·코스트코·트레이더스,-1.7,5.0,https://www.shilladfs.com/estore/kr/ko/p/5068792
w027,에버펠디 16년,에버펠디 16년 1000ml,80.99700000000001,1000,118850,11885,8.1,700,75800,51.66,75800,51.66,10829,7.38,-29.34,트레이더스,-9.8,5.0,https://www.shilladfs.com/estore/kr/ko/p/5102010
w023,달모어 12년,달모어 12년 1000ml,111.15,1000,163094,16309,11.12,700,99000,67.47,99000,67.47,14143,9.64,-43.68,데일리샷·트레이더스,-15.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/3612922
w061,제임슨,제임슨 블랙배럴 1000ml,30.5266,1000,44793,4479,3.05,700,26690,18.19,27980,19.07,3813,2.6,-12.34,롯데마트·코스트코·트레이더스,-17.5,48.0,https://www.shilladfs.com/estore/kr/ko/p/5661456
w044,발렌타인 10년,발렌타인 10년 1000ml,30.806599999999996,1000,45204,4520,3.08,700,25800,17.58,34800,23.72,3686,2.51,-13.22,데일리샷·롯데마트·트레이더스,-22.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5269996
w123,라벨 5,조니워커 블루라벨 500ml,103.35999999999999,500,151664,30333,20.67,700,25800,17.58,25800,17.58,3686,2.51,-85.78,롯데마트,-723.0,5.0,https://www.shilladfs.com/estore/kr/ko/p/5878261
