순위,위스키명,브랜드,구매가능,가용사유,재고,라이브할인가,정상가,라이브할인율,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,피트분류,소분류,상품코드,SKU,상품URL
11,시크릿 스페이사이드 Caperdonich 21년 Peated 700ml,글렌리벳,Y,,6,145.0,290.0,50.0,59,1,72.4,25.2,57.7,51.3,"할인50%, 절감$145, 21년",A,1220:싱글몰트 위스키,5065826,110431000021,https://www.shilladfs.com/estore/kr/ko/p/5065826
12,시크릿 스페이사이드 Caperdonich 18년 Peated 700ml,글렌리벳,Y,,6,59.8,130.0,54.0,133,0,71.2,21.6,68.7,51.0,"할인54%, 절감$70, 18년, 판매多",A,1220:싱글몰트 위스키,5065829,110431000020,https://www.shilladfs.com/estore/kr/ko/p/5065829
13,암룻 PEATED CASK STRENGTH 700ml,암룻,Y,,6,52.44,114.0,54.0,88,0,71.0,24.0,63.0,51.0,"할인54%, 절감$62, 한정/특별",A,1220:싱글몰트 위스키,5337845,275031000005,https://www.shilladfs.com/estore/kr/ko/p/5337845
14,보모어 14년 700ml,보모어,Y,,6,47.6,68.0,30.0,143,0,70.3,16.8,69.7,48.8,"할인30%, 절감$20, 14년, 판매多",A,1220:싱글몰트 위스키,5524536,114231000052,https://www.shilladfs.com/estore/kr/ko/p/5524536
15,라프로익 12년 700ml,라프로익,Y,,6,42.0,70.0,40.0,39,0,70.5,14.4,51.7,45.2,"할인40%, 절감$28, 12년",A,1220:싱글몰트 위스키,5917035,114131000053,https://www.shilladfs.com/estore/kr/ko/p/5917035
16,라프로익 레거시 에디션 700ml,라프로익,Y,,6,62.78,146.0,57.0,310,1,71.4,0.0,80.5,44.2,"할인57%, 절감$83, 판매多",A,1220:싱글몰트 위스키,3612827,114131000014,https://www.shilladfs.com/estore/kr/ko/p/3612827
17,탈리스커 다크 스톰 1000ml,탈리스커,Y,,6,57.15,127.0,55.0,198,1,71.2,0.0,74.3,43.2,"할인55%, 절감$70, 판매多",B,1220:싱글몰트 위스키,5070436,111131000001,https://www.shilladfs.com/estore/kr/ko/p/5070436
18,탈리스커 써지 700ml,탈리스커,Y,,6,51.66,123.0,58.0,171,1,71.2,0.0,72.3,42.9,"할인58%, 절감$71, 판매多",B,1220:싱글몰트 위스키,5185537,111131000021,https://www.shilladfs.com/estore/kr/ko/p/5185537
19,보모어 11년 700ml,보모어,Y,,6,38.5,55.0,30.0,13,0,70.3,13.2,37.0,42.5,"할인30%, 절감$16, 11년",A,1220:싱글몰트 위스키,5833044,114231000059,https://www.shilladfs.com/estore/kr/ko/p/5833044
20,폴 존 피티드 1000ml,폴 존,Y,,6,42.0,100.0,58.0,64,0,71.0,0.0,58.5,40.7,"할인58%, 절감$58",A,1220:싱글몰트 위스키,5311922,249031000023,https://www.shilladfs.com/estore/kr/ko/p/5311922
