순위,위스키명,브랜드,구매가능,가용사유,재고,라이브할인가,정상가,라이브할인율,누적판매,리뷰수,가격메리트,희소성,수요,매력도,매력근거,피트분류,소분류,상품코드,SKU,상품URL
13,더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,Y,,6,35.1,78.0,55.0,17,0,70.7,0.0,40.6,37.9,"할인55%, 절감$43",A,1220:싱글몰트 위스키,5232740,263431000001,https://www.shilladfs.com/estore/kr/ko/p/5232740
14,엘리먼츠오브아일라 아이러브아일라 500ml,엘리먼츠 오브 아일라,Y,,6,33.63,59.0,43.0,16,0,70.4,0.0,39.8,37.7,"할인43%, 절감$25",A,1211:블렌디드 위스키,5372476,276331000001,https://www.shilladfs.com/estore/kr/ko/p/5372476
15,아드벡 언 오 1000ml,아드벡,Y,,6,65.6,82.0,20.0,109,0,46.9,0.0,66.0,31.0,"할인20%, 절감$16, 판매多",A,1220:싱글몰트 위스키,5388184,108631000023,https://www.shilladfs.com/estore/kr/ko/p/5388184
16,마츠이 피트 700ml,마츠이,Y,,6,76.0,95.0,20.0,19,0,47.0,0.0,42.0,27.4,"할인20%, 절감$19",A,1220:싱글몰트 위스키,5157351,254631000020,https://www.shilladfs.com/estore/kr/ko/p/5157351
17,라프로익 포오크 2023 1000ml,라프로익,Y,,6,77.9,82.0,5.0,113,1,11.7,24.0,66.6,24.9,"할인5%, 절감$4, 한정/특별, 판매多",A,1220:싱글몰트 위스키,5368246,114131000037,https://www.shilladfs.com/estore/kr/ko/p/5368246
18,탈리스커 10년 1L ,탈리스커,Y,,6,80.75,85.0,5.0,323,0,11.7,12.0,81.1,22.3,"할인5%, 절감$4, 10년, 판매多",B,1220:싱글몰트 위스키,5604485,111131000024,https://www.shilladfs.com/estore/kr/ko/p/5604485
19,쿨일라 12년 750ml,쿨일라,Y,,6,97.85,103.0,5.0,112,0,11.8,14.4,66.4,21.0,"할인5%, 절감$5, 12년, 판매多",A,1220:싱글몰트 위스키,5082284,111131000010,https://www.shilladfs.com/estore/kr/ko/p/5082284
20,더글라스랭 BIG PEAT 12년 700ml,더글라스랭,Y,,6,70.3,74.0,5.0,46,0,11.7,14.4,54.0,19.1,"할인5%, 절감$4, 12년",A,1220:싱글몰트 위스키,5228863,265431000001,https://www.shilladfs.com/estore/kr/ko/p/5228863
21,엘리먼츠오브아일라 캐스크에디션 700ml,엘리먼츠 오브 아일라,Y,,6,71.1,79.0,10.0,15,0,23.5,0.0,38.9,16.4,"할인10%, 절감$8",A,1211:블렌디드 위스키,5372477,276331000003,https://www.shilladfs.com/estore/kr/ko/p/5372477
22,턴테이블 스모킨 리프 700ml,턴테이블,Y,,6,84.6,94.0,10.0,8,0,23.5,0.0,30.8,15.2,"할인10%, 절감$9",A,1211:블렌디드 위스키,5408660,280431000002,https://www.shilladfs.com/estore/kr/ko/p/5408660
23,벤리악 Quarter Cask Peated 1000ml,벤리악,Y,,6,66.5,70.0,5.0,65,0,11.7,0.0,58.8,14.1,"할인5%, 절감$4",A,1220:싱글몰트 위스키,5303575,114931000041,https://www.shilladfs.com/estore/kr/ko/p/5303575
24,암룻 PEATED 700ml,암룻,Y,,6,75.05,79.0,5.0,25,0,11.7,0.0,45.7,12.1,"할인5%, 절감$4",A,1220:싱글몰트 위스키,5337847,275031000004,https://www.shilladfs.com/estore/kr/ko/p/5337847
