canonical_id,위스키,신라상품명,면세_USD,면세용량_ml,면세_KRW,면세_₩100ml,국내용량_ml,국내최저_KRW,국내현재_KRW,국내_₩100ml,국내채널,매력도_%,면세할인율_%,상품URL
w052,조니워커 블랙 루비,조니워커 블랙 루비 1000ml,34.08,1000,51353,5135,700,44800,45000,6400,데일리샷·롯데마트·트레이더스,19.8,52.0,https://www.shilladfs.com/estore/kr/ko/p/5624247
w072,우드포드 리저브,우드포드 리저브 디스틸러 셀렉트 1000ml,47.5,1000,71574,7157,700,58000,58000,8286,데일리샷·롯데마트·코스트코,13.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070939
w023,달모어 12년,달모어 12년 1000ml,81.9,1000,123409,12341,700,99800,113000,14257,데일리샷·코스트코·트레이더스,13.4,30.0,https://www.shilladfs.com/estore/kr/ko/p/3612922
w057,듀어스 18년,듀어스 18년 1000ml,100.7,1000,151738,15174,700,99800,129000,14257,데일리샷·코스트코·트레이더스,-6.4,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070787
w069,버팔로 트레이스,버팔로 트레이스 버번 위스키 1000ml,28.5,1000,42945,4294,700,25598,25598,3657,데일리샷·롯데마트·트레이더스,-17.4,5.0,https://www.shilladfs.com/estore/kr/ko/p/5310223
w026,로얄 브라클라 12년,로얄브라클라 12년 1000ml,92.15,1000,138854,13885,700,80334,80334,11476,데일리샷·롯데마트·코스트코·트레이더스,-21.0,5.0,https://www.shilladfs.com/estore/kr/ko/p/5472423
w030,글렌글라사 포트소이,글렌글라사 포트소이 700ml,73.15,700,110224,15746,700,89800,89800,12829,트레이더스,-22.7,5.0,https://www.shilladfs.com/estore/kr/ko/p/5534639
w029,글렌글라사 샌드엔드,글렌글라사 샌드엔드 700ml,66.5,700,100204,14315,700,79800,79800,11400,트레이더스,-25.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5534637
w032,탈리스커 10년,탈리스커 10년 1L ,80.75,1000,121676,12168,700,67800,69000,9686,데일리샷·롯데마트·트레이더스,-25.6,5.0,https://www.shilladfs.com/estore/kr/ko/p/5604485
w047,발렌타인 21년,발렌타인 21년 500ml,114.95,500,173210,34642,700,179190,179190,25599,데일리샷·롯데마트·코스트코·트레이더스,-35.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/5900540
w059,로얄 살루트 21년,로얄살루트 21년 700ml,167.2,700,251942,35992,700,179800,185514,25686,데일리샷·트레이더스,-40.1,5.0,https://www.shilladfs.com/estore/kr/ko/p/5081230
w055,듀어스 12년,듀어스 12년 1000ml,49.4,1000,74437,7444,700,34980,38800,4997,데일리샷·롯데마트·이마트·트레이더스,-49.0,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070785
w071,메이커스 마크,메이커스 마크 1000ml,53.2,1000,80163,8016,700,35000,35000,5000,데일리샷·롯데마트,-60.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/5070543
w053,조니워커 블루라벨,조니워커 블루라벨 500ml,152.0,500,229038,45808,700,189800,318326,27114,데일리샷·롯데마트·코스트코·트레이더스,-68.9,5.0,https://www.shilladfs.com/estore/kr/ko/p/5878261
w044,발렌타인 10년,발렌타인 10년 1000ml,41.8,1000,62985,6298,700,25800,34000,3686,데일리샷·롯데마트·트레이더스,-70.9,5.0,https://www.shilladfs.com/estore/kr/ko/p/5269996
w027,에버펠디 16년,에버펠디 16년 1000ml,139.65,1000,210429,21043,700,75800,94112,10829,데일리샷·트레이더스,-94.3,5.0,https://www.shilladfs.com/estore/kr/ko/p/5102010
