위스키명,브랜드,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
글렌알라키 15년 (24RB) 700ml,글렌알라키,81.12,169.0,52.0,2104,6,9.66666667,6,Y,1220:싱글몰트 위스키,5463432,265631000010,https://www.shilladfs.com/estore/kr/ko/p/5463432
시크릿 스페이사이드 Glen Keith 21년 700ml,글렌리벳,82.8,180.0,54.0,292,2,7.0,0,N,1220:싱글몰트 위스키,5065828,110431000024,https://www.shilladfs.com/estore/kr/ko/p/5065828
클라세 아줄 테킬라 레포사도 750ml,클라세 아줄,208.05,219.0,5.0,697,5,10.0,6,Y,1226:스피릿,5502892,282931000002,https://www.shilladfs.com/estore/kr/ko/p/5502892
듀어스 DEWARS 18년 1000ml,듀어스,100.7,106.0,5.0,1143,7,9.42857143,6,Y,1211:블렌디드 위스키,5268156,113531000057,https://www.shilladfs.com/estore/kr/ko/p/5268156
글렌피딕 21년 700ml,글렌피딕,139.92,264.0,47.0,1711,6,10.0,6,Y,1220:Single Malt Whisky,275686,082331000013,https://www.shilladfs.com/estore/kr/ko/p/275686
글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,285.2,460.0,38.0,381,1,8.0,6,Y,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,78.3,145.0,46.0,3688,13,9.23076923,6,Y,1220:싱글몰트 위스키,5105341,082331000042,https://www.shilladfs.com/estore/kr/ko/p/5105341
발베니 25년 Rare Marrige 700ml ,발베니,598.8,998.0,40.0,441,4,10.0,4,Y,1220:싱글몰트 위스키,5188632,112231000031,https://www.shilladfs.com/estore/kr/ko/p/5188632
더 글렌그란트 18년 700ml,더 글렌그란트,127.8,142.0,10.0,486,0,0.0,6,Y,1220:싱글몰트 위스키,5817221,257131000011,https://www.shilladfs.com/estore/kr/ko/p/5817221
샤또 디켐 2007 750ml,샤토 디켐,557.65,587.0,5.0,254,0,0.0,6,Y,1221:와인/샴페인,5600330,287231000016,https://www.shilladfs.com/estore/kr/ko/p/5600330
달모어 28년 700ml,달모어,4322.5,4550.0,5.0,28,0,0.0,6,Y,1220:싱글몰트 위스키,5464818,114431000093,https://www.shilladfs.com/estore/kr/ko/p/5464818
조니워커 XR 21년 750ml,조니워커,63.0,140.0,55.0,176,0,0.0,6,Y,1211:Blended Whisky,287166,046331000024,https://www.shilladfs.com/estore/kr/ko/p/287166
조니워커 블루라벨 500ml,조니워커,152.0,160.0,5.0,269,1,10.0,6,Y,1211:블렌디드 위스키,5878261,046331000092,https://www.shilladfs.com/estore/kr/ko/p/5878261
로얄브라클라 12년 1000ml,로얄브라클라,92.15,97.0,5.0,1990,9,10.0,6,Y,1220:싱글몰트 위스키,5472423,113531000076,https://www.shilladfs.com/estore/kr/ko/p/5472423
바즈타운 버번 디스커버리 #10 750ml,바즈타운 버번 컴퍼니,139.5,155.0,10.0,19,0,0.0,6,Y,1227:기타 주류,5975694,249031000062,https://www.shilladfs.com/estore/kr/ko/p/5975694
글렌피딕 23년 Grand Cru 700ml,글렌피딕,194.15,353.0,45.0,1713,9,9.77777778,6,Y,1220:싱글몰트 위스키,4554223,082331000035,https://www.shilladfs.com/estore/kr/ko/p/4554223
까뮤 XO 보더리 패밀리 리저브 700ml ,까뮤,225.15,237.0,5.0,900,3,10.0,6,Y,1213:꼬냑,4423908,070031000024,https://www.shilladfs.com/estore/kr/ko/p/4423908
조셉 펠프스 인시그니아 750ML,조셉펠프스,249.6,312.0,20.0,195,2,10.0,6,Y,1221:와인/샴페인,5667224,108931000105,https://www.shilladfs.com/estore/kr/ko/p/5667224
보모어 36년 FQ 2023 700ml,보모어,2200.0,4000.0,45.0,36,0,0.0,6,Y,1220:싱글몰트 위스키,5221776,114231000038,https://www.shilladfs.com/estore/kr/ko/p/5221776
보모어 22년 700ml,보모어,199.5,399.0,50.0,223,0,0.0,6,Y,1220:싱글몰트 위스키,5524534,114231000055,https://www.shilladfs.com/estore/kr/ko/p/5524534
시그나토리 쿨일라 2007 캐스크 스트렝스 17년 #3 700ml,시그나토리 빈티지,224.0,320.0,30.0,87,0,0.0,6,Y,1220:싱글몰트 위스키,5895329,288631000008,https://www.shilladfs.com/estore/kr/ko/p/5895329
싱글톤 더프타운 25년 700ml,싱글톤,360.0,600.0,40.0,113,0,0.0,6,Y,1220:싱글몰트 위스키,5704240,111231000048,https://www.shilladfs.com/estore/kr/ko/p/5704240
샤또 지스꾸르 2016 750ml,샤토 지스꾸르,102.6,108.0,5.0,149,1,10.0,6,Y,1221:와인/샴페인,5599684,287231000001,https://www.shilladfs.com/estore/kr/ko/p/5599684
레미마틴 엑스오 700ml,레미마틴,213.75,225.0,5.0,1511,14,10.0,6,Y,1213:Cognac,276047,085131000002,https://www.shilladfs.com/estore/kr/ko/p/276047
글렌알라키 18Y(24RB) 700mL,글렌알라키,257.45,271.0,5.0,287,0,0.0,6,Y,1220:싱글몰트 위스키,5691284,265631000015,https://www.shilladfs.com/estore/kr/ko/p/5691284
발렌타인 17년 RESTAGE 700ml,발렌타인,89.3,94.0,5.0,1518,17,9.76470588,6,Y,1211:블렌디드 위스키,5068792,046131000042,https://www.shilladfs.com/estore/kr/ko/p/5068792
조니워커 아일랜드 그린 1000ml,조니워커,77.4,86.0,10.0,941,6,10.0,6,Y,1211:블렌디드 위스키,5069964,046331000040,https://www.shilladfs.com/estore/kr/ko/p/5069964
조니워커 킹조지 5세 750ml,조니워커,666.9,702.0,5.0,720,3,9.33333333,6,Y,1211:블렌디드 위스키,5082568,046331000050,https://www.shilladfs.com/estore/kr/ko/p/5082568
양허 몽지람 M9 500ml,양허,144.65,263.0,45.0,1366,7,10.0,6,Y,1216:중국술,5104690,067631000031,https://www.shilladfs.com/estore/kr/ko/p/5104690
우드포드 리저브 더블 오크 1000ml,우드포드 리저브,71.25,75.0,5.0,1653,8,9.75,6,Y,1211:블렌디드 위스키,5088299,114931000024,https://www.shilladfs.com/estore/kr/ko/p/5088299
카발란 올로로소 쉐리 오크 1000ml,카발란,137.6,172.0,20.0,2040,3,10.0,6,Y,1220:싱글몰트 위스키,5101584,249031000011,https://www.shilladfs.com/estore/kr/ko/p/5101584
와일드 터키 레어브리드 1000ml,와일드터키,56.7,63.0,10.0,1360,4,10.0,6,Y,1211:블렌디드 위스키,5331751,257231000004,https://www.shilladfs.com/estore/kr/ko/p/5331751
수정방 클래식 52% 500ml,수정방,182.4,192.0,5.0,530,2,5.0,6,Y,1216:중국술,5581553,111331000017,https://www.shilladfs.com/estore/kr/ko/p/5581553
까뮤 VSOP 프로모션팩 1000ml + 500ml,까뮤,85.5,90.0,5.0,507,2,10.0,6,Y,1213:꼬냑,5478125,070031000049,https://www.shilladfs.com/estore/kr/ko/p/5478125
Balblair 21 Years Old 700ml,발블레어,342.0,380.0,10.0,36,0,0.0,0,N,1220:싱글몰트 위스키,5865412,265731000008,https://www.shilladfs.com/estore/kr/ko/p/5865412
BLADNOCH 16YO 700ml,블라드녹,101.75,185.0,45.0,151,2,10.0,6,Y,1220:싱글몰트 위스키,5834298,293331000001,https://www.shilladfs.com/estore/kr/ko/p/5834298
카발란 모스카텔 쉐리 솔리스트 750ml,카발란,272.0,320.0,15.0,2577,5,10.0,0,N,1220:싱글몰트 위스키,5101583,249031000007,https://www.shilladfs.com/estore/kr/ko/p/5101583
그라함 20년 750ml,그라함,108.3,114.0,5.0,1031,5,9.6,6,Y,1221:와인/샴페인,3658573,154531000003,https://www.shilladfs.com/estore/kr/ko/p/3658573
발렌타인 18년 GLENBURGIE 700ml,발렌타인,66.81,131.0,49.0,325,1,10.0,6,Y,1220:싱글몰트 위스키,5524471,046131000057,https://www.shilladfs.com/estore/kr/ko/p/5524471
글렌피딕 30년 Time Series 700ml ,글렌피딕,780.0,1500.0,48.0,196,1,10.0,6,Y,1220:싱글몰트 위스키,5188729,082331000048,https://www.shilladfs.com/estore/kr/ko/p/5188729
부쉬밀 18년 트리플 캐스크 700ml,부쉬밀,72.8,140.0,48.0,103,1,10.0,0,N,1220:싱글몰트 위스키,5818225,130531000025,https://www.shilladfs.com/estore/kr/ko/p/5818225
옥토모어 14.3 700ml,브룩라디,230.0,230.0,0.0,473,1,10.0,6,Y,1220:싱글몰트 위스키,5900471,085131000113,https://www.shilladfs.com/estore/kr/ko/p/5900471
벤로막 21년 700ml,와인나라,222.3,234.0,5.0,443,2,9.0,6,Y,1220:싱글몰트 위스키,5828356,274231000027,https://www.shilladfs.com/estore/kr/ko/p/5828356
보모어 30년 700ml,보모어,1495.2,3115.0,52.0,48,0,0.0,3,Y,1220:싱글몰트 위스키,5298204,114231000046,https://www.shilladfs.com/estore/kr/ko/p/5298204
화요 블랙 53 750ml,화요,46.4,58.0,20.0,771,6,9.66666667,6,Y,1224:한국술,3299251,669331000056,https://www.shilladfs.com/estore/kr/ko/p/3299251
국교 1573 클래식 52% 500ml,국교1573,132.05,139.0,5.0,167,1,10.0,6,Y,1216:중국술,5669117,284531000003,https://www.shilladfs.com/estore/kr/ko/p/5669117
발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,224.2,236.0,5.0,669,3,10.0,6,Y,1211:블렌디드 위스키,4486823,046131000041,https://www.shilladfs.com/estore/kr/ko/p/4486823
그라함 30년 750ml,그라함,231.8,244.0,5.0,504,0,0.0,6,Y,1221:와인/샴페인,3346411,154531000004,https://www.shilladfs.com/estore/kr/ko/p/3346411
글렌알라키 35년 700mL,글렌알라키,1363.0,2900.0,53.0,68,0,0.0,0,N,1220:싱글몰트 위스키,5744680,265631000018,https://www.shilladfs.com/estore/kr/ko/p/5744680
로얄살루트 21년 루나 뉴이어 2026 700ml,로얄살루트,167.2,176.0,5.0,332,2,10.0,6,Y,1211:블렌디드 위스키,5848847,110231000044,https://www.shilladfs.com/estore/kr/ko/p/5848847
조니워커 엑스오디네어 750ml,조니워커,248.9,262.0,5.0,493,2,10.0,6,Y,1211:블렌디드 위스키,5479001,046331000084,https://www.shilladfs.com/estore/kr/ko/p/5479001
테일러스 토니 포트 와인 30년 750ml,테일러스 포트 와인,156.75,165.0,5.0,337,0,0.0,6,Y,1221:와인/샴페인,5477396,280631000003,https://www.shilladfs.com/estore/kr/ko/p/5477396
글렌알라키 21년 배치5 700mL,글렌알라키,610.85,643.0,5.0,312,0,0.0,0,N,1220:싱글몰트 위스키,5744499,265631000016,https://www.shilladfs.com/estore/kr/ko/p/5744499
브룩라디 21년 700ml,브룩라디,261.25,275.0,5.0,563,0,0.0,6,Y,1220:싱글몰트 위스키,5386813,085131000083,https://www.shilladfs.com/estore/kr/ko/p/5386813
주라 28년 700ml,주라,581.4,612.0,5.0,92,0,0.0,0,N,1220:싱글몰트 위스키,5166849,114431000046,https://www.shilladfs.com/estore/kr/ko/p/5166849
에드라두어 2001 CS 21년 700ml,에드라두어,567.0,630.0,10.0,65,0,0.0,6,Y,1220:싱글몰트 위스키,5936484,288631000011,https://www.shilladfs.com/estore/kr/ko/p/5936484
더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,218.9,398.0,45.0,107,0,0.0,6,Y,1220:싱글몰트 위스키,5548854,265931000011,https://www.shilladfs.com/estore/kr/ko/p/5548854
와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키,140.0,175.0,20.0,187,0,0.0,6,Y,1227:기타 주류,5834602,257231000011,https://www.shilladfs.com/estore/kr/ko/p/5834602
글렌스코시아 32년 Limted edition 700ml,글렌 스코시아,1111.95,1765.0,37.0,41,0,0.0,0,N,1220:싱글몰트 위스키,5267813,265131000003,https://www.shilladfs.com/estore/kr/ko/p/5267813
까뮤 보더리 로얄 뱅킷 700ml,까뮤,219.45,399.0,45.0,91,0,0.0,6,Y,1213:꼬냑,5777599,070031000053,https://www.shilladfs.com/estore/kr/ko/p/5777599
카발란 만자니아 솔리스트 750ml,카발란,272.0,320.0,15.0,2070,3,9.33333333,0,N,1220:싱글몰트 위스키,5101824,249031000009,https://www.shilladfs.com/estore/kr/ko/p/5101824
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,51.48,99.0,48.0,1699,6,9.33333333,6,Y,1220:싱글몰트 위스키,5105342,082331000041,https://www.shilladfs.com/estore/kr/ko/p/5105342
빌까르살몽 블랑 드 블랑 그랑 크뤼 750ml,빌까르 살몽,118.75,125.0,5.0,167,0,0.0,2,Y,1221:와인/샴페인,5517692,268331000048,https://www.shilladfs.com/estore/kr/ko/p/5517692
벤로막 12년 캐스크스트렝스 700ml,와인나라,96.9,102.0,5.0,302,0,0.0,2,Y,1220:싱글몰트 위스키,5910120,274231000028,https://www.shilladfs.com/estore/kr/ko/p/5910120
시그나토리 글렌로티스 1995 캐스크 스트렝스 30년 #6980 700ml,시그나토리 빈티지,532.0,560.0,5.0,141,1,10.0,0,N,1220:싱글몰트 위스키,5895331,288631000010,https://www.shilladfs.com/estore/kr/ko/p/5895331
샤또 지스꾸르 2019 750ml,샤토 지스꾸르,91.2,96.0,5.0,97,0,0.0,6,Y,1221:와인/샴페인,5599677,287231000002,https://www.shilladfs.com/estore/kr/ko/p/5599677
발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,315.0,47.0,1180,8,10.0,6,Y,1220:싱글몰트 위스키,5108417,112231000027,https://www.shilladfs.com/estore/kr/ko/p/5108417
샤또 디켐 2006 750ml,샤토 디켐,498.6,554.0,10.0,193,0,0.0,6,Y,1221:와인/샴페인,5599688,287231000010,https://www.shilladfs.com/estore/kr/ko/p/5599688
더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스,245.52,396.0,38.0,119,0,0.0,2,Y,1220:싱글몰트 위스키,5548860,265931000010,https://www.shilladfs.com/estore/kr/ko/p/5548860
더 글렌그란트 15년 1000ml,더 글렌그란트,61.44,128.0,52.0,948,1,10.0,6,Y,1220:싱글몰트 위스키,5173493,257131000002,https://www.shilladfs.com/estore/kr/ko/p/5173493
듀어스 더블더블 30년 500ml,듀어스,323.0,340.0,5.0,375,4,10.0,6,Y,1211:블렌디드 위스키,5547656,113531000073,https://www.shilladfs.com/estore/kr/ko/p/5547656
보모어 19년 700ml,보모어,102.0,204.0,50.0,229,0,0.0,6,Y,1220:싱글몰트 위스키,5524533,114231000054,https://www.shilladfs.com/estore/kr/ko/p/5524533
로얄살루트 21년 LNY25 700ml,로얄살루트,167.2,176.0,5.0,28,0,0.0,6,Y,1211:블렌디드 위스키,5661900,110231000037,https://www.shilladfs.com/estore/kr/ko/p/5661900
로얄브라클라 18년 700ml,로얄브라클라,208.05,219.0,5.0,1741,4,10.0,6,Y,1220:싱글몰트 위스키,5268251,113531000063,https://www.shilladfs.com/estore/kr/ko/p/5268251
시바스리갈 18년산 700ml,시바스리갈,44.0,88.0,50.0,239,0,0.0,6,Y,1211:블렌디드 위스키,5573453,110331000034,https://www.shilladfs.com/estore/kr/ko/p/5573453
GLENGOYN 28yo Single Cask 700ml,글렌고인,1072.0,1600.0,33.0,80,0,0.0,0,N,1220:싱글몰트 위스키,5865407,294531000004,https://www.shilladfs.com/estore/kr/ko/p/5865407
"스택스 립 와인셀라, 아르테미스 카베르네소비뇽 2021 750ml",와인나라,106.4,112.0,5.0,213,0,0.0,6,Y,1221:와인/샴페인,5739940,115431000197,https://www.shilladfs.com/estore/kr/ko/p/5739940
파이퍼 하이직 뀌베 브뤼 750ml,와인나라,39.9,42.0,5.0,762,1,10.0,6,Y,1221:와인/샴페인,5593493,115431000123,https://www.shilladfs.com/estore/kr/ko/p/5593493
더 글렌그란트 21년 700ml,더 글렌그란트,272.0,340.0,20.0,888,5,10.0,6,Y,1220:싱글몰트 위스키,5300501,257131000006,https://www.shilladfs.com/estore/kr/ko/p/5300501
마오타이 53% 귀주 마오타이 1000ml,마오타이,405.9,738.0,45.0,254,0,0.0,6,Y,1216:중국술,5329990,194431000017,https://www.shilladfs.com/estore/kr/ko/p/5329990
듀어스 더블더블 36년 500ml,듀어스,846.0,1800.0,53.0,54,0,0.0,2,Y,1220:싱글몰트 위스키,5268057,113531000060,https://www.shilladfs.com/estore/kr/ko/p/5268057
샤토 무통 로칠드 2019 750ml,5대 샤또,942.5,1450.0,35.0,11,0,0.0,0,N,1221:와인/샴페인,5112406,252231000002,https://www.shilladfs.com/estore/kr/ko/p/5112406
발베니 12년 몬틸라 700ml,발베니,52.8,88.0,40.0,338,1,10.0,6,Y,1220:싱글몰트 위스키,5798333,112231000048,https://www.shilladfs.com/estore/kr/ko/p/5798333
Clase Azul Mezcal San Luis Potosi 750,클라세 아줄,391.4,412.0,5.0,97,0,0.0,6,Y,1226:스피릿,5672621,282931000008,https://www.shilladfs.com/estore/kr/ko/p/5672621
TAMDHU Gran Reserva 700ml,탐두,255.55,269.0,5.0,253,1,10.0,6,Y,1220:싱글몰트 위스키,5865408,294531000007,https://www.shilladfs.com/estore/kr/ko/p/5865408
테일러스 토니 포트 50년 750ml,테일러스 포트 와인,379.05,399.0,5.0,145,0,0.0,6,Y,1221:와인/샴페인,5664722,280631000006,https://www.shilladfs.com/estore/kr/ko/p/5664722
라프로익 PX Cask 1000ml,라프로익,114.0,120.0,5.0,1259,2,10.0,6,Y,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183
돈훌리오 1942 750ml,돈훌리오,121.8,203.0,40.0,507,2,10.0,6,Y,1226:스피릿,5296321,254931000001,https://www.shilladfs.com/estore/kr/ko/p/5296321
벤리악 트리플 디스틸드 25년 700ml,벤리악,361.0,380.0,5.0,803,2,10.0,6,Y,1220:싱글몰트 위스키,5429235,114931000057,https://www.shilladfs.com/estore/kr/ko/p/5429235
루이 13세 10ml*5 SET,루이13,700.0,1000.0,30.0,4,0,0.0,5,Y,1213:꼬냑,5948004,085131000081,https://www.shilladfs.com/estore/kr/ko/p/5948004
GLENGOINE 15yo PX Edition 700ml,글렌고인,114.0,120.0,5.0,177,1,10.0,6,Y,1220:싱글몰트 위스키,5865405,294531000002,https://www.shilladfs.com/estore/kr/ko/p/5865405
"스택스 립 와인셀라, FAY 카베르네소비뇽 2020 750ml",와인나라,228.0,240.0,5.0,162,0,0.0,6,Y,1221:와인/샴페인,5739941,115431000198,https://www.shilladfs.com/estore/kr/ko/p/5739941
까뮤 EXTRA 730ml,까뮤,337.5,375.0,10.0,83,1,10.0,6,Y,1213:꼬냑,5768049,070031000052,https://www.shilladfs.com/estore/kr/ko/p/5768049
글렌드로낙 29년 1993 캐스크 에디션 #7103 700ml,글렌드로낙,700.0,1000.0,30.0,253,0,0.0,0,N,1220:싱글몰트 위스키,5803661,114931000052,https://www.shilladfs.com/estore/kr/ko/p/5803661
브룩라디 블랙아트 사페로 700ml,브룩라디,238.0,238.0,0.0,174,0,0.0,6,Y,1220:싱글몰트 위스키,5884136,085131000114,https://www.shilladfs.com/estore/kr/ko/p/5884136
토브렉 런릭 2022 750ml,토브렉,164.73,289.0,43.0,108,4,10.0,0,N,1221:와인/샴페인,5825115,284831000006,https://www.shilladfs.com/estore/kr/ko/p/5825115
쿠르부아지에 XO 700ml,쿠르부아지에,161.5,170.0,5.0,108,0,0.0,6,Y,1213:꼬냑,5508586,109731000035,https://www.shilladfs.com/estore/kr/ko/p/5508586
페닐로페 바렐 스트렝스 750ml,페닐로페,35.55,79.0,55.0,98,0,0.0,2,Y,1227:기타 주류,5680511,287531000002,https://www.shilladfs.com/estore/kr/ko/p/5680511
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,626.4,1080.0,42.0,172,0,0.0,0,N,1220:싱글몰트 위스키,5513344,114131000040,https://www.shilladfs.com/estore/kr/ko/p/5513344
마오타이 KWEICHOW MOUTAI TREASURE 500ml,마오타이,625.04,1202.0,48.0,34,0,0.0,6,Y,1216:중국술,5445644,194431000020,https://www.shilladfs.com/estore/kr/ko/p/5445644
델라망 XXO 700ml,델라망,319.2,399.0,20.0,15,0,0.0,2,Y,1213:꼬냑,5804870,292831000009,https://www.shilladfs.com/estore/kr/ko/p/5804870
오퍼스 원 2018 750ml,오퍼스 원,578.55,609.0,5.0,294,0,0.0,0,N,1221:와인/샴페인,5599682,287231000012,https://www.shilladfs.com/estore/kr/ko/p/5599682
산토리 Chita 700ml,산토리,32.12,73.0,56.0,499,3,9.33333333,6,Y,1211:블렌디드 위스키,3740701,114131000009,https://www.shilladfs.com/estore/kr/ko/p/3740701
발베니 21년 포트우드 700ml,발베니,288.0,360.0,20.0,75,1,10.0,6,Y,1220:싱글몰트 위스키,5479261,112231000037,https://www.shilladfs.com/estore/kr/ko/p/5479261
사시까이야 2022 750ml,에노테카,288.0,320.0,10.0,110,0,0.0,6,Y,1221:와인/샴페인,5880726,126931000052,https://www.shilladfs.com/estore/kr/ko/p/5880726
펜폴즈 그랜지 시라즈 빈티지 2019 750ml,펜폴즈,575.36,992.0,42.0,205,3,10.0,6,Y,1221:와인/샴페인,5388337,195231000042,https://www.shilladfs.com/estore/kr/ko/p/5388337
