위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
시그나토리 로얄브라클라 2008 캐스크 스트렝스 16년 #2 700ml,시그나토리 빈티지,130.055,30.0,175.75,185.0,5.0,348,2,10.0,6,Y,1220:싱글몰트 위스키,5895330,288631000009,https://www.shilladfs.com/estore/kr/ko/p/5895330
더 글렌그란트 18년 700ml,더 글렌그란트,74.12400000000001,48.0,127.8,142.0,10.0,535,0,0.0,6,Y,1220:싱글몰트 위스키,5817221,257131000011,https://www.shilladfs.com/estore/kr/ko/p/5817221
조니워커 블루라벨 200ml,조니워커,41.343999999999994,35.0,60.8,64.0,5.0,385,1,10.0,6,Y,1211:블렌디드 위스키,5855845,046331000089,https://www.shilladfs.com/estore/kr/ko/p/5855845
글렌알라키 2007 17년 올로로소 쉐리 펀천 싱글캐스크#2777 700ml,글렌알라키,207.7,38.0,207.7,335.0,38.0,538,2,10.0,6,Y,1220:싱글몰트 위스키,5818667,265631000019,https://www.shilladfs.com/estore/kr/ko/p/5818667
글렌모렌지 시그넷 700ml,글렌모렌지,,,178.2,198.0,10.0,730,1,10.0,6,Y,1220:싱글몰트 위스키,5843621,108631000063,https://www.shilladfs.com/estore/kr/ko/p/5843621
조니워커 엑스오디네어 750ml,조니워커,169.25199999999998,35.0,248.9,262.0,5.0,506,2,10.0,6,Y,1211:블렌디드 위스키,5479001,046331000084,https://www.shilladfs.com/estore/kr/ko/p/5479001
로얄브라클라 21년 700ml,로얄브라클라,160.08,54.0,160.08,348.0,54.0,1861,11,9.63636364,6,Y,1220:싱글몰트 위스키,5472422,113531000065,https://www.shilladfs.com/estore/kr/ko/p/5472422
조니워커 XR 21년 750ml,조니워커,63.0,55.0,63.0,140.0,55.0,206,0,0.0,6,Y,1211:Blended Whisky,287166,046331000024,https://www.shilladfs.com/estore/kr/ko/p/287166
글렌피딕 21년 700ml,글렌피딕,139.92,47.0,139.92,264.0,47.0,1757,6,10.0,6,Y,1220:Single Malt Whisky,275686,082331000013,https://www.shilladfs.com/estore/kr/ko/p/275686
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,79.75,45.0,79.75,145.0,45.0,3738,13,9.23076923,6,Y,1220:싱글몰트 위스키,5105341,082331000042,https://www.shilladfs.com/estore/kr/ko/p/5105341
시그나토리 글렌리벳 2006 CS 19년 #901018 700ml,시그나토리 빈티지,180.75,25.0,180.75,241.0,25.0,42,0,0.0,6,Y,1220:싱글몰트 위스키,5976781,288631000017,https://www.shilladfs.com/estore/kr/ko/p/5976781
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,2340.8,30.0,2340.8,3344.0,30.0,38,0,0.0,0,N,1211:블렌디드 위스키,5739770,110231000038,https://www.shilladfs.com/estore/kr/ko/p/5739770
옥토모어 16.1 700ml,브룩라디,,,167.0,167.0,0.0,370,0,0.0,6,Y,1220:싱글몰트 위스키,5900472,085131000115,https://www.shilladfs.com/estore/kr/ko/p/5900472
글렌알라키 15년 (24RB) 700ml,글렌알라키,89.57,47.0,89.57,169.0,47.0,2159,6,9.66666667,6,Y,1220:싱글몰트 위스키,5463432,265631000010,https://www.shilladfs.com/estore/kr/ko/p/5463432
로얄살루트 21년 1000ml,로얄살루트,175.73765,30.0,238.45,251.0,5.0,902,3,10.0,6,Y,1211:블렌디드 위스키,5170470,110231000019,https://www.shilladfs.com/estore/kr/ko/p/5170470
보모어 34년 프랭크 콰이어틀리 4 700ml,보모어,,,2090.0,3800.0,45.0,3,0,0.0,0,N,1220:싱글몰트 위스키,5489103,114231000049,https://www.shilladfs.com/estore/kr/ko/p/5489103
로얄브라클라 12년 1000ml,로얄브라클라,49.76100000000001,49.0,92.15,97.0,5.0,2018,9,10.0,6,Y,1220:싱글몰트 위스키,5472423,113531000076,https://www.shilladfs.com/estore/kr/ko/p/5472423
옥토모어 16.3 700ml,브룩라디,,,230.0,230.0,0.0,311,0,0.0,2,Y,1220:싱글몰트 위스키,5934209,085131000117,https://www.shilladfs.com/estore/kr/ko/p/5934209
로얄살루트 21년 루나 뉴이어 2026 700ml,로얄살루트,123.22639999999998,30.0,167.2,176.0,5.0,345,2,10.0,6,Y,1211:블렌디드 위스키,5848847,110231000044,https://www.shilladfs.com/estore/kr/ko/p/5848847
발렌타인 17년 RESTAGE 700ml,발렌타인,56.259,40.0,89.3,94.0,5.0,1531,17,9.76470588,6,Y,1211:블렌디드 위스키,5068792,046131000042,https://www.shilladfs.com/estore/kr/ko/p/5068792
카발란 모스카텔 쉐리 솔리스트 750ml,카발란,272.0,15.0,272.0,320.0,15.0,2614,5,10.0,0,N,1220:싱글몰트 위스키,5101583,249031000007,https://www.shilladfs.com/estore/kr/ko/p/5101583
조니워커 블루라벨 500ml,조니워커,103.35999999999999,35.0,152.0,160.0,5.0,299,1,10.0,6,Y,1211:블렌디드 위스키,5878261,046331000092,https://www.shilladfs.com/estore/kr/ko/p/5878261
발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,165.2354,30.0,224.2,236.0,5.0,676,3,10.0,6,Y,1211:블렌디드 위스키,4486823,046131000041,https://www.shilladfs.com/estore/kr/ko/p/4486823
GLENGOINE 15yo PX Edition 700ml,글렌고인,84.36,30.0,114.0,120.0,5.0,210,1,10.0,6,Y,1220:싱글몰트 위스키,5865405,294531000002,https://www.shilladfs.com/estore/kr/ko/p/5865405
우드포드 리저브 더블 오크 1000ml,우드포드 리저브,42.03750000000001,44.0,71.25,75.0,5.0,1686,8,9.75,6,Y,1211:블렌디드 위스키,5088299,114931000024,https://www.shilladfs.com/estore/kr/ko/p/5088299
시그나토리 글렌로티스 1995 캐스크 스트렝스 30년 #6980 700ml,시그나토리 빈티지,420.28000000000003,25.0,532.0,560.0,5.0,141,2,6.0,0,N,1220:싱글몰트 위스키,5895331,288631000010,https://www.shilladfs.com/estore/kr/ko/p/5895331
TAMDHU Gran Reserva 700ml,탐두,168.66299999999998,37.0,255.55,269.0,5.0,287,1,10.0,6,Y,1220:싱글몰트 위스키,5865408,294531000007,https://www.shilladfs.com/estore/kr/ko/p/5865408
듀어스 DEWARS 18년 1000ml,듀어스,55.385000000000005,48.0,100.7,106.0,5.0,1174,7,9.42857143,6,Y,1211:블렌디드 위스키,5268156,113531000057,https://www.shilladfs.com/estore/kr/ko/p/5268156
보모어 30년 700ml,보모어,,,1495.2,3115.0,52.0,51,0,0.0,3,Y,1220:싱글몰트 위스키,5298204,114231000046,https://www.shilladfs.com/estore/kr/ko/p/5298204
조니워커 아일랜드 그린 1000ml,조니워커,43.34400000000001,50.0,77.4,86.0,10.0,985,6,10.0,0,N,1211:블렌디드 위스키,5069964,046331000040,https://www.shilladfs.com/estore/kr/ko/p/5069964
라가불린 16년 700ml,라가불린,70.699,42.0,115.9,122.0,5.0,2070,3,10.0,6,Y,1220:싱글몰트 위스키,5358630,111131000020,https://www.shilladfs.com/estore/kr/ko/p/5358630
글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,285.2,38.0,285.2,460.0,38.0,457,1,8.0,6,Y,1220:싱글몰트 위스키,5818666,265631000020,https://www.shilladfs.com/estore/kr/ko/p/5818666
글렌알라키 35년 700mL,글렌알라키,1363.0,53.0,1363.0,2900.0,53.0,73,0,0.0,0,N,1220:싱글몰트 위스키,5744680,265631000018,https://www.shilladfs.com/estore/kr/ko/p/5744680
와일드 터키 레어브리드 1000ml,와일드터키,36.855000000000004,42.0,56.7,63.0,10.0,1394,4,10.0,6,Y,1211:블렌디드 위스키,5331751,257231000004,https://www.shilladfs.com/estore/kr/ko/p/5331751
시그나토리 글렌그란트 1995 CS 30년 #88231 700ml,시그나토리 빈티지,448.0,20.0,448.0,560.0,20.0,139,0,0.0,6,Y,1220:싱글몰트 위스키,5958380,288631000013,https://www.shilladfs.com/estore/kr/ko/p/5958380
글렌카담 25년 700ml,글렌카담,417.75300000000004,40.0,663.1,698.0,5.0,214,4,10.0,0,N,1220:싱글몰트 위스키,5358801,276531000004,https://www.shilladfs.com/estore/kr/ko/p/5358801
더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,218.9,45.0,218.9,398.0,45.0,126,0,0.0,6,Y,1220:싱글몰트 위스키,5548854,265931000011,https://www.shilladfs.com/estore/kr/ko/p/5548854
시바스리갈 18년산 700ml,시바스리갈,52.668,40.0,83.6,88.0,5.0,254,0,0.0,6,Y,1211:블렌디드 위스키,5573453,110331000034,https://www.shilladfs.com/estore/kr/ko/p/5573453
몰트락 26년(Special Releas) 700ml,몰트락,1228.5,35.0,1228.5,1890.0,35.0,26,0,0.0,0,N,1220:싱글몰트 위스키,5704239,111231000022,https://www.shilladfs.com/estore/kr/ko/p/5704239
라프로익 PX Cask 1000ml,라프로익,59.28,51.0,114.0,120.0,5.0,1280,2,10.0,6,Y,1220:싱글몰트 위스키,3333183,114131000003,https://www.shilladfs.com/estore/kr/ko/p/3333183
카발란 피노 솔리스트 1000ml,카발란,304.0,20.0,304.0,380.0,20.0,3226,12,9.83333333,6,Y,1220:싱글몰트 위스키,5101823,249031000008,https://www.shilladfs.com/estore/kr/ko/p/5101823
카발란 올로로소 쉐리 오크 1000ml,카발란,103.19999999999999,40.0,137.6,172.0,20.0,2079,3,10.0,6,Y,1220:싱글몰트 위스키,5101584,249031000011,https://www.shilladfs.com/estore/kr/ko/p/5101584
커티삭 센테너리 700ml,글렌모레이,1092.0,30.0,1092.0,1560.0,30.0,4,0,0.0,0,N,1211:블렌디드 위스키,5304443,249031000046,https://www.shilladfs.com/estore/kr/ko/p/5304443
벤리악 트리플 디스틸드 25년 700ml,벤리악,285.19,25.0,361.0,380.0,5.0,804,3,10.0,6,Y,1220:싱글몰트 위스키,5429235,114931000057,https://www.shilladfs.com/estore/kr/ko/p/5429235
카노스케 싱글몰트 2026 리미티드 700ml,카노스케,135.0,10.0,135.0,150.0,10.0,32,0,0.0,6,Y,1220:싱글몰트 위스키,5936485,288631000012,https://www.shilladfs.com/estore/kr/ko/p/5936485
에버펠디 25년 700ml,에버펠디,329.175,40.0,522.5,550.0,5.0,172,0,0.0,1,Y,1220:싱글몰트 위스키,5460729,113531000077,https://www.shilladfs.com/estore/kr/ko/p/5460729
류카 뉴본 2026 700ml,류카,108.3,10.0,114.0,120.0,5.0,19,0,0.0,6,Y,1220:싱글몰트 위스키,5975688,288631000016,https://www.shilladfs.com/estore/kr/ko/p/5975688
발렌타인 18년 GLENBURGIE 700ml,발렌타인,66.81,49.0,66.81,131.0,49.0,353,1,10.0,6,Y,1220:싱글몰트 위스키,5524471,046131000057,https://www.shilladfs.com/estore/kr/ko/p/5524471
우드포드 리저브 Double XO 700ml,우드포드 리저브,96.42500000000001,45.0,166.25,175.0,5.0,576,2,10.0,6,Y,1211:블렌디드 위스키,5251910,114931000045,https://www.shilladfs.com/estore/kr/ko/p/5251910
로얄살루트 25년 700ml,로얄살루트,184.83960000000002,30.0,250.8,264.0,5.0,622,2,10.0,0,N,1211:블렌디드 위스키,4599460,110231000024,https://www.shilladfs.com/estore/kr/ko/p/4599460
시그나토리 링크우드 1995 CS 30년 #3 700ml,시그나토리 빈티지,476.0,15.0,476.0,560.0,15.0,53,0,0.0,6,Y,1220:싱글몰트 위스키,5975687,288631000014,https://www.shilladfs.com/estore/kr/ko/p/5975687
옥토모어 16.2 700ml,브룩라디,,,190.0,190.0,0.0,152,0,0.0,6,Y,1220:싱글몰트 위스키,5934208,085131000116,https://www.shilladfs.com/estore/kr/ko/p/5934208
글렌피딕 26년 GC 700ml,글렌피딕,458.9,35.0,458.9,706.0,35.0,1026,8,10.0,6,Y,1220:싱글몰트 위스키,5105340,082331000038,https://www.shilladfs.com/estore/kr/ko/p/5105340
더 글렌그란트 15년 1000ml,더 글렌그란트,61.44,52.0,61.44,128.0,52.0,984,1,10.0,6,Y,1220:싱글몰트 위스키,5173493,257131000002,https://www.shilladfs.com/estore/kr/ko/p/5173493
듀어스 더블더블 26년 500ml,듀어스,124.87750000000001,48.0,227.05,239.0,5.0,270,2,10.0,6,Y,1211:블렌디드 위스키,5547655,113531000072,https://www.shilladfs.com/estore/kr/ko/p/5547655
GLENGOYN 28yo Single Cask 700ml,글렌고인,1072.0,33.0,1072.0,1600.0,33.0,84,0,0.0,0,N,1220:싱글몰트 위스키,5865407,294531000004,https://www.shilladfs.com/estore/kr/ko/p/5865407
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,51.48,48.0,51.48,99.0,48.0,1730,6,9.33333333,6,Y,1220:싱글몰트 위스키,5105342,082331000041,https://www.shilladfs.com/estore/kr/ko/p/5105342
부쉬밀 포트캐스크 25년 700ml,부쉬밀,538.65,40.0,855.0,900.0,5.0,126,0,0.0,4,Y,1220:싱글몰트 위스키,5200753,130531000022,https://www.shilladfs.com/estore/kr/ko/p/5200753
로얄살루트 32년 500ml,로얄살루트,312.96705,30.0,424.65,447.0,5.0,708,0,0.0,1,Y,1211:블렌디드 위스키,5546709,110231000041,https://www.shilladfs.com/estore/kr/ko/p/5546709
발베니 18년 페드로 히메네즈(PX) 셰리 캐스크 빅토 응아이 에디션 700ml,발베니,168.97,39.0,168.97,277.0,39.0,35,0,0.0,6,Y,1220:싱글몰트 위스키,5967021,112231000056,https://www.shilladfs.com/estore/kr/ko/p/5967021
타케츠루 퓨어 몰트 그란데 700ml,닛카 위스키,87.78,20.0,104.5,110.0,5.0,216,3,9.33333333,6,Y,1211:블렌디드 위스키,5804867,292531000003,https://www.shilladfs.com/estore/kr/ko/p/5804867
조니워커 킹조지 5세 500ml,조니워커,284.23999999999995,35.0,418.0,440.0,5.0,205,0,0.0,6,Y,1211:블렌디드 위스키,3334610,046331000025,https://www.shilladfs.com/estore/kr/ko/p/3334610
발베니 Balvenie 19년 Week of Peat 700ml,발베니,163.8,48.0,163.8,315.0,48.0,1195,8,10.0,6,Y,1220:싱글몰트 위스키,5108417,112231000027,https://www.shilladfs.com/estore/kr/ko/p/5108417
BLADNOCH 16YO 700ml,블라드녹,101.75,45.0,101.75,185.0,45.0,185,2,10.0,6,Y,1220:싱글몰트 위스키,5834298,293331000001,https://www.shilladfs.com/estore/kr/ko/p/5834298
로얄살루트 마이애미 폴로 에디션 700ml,로얄살루트,147.73165,30.0,200.45,211.0,5.0,356,1,10.0,6,Y,1211:블렌디드 위스키,5563230,110231000040,https://www.shilladfs.com/estore/kr/ko/p/5563230
브룩라디 21년 700ml,브룩라디,,,261.25,275.0,5.0,570,0,0.0,6,Y,1220:싱글몰트 위스키,5386813,085131000083,https://www.shilladfs.com/estore/kr/ko/p/5386813
글렌피딕 30년 Time Series 700ml ,글렌피딕,780.0,48.0,780.0,1500.0,48.0,201,1,10.0,2,Y,1220:싱글몰트 위스키,5188729,082331000048,https://www.shilladfs.com/estore/kr/ko/p/5188729
카미키 오리지널 500ml,카미키,46.72,42.0,64.0,80.0,20.0,33,0,0.0,0,N,1211:블렌디드 위스키,5157330,254631000003,https://www.shilladfs.com/estore/kr/ko/p/5157330
발베니 12년 몬틸라 700ml,발베니,52.8,40.0,52.8,88.0,40.0,357,1,10.0,6,Y,1220:싱글몰트 위스키,5798333,112231000048,https://www.shilladfs.com/estore/kr/ko/p/5798333
로얄브라클라 18년 700ml,로얄브라클라,112.34700000000001,49.0,208.05,219.0,5.0,1766,4,10.0,6,Y,1220:싱글몰트 위스키,5268251,113531000063,https://www.shilladfs.com/estore/kr/ko/p/5268251
글렌알라키 12년 (24RB) 700ml,글렌알라키,53.660500000000006,50.0,90.95,107.0,15.0,495,0,0.0,6,Y,1220:싱글몰트 위스키,5463343,265631000009,https://www.shilladfs.com/estore/kr/ko/p/5463343
글렌드로낙 29년 1993 캐스크 에디션 #7103 700ml,글렌드로낙,700.0,30.0,700.0,1000.0,30.0,261,0,0.0,0,N,1220:싱글몰트 위스키,5803661,114931000052,https://www.shilladfs.com/estore/kr/ko/p/5803661
시그나토리 글렌리벳 2006 캐스크 스트렝스 18년 700ml,시그나토리 빈티지,169.423,30.0,228.95,241.0,5.0,435,18,9.88888889,0,N,1220:싱글몰트 위스키,5713581,288631000001,https://www.shilladfs.com/estore/kr/ko/p/5713581
조니워커 킹조지 5세 750ml,조니워커,453.49199999999996,35.0,666.9,702.0,5.0,723,3,9.33333333,6,Y,1211:블렌디드 위스키,5082568,046331000050,https://www.shilladfs.com/estore/kr/ko/p/5082568
브룩라디 블랙아트 사페로 700ml,브룩라디,,,238.0,238.0,0.0,193,0,0.0,6,Y,1220:싱글몰트 위스키,5884136,085131000114,https://www.shilladfs.com/estore/kr/ko/p/5884136
카발란 미니어처 기프트 세트 50ml*4,카발란,46.5,25.0,46.5,62.0,25.0,158,0,0.0,6,Y,1220:싱글몰트 위스키,5943035,249031000059,https://www.shilladfs.com/estore/kr/ko/p/5943035
와일드무어 40년 블랙 마운틴 700ml,와일드무어,648.0,28.0,648.0,900.0,28.0,67,0,0.0,6,Y,1211:블렌디드 위스키,5582447,279331000001,https://www.shilladfs.com/estore/kr/ko/p/5582447
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,626.4,42.0,626.4,1080.0,42.0,177,0,0.0,0,N,1220:싱글몰트 위스키,5513344,114131000040,https://www.shilladfs.com/estore/kr/ko/p/5513344
발베니 25년 Rare Marrige 700ml ,발베니,598.8,40.0,598.8,998.0,40.0,452,4,10.0,0,N,1220:싱글몰트 위스키,5188632,112231000031,https://www.shilladfs.com/estore/kr/ko/p/5188632
글렌피딕 Vat 1 Perpetual Collection 1000ml,글렌피딕,36.66,53.0,36.66,78.0,53.0,558,4,9.0,6,Y,1220:싱글몰트 위스키,5105343,082331000043,https://www.shilladfs.com/estore/kr/ko/p/5105343
산토리 하쿠슈 DR 700ml,산토리,117.0,0.0,117.0,117.0,0.0,375,0,0.0,6,Y,1211:블렌디드 위스키,5828882,114131000030,https://www.shilladfs.com/estore/kr/ko/p/5828882
글렌알라키 21년 배치5 700mL,글렌알라키,513.114,20.0,610.85,643.0,5.0,315,0,0.0,0,N,1220:싱글몰트 위스키,5744499,265631000016,https://www.shilladfs.com/estore/kr/ko/p/5744499
에드라두어 2001 CS 21년 700ml,에드라두어,567.0,10.0,567.0,630.0,10.0,85,0,0.0,6,Y,1220:싱글몰트 위스키,5936484,288631000011,https://www.shilladfs.com/estore/kr/ko/p/5936484
시크릿 스페이사이드 Caperdonich 21년 700ml,글렌리벳,112.5,55.0,112.5,250.0,55.0,95,0,0.0,6,Y,1220:싱글몰트 위스키,5065825,110431000019,https://www.shilladfs.com/estore/kr/ko/p/5065825
페넬로페 하바나 750ml,페닐로페,183.6,10.0,183.6,204.0,10.0,36,0,0.0,6,Y,1211:블렌디드 위스키,5970311,287531000016,https://www.shilladfs.com/estore/kr/ko/p/5970311
카발란 만자니아 솔리스트 750ml,카발란,272.0,15.0,272.0,320.0,15.0,2090,3,9.33333333,0,N,1220:싱글몰트 위스키,5101824,249031000009,https://www.shilladfs.com/estore/kr/ko/p/5101824
글렌모렌지 인피니타 18년 700ml,글렌모렌지,,,90.0,120.0,25.0,566,1,6.0,6,Y,1220:싱글몰트 위스키,5713332,108631000047,https://www.shilladfs.com/estore/kr/ko/p/5713332
로얄 브라클라 25년 700ml,로얄브라클라,540.0,40.0,540.0,900.0,40.0,441,1,10.0,6,Y,1220:싱글몰트 위스키,5560830,113531000081,https://www.shilladfs.com/estore/kr/ko/p/5560830
패터캐른 23년 700ml,패터캐른,161.46,46.0,269.1,299.0,10.0,179,2,8.0,5,Y,1220:싱글몰트 위스키,5219288,114431000087,https://www.shilladfs.com/estore/kr/ko/p/5219288
맥캘란 GTR12년 700ml,맥캘란,78.85,5.0,78.85,83.0,5.0,588,2,10.0,6,Y,1220:싱글몰트 위스키,5430962,081831000056,https://www.shilladfs.com/estore/kr/ko/p/5430962
글렌드로낙 16년 700ml,글렌드로낙,103.95,23.0,103.95,135.0,23.0,2351,9,9.77777778,6,Y,1220:싱글몰트 위스키,4391067,114931000034,https://www.shilladfs.com/estore/kr/ko/p/4391067
산토리 Chita 700ml,산토리,32.12,56.0,32.12,73.0,56.0,517,3,9.33333333,6,Y,1211:블렌디드 위스키,3740701,114131000009,https://www.shilladfs.com/estore/kr/ko/p/3740701
보모어 19년 700ml,보모어,,,102.0,204.0,50.0,280,0,0.0,6,Y,1220:싱글몰트 위스키,5524533,114231000054,https://www.shilladfs.com/estore/kr/ko/p/5524533
조니워커 블랙 1000ml,조니워커,30.324000000000005,46.0,53.2,56.0,5.0,957,8,10.0,6,Y,1211:블렌디드 위스키,26127,046331000006,https://www.shilladfs.com/estore/kr/ko/p/26127
시그나토리 글렌버기 1995 CS 30년 #203 700ml,시그나토리 빈티지,504.0,10.0,504.0,560.0,10.0,36,0,0.0,6,Y,1220:싱글몰트 위스키,5975689,288631000015,https://www.shilladfs.com/estore/kr/ko/p/5975689
Old Pulteney 25 Years Old 700ml,올드풀트니,546.0,35.0,546.0,840.0,35.0,33,0,0.0,6,Y,1220:싱글몰트 위스키,5866020,265831000011,https://www.shilladfs.com/estore/kr/ko/p/5866020
시그나토리 글렌그란트 2000 캐스크 스트렝스 25년 #6 700ml,시그나토리 빈티지,422.94,20.0,503.5,530.0,5.0,198,3,10.0,1,Y,1220:싱글몰트 위스키,5788001,288631000002,https://www.shilladfs.com/estore/kr/ko/p/5788001
라프로익 포트우드 2023 700ml,라프로익,86.944,51.0,167.2,176.0,5.0,333,2,10.0,6,Y,1220:싱글몰트 위스키,5298064,114131000036,https://www.shilladfs.com/estore/kr/ko/p/5298064
더 글렌리벳 21년 700ml,글렌리벳,184.186,30.0,248.9,262.0,5.0,36,0,0.0,0,N,1220:싱글몰트 위스키,5948827,110431000029,https://www.shilladfs.com/estore/kr/ko/p/5948827
벤리악 30년 700ml,벤리악,492.0,40.0,492.0,820.0,40.0,176,1,10.0,6,Y,1220:싱글몰트 위스키,5719581,114931000050,https://www.shilladfs.com/estore/kr/ko/p/5719581
더 패밀리 캐스크스 2004_S24 700ml,글렌파클라스,325.584,35.0,478.8,504.0,5.0,279,0,0.0,0,N,1220:싱글몰트 위스키,5548856,265931000013,https://www.shilladfs.com/estore/kr/ko/p/5548856
에버펠디 21년 마데이라 캐스크 700ml,에버펠디,122.512,51.0,235.6,248.0,5.0,288,1,10.0,6,Y,1220:싱글몰트 위스키,5316366,113531000030,https://www.shilladfs.com/estore/kr/ko/p/5316366
탈리스커 다크 스톰 1000ml,탈리스커,57.15,55.0,57.15,127.0,55.0,209,1,10.0,6,Y,1220:싱글몰트 위스키,5070436,111131000001,https://www.shilladfs.com/estore/kr/ko/p/5070436
벤리악 25년 1997 캐스크 에디션 700ml,벤리악,250.8,48.0,456.0,480.0,5.0,806,14,9.71428571,0,N,1220:싱글몰트 위스키,5337400,114931000049,https://www.shilladfs.com/estore/kr/ko/p/5337400
