위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
발렌타인 21년 RESTAGE 700ml,발렌타인,161.5,245036,700,35005,167000,700,23857,보틀즈 논현,발렌타인 21년,182900,167000,데일리샷,N,-78036,N,-46.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5068647
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕,76.85,116601,700,16657,189000,700,27000,캐스크앤뀌베 서면점,글렌피딕 18년 퍼페추얼 컬렉션 VAT 04,,189000,데일리샷,Y,72399,Y,38.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5105341
카발란 피노 솔리스트 1000ml,카발란,304.0,461245,1000,46124,242000,700,34571,블루하우스,카발란 솔리스트 버번 캐스크,,242000,데일리샷,N,-219245,N,-33.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5101823
레드브레스트 18년 700ml,제임슨,112.0,169932,700,24276,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5769824
시그나토리 로얄브라클라 2008 캐스크 스트렝스 16년 #2 700ml,시그나토리 빈티지,175.75,266657,700,38094,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5895330
조니워커 블루라벨 200ml,조니워커,60.8,92249,200,46124,,,,,,189800,189800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5855845
옥토모어 14.3 700ml,브룩라디,230.0,348968,700,49853,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5900471
발베니 12년 Golden Cask 700ml ,발베니,44.8,67973,700,9710,115000,700,16429,해밀덕천,발베니 12년 골든 캐스크,,115000,데일리샷,Y,47027,Y,40.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5516907
시크릿 스페이사이드 Glen Keith 21년 700ml,글렌리벳,82.8,125629,700,17947,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5065828
글렌알라키 15년 (24RB) 700ml,글렌알라키,81.12,123080,700,17583,147900,700,21129,피보,글렌알라키 15년,,147900,데일리샷,Y,24820,Y,16.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5463432
로얄살루트 25년 700ml,로얄살루트,250.8,380527,700,54361,444000,700,63429,릭하우스,로얄살루트 25년,,444000,데일리샷,Y,63473,Y,14.3,Y,https://www.shilladfs.com/estore/kr/ko/p/4599460
달모어 28년 700ml,달모어,4322.5,6558326,700,936904,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5464818
시그나토리 쿨일라 2007 캐스크 스트렝스 17년 #3 700ml,시그나토리 빈티지,224.0,339865,700,48552,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5895329
글렌알라키 싱글캐스크 19Y 쉐리 벗 #901028 700ml,글렌알라키,285.2,432721,700,61817,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5818666
더 글렌그란트 18년 700ml,더 글렌그란트,127.8,193905,700,27701,200000,700,28571,온더락,더 글렌그란트 18년,,200000,데일리샷,Y,6095,Y,3.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5817221
조니워커 아일랜드 그린 1000ml,조니워커,77.4,117435,1000,11744,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5069964
싱글톤 더프타운 25년 700ml,싱글톤,360.0,546211,700,78030,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5704240
듀어스 DEWARS 18년 1000ml,듀어스,100.7,152787,1000,15279,99000,700,14143,블루하우스,듀어스 18년,,99000,데일리샷,N,-53787,N,-8.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5268156
조니워커 블루라벨 500ml,조니워커,152.0,230622,500,46124,,,,,,189800,189800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5878261
글렌피딕 30년 Time Series 700ml ,글렌피딕,780.0,1183457,700,169065,1189000,700,169857,바틀리어,글렌피딕 30년(구형),,1189000,데일리샷,Y,5543,Y,0.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5188729
글렌알라키 18Y(24RB) 700mL,글렌알라키,257.45,390617,700,55802,324000,700,46286,순천바틀샵 싱글몰트,글렌알라키 18년,,324000,데일리샷,N,-66617,N,-20.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5691284
옥토모어 16.3 700ml,브룩라디,230.0,348968,700,49853,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5934209
보모어 36년 FQ 2023 700ml,보모어,2200.0,3337957,700,476851,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5221776
더 패밀리 캐스크스 2007_S23 700ml,글렌파클라스,245.52,372516,700,53217,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5548860
카발란 올로로소 쉐리 오크 1000ml,카발란,137.6,208774,1000,20877,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5101584
우드포드 리저브 더블 오크 1000ml,우드포드 리저브,71.25,108104,1000,10810,88000,700,12571,마포 글로벌 마트,우드포드 리저브 더블 오크드,58000,58000,보유DB,N,-20104,Y,14.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5088299
글렌피딕 23년 Grand Cru 700ml,글렌피딕,194.15,294575,700,42082,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/4554223
카발란 모스카텔 쉐리 솔리스트 750ml,카발란,272.0,412693,750,55026,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5101583
발렌타인 17년 RESTAGE 700ml,발렌타인,89.3,135491,700,19356,97500,750,13000,위스키오크통 일산점,발렌타인 17년 750ml,109000,97500,데일리샷,N,-37991,N,-48.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5068792
와일드 터키 레어브리드 1000ml,와일드터키,56.7,86028,1000,8603,69000,700,9857,보틀즈 을지로,와일드 터키 레어브리드,75000,69000,데일리샷,N,-17028,Y,12.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5331751
글렌알라키 21년 배치5 700mL,글렌알라키,610.85,926814,700,132402,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5744499
글렌드로낙 29년 1993 캐스크 에디션 #7103 700ml,글렌드로낙,700.0,1062077,700,151725,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5803661
옥토모어 16.1 700ml,브룩라디,167.0,253381,700,36197,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5900472
발렌타인 23년 AMERICAN OAK CASKS 700ml,발렌타인,224.2,340168,700,48595,299000,700,42714,넘버원위스키,발렌타인 23년,,299000,데일리샷,N,-41168,N,-13.8,Y,https://www.shilladfs.com/estore/kr/ko/p/4486823
Balblair 21 Years Old 700ml,발블레어,342.0,518901,700,74129,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5865412
듀어스 더블더블 30년 500ml,듀어스,323.0,490073,500,98015,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5547656
로얄브라클라 12년 1000ml,로얄브라클라,92.15,139815,1000,13982,85000,700,12143,피보,로얄 브라클라 12년,82900,82900,보유DB,N,-54815,N,-15.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5472423
글렌피딕 21년 700ml,글렌피딕,137.28,208288,700,29755,289000,700,41286,마포 글로벌 마트,글렌피딕 21년 40%,,289000,데일리샷,Y,80712,Y,27.9,Y,https://www.shilladfs.com/estore/kr/ko/p/275686
조니워커 킹조지 5세 500ml,조니워커,418.0,634212,500,126842,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/3334610
보모어 30년 700ml,보모어,1495.2,2268597,700,324085,3100000,700,442857,바틀리어,보모어 30년 2023 에디션,,3100000,데일리샷,Y,831403,Y,26.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5298204
라프로익 PX Cask 1000ml,라프로익,114.0,172967,1000,17297,130000,1000,13000,용답마트,라프로익 PX 캐스크 1L,,130000,데일리샷,N,-42967,N,-33.1,Y,https://www.shilladfs.com/estore/kr/ko/p/3333183
보모어 타임리스 33년 700ml,보모어,1484.0,2251603,700,321658,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5265734
글렌알라키 35년 700mL,글렌알라키,1363.0,2068016,700,295431,3400000,700,485714,바틀리어,글렌알라키 35년,,3400000,데일리샷,Y,1331984,Y,39.2,N,https://www.shilladfs.com/estore/kr/ko/p/5744680
벤로막 12년 캐스크스트렝스 700ml,와인나라,96.9,147022,700,21003,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5910120
브룩라디 21년 700ml,브룩라디,261.25,396382,700,56626,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5386813
발렌타인 18년 GLENBURGIE 700ml,발렌타인,66.81,101368,700,14481,148000,700,21143,이마트24 신월스타점,발렌타인 싱글몰트 글렌버기 18년,,148000,데일리샷,Y,46632,Y,31.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5524471
페넬로페 하바나 750ml,페닐로페,173.4,263092,750,35079,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5970311
라프로익 33년 스트롱캐릭터즈 700ml,라프로익,626.4,950407,700,135772,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5513344
발베니 Balvenie 19년 Week of Peat 700ml,발베니,166.95,253305,700,36186,395000,700,56429,더블랙,발베니 19년 위크 오브 피트,,395000,데일리샷,Y,141695,Y,35.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5108417
주라 28년 700ml,주라,581.4,882131,700,126019,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5166849
로얄브라클라 18년 700ml,로얄브라클라,208.05,315664,700,45095,207000,700,29571,위스키 오크통,로얄 브라클라 18년,,207000,데일리샷,N,-108664,N,-52.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5268251
에드라두어 2001 CS 21년 700ml,에드라두어,567.0,860282,700,122897,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5936484
카발란 만자니아 솔리스트 750ml,카발란,272.0,412693,750,55026,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5101824
패터캐른 23년 700ml,패터캐른,269.1,408293,700,58328,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219288
시그나토리 글렌로티스 1995 캐스크 스트렝스 30년 #6980 700ml,시그나토리 빈티지,532.0,807179,700,115311,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5895331
더 글렌그란트 15년 1000ml,더 글렌그란트,61.44,93220,1000,9322,,,,,,89400,89400,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5173493
옥토모어 16.2 700ml,브룩라디,190.0,288278,700,41183,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5934208
벤로막 21년 700ml,와인나라,222.3,337285,700,48184,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5828356
GLENGOYN 28yo Single Cask 700ml,글렌고인,1072.0,1626495,700,232356,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5865407
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕,50.49,76606,700,10944,135000,700,19286,와인천국 가나주류백화점 동대문할인점,글렌피딕 15년 퍼페추얼 컬렉션 VAT 03,,135000,데일리샷,Y,58394,Y,43.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5105342
발베니 21년 포트우드 700ml,발베니,288.0,436969,700,62424,485000,700,69286,바틀리어 마포점,발베니 포트우드 21년,,485000,데일리샷,Y,48031,Y,9.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5479261
카발란 올로로소 쉐리 솔리스트 1000ml,카발란,171.0,259450,1000,25945,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5101467
글렌알라키30년#4(면세) 700mL,글렌알라키,775.2,1176175,700,168025,2180000,700,311429,까치산마트 정동점,글렌알라키 30년 CS 배치 4,,2180000,데일리샷,Y,1003825,Y,46.0,N,https://www.shilladfs.com/estore/kr/ko/p/5746526
듀어스 더블더블 36년 500ml,듀어스,846.0,1283596,500,256719,1940000,700,277143,로랜드 주류상회,듀어스 더블 더블 36년,,1940000,데일리샷,Y,656404,Y,7.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5268057
로얄살루트 21년 LNY25 700ml,로얄살루트,167.2,253685,700,36241,195000,700,27857,보틀즈 논현,로얄살루트 21년 블렌디드 그레인,179800,179800,보유DB,N,-58685,N,-30.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5661900
조니워커 XR 21년 750ml,조니워커,63.0,95587,750,12745,188000,750,25067,돌고래보틀 양재점,"[750ml, 위스키 행사] 조니워커 XR 21년",,188000,데일리샷,Y,92413,Y,49.2,Y,https://www.shilladfs.com/estore/kr/ko/p/287166
산토리 Chita 700ml,산토리,32.12,48734,700,6962,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/3740701
TAMDHU Gran Reserva 700ml,탐두,255.55,387734,700,55391,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865408
NEW 올트모어 18년 (마데이라) 500ml,올트모어,118.75,180174,500,36035,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5560831
더 패밀리 캐스크스 2008_S24 700ml,글렌파클라스,218.9,332127,700,47447,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5548854
조니워커 엑스오디네어 750ml,조니워커,248.9,377644,750,50353,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5479001
로얄살루트 21년 루나 뉴이어 2026 700ml,로얄살루트,167.2,253685,700,36241,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5848847
조니워커 킹조지 5세 750ml,조니워커,666.9,1011856,750,134914,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5082568
우드포드 리저브 Double XO 700ml,우드포드 리저브,166.25,252243,700,36035,,,,,,58000,58000,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5251910
부쉬밀 18년 트리플 캐스크 700ml,부쉬밀,72.8,110456,700,15779,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5818225
시그나토리 글렌기어리 2011 12년 스몰배치 #14 700ml,시그나토리 빈티지,59.5,90277,700,12897,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5788002
올트모어 23년 CS 한정판 (화이트포트) 700ml,올트모어,574.75,872041,700,124577,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5337038
옥토모어 14.2 700ml,브룩라디,190.0,288278,700,41183,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5900470
시크릿 스페이사이드 Caperdonich 21년 700ml,글렌리벳,112.5,170691,700,24384,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5065825
글렌카담 25년 700ml,글렌카담,663.1,1006090,700,143727,1340000,700,191429,에이엘9119,글렌카담 25년,,1340000,데일리샷,Y,333910,Y,24.9,N,https://www.shilladfs.com/estore/kr/ko/p/5358801
아벨라워 아부나흐 700ml,발렌타인,80.5,122139,700,17448,,,,,,235800,235800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5887242
페넬로페 리오 750ml,페닐로페,183.6,278568,750,37142,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5905723
로얄 브라클라 25년 700ml,로얄브라클라,540.0,819317,700,117045,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5560830
싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤,266.0,403589,700,57656,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5479002
발렌타인 23년 GOLDEN HOUR 700ml,발렌타인,265.05,402148,700,57450,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5284763
카발란 미니어처 기프트 세트 50ml*4,카발란,46.5,70552,700,10079,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5943035
Old Pulteney 25 Years Old 700ml,올드풀트니,546.0,828420,700,118346,1500000,700,214286,가자주류 신촌점,올드 풀트니 25년,,1500000,데일리샷,Y,671580,Y,44.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5866020
시그나토리 글렌그란트 2000 캐스크 스트렝스 25년 #6 700ml,시그나토리 빈티지,503.5,763937,700,109134,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5788001
더 글렌리벳 16년 1000ml,글렌리벳,58.65,88987,1000,8899,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5828029
하이랜드 파크 EAGLE 16년 700ml,하이랜드 파크,100.0,151725,700,21675,175000,700,25000,더초이스,하이랜드 파크 16년 윙즈 오브 더 이글,,175000,데일리샷,Y,23275,Y,13.3,N,https://www.shilladfs.com/estore/kr/ko/p/5145173
벤리악 30년 700ml,벤리악,492.0,746488,700,106641,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5719581
잭다니엘 시나트라 셀렉트 1000ml,잭다니엘,161.5,245036,1000,24504,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070944
아케시 하쿠로 700ml,아케시,479.75,727902,700,103986,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5372473
더 패밀리 캐스크스 2004_S24 700ml,글렌파클라스,478.8,726461,700,103780,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5548856
로얄살루트 21년 1000ml,로얄살루트,238.45,361789,1000,36179,195000,700,27857,보틀즈 논현,로얄살루트 21년 블렌디드 그레인,179800,179800,보유DB,N,-166789,N,-29.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5170470
브룩라디 블랙아트 사페로 700ml,브룩라디,238.0,361106,700,51587,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5884136
보모어 25년 700ml,보모어,476.0,722212,700,103173,679000,700,97000,올드앤레어,보모어 25년,,679000,데일리샷,N,-43212,N,-6.4,N,https://www.shilladfs.com/estore/kr/ko/p/5221773
조니워커 골드 리저브 1000ml,조니워커,79.2,120166,1000,12017,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5667234
올트모어 21년 (COLHEITA)700ml,올트모어,475.0,720695,700,102956,242000,700,34571,블루하우스,올트모어 21년,,242000,데일리샷,N,-478695,N,-197.8,N,https://www.shilladfs.com/estore/kr/ko/p/5460669
산토리 하쿠슈 DR 700ml,산토리,117.0,177519,700,25360,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5828882
부쉬밀 마르사라 캐스크 21년 700ml,부쉬밀,153.7,233202,700,33315,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5200760
발렌타인 21년 500ml,발렌타인,114.95,174408,500,34882,167000,700,23857,보틀즈 논현,발렌타인 21년,182900,167000,데일리샷,N,-7408,N,-46.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5900540
글렌피딕 26년 GC 700ml,글렌피딕,458.9,696267,700,99467,840000,700,120000,넘버원위스키,글렌피딕 26년 그랑코룬 45.8%,,840000,데일리샷,Y,143733,Y,17.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5105340
시그나토리 글렌리벳 2006 캐스크 스트렝스 18년 700ml,시그나토리 빈티지,228.95,347375,700,49625,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5713581
GLENGOINE 15yo PX Edition 700ml,글렌고인,114.0,172967,700,24710,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865405
벤리악 25년 1997 캐스크 에디션 700ml,벤리악,456.0,691867,700,98838,760000,700,108571,유진,리퀴드 트레져 1996 벤리악 25년,,760000,데일리샷,Y,68133,Y,9.0,N,https://www.shilladfs.com/estore/kr/ko/p/5337400
고든앤맥패일 코노세어초이스 하이랜드 파크 1998 25년 700ml,고든 앤 맥패일,449.35,681778,700,97397,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5677224
더 글렌그란트 21년 700ml,더 글렌그란트,272.0,412693,700,58956,359000,700,51286,이마트24 신월스타점,더 글렌그란트 21년,,359000,데일리샷,N,-53693,N,-15.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5300501
잭다니엘 블랙라벨 1000ml,잭다니엘,33.25,50449,1000,5045,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070932
달위니 15년 1000ml,달위니,120.65,183057,1000,18306,77000,700,11000,오앤오샷앤바틀 기흥점,달위니 15년,,77000,데일리샷,N,-106057,N,-66.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5082286
조니워커 블랙 1000ml,조니워커,53.2,80718,1000,8072,39000,700,5571,더 몰트,조니워커 블랙 700ml,,39000,데일리샷,N,-41718,N,-44.9,Y,https://www.shilladfs.com/estore/kr/ko/p/26127
BLADNOCH 16YO 700ml,블라드녹,101.75,154380,700,22054,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5834298
더 패밀리 캐스크스 2006_S24 700ml,글렌파클라스,423.7,642860,700,91837,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5548855
NEW 올트모어 25년 (1st Fill 올로로소 쉐리) 500ml,올트모어,420.85,638536,500,127707,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5560833
조니워커 더블 블랙 1000ml,조니워커,32.16,48795,1000,4880,44000,700,6286,오앤오샷앤바틀 기흥점,조니워커 더블 블랙 700ml,53900,44000,데일리샷,N,-4795,Y,22.4,Y,https://www.shilladfs.com/estore/kr/ko/p/3625938
뉴리프 8년 버번 750ml,뉴리프,98.0,148691,750,19825,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5917129
글렌피딕 23년 그랑크뤼 슬림팩 700ml,글렌피딕,194.15,294575,700,42082,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5855038
산토리 토키 1000ml,산토리,48.45,73511,1000,7351,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5549144
발베니 11년 헝가리안 캐스크 700ml,발베니,61.6,93463,700,13352,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5526820
몰트락 16년 750ml,몰트락,122.55,185939,750,24792,159000,700,22714,아람 위스키&칵테일 bar,몰트락 16년,,159000,데일리샷,N,-26939,N,-9.1,N,https://www.shilladfs.com/estore/kr/ko/p/5082282
와일드무어 30년 트로피칼 코스트 700ml,와일드무어,368.6,559259,700,79894,675000,700,96429,아이위스키,와일드무어 30년,,675000,데일리샷,Y,115741,Y,17.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5399822
