위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
글렌파클라스 15년 700ml,글렌파클라스 (Glenfarclas),스페이사이드,46%,올로로소 셰리 캐스크 숙성 · 천연색,"올로로소 셰리의 건포도·토피·몰트·오렌지 향. 풀바디 셰리 단맛에 견과·다크초콜릿·오크 스파이스, 따뜻하고 긴 피니시. 46% 도수로 응집력 있는 풍미.",글렌파클라스 15년은 그랜트 가문 증류소의 사실상 '플래그십'으로 꼽히는 표현. 전량 올로로소 셰리 캐스크 숙성에 46% 병입으로 가성비 셰리 몰트의 대명사.,공식 glenfarclas.com · Whisky Magazine (2026-06-08 리서치),2026-06-08
글렌피딕 21년 700ml,글렌피딕 (Glenfiddich),스페이사이드,40%,엑스-버번 숙성 후 카리브해 럼 캐스크 피니시 (Gran Reserva),"날카로운 생강·무화과·라임 향에서 스위트 토피·바닐라·바나나, 이국적 스파이스의 따뜻한 크레센도 피니시. 럼 캐스크가 더한 토피·열대 과일 단맛.",글렌피딕 21년 Gran Reserva는 카리브해 럼 캐스크에서 약 4개월 추가 피니시한 표현. 세계에서 가장 많이 팔리는 싱글몰트 글렌피딕의 프리미엄 코어레인지.,공식 glenfiddich.com · The Whisky Exchange (2026-06-08 리서치),2026-06-08
조니워커 블랙 루비 1000ml,조니워커 (Johnnie Walker) · 블렌디드 스카치,블렌디드(스코틀랜드),40%,레드와인 + 올로로소 셰리 + 버번 캐스크 숙성 원액 블렌드,블랙라벨을 잇는 과일 중심의 풍부한 베리 — 달콤한 붉은 과일·베리 향에 부드럽고 풍성한 질감. 기존 블랙라벨보다 프루티·스위트.,2025년 출시된 조니워커 신제품. 마스터 블렌더 엠마 워커가 블랙라벨의 유산 위에 레드와인·올로로소 셰리·버번 캐스크 숙성 원액을 더해 과일향을 강조한 블렌디드 스카치.,The Spirits Business · Hard To Find Whisky (2026-06-08 리서치),2026-06-08
발베니 12년 Golden Cask 700ml,발베니 (Balvenie),스페이사이드,43%,엑스-버번 숙성 후 럼 시즈닝 캐스크(카리브해+스코틀랜드 럼 블렌드) 약 6개월 피니시 · GTR 면세 전용,"레몬 드리즐 케이크·꿀·파파야·패션프루트·잭프루트 향, 바나나·바닐라·피칸·토피피넛. 부드러운 입안에서 꿀·카라멜·토피→통밀·몰트·후추·토스티 오크, 말린 망고·살구의 드라이한 꿀 피니시.",발베니 12년 골든 캐스크는 15년 마데이라·18년 PX 셰리와 함께 글로벌 면세(GTR) 전용 라인. 카리브해+스코틀랜드 럼을 시즈닝한 캐스크에서 6개월 피니시해 열대 과일·꿀 단맛을 입혔다.,DFNI · Whisky Advocate · Whisky Saga (2026-06-08 리서치),2026-06-08
조니워커 더블 블랙 1000ml,조니워커 (Johnnie Walker) · 블렌디드 스카치,블렌디드(스코틀랜드),40%,강하게 그을린(차링) 오크 캐스크 비중을 높인 원액 블렌드 · 피티드 몰트 강조,"블랙라벨보다 짙은 스모크·피트. 그을린 오크·정향·후추 스파이스에 말린 과일 단맛, 풍부하고 강렬한 스모키 피니시.","조니워커 더블 블랙은 블랙라벨의 더 스모키·강렬한 버전으로, 피티드 몰트 비중과 깊게 차링한 캐스크 숙성 원액을 늘려 만든다. 면세·여행 소매에서 흔한 1L 포맷.",공식 Johnnie Walker · Master of Malt (2026-06-08 리서치),2026-06-08
TAMDHU Gran Reserva 700ml,탐듀 (Tamdhu),스페이사이드,46%,퍼스트필 올로로소 셰리 캐스크 숙성 (비냉각여과·무착색),"코: 체리, 시럽에 절인 딸기, 단맥아, 망고와 멜론 등 과실향. 입안: 풍부한 셰리 단맛에 크림과 가루낸 향신료, 약한 오크의 쓴맛. 피니시: 부드럽고 달콤하며 향신료가 길게 남는다.","탐듀는 1897년 스페이강 인근에 세워진 스페이사이드 증류소로, 거의 모든 원액을 올로로소 셰리 캐스크에서만 숙성하는 셰리 중심 스타일로 유명하다(현재 Ian Macleod Distillers 소유). Gran Reserva는 면세점(트래블 리테일) 라인업으로, 퍼스트필 올로로소 셰리 캐스크 숙성을 강조해 짙은 셰리 캐릭터와 46% 도수·비냉각여과·무착색을 내세운 에디션이다.","tamdhu.com 공식, Whiskybase, Whisky.com, IWSC, finedrams.com 리테일 (2026-06-09 리서치)",2026-06-09
TAMDHU 14yo Ambar Vintage 2009 700ml,탐듀 (Tamdhu),스페이사이드,43% (공식 Ambar 14년 표준 보틀링 기준; 2009 빈티지 단일 캐스크 별도 릴리스는 캐스크별 도수가 달라 58.7% 등으로 다를 수 있음 — 과신 주의),"리필 올로로소 셰리 캐스크 숙성 (Ambar=스페인어 '호박색', 셰리 영향에 의한 색을 지칭)","코: 셰리에서 온 말린 과일, 호박색을 떠올리게 하는 따뜻한 과실향. 입안: 부드러운 셰리 단맛과 향신료. 피니시: 매끄럽고 셰리 캐릭터가 길게 이어진다. (Ambar 14년 표준 보틀링 기준)","탐듀는 올로로소 셰리 캐스크 일변도로 숙성하는 스페이사이드 증류소다. Ambar('호박색')는 셰리 캐스크가 부여하는 짙은 색과 풍미를 강조한 면세 채널 한정 라인으로, 14년 숙성·43% 도수의 트래블 리테일 익스클루시브로 출시됐다. 2009 빈티지를 표기한 릴리스로, 숙성연수를 명시한 한정 보틀링 계열이다.","tamdhu.com 공식, Whisky.com, Whisky Magazine, Whiskybase, thewhiskyworld.com 리테일 (2026-06-09 리서치)",2026-06-09
TAMDHU Cuatro Reserva 700ml,탐듀 (Tamdhu),스페이사이드,41.2%,네 가지 셰리 캐스크 숙성('Cuatro'=스페인어 '4'): 아메리칸 오크·유러피언 오크 각각의 퍼스트필과 리필 셰리 캐스크,"코: 우아하고 매력적인 향. 입안: 풍부하고 복합적이며 매끄럽다 — 아메리칸 오크의 크리미한 바닐라·달콤한 시트러스, 유러피언 오크의 말린 과일·오크 향신료. 피니시: 길고 우아한 여운. 코어 12·15년보다 가볍고 섬세한 균형.","탐듀는 올로로소 셰리 캐스크 숙성에 집중하는 스페이사이드 증류소다. Cuatro Reserva는 네 종류의 셰리 캐스크(아메리칸/유러피언 오크 × 퍼스트필/리필)를 조합한 무연산(NAS) 면세점 익스클루시브로, 41.2% 도수의 가볍고 부드러운 '데일리' 스타일을 지향한다.","Whisky.com, CaskCartel, Bottle Stop 리테일, tamdhu.com 공식 (2026-06-09 리서치)",2026-06-09
조니워커 XR 21년 750ml,"조니워커 / 존 워커 앤 선즈 (Johnnie Walker / John Walker & Sons, 블렌디드)",스카치 블렌드,40%,"21년 이상 숙성된 희귀 위스키 원액을 블렌딩 (블렌디드 스카치, 최소 숙성연수 21년)","코: 향신료 곁들인 사과 크루아상, 따뜻한 오크, 꿀과 바닐라, 건포도, 설탕 입힌 오렌지 껍질, 은은한 꽃향. 입안: 오렌지·레몬 제스트, 버터스카치, 파이프 담배, 건포도, 카라멜과 열대과일. 피니시: 길게 이어지며 뒤끝에 의외의 피트 힌트.","조니워커는 1860년 존 워커가 에어셔의 식료품점에서 위스키를 블렌딩하며 시작했고, 아들 알렉산더가 대영제국 전역으로 수출하며 세계적 브랜드로 키웠다. XR 21년('XR'=eXtra Rare)은 알렉산더 경이 프리미엄 블렌드 제조에 관해 손수 남긴 노트에서 영감을 받은 럭셔리 라인으로, 21년 이상 숙성한 희귀 원액만을 사용한다.","Flaviar, The Whiskey Wash, Connosr, CellarTracker 리뷰 DB (2026-06-09 리서치)",2026-06-09
글렌피딕 18년 Vat4 Perpetual 700ml,글렌피딕 (Glenfiddich),스페이사이드,47.8%,"올로로소 셰리 캐스크 + 버번 캐스크 18년 숙성, 비냉각여과; 솔레라식 '영구 숙성(perpetual)' 배팅(절반만 병입 후 어린 원액으로 보충)","코: 강건한 오크, 잘 익은 과수원 과일과 구운 사과의 깊고 풍부한 향. 입안: 잘 익은 과수원 과일, 향신료 머금은 사과, 생생한 바닐라 오크의 진하고 호화로운 맛. 피니시: 따뜻하고 부드러우며 벨벳 같은 질감에 달콤한 오크와 부드러운 과일.","글렌피딕은 1886년 윌리엄 그랜트가 세운 스페이사이드 증류소로, 가족 경영을 이어온 세계 베스트셀러 싱글몰트 중 하나다. Perpetual Collection은 면세점(글로벌 트래블 리테일) 전용 라인으로, 셰리 솔레라와 유사하게 결코 완전히 비우지 않는 일련의 배트(vat)에서 원액을 절반만 병입하고 어린 원액으로 채워 '영구 숙성'을 이어가는 방식을 쓴다. VAT 04는 그 네 번째 릴리스로 18년 숙성·47.8% 도수다.","glenfiddich.com 공식, Master of Malt, The Whiskey Wash, Moodie Davitt Report, CaskCartel 리테일 (2026-06-09 리서치)",2026-06-09
탈리스커 써지 700ml,탈리스커 (Talisker),스카이섬,45.8%,아메리칸 엑스버번 캐스크 숙성 (NAS),"노즈는 숲속 베리, 크렘 브륄레, 바나나 스플릿, 버터스카치에 칠리의 힌트가 어우러진다. 팔레트는 브리오슈 같은 단맛, 바노피 파이, 통조림 복숭아의 달콤한 해양 풍미에 생강의 알싸함과 오크 스모크, 후추 스파이스가 따른다. 피니시는 짭조름한 스모크와 페퍼리한 여운.","탈리스커는 1830년 설립된 스카이섬 유일의 증류소로, 해양적이고 페퍼리한 스모키 캐릭터로 유명하다. 써지(Surge)는 2022년 8월 출시된 트래블 리테일(면세) 전용 NAS 에디션으로, 영국·유럽·미국 주요 공항에서 70cl 병으로 판매되었다. 이름처럼 파도가 밀려드는 듯한 에너지를 표현한 표현이다.","Words of Whisky (wordsofwhisky.com), Dramface, Moodie Davitt Report, The Whiskey Wash (2026-06-09 리서치)",2026-06-09
탈리스커 다크 스톰 1000ml,탈리스커 (Talisker),스카이섬,45.8%,강하게 차링(heavily charred)한 오크 캐스크 숙성 (NAS),"노즈는 스모키 베이컨, 블랙 페퍼, 레드 칠리에 과수원 과일과 골든 몰트의 힌트. 팔레트는 강한 오크 영향과 함께 입에 닿는 순간 큰 스모크가 터지고 그 뒤로 붉은 과일, 시트러스, 신선한 꿀이 드러난다. 피니시는 매우 길며 허니로스트 너트의 여운이 남는다.","스카이섬 유일의 증류소 탈리스커가 만든 다크 스톰은 본래 트래블 리테일 시장용으로 출시된 NAS 표현으로, 1L 용량으로도 유통되었다. 강하게 차링한 오크 캐스크를 사용해 이미 강렬한 탈리스커의 스모크와 스파이스를 한층 더 끌어올린 것이 특징이다. 표준 강도인 45.8%로 병입되며 연수 표기가 없어 비교적 어린 원액으로 추정된다.","Master of Malt, The Whisky Exchange, Whisky Magazine, 1001Spirits (2026-06-09 리서치)",2026-06-09
The Lakes Resfeber 700ml,더 레이크스 디스틸러리 (The Lakes Distillery),잉글랜드 (컴브리아),46.6%,"크림 셰리 캐스크 + 레드 와인 바리크(red wine barrique) 숙성, 비냉각여과·무착색","노즈는 토피 트리클에 적신 재즈 애플, 은은한 베이킹 스파이스와 말린 살구. 팔레트는 마라스키노 체리, 토피, 로즈 페탈 프리저브, 서머 푸딩의 힌트. 피니시는 생기 있으면서도 크리미하고 따뜻하다.","더 레이크스 디스틸러리는 잉글랜드 컴브리아의 레이크 디스트릭트(국립공원 인근)에 위치한 증류소로, '위스키메이커스 에디션(The Whiskymaker's Editions)' 시리즈를 통해 위스키메이커의 캐스크 선별·숙성·블렌딩 모험을 선보인다. Resfeber는 새로운 여정을 떠나기 직전의 설렘과 에너지를 담은 한정 표현으로, 크림 셰리와 톡 쏘는 레드 와인 바리크의 조합에서 오는 복합적이고 생동감 있는 캐릭터가 핵심이다.","The Lakes Distillery 공식 (lakesdistillery.com), Whiskybase, Hard To Find Whisky, Dramtime (2026-06-09 리서치)",2026-06-09
The Lakes Kairos 700ml,더 레이크스 디스틸러리 (The Lakes Distillery),잉글랜드 (컴브리아),46.6%,"버번 + 올로로소 셰리 + 다마스커스 오크(Damascus oak) 캐스크 조합 숙성, 비냉각여과·무착색","노즈는 가볍고 우아하며 바닐라·캐러멜 베이스에 아삭한 사과와 달콤한 배, 토피, 오렌지 필, 옅은 플로럴·몰티 노트. 팔레트는 라이트 바디에 부드럽고 크리미하며 말린 과일, 시트러스 필, 바닐라에 시나몬·블랙 페퍼의 스파이스. 피니시는 따뜻하고 길게 이어지며 말린 과일, 크림, 시트러스, 오크 스파이스가 거슬림 없이 남는다.","잉글랜드 컴브리아의 더 레이크스 디스틸러리가 선보인 '위스키메이커스 에디션' 한정 표현이다. 그리스어로 '결정적 순간'을 뜻하는 Kairos는 시간 속에 멈춰진 황금 같은 순간을 콘셉트로 하며, 버번·올로로소 셰리·다마스커스 오크 세 종류 캐스크의 조합으로 향신료와 설타나, 트리클, 코코아가 어우러진 복합미를 표현한다.","The Lakes Distillery 공식 (lakesdistillery.com), Whiskybase, Dramtime, The Whisky Bear (2026-06-09 리서치)",2026-06-09
카이요 Japanese Mizunara Signature 700ml,비공개 (카이요/Kaiyō 브랜드 — 원주 증류소 미공개),일본,43%,"일본 미즈나라(물참나무) 오크 숙성, 비냉각여과","노즈는 분쇄 향신료, 바닐라 스펀지 케이크, 꿀, 흑설탕에 향나무·인센스 같은 방향성 우드 노트. 팔레트는 갓 구운 페이스트리, 에그 커스터드, 올스파이스에 이어 바닐라의 크리미함이 물결처럼 퍼진다. 피니시는 길게 이어지며 시나몬 케이크, 구운 망고, 동양적 향신료의 여운.","카이요(Kaiyō)는 일본산 미즈나라 오크 숙성을 콘셉트로 하는 일본 위스키 브랜드로, 원주를 제공하는 증류소(소스)는 공개하지 않는다. 미즈나라는 통으로 쓸 만큼 자라는 데 보통 200년가량 걸리는 귀하고 값비싼 목재로, 바닐린 함량이 높아 특유의 바닐라·향신료·인센스 풍미를 부여한다. 'The Signature'는 카이요 라인업의 기본 미즈나라 표현으로 43%로 병입되며, 같은 시리즈 내 피티드·캐스크 스트렝스(최대 56%) 등 다른 도수 변형도 존재한다.","The Whiskey Wash, Drinkhacker, The Scotch Noob, Mid Valley Wine & Liquor 제품 상세 (2026-06-09 리서치)",2026-06-09
씨앤씨 버번 캐스크 750ml,버지니아 디스틸러리 컴퍼니 (Virginia Distillery Co.),"미국 버지니아 (러빙스턴, Lovingston)","46% (공식 사이트 기준, 92 proof)",켄터키산 퍼스트필 버번 캐스크 숙성 (최소 4년),"코: 바닐라, 쇼트브레드, 은은한 삼나무. 입: 오렌지 오일, 토스트한 코코넛, 그레이엄 크래커에 실키한 바디. 피니시: 시나몬과 부드러운 오크 스파이스.","'씨앤씨(C&C)'는 버지니아 디스틸러리 컴퍼니의 아메리칸 싱글몰트 라인 '커리지 앤 컨빅션(Courage & Conviction)'의 약칭이다. 라인 이름은 창립자 故 조지 G. 무어 박사의 신조 'Have the courage of your convictions'에서 따왔다. 블루리지 산맥의 샘물과 100% 맥아 보리로 빚어 버지니아의 큰 일교차 기후 속에서 숙성하며, 버번 캐스크 버전은 켄터키산 퍼스트필 버번 캐스크에서 최소 4년 숙성한 핵심 코어 제품이다.","Virginia Distillery Co. 공식 제품 페이지(vadistillery.com/products/courage-conviction-bourbon-cask), courageandconviction.com (2026-06-09 리서치)",2026-06-09
씨앤씨 버지니아 하이랜드 위스키 포트 캐스크 피니시 750ml,버지니아 디스틸러리 컴퍼니 (Virginia Distillery Co.),미국 버지니아 (러빙스턴) — 버지니아산 몰트 위스키와 스코틀랜드산 숙성 몰트 위스키를 블렌딩,"46% (공식 사이트 기준, 92 proof)",버지니아산 포트 스타일 와인 캐스크 + 전통 토니 포트 캐스크에서 최소 12개월 피니시,"코: 허니드 피그(꿀에 절인 무화과), 호두, 사과. 입: 배럴 스모크와 과일의 단맛이 어우러지며 코코아로, 이어 시나몬·클로브로 전개. 피니시: 캐러멜라이즈드 슈거의 여운.","버지니아 디스틸러리 컴퍼니의 '버지니아-하이랜드 위스키(Virginia-Highland Whisky, VHW)' 시리즈로, 버지니아 현지에서 증류한 아메리칸 싱글몰트와 스코틀랜드에서 숙성된 몰트 위스키를 결합한 블렌디드 몰트다. 포트 캐스크 피니시 버전은 2017~2021년 5년 연속 World Whiskies Awards 'Best American Blended Malt'를 수상한 대표작이다.","Virginia Distillery Co. 공식 제품 페이지(vadistillery.com/products/vhw-port-cask-finished-whisky), Virginia ABC, Drinkhacker 리뷰 (2026-06-09 리서치)",2026-06-09
싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,글렌둘란 (Glendullan) — 싱글톤 라인,스페이사이드 (Speyside),확인 불가 — 출처 간 불일치(40% vs 42.8%로 보도됨). NAS(숙성연수 미표기). 정확한 병 표기 ABV는 미확정.,엄선된 아메리칸 화이트 오크 캐스크 단독 숙성,"밝고 과일 중심의 캐릭터로, 풋사과·살구·시트러스 노트가 특징. 꽃향, 신선한 허브, 잘 익은 과일의 아로마.","디아지오가 2024년 여름 출시한 싱글톤의 약 10년 만의 트래블 리테일(면세) 독점 컬렉션 '가든스 오브 어번던스'의 4종 중 하나다(나머지: Golden Autumn Orchard, Exotic Spice Grove, Deep Forest Riches). 컬렉션 전체가 스페이사이드의 글렌둘란 증류소에서 증류되며, 증류소 주변의 떼루아(terroir)를 감각적으로 표현한다는 콘셉트다. 마스터 블렌더는 크레이그 윌슨(Dr. Craig Wilson) 박사.","Whisky Magazine, Moodie Davitt Report, Whisky For Everyone 리뷰 (2026-06-09 리서치)",2026-06-09
라가불린 16년 700ml,라가불린 (Lagavulin),아일라 (Islay),43%,엑스-버번 및 셰리 캐스크에서 최소 16년 숙성,"코: 아일라 특유의 강렬한 피트 스모크에 요오드, 달콤한 스파이스, 잘 익은 셰리, 크리미한 바닐라. 입: 오일리하면서 진하고 풍부하며, 짭짤한 브라인과 묵직한 피트·오크, 과일의 단맛. 피니시: 무화과·대추야자·피트 스모크·바닐라의 길고 스파이시한 여운.","1816년 설립된 라가불린은 아일라 남부를 대표하는 증류소로, 강력한 피트 스모크 캐릭터로 유명하다. 16년은 디아지오 'Classic Malts'의 일원이자 아일라 싱글몰트의 벤치마크로 평가받는 클래식 제품이다.","Malts.com (Diageo 공식), Whisky Magazine, Caskers (2026-06-09 리서치)",2026-06-09
로크로몬드 8년 Madeira 1000ml,로크로몬드 (Loch Lomond),하이랜드,"46% (caskcartel·dutyfreepoints·whisky.com 일치, 1L 트래블리테일 2022 릴리스)",아메리칸 오크 숙성 후 마데이라 캐스크 피니시,"코에서 오렌지·너트맥·아몬드 마지팬. 입에서는 복숭아·배·무화과에 너트맥과 마지팬, 호두의 견과 풍미. 마데이라 피니시가 과수원 과일 캐릭터와 향신료를 더한다.","로크로몬드는 스완넥 포트스틸과 독특한 스트레이트넥(직선목) 포트스틸을 함께 운용해 다양한 스타일을 한 증류소에서 만드는 하이랜드 증류소다. 이 8년 마데이라 우드 피니시는 글로벌 트래블리테일(면세) 전용 라인업의 1L 보틀로, 2022년 릴리스되었다. 아메리칸 오크에서 숙성한 뒤 마데이라 캐스크로 추가 숙성해 과실미와 스파이스를 강조했다.","lochlomondwhiskies.com(Global Travel Retail), caskcartel.com, dutyfreepoints.com, whisky.com 위스키 데이터베이스 (2026-06-09 리서치)",2026-06-09
