제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
조니워커 엑스오디네어 1000ml,1000,,1000,1000,,,319.2,31.92,259.35,25.94,신세계,5.98,18.7,,,,,,,,,,,조니워커 엑스오디네어 1000ml,조니워커 엑스오디네어 1000ml
와일드무어 23년 웨이킹 포레스트 700ml,700,700,700,,109.04,15.58,150.4,21.49,,,신라,5.91,27.5,278000,39714,데일리샷,2026-06-28,22099,44.4,면세,신라,5.91,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어 23년 웨이킹 포레스트 700ml,
글렌파클라스 105 1000ml,1000,1000,1000,1000,66.78,6.68,119.7,11.97,63.0,6.3,신세계,5.67,47.4,,,,,,,,신라,5.29,글렌파클라스 105 1000ml,글렌파클라스 105 CS 1000ml,글렌파클라스 105 1000ml
글렌데브론 40년 700ml,700,700,,700,2744.0,392.0,,,2704.8,386.4,신세계,5.6,1.4,,,,,,,,,,글렌데브론 40년 700ml,,글렌데브론 40년 700ml
에버펠디 25년 700ml,700,700,,700,318.72,45.53,,,357.5,51.07,신라,5.54,10.8,,,,,,,,,,에버펠디 25년 700ml,,에버펠디 25년 700ml
글렌피딕 22년 그랑 코르테스 700ml,700,700,700,700,207.7,29.67,169.26,24.18,183.37,26.2,롯데,5.49,18.5,,,,,,,,롯데,5.49,글렌피딕 22년 그랑 코르테스 700ml,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕 22년 그랑 코르테즈 700ml
블라드녹 14년 올로로소 셰리 700ml,700,,700,700,,,87.55,12.51,126.0,18.0,롯데,5.49,30.5,,,,,,,,,,,블라드녹 14년 올로로소 셰리 700ml,블라드녹 14년 올로로소 셰리 700ml
글렌피딕 26년 GC 700ml,700,700,700,,423.6,60.51,385.47,55.07,,,롯데,5.45,9.0,,,,,,,,롯데,5.45,글렌피딕 26년 GC 700ml,글렌피딕 26년 그랑 쿠론 700ml,
브룩라디 옥토모어 15.2 700ml,700,,700,700,,,190.0,27.14,152.0,21.71,신세계,5.43,20.0,,,,,,,,,,,브룩라디 옥토모어 15.2 700ML,브룩라디 옥토모어 15.2 700ml
카발란 페드로히메네즈 솔리스트 750ml,750,750,,750,319.2,42.56,,,359.1,47.88,신라,5.32,11.1,,,,,,,,,,카발란 페드로히메네즈 솔리스트 750ml,,카발란 페드로히메네즈 솔리스트 750ml
와일드무어 30년 트로피칼 코스트 700ml,700,700,700,,248.32,35.47,211.07,30.15,,,롯데,5.32,15.0,675000,96429,데일리샷,2026-06-28,42765,55.7,면세,롯데,5.32,와일드무어 30년 트로피칼 코스트 700ml,와일드무어 30년 트로피칼 코스트 700ml,
더 글렌그란트 21년 700ml,700,700,700,700,174.08,24.87,211.14,30.16,178.5,25.5,신라,5.29,17.6,359000,51286,데일리샷,2026-06-28,35276,31.2,면세,신라,5.29,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml
화이트헤더 21년 700ml,700,700,,700,131.22,18.75,,,166.8,23.83,신라,5.08,21.3,325900,46557,데일리샷,2026-06-28,26595,42.9,면세,,,화이트헤더 21년 700ml,,화이트헤더 21년 700ml
브룩라디 옥토모어 15.1 700ml,700,700,700,700,167.0,23.86,167.0,23.86,133.6,19.09,신세계,4.77,20.0,,,,,,,,동일,0.0,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어15.1 700ml
더 글렌그란트 18년 1000ml,1000,1000,,1000,115.78,11.58,,,163.2,16.32,신라,4.74,29.1,200000,28571,데일리샷,2026-06-28,16425,42.5,면세,,,더 글렌그란트 18년 1000ml,,더 글렌그란트 18년 1000ml
주라 더 베이  1000ml,1000,1000,1000,1000,40.8,4.08,85.0,8.5,38.25,3.82,신세계,4.68,55.0,,,,,,,,신라,4.42,주라 더 베이  1000ml,주라 더 베이 1000ml,주라 더 베이 1000ml
카발란 비노바리끄 솔리스트 1000ml,1000,1000,1000,1000,138.0,13.8,184.0,18.4,138.0,13.8,신라/신세계,4.6,25.0,,,,,,,,신라,4.6,카발란 비노바리끄 솔리스트 1000ml,카발란 비노 바리끄 솔리스트 1000ml,카발란 비노바리끄 솔리스트 1000ml
부나하벤 크루아모나 1000ml,1000,1000,,1000,51.84,5.18,,,96.0,9.6,신라,4.42,46.0,119000,11900,데일리샷,2026-06-28,7347,38.3,면세,,,부나하벤 크루아모나 1000ml,,부나하벤 크루아모나 1000ml
레드브레스트 18년 700ml,700,700,,700,112.0,16.0,,,140.0,20.0,신라,4.0,20.0,,,,,,,,,,레드브레스트 18년 700ml,,레드브레스트 18년 700ml
캐퍼도닉 21년 피티드 700ml,700,,700,700,,,201.84,28.83,174.58,24.94,신세계,3.89,13.5,,,,,,,,,,,캐퍼도닉 21년 피티드 700ml,캐퍼도닉 21년 피티드 700ml
글렌글라사 샌드엔드 700ml,700,700,700,,35.91,5.13,63.0,9.0,,,신라,3.87,43.0,79800,11400,트레이더스,2026-06-16,7276,36.2,면세,신라,3.87,글렌글라사 샌드엔드 700ml,글렌글라사 샌드엔드 700ml,
글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,700,700,,700,145.2,20.74,,,171.6,24.51,신라,3.77,15.4,289000,41286,데일리샷,2026-06-28,29418,28.7,면세,,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml
보모어 24년 프랭크 콰이어틀리 4 700ml,700,700,,700,295.8,42.26,,,321.3,45.9,신라,3.64,7.9,,,,,,,,,,보모어 24년 프랭크 콰이어틀리 4 700ml,,보모어 24년 프랭크 콰이어틀리 4 700ml
주라 더 사운드 1000ml,1000,1000,1000,1000,29.25,2.93,65.0,6.5,29.25,2.93,신라/신세계,3.57,55.0,,,,,,,,신라,3.57,주라 더 사운드 1000ml,주라 더 사운드 1000ml,주라 더 사운드 1000ml
글렌알라키 12년 (24RB) 700ml,700,700,700,700,53.66,7.67,77.04,11.01,52.97,7.57,신세계,3.44,31.2,89900,12843,데일리샷,2026-06-28,10737,16.4,면세,신라,3.34,글렌알라키 12년 (24RB) 700ml,글렌알라키 12년 700ml,글렌알라키 12년 (24RB) 700mL
와일드터키 마스터스 킵 보야지 750ml,750,750,,750,122.32,16.31,,,147.9,19.72,신라,3.41,17.3,,,,,,,,,,와일드터키 마스터스 킵 보야지 750ml,,와일드터키 마스터스 킵 보야지 750ml
로얄브라클라 12년 1000ml,1000,1000,1000,1000,50.68,5.07,82.45,8.25,48.89,4.89,신세계,3.36,40.7,89800,12829,트레이더스,2026-08-15,6936,45.9,면세,신라,3.18,로얄브라클라 12년 1000ml,로얄브라클라 12년 1000ml,로얄브라클라 12년 1000ml
브룩라디 옥토모어 16.3 700ml,700,,700,700,,,230.0,32.86,207.0,29.57,신세계,3.29,10.0,,,,,,,,,,,브룩라디 옥토모어 16.3 700ml,브룩라디 옥토모어 16.3 700ml
보모어 16년 700ml,700,700,700,700,55.0,7.86,77.33,11.05,58.52,8.36,신라,3.19,28.9,150000,21429,데일리샷,2026-06-28,11149,48.0,면세,신라,3.19,보모어 16년 700ml,보모어 16년 700ml,보모어 16년 700ml
아드벡 21년 700ml,700,700,700,,330.0,47.14,352.0,50.29,,,신라,3.14,6.3,,,,,,,,신라,3.14,아드벡 21년 700ml,아드벡 21년 700ml,
글렌알라키 8년 700ml,700,700,700,700,43.77,6.25,65.52,9.36,45.05,6.44,신라,3.11,33.2,,,,,,,,신라,3.11,글렌알라키 8년 700ml,글렌알라키 8년 700ml,글렌알라키 8년 700ml
탐나불린 1000ml,1000,1000,1000,,25.42,2.54,56.0,5.6,,,신라,3.06,54.6,39900,5700,데일리샷,2026-06-28,3603,36.8,면세,신라,3.06,탐나불린 1000ml,탐나불린 1000ml,
시바스리갈 25년 700ml,700,700,700,700,272.36,38.91,270.74,38.68,291.75,41.68,롯데,3.0,7.2,549000,78429,데일리샷,2026-06-28,54864,30.0,면세,롯데,0.23,시바스리갈 25년 700ml,시바스리갈 25년 700ml,시바스리갈 25년 700ml
발베니 12 골든럼 캐스크 700ml,700,,700,700,,,64.0,9.14,44.2,6.31,신세계,2.83,30.9,,,,,,,,,,,발베니 12 골든럼 캐스크 IGL 700ml,발베니 12 골든럼 캐스크 700ml
탐나불린 올로로소 1000ml,1000,1000,1000,1000,26.5,2.65,53.0,5.3,24.91,2.49,신세계,2.81,53.0,,,,,,,,신라,2.65,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml
싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,700,700,700,700,146.3,20.9,165.76,23.68,148.4,21.2,신라,2.78,11.7,,,,,,,,신라,2.78,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치700ml
섀클턴 1000ml,1000,1000,1000,1000,30.31,3.03,58.0,5.8,34.8,3.48,신라,2.77,47.8,34900,4986,데일리샷,2026-06-28,4298,13.8,면세,신라,2.77,섀클턴 1000ml,섀클턴 1000ml,섀클턴 1000ml
탈리스커 써지 700ml,700,700,700,,51.66,7.38,70.84,10.12,,,신라,2.74,27.1,149000,21286,데일리샷,2026-06-28,10468,50.8,면세,신라,2.74,탈리스커 써지 700ml,탈리스커 써지 700ml,
글렌피딕 19년 애스턴마틴 F1 700ml,700,,700,700,,,115.5,16.5,96.53,13.79,신세계,2.71,16.4,,,,,,,,,,,글렌피딕 19년 애스턴마틴 F1 700ml,글렌피딕 19년 애스턴마틴 F1 700ml
글렌알라키 15년 (24RB) 700ml,700,700,700,700,86.19,12.31,104.94,14.99,88.3,12.61,신라,2.68,17.9,147900,21129,데일리샷,2026-06-28,17461,17.4,면세,신라,2.68,글렌알라키 15년 (24RB) 700ml,글렌알라키 15년 700ml,글렌알라키 15년 (24RB) 700ml
맥네어스 럼릭 12년 700ml,700,700,700,700,52.47,7.5,44.94,6.42,63.6,9.09,롯데,2.67,29.3,,,,,,,,롯데,1.08,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml
블라드녹 알린타 700ml,700,,700,700,,,59.28,8.47,78.0,11.14,롯데,2.67,24.0,110000,15714,데일리샷,2026-06-28,12014,23.5,면세,,,,블라드녹 알린타 700ml,블라드녹 알린타 700ml
블라드녹 삼사라 700ml,700,,700,700,,,59.28,8.47,78.0,11.14,롯데,2.67,24.0,102000,14571,데일리샷,2026-06-28,12014,17.6,면세,,,,블라드녹 삼사라 700ml,블라드녹 삼사라 700ml
올트모어 12년 1000ml,1000,1000,1000,,46.02,4.6,72.48,7.25,,,신라,2.65,36.5,73500,10500,데일리샷,2026-06-28,6525,37.9,면세,신라,2.65,올트모어 12년 1000ml,올트모어 12년 1000ml,
에버펠디 16년 마데이라 캐스크 700ml,700,,700,700,,,87.12,12.45,68.75,9.82,신세계,2.62,21.1,75800,10829,트레이더스,2026-05-27,13929,-28.6,국내,,,,에버펠디 16년 마데이라 캐스크 700ml,에버펠디 16년 마데이라 캐스크 700ml
산토리 토키 1000ml,1000,1000,1000,,25.19,2.52,51.0,5.1,,,신라,2.58,50.6,,,,,,,,신라,2.58,산토리 토키 1000ml,산토리 토키 1000ml,
기원 달 700ml,700,700,700,700,35.4,5.06,53.1,7.59,41.3,5.9,신라,2.53,33.3,,,,,,,,신라,2.53,기원 달 700ml,기원 달 700ml,기원 달 700ml
화이트헤더 15년 700ml,700,700,,700,57.96,8.28,,,75.6,10.8,신라,2.52,23.3,137000,19571,데일리샷,2026-06-28,11744,40.0,면세,,,화이트헤더 15년 700ml,,화이트헤더 15년 700ml
로얄살루트 21년 루나 뉴이어 2026 700ml,700,700,,700,123.23,17.6,,,140.8,20.11,신라,2.51,12.5,185000,26429,데일리샷,2026-06-28,24964,5.5,면세,,,로얄살루트 21년 루나 뉴이어 2026 700ml,,로얄살루트 21년 루나 뉴이어 2026 700ml
올드풀트니 12년 700ml,700,,700,700,,,29.1,4.16,46.2,6.6,롯데,2.44,37.0,66000,9429,데일리샷,2026-06-28,5901,37.4,면세,,,,올드풀트니 12년 700ml,올드풀트니 12년 700ml
라프로익 PX Cask 1000ml,1000,1000,1000,1000,59.28,5.93,80.94,8.09,56.76,5.68,신세계,2.42,29.9,,,,,,,,신라,2.17,라프로익 PX Cask 1000ml,라프로익 PX 캐스크 1000ml,라프로익 PX 캐스크 1000ml
웰러 스페셜 리저브 750ml,750,750,750,750,48.0,6.4,57.88,7.72,66.05,8.81,신라,2.41,27.3,,,,,,,,신라,1.32,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml
브룩라디 옥토모어 16.1 700ml,700,,700,700,,,167.0,23.86,150.3,21.47,신세계,2.39,10.0,,,,,,,,,,,브룩라디 옥토모어 16.1 700ML,브룩라디 옥토모어 16.1 700ml
듀어스 더블더블 21년 미즈나라캐스크 500ml,500,500,,500,92.57,18.51,,,104.4,20.88,신라,2.37,11.3,149000,29800,데일리샷,2026-06-28,26255,11.9,면세,,,듀어스 더블더블 21년 미즈나라캐스크 500ml,,듀어스 더블더블 21년 미즈나라 캐스크 500ml
몰트락 네버바운드 700ml,700,700,,700,85.5,12.21,,,102.0,14.57,신라,2.36,16.2,240000,34286,데일리샷,2026-06-28,17319,49.5,면세,,,몰트락 네버바운드 700ml,,몰트락 네버바운드 700ml
와일드터키 마스터스 킵 트라이엄프 750ml,750,,750,750,,,166.25,22.17,148.75,19.83,신세계,2.33,10.5,,,,,,,,,,,와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키 마스터스 킵 트라이엄프 750ml
베리 올드 세인트 닉 윈터 라이 750ml,750,,750,750,,,171.0,22.8,187.69,25.03,롯데,2.23,8.9,,,,,,,,,,,베리올드세인트닉 윈터라이 750ml,베리 올드 세인트 닉 윈터 라이 750ml
블라드녹 리오라 700ml,700,,700,700,,,51.07,7.3,66.0,9.43,롯데,2.13,22.6,135900,19414,데일리샷,2026-06-28,10354,46.7,면세,,,,블라드녹 리오라 700ml,블라드녹 리오라 700ml
로즈아일 12년 SR FY24 700ml (2023 Special Release),700,700,,700,100.8,14.4,,,86.4,12.34,신세계,2.06,14.3,,,,,,,,,,로즈아일 12년 SR FY24 700ml (2023 Special Release),,로즈아일 12년 SR FY24 700ml(2023 Special Release)
우미키 750ml,750,750,750,750,43.8,5.84,35.62,4.75,51.1,6.81,롯데,2.06,30.3,,,,,,,,롯데,1.09,우미키 750ml,우미키 750ml,우미키 750ml
보모어 14년 700ml,700,700,700,700,34.0,4.86,47.8,6.83,36.18,5.17,신라,1.97,28.9,101900,14557,데일리샷,2026-06-28,6893,52.6,면세,신라,1.97,보모어 14년 700ml,보모어 14년 700ml,보모어 14년 700ml
에버펠디 12년 마데이라 캐스크 700ml,700,700,700,700,33.23,4.75,46.0,6.57,33.03,4.72,신세계,1.85,28.2,,,,,,,,신라,1.82,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml
글렌데브론 16년 1000ml,1000,1000,1000,1000,47.03,4.7,62.73,6.27,45.0,4.5,신세계,1.77,28.3,,,,,,,,신라,1.57,글렌데브론 16년 1000ml,글렌데브론 16년 1000ml,글렌데브론 16년 1000ml
카발란 콘서트마스터 1000ml,1000,1000,1000,1000,52.8,5.28,70.4,7.04,52.8,5.28,신라/신세계,1.76,25.0,,,,,,,,신라,1.76,카발란 콘서트마스터 1000ml,카발란 콘서트마스터 1000ml,카발란 콘서트마스터 1000ml
더 글렌리벳 21년 700ml,700,700,,700,184.19,26.31,,,196.5,28.07,신라,1.76,6.3,520000,74286,데일리샷,2026-06-28,37318,49.8,면세,,,더 글렌리벳 21년 700ml,,더 글렌리벳 21년 700ml
캐퍼도닉 18년 피티드 700ml,700,,700,700,,,90.48,12.93,78.26,11.18,신세계,1.75,13.5,,,,,,,,,,,캐퍼도닉 18년 피티드 700mL,캐퍼도닉 18년 피티드 700ml
씨앤씨 뀌베 캐스크 750ml,750,750,750,,70.0,9.33,57.0,7.6,,,롯데,1.73,18.6,,,,,,,,롯데,1.73,씨앤씨 뀌베 캐스크 750ml,씨앤씨 뀌베 캐스크 750ml,
아벨라워 아부나흐 700ml,700,700,700,700,68.83,9.83,80.73,11.53,69.23,9.89,신라,1.7,14.7,200000,28571,데일리샷,2026-08-15,13943,51.2,면세,신라,1.7,아벨라워 아부나흐 700ml,아벨라워 아부나흐 700ml,아벨라워 아부나흐 700ml
기원 코리안 트래블 익스클루시브 700ml,700,700,,700,70.8,10.11,,,82.6,11.8,신라,1.69,14.3,,,,,,,,,,기원 코리안 트래블 익스클루시브 700ml,,"기원 코리안 트래블 익스클루시브, 700ml"
듀어스 16년 1000ml,1000,1000,1000,1000,45.22,4.52,59.24,5.92,42.84,4.28,신세계,1.64,27.7,,,,,,,,신라,1.4,듀어스 16년 1000ml,듀어스 16년 1000ml,듀어스 16년 1000ml
토마틴 16년 700ml,700,700,,700,38.95,5.56,,,50.35,7.19,신라,1.63,22.6,,,,,,,,,,토마틴 16년 700ml,,토마틴 16년 700ml
듀어스 더블더블 27년 500ml,500,500,,500,151.05,30.21,,,159.0,31.8,신라,1.59,5.0,289000,57800,데일리샷,2026-06-28,42850,25.9,면세,,,듀어스 더블더블 27년 500ml,,듀어스 더블더블 27년 500ml
더 글렌리벳 그라운드브레이커스 700ml,700,,700,700,,,60.0,8.57,70.0,10.0,롯데,1.43,14.3,,,,,,,,,,,더 글렌리벳 그라운드브레이커스 700ml,더 글렌리벳 그라운드브레이커스 700ml
글렌모렌지 16년 트리뷰트 1000ml,1000,1000,1000,1000,74.25,7.42,74.25,7.42,88.5,8.85,신라/롯데,1.42,16.1,,,,,,,,동일,0.0,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml
라프로익 포트우드 2023 700ml,700,700,,700,86.94,12.42,,,96.8,13.83,신라,1.41,10.2,194000,27714,데일리샷,2026-06-28,17617,36.4,면세,,,라프로익 포트우드 2023 700ml,,라프로익 포트우드 2023 700ml
발베니 클래식 700ml,700,,700,700,,,55.75,7.96,65.65,9.38,롯데,1.41,15.1,,,,,,,,,,,발베니 클래식 700ml,발베니 클래식 700ml
더 글렌리벳 캐스크메이커스 700ml,700,,700,700,,,79.2,11.31,69.3,9.9,신세계,1.41,12.5,,,,,,,,,,,더 글렌리벳 캐스크메이커스 700ml,더 글렌리벳 캐스크메이커스 700ml
싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),700,,700,700,,,93.53,13.36,83.74,11.96,신세계,1.4,10.5,,,,,,,,,,,싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release)
레드브레스트 12년 700ml,700,700,,700,35.2,5.03,,,44.8,6.4,신라,1.37,21.4,74800,10686,데일리샷,2026-06-28,7135,33.2,면세,,,레드브레스트 12년 700ml,,레드브레스트 12년 700ml
