제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
글렌피딕 22년 그랑 코르테스 700ml,700,700,700,700,201.5,28.79,169.26,24.18,183.37,26.2,롯데,4.61,16.0,,,,,,,,롯데,4.61,글렌피딕 22년 그랑 코르테스 700ml,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕 22년 그랑 코르테즈 700ml
부나하벤 크루아모나 1000ml,1000,1000,,1000,51.84,5.18,,,96.0,9.6,신라,4.42,46.0,119000,11900,데일리샷,2026-06-28,7402,37.8,면세,,,부나하벤 크루아모나 1000ml,,부나하벤 크루아모나 1000ml
맥네어스 럼릭 21년 700ml,700,700,,700,159.77,22.82,,,190.2,27.17,신라,4.35,16.0,,,,,,,,,,맥네어스 럼릭 21년 700ml,,맥네어스 럼릭 21년 700ml
에버펠디 25년 700ml,700,700,,700,329.18,47.02,,,357.5,51.07,신라,4.05,7.9,,,,,,,,,,에버펠디 25년 700ml,,에버펠디 25년 700ml
레드브레스트 18년 700ml,700,700,,700,112.0,16.0,,,140.0,20.0,신라,4.0,20.0,,,,,,,,,,레드브레스트 18년 700ml,,레드브레스트 18년 700ml
캐퍼도닉 21년 피티드 700ml,700,,700,700,,,201.84,28.83,174.58,24.94,신세계,3.89,13.5,,,,,,,,,,,캐퍼도닉 21년 피티드 700ml,캐퍼도닉 21년 피티드 700ml
글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,700,700,,700,145.2,20.74,,,171.6,24.51,신라,3.77,15.4,289000,41286,데일리샷,2026-06-28,29635,28.2,면세,,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml
보모어 24년 프랭크 콰이어틀리 4 700ml,700,700,,700,295.8,42.26,,,321.3,45.9,신라,3.64,7.9,,,,,,,,,,보모어 24년 프랭크 콰이어틀리 4 700ml,,보모어 24년 프랭크 콰이어틀리 4 700ml
주라 더 사운드 1000ml,1000,1000,1000,1000,29.25,2.93,65.0,6.5,29.25,2.93,신라/신세계,3.57,55.0,,,,,,,,신라,3.57,주라 더 사운드 1000ml,주라 더 사운드 1000ml,주라 더 사운드 1000ml
더 글렌그란트 2006 프라이빗 캐스크 700ml,700,700,700,700,98.7,14.1,123.57,17.65,119.4,17.06,신라,3.55,20.1,,,,,,,,신라,3.55,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml
글렌알라키 12년 (24RB) 700ml,700,700,700,700,53.66,7.67,77.04,11.01,52.97,7.57,신세계,3.44,31.2,89900,12843,데일리샷,2026-06-28,10817,15.8,면세,신라,3.34,글렌알라키 12년 (24RB) 700ml,글렌알라키 12년 700ml,글렌알라키 12년 (24RB) 700mL
와일드터키 마스터스 킵 보야지 750ml,750,750,,750,122.32,16.31,,,147.9,19.72,신라,3.41,17.3,,,,,,,,,,와일드터키 마스터스 킵 보야지 750ml,,와일드터키 마스터스 킵 보야지 750ml
캐퍼도닉 21년 700ml,700,,700,700,,,174.0,24.86,150.5,21.5,신세계,3.36,13.5,,,,,,,,,,,캐퍼도닉 21년 700mL,캐퍼도닉 21년 700ml
브룩라디 옥토모어 14.3 700ml,700,,700,700,,,230.0,32.86,207.0,29.57,신세계,3.29,10.0,,,,,,,,,,,브룩라디 옥토모어 14.3 700ML,브룩라디 옥토모어 14.3 700ml
브룩라디 옥토모어 16.3 700ml,700,,700,700,,,230.0,32.86,207.0,29.57,신세계,3.29,10.0,,,,,,,,,,,브룩라디 옥토모어 16.3 700ml,브룩라디 옥토모어 16.3 700ml
아드벡 21년 700ml,700,700,700,,330.0,47.14,352.0,50.29,,,신라,3.14,6.3,,,,,,,,신라,3.14,아드벡 21년 700ml,아드벡 21년 700ml,
글렌알라키 8년 700ml,700,700,700,700,43.77,6.25,65.52,9.36,45.05,6.44,신라,3.11,33.2,,,,,,,,신라,3.11,글렌알라키 8년 700ml,글렌알라키 8년 700ml,글렌알라키 8년 700ml
탐나불린 1000ml,1000,1000,1000,,25.42,2.54,56.0,5.6,,,신라,3.06,54.6,39900,5700,데일리샷,2026-06-28,3629,36.3,면세,신라,3.06,탐나불린 1000ml,탐나불린 1000ml,
시바스리갈 25년 700ml,700,700,700,700,272.36,38.91,270.74,38.68,291.75,41.68,롯데,3.0,7.2,549000,78429,데일리샷,2026-06-28,55269,29.5,면세,롯데,0.23,시바스리갈 25년 700ml,시바스리갈 25년 700ml,시바스리갈 25년 700ml
글렌알라키 15년 (24RB) 700ml,700,700,700,700,84.5,12.07,104.94,14.99,88.3,12.61,신라,2.92,19.5,147900,21129,데일리샷,2026-06-28,17247,18.4,면세,신라,2.92,글렌알라키 15년 (24RB) 700ml,글렌알라키 15년 700ml,글렌알라키 15년 (24RB) 700ml
틸링 싱글 그레인 1000ml,1000,,1000,1000,,,62.05,6.2,33.73,3.37,신세계,2.83,45.6,,,,,,,,,,,틸링 싱글 그레인 1000ml,틸링 싱글 그레인 1000ml
탐나불린 올로로소 1000ml,1000,1000,1000,1000,26.5,2.65,53.0,5.3,24.91,2.49,신세계,2.81,53.0,,,,,,,,신라,2.65,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml
싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,700,700,700,700,146.3,20.9,165.76,23.68,148.4,21.2,신라,2.78,11.7,,,,,,,,신라,2.78,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치700ml
섀클턴 1000ml,1000,1000,1000,1000,30.31,3.03,58.0,5.8,34.8,3.48,신라,2.77,47.8,34900,4986,데일리샷,2026-06-28,4330,13.2,면세,신라,2.77,섀클턴 1000ml,섀클턴 1000ml,섀클턴 1000ml
탈리스커 써지 700ml,700,700,700,,51.66,7.38,70.84,10.12,,,신라,2.74,27.1,149000,21286,데일리샷,2026-06-28,10545,50.5,면세,신라,2.74,탈리스커 써지 700ml,탈리스커 써지 700ml,
글렌피딕 23년 Grand Cru 700ml,700,700,700,,211.8,30.26,192.73,27.53,,,롯데,2.72,9.0,,,,,,,,롯데,2.72,글렌피딕 23년 Grand Cru 700ml,글렌피딕 23년 그랑 크루 슬림팩 700ml,
브룩라디 옥토모어 15.2 700ml,700,,700,700,,,190.0,27.14,171.0,24.43,신세계,2.71,10.0,,,,,,,,,,,브룩라디 옥토모어 15.2 700ML,브룩라디 옥토모어 15.2 700ml
보모어 16년 700ml,700,700,700,700,60.5,8.64,77.33,11.05,58.52,8.36,신세계,2.69,24.3,150000,21429,데일리샷,2026-06-28,11946,44.3,면세,신라,2.4,보모어 16년 700ml,보모어 16년 700ml,보모어 16년 700ml
맥네어스 럼릭 12년 700ml,700,700,700,700,52.47,7.5,44.94,6.42,63.6,9.09,롯데,2.67,29.3,,,,,,,,롯데,1.08,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml
블라드녹 알린타 700ml,700,,700,700,,,59.28,8.47,78.0,11.14,롯데,2.67,24.0,110000,15714,데일리샷,2026-06-28,12103,23.0,면세,,,,블라드녹 알린타 700ml,블라드녹 알린타 700ml
블라드녹 삼사라 700ml,700,,700,700,,,59.28,8.47,78.0,11.14,롯데,2.67,24.0,102000,14571,데일리샷,2026-06-28,12103,16.9,면세,,,,블라드녹 삼사라 700ml,블라드녹 삼사라 700ml
카발란 페드로히메네즈 솔리스트 750ml,750,750,,750,319.2,42.56,,,339.15,45.22,신라,2.66,5.9,,,,,,,,,,카발란 페드로히메네즈 솔리스트 750ml,,카발란 페드로히메네즈 솔리스트 750ml
조니워커 킹조지 5세 500ml,500,500,500,,268.4,53.68,281.6,56.32,,,신라,2.64,4.7,,,,,,,,신라,2.64,조니워커 킹조지 5세 500ml,조니워커 킹조지 5세 500ml,
에버펠디 16년 마데이라 캐스크 700ml,700,,700,700,,,87.12,12.45,68.75,9.82,신세계,2.62,21.1,75800,10829,트레이더스,2026-05-27,14032,-29.6,국내,,,,에버펠디 16년 마데이라 캐스크 700ml,에버펠디 16년 마데이라 캐스크 700ml
화이트헤더 15년 700ml,700,700,,700,57.96,8.28,,,75.6,10.8,신라,2.52,23.3,137000,19571,데일리샷,2026-06-28,11831,39.5,면세,,,화이트헤더 15년 700ml,,화이트헤더 15년 700ml
로얄살루트 21년 루나 뉴이어 2026 700ml,700,700,,700,123.23,17.6,,,140.8,20.11,신라,2.51,12.5,185000,26429,데일리샷,2026-06-28,25148,4.8,면세,,,로얄살루트 21년 루나 뉴이어 2026 700ml,,로얄살루트 21년 루나 뉴이어 2026 700ml
라프로익 PX Cask 1000ml,1000,1000,1000,1000,59.28,5.93,80.94,8.09,56.76,5.68,신세계,2.42,29.9,,,,,,,,신라,2.17,라프로익 PX Cask 1000ml,라프로익 PX 캐스크 1000ml,라프로익 PX 캐스크 1000ml
브룩라디 옥토모어 15.1 700ml,700,700,700,700,167.0,23.86,167.0,23.86,150.3,21.47,신세계,2.39,10.0,,,,,,,,동일,0.0,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어15.1 700ml
브룩라디 옥토모어 16.1 700ml,700,,700,700,,,167.0,23.86,150.3,21.47,신세계,2.39,10.0,,,,,,,,,,,브룩라디 옥토모어 16.1 700ML,브룩라디 옥토모어 16.1 700ml
듀어스 더블더블 21년 미즈나라캐스크 500ml,500,500,,500,92.57,18.51,,,104.4,20.88,신라,2.37,11.3,149000,29800,데일리샷,2026-06-28,26449,11.2,면세,,,듀어스 더블더블 21년 미즈나라캐스크 500ml,,듀어스 더블더블 21년 미즈나라 캐스크 500ml
와일드터키 마스터스 킵 트라이엄프 750ml,750,,750,750,,,166.25,22.17,148.75,19.83,신세계,2.33,10.5,,,,,,,,,,,와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키 마스터스 킵 트라이엄프 750ml
로얄브라클라 21년 700ml,700,700,700,700,181.83,25.98,165.99,23.71,171.22,24.46,롯데,2.26,8.7,,,,,,,,롯데,2.26,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml
와일드무어 23년 웨이킹 포레스트 700ml,700,700,700,,109.04,15.58,93.24,13.32,,,롯데,2.26,14.5,278000,39714,데일리샷,2026-06-28,19033,52.1,면세,롯데,2.26,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어 23년 웨이킹 포레스트 700ml,
타케츠루 퓨어 몰트 그란데 700ml,700,700,,700,87.78,12.54,,,72.16,10.31,신세계,2.23,17.8,,,,,,,,,,타케츠루 퓨어 몰트 그란데 700ml,,타케츠루 퓨어 몰트 그란데 700ml
요이치 싱글 몰트 그란데 700ml,700,700,,700,87.78,12.54,,,72.16,10.31,신세계,2.23,17.8,,,,,,,,,,요이치 싱글 몰트 그란데 700ml,,요이치 싱글 몰트 그란데 700ml
미야기쿄 싱글 몰트 그란데 700ml,700,700,,700,87.78,12.54,,,72.16,10.31,신세계,2.23,17.8,,,,,,,,,,미야기쿄 싱글 몰트 그란데 700ml,,미야기쿄 싱글 몰트 그란데 700ml
블라드녹 리오라 700ml,700,,700,700,,,51.07,7.3,66.0,9.43,롯데,2.13,22.6,135900,19414,데일리샷,2026-06-28,10431,46.3,면세,,,,블라드녹 리오라 700ml,블라드녹 리오라 700ml
로즈아일 12년 SR FY24 700ml (2023 Special Release),700,700,,700,100.8,14.4,,,86.4,12.34,신세계,2.06,14.3,,,,,,,,,,로즈아일 12년 SR FY24 700ml (2023 Special Release),,로즈아일 12년 SR FY24 700ml(2023 Special Release)
우미키 750ml,750,750,750,750,43.8,5.84,35.62,4.75,51.1,6.81,롯데,2.06,30.3,,,,,,,,롯데,1.09,우미키 750ml,우미키 750ml,우미키 750ml
노아스 밀 750ml,750,,750,750,,,66.69,8.89,81.9,10.92,롯데,2.03,18.6,155000,20667,데일리샷,2026-06-28,12703,38.5,면세,,,,노아스밀  750ml,노아스 밀 750ml
탈리스커 10년 1L,1000,1000,1000,1000,48.45,4.84,64.0,6.4,44.37,4.44,신세계,1.96,30.7,69000,9857,데일리샷,2026-07-31,6344,35.6,면세,신라,1.56,탈리스커 10년 1L,탈리스커 10년 1000ml,탈리스커 10년 1000ml
에버펠디 12년 마데이라 캐스크 700ml,700,700,700,700,33.23,4.75,46.0,6.57,33.03,4.72,신세계,1.85,28.2,,,,,,,,신라,1.82,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml
토마틴 12년 1000ml,1000,1000,,1000,31.32,3.13,,,49.3,4.93,신라,1.8,36.5,60000,8571,데일리샷,2026-06-28,4472,47.8,면세,,,토마틴 12년 1000ml,,토마틴 12년 1000ml
더 글렌리벳 21년 700ml,700,700,,700,184.19,26.31,,,196.5,28.07,신라,1.76,6.3,520000,74286,데일리샷,2026-06-28,37594,49.4,면세,,,더 글렌리벳 21년 700ml,,더 글렌리벳 21년 700ml
캐퍼도닉 18년 피티드 700ml,700,,700,700,,,90.48,12.93,78.26,11.18,신세계,1.75,13.5,,,,,,,,,,,캐퍼도닉 18년 피티드 700mL,캐퍼도닉 18년 피티드 700ml
씨앤씨 뀌베 캐스크 750ml,750,750,750,,70.0,9.33,57.0,7.6,,,롯데,1.73,18.6,,,,,,,,롯데,1.73,씨앤씨 뀌베 캐스크 750ml,씨앤씨 뀌베 캐스크 750ml,
보모어 14년 700ml,700,700,700,700,37.4,5.34,47.8,6.83,36.18,5.17,신세계,1.66,24.3,101900,14557,데일리샷,2026-06-28,7387,49.3,면세,신라,1.49,보모어 14년 700ml,보모어 14년 700ml,보모어 14년 700ml
듀어스 16년 1000ml,1000,1000,1000,1000,45.22,4.52,59.24,5.92,42.84,4.28,신세계,1.64,27.7,,,,,,,,신라,1.4,듀어스 16년 1000ml,듀어스 16년 1000ml,듀어스 16년 1000ml
토마틴 16년 700ml,700,700,,700,38.95,5.56,,,50.35,7.19,신라,1.63,22.6,,,,,,,,,,토마틴 16년 700ml,,토마틴 16년 700ml
듀어스 더블더블 27년 500ml,500,500,,500,151.05,30.21,,,159.0,31.8,신라,1.59,5.0,289000,57800,데일리샷,2026-06-28,43167,25.3,면세,,,듀어스 더블더블 27년 500ml,,듀어스 더블더블 27년 500ml
웰러 스페셜 리저브 750ml,750,750,750,750,54.45,7.26,57.88,7.72,66.05,8.81,신라,1.55,17.6,,,,,,,,신라,0.46,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml
더 글렌리벳 그라운드브레이커스 700ml,700,,700,700,,,60.0,8.57,70.0,10.0,롯데,1.43,14.3,,,,,,,,,,,더 글렌리벳 그라운드브레이커스 700ml,더 글렌리벳 그라운드브레이커스 700ml
글렌모렌지 16년 트리뷰트 1000ml,1000,1000,1000,1000,74.25,7.42,74.25,7.42,88.5,8.85,신라/롯데,1.42,16.1,,,,,,,,동일,0.0,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml
라프로익 포트우드 2023 700ml,700,700,,700,86.94,12.42,,,96.8,13.83,신라,1.41,10.2,194000,27714,데일리샷,2026-06-28,17747,36.0,면세,,,라프로익 포트우드 2023 700ml,,라프로익 포트우드 2023 700ml
발베니 클래식 700ml,700,,700,700,,,55.75,7.96,65.65,9.38,롯데,1.41,15.1,,,,,,,,,,,발베니 클래식 700ml,발베니 클래식 700ml
글렌데브론 40년 700ml,700,700,,700,2695.0,385.0,,,2704.8,386.4,신라,1.4,0.4,,,,,,,,,,글렌데브론 40년 700ml,,글렌데브론 40년 700ml
싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),700,,700,700,,,93.53,13.36,83.74,11.96,신세계,1.4,10.5,,,,,,,,,,,싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release)
클라이넬리시 10년 SR FY24 700ml (2023 Special Release),700,700,700,700,109.1,15.59,118.8,16.97,118.8,16.97,신라,1.39,8.2,,,,,,,,신라,1.39,클라이넬리시 10년 SR FY24 700ml (2023 Special Release),클라이넬리시 10년 SR FY24 700ml(2023 Special Release),클라이넬리시 10년 SR FY24 700ml(2023 Special Release)
레드브레스트 12년 700ml,700,700,,700,35.2,5.03,,,44.8,6.4,신라,1.37,21.4,74800,10686,데일리샷,2026-06-28,7187,32.7,면세,,,레드브레스트 12년 700ml,,레드브레스트 12년 700ml
더 글렌그란트 13년 1000ml,1000,1000,1000,1000,46.4,4.64,49.68,4.97,60.0,6.0,신라,1.36,22.7,,,,,,,,신라,0.33,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml
아벨라워 16년 700ml,700,,700,700,,,91.26,13.04,81.9,11.7,신세계,1.34,10.3,149000,21286,데일리샷,2026-06-28,16718,21.5,면세,,,,아벨라워 16년 700ml,아벨라워 16년 700ml
더 글렌그란트 12년 1000ml,1000,1000,1000,1000,35.1,3.51,48.43,4.84,37.44,3.74,신라,1.33,27.5,59400,8486,트레이더스,2026-07-31,5015,40.9,면세,신라,1.33,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml
글렌피딕 23년 그랑크뤼 슬림팩 700ml,700,700,700,700,194.15,27.74,192.73,27.53,201.92,28.85,롯데,1.31,4.6,,,,,,,,롯데,0.2,글렌피딕 23년 그랑크뤼 슬림팩 700ml,글렌피딕 23년 그랑 크루 700ml,글렌피딕 23년 그랑 크루 700ml
뉴리프 8년 버번 750ml,750,750,,750,78.2,10.43,,,68.6,9.15,신세계,1.28,12.3,,,,,,,,,,뉴리프 8년 버번 750ml,,뉴리프 8년 버번 750ml
뉴리프 8년 라이 750ml,750,750,,750,78.2,10.43,,,68.6,9.15,신세계,1.28,12.3,,,,,,,,,,뉴리프 8년 라이 750ml,,뉴리프 8년 라이 750ml
싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,1000,1000,,1000,82.8,8.28,,,95.4,9.54,신라,1.26,13.2,,,,,,,,,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml
더 글렌리벳 트리플 캐스크 머추어드 1000ml,1000,1000,1000,1000,33.15,3.31,45.24,4.52,35.95,3.6,신라,1.21,26.7,,,,,,,,신라,1.21,더 글렌리벳 트리플 캐스크 머추어드 1000ml,더 글렌리벳 트리플 캐스크 머추어드 1000ml,더 글렌리벳 트리플 캐스크 머추어드 1000ml
부쉬밀 18년 트리플 캐스크 700ml,700,700,700,700,77.0,11.0,75.6,10.8,84.0,12.0,롯데,1.2,10.0,259000,37000,데일리샷,2026-06-28,15432,58.3,면세,롯데,0.2,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀 18년 트리플 캐스크 700ml
