제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
글렌피딕 26년 GC 700ml,700,700,700,,458.9,65.56,380.53,54.36,,,롯데,11.2,17.1,,,,,,,,롯데,11.2,글렌피딕 26년 GC 700ml,글렌피딕 26년 그랑 쿠론 700ml,
브룩라디 옥토모어 15.1 700ml,700,700,700,700,167.0,23.86,167.0,23.86,100.2,14.31,신세계,9.54,40.0,,,,,,,,동일,0.0,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어 15.1 700ml,브룩라디 옥토모어15.1 700ml
글렌알라키 21년 배치5 700mL,700,700,,700,513.11,73.3,,,450.1,64.3,신세계,9.0,12.3,,,,,,,,,,글렌알라키 21년 배치5 700mL,,글렌알라키 21년 배치5 700ml
조니워커 엑스오디네어 1000ml,1000,,1000,1000,,,178.75,17.88,259.35,25.94,롯데,8.06,31.1,,,,,,,,,,,조니워커 엑스오디네어 1000ml,조니워커 엑스오디네어 1000ml
캐퍼도닉 21년 700ml,700,,700,700,,,98.0,14.0,150.5,21.5,롯데,7.5,34.9,,,,,,,,,,,캐퍼도닉 21년 700mL,캐퍼도닉 21년 700ml
글렌파클라스 30년 700ml,700,700,700,700,577.2,82.46,539.9,77.13,590.52,84.36,롯데,7.23,8.6,1590000,227143,데일리샷,2026-06-28,114165,49.7,면세,롯데,5.33,글렌파클라스 30년 700ml,글렌파클라스 30년 700ml,글렌파클라스 30년 700ml
보모어 24년 프랭크 콰이어틀리 4 700ml,700,700,700,700,295.8,42.26,271.32,38.76,321.3,45.9,롯데,7.14,15.6,,,,,,,,롯데,3.5,보모어 24년 프랭크 콰이어틀리 4 700ml,보모어 24년 프랭크 콰이어틀리 4 700ml,보모어 24년 프랭크 콰이어틀리 4 700ml
패터캐른 25년 700ml,700,700,700,700,324.35,46.34,274.94,39.28,299.4,42.77,롯데,7.06,15.2,,,,,,,,롯데,7.06,패터캐른 25년 700ml,패터캐른 25년 700ml,패터캐른 25년 700ml
벤리악 트리플 디스틸드 25년 700ml,700,700,700,700,285.19,40.74,235.98,33.71,247.0,35.29,롯데,7.03,17.3,,,,,,,,롯데,7.03,벤리악 트리플 디스틸드 25년 700ml,벤리악 트리플 디스틸드 25년 700ml,벤리악 트리플 디스틸드 25년 700ml
몰트락 SR FY24 700ml (2023 Special Release),700,700,,700,210.9,30.13,,,165.0,23.57,신세계,6.56,21.8,,,,,,,,,,몰트락 SR FY24 700ml (2023 Special Release),,몰트락 SR FY24 700ml(2023 Special Release)
폴 존 피엑스 쉐리 700ml,700,700,,700,45.15,6.45,,,89.25,12.75,신라,6.3,49.4,,,,,,,,,,폴 존 피엑스 쉐리 700ml,,폴존 피엑스 쉐리 700ml
보모어 19년 700ml,700,700,700,700,102.0,14.57,143.41,20.49,108.53,15.5,신라,5.92,28.9,295000,42143,데일리샷,2026-06-28,21566,48.8,면세,신라,5.92,보모어 19년 700ml,보모어 19년 700ml,보모어 19년 700ml
와일드무어 30년 트로피칼 코스트 700ml,700,700,700,,250.65,35.81,211.07,30.15,,,롯데,5.65,15.8,675000,96429,데일리샷,2026-06-28,44627,53.7,면세,롯데,5.65,와일드무어 30년 트로피칼 코스트 700ml,와일드무어 30년 트로피칼 코스트 700ml,
몰트락 20년 750ml,750,750,,750,151.53,20.2,,,192.5,25.67,신라,5.46,21.3,,,,,,,,,,몰트락 20년 750ml,,몰트락 20년 750ml
달모어 퀸텟 700ml,700,700,,700,104.3,14.9,,,141.55,20.22,신라,5.32,26.3,,,,,,,,,,달모어 퀸텟 700ml,,달모어 퀸텟 700ml
더 글렌그란트 21년 700ml,700,700,700,700,174.08,24.87,211.14,30.16,178.5,25.5,신라,5.29,17.6,359000,51286,데일리샷,2026-06-28,36812,28.2,면세,신라,5.29,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml,더 글렌그란트 21년 700ml
글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,700,700,,700,134.64,19.23,,,171.6,24.51,신라,5.28,21.5,289000,41286,데일리샷,2026-06-28,28463,31.1,면세,,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml,,글렌피딕 21년 CNY 2026 리미티드 에디션 700ml
화이트헤더 21년 700ml,700,700,,700,131.22,18.75,,,166.8,23.83,신라,5.08,21.3,325900,46557,데일리샷,2026-06-28,27753,40.4,면세,,,화이트헤더 21년 700ml,,화이트헤더 21년 700ml
블라드녹 14년 올로로소 셰리 700ml,700,,700,700,,,91.58,13.08,126.0,18.0,롯데,4.92,27.3,,,,,,,,,,,블라드녹 14년 올로로소 셰리 700ml,블라드녹 14년 올로로소 셰리 700ml
더 글렌그란트 18년 1000ml,1000,1000,,1000,115.78,11.58,,,163.2,16.32,신라,4.74,29.1,200000,28571,데일리샷,2026-06-28,17140,40.0,면세,,,더 글렌그란트 18년 1000ml,,더 글렌그란트 18년 1000ml
베리 올드 세인트 닉 윈터 라이 750ml,750,,750,750,,,171.0,22.8,206.25,27.5,롯데,4.7,17.1,590000,84286,데일리샷,2026-06-28,33748,60.0,면세,,,,베리올드세인트닉 윈터라이 750ml,베리 올드 세인트 닉 윈터 라이 750ml
주라 더 베이  1000ml,1000,1000,1000,1000,40.8,4.08,85.0,8.5,38.25,3.82,신세계,4.68,55.0,,,,,,,,신라,4.42,주라 더 베이  1000ml,주라 더 베이 1000ml,주라 더 베이 1000ml
부나하벤 크루아모나 1000ml,1000,1000,,1000,51.84,5.18,,,96.0,9.6,신라,4.42,46.0,119000,11900,데일리샷,2026-06-28,7667,35.6,면세,,,부나하벤 크루아모나 1000ml,,부나하벤 크루아모나 1000ml
글렌알라키 8년 700ml,700,700,700,700,35.02,5.0,65.52,9.36,45.05,6.44,신라,4.36,46.6,,,,,,,,신라,4.36,글렌알라키 8년 700ml,글렌알라키 8년 700ml,글렌알라키 8년 700ml
맥네어스 럼릭 21년 700ml,700,700,,700,159.77,22.82,,,190.2,27.17,신라,4.35,16.0,,,,,,,,,,맥네어스 럼릭 21년 700ml,,맥네어스 럼릭 21년 700ml
에버펠디 25년 700ml,700,700,,700,329.18,47.02,,,357.5,51.07,신라,4.05,7.9,,,,,,,,,,에버펠디 25년 700ml,,에버펠디 25년 700ml
레드브레스트 18년 700ml,700,700,,700,112.0,16.0,,,140.0,20.0,신라,4.0,20.0,,,,,,,,,,레드브레스트 18년 700ml,,레드브레스트 18년 700ml
캐퍼도닉 21년 피티드 700ml,700,,700,700,,,201.84,28.83,174.58,24.94,신세계,3.89,13.5,,,,,,,,,,,캐퍼도닉 21년 피티드 700ml,캐퍼도닉 21년 피티드 700ml
주라 더 사운드 1000ml,1000,1000,1000,1000,29.25,2.93,65.0,6.5,29.25,2.93,신라/신세계,3.57,55.0,,,,,,,,신라,3.57,주라 더 사운드 1000ml,주라 더 사운드 1000ml,주라 더 사운드 1000ml
더 글렌그란트 12년 1000ml,1000,1000,1000,1000,35.1,3.51,70.2,7.02,37.44,3.74,신라,3.51,50.0,57000,8143,데일리샷,2026-07-18,5195,36.2,면세,신라,3.51,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml
에버펠디 12년 마데이라 캐스크 700ml,700,700,700,700,33.23,4.75,56.1,8.01,31.94,4.56,신세계,3.45,43.1,,,,,,,,신라,3.27,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml,에버펠디 12년 마데이라 캐스크 700ml
와일드터키 마스터스 킵 보야지 750ml,750,750,,750,122.32,16.31,,,147.9,19.72,신라,3.41,17.3,,,,,,,,,,와일드터키 마스터스 킵 보야지 750ml,,와일드터키 마스터스 킵 보야지 750ml
맥네어스 럼릭 12년 700ml,700,700,700,700,52.47,7.5,39.85,5.69,63.6,9.09,롯데,3.39,37.3,,,,,,,,롯데,1.8,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml,맥네어스 럼릭 12년 700ml
글렌데브론 40년 700ml,700,700,,700,2695.0,385.0,,,2718.52,388.36,신라,3.36,0.9,,,,,,,,,,글렌데브론 40년 700ml,,글렌데브론 40년 700ml
조니워커 킹조지 5세 500ml,500,500,500,,284.24,56.85,267.52,53.5,,,롯데,3.34,5.9,,,,,,,,롯데,3.34,조니워커 킹조지 5세 500ml,조니워커 킹조지 5세 500ml,
보모어 16년 700ml,700,700,700,700,55.0,7.86,77.33,11.05,58.52,8.36,신라,3.19,28.9,150000,21429,데일리샷,2026-06-28,11634,45.7,면세,신라,3.19,보모어 16년 700ml,보모어 16년 700ml,보모어 16년 700ml
탐나불린 1000ml,1000,1000,1000,,24.92,2.49,56.0,5.6,,,신라,3.11,55.5,39900,5700,데일리샷,2026-06-28,3686,35.3,면세,신라,3.11,탐나불린 1000ml,탐나불린 1000ml,
화이트헤더 15년 700ml,700,700,,700,54.18,7.74,,,75.6,10.8,신라,3.06,28.3,137000,19571,데일리샷,2026-06-28,11456,41.5,면세,,,화이트헤더 15년 700ml,,화이트헤더 15년 700ml
시바스리갈 25년 700ml,700,700,700,700,272.36,38.91,270.74,38.68,291.75,41.68,롯데,3.0,7.2,549000,78429,데일리샷,2026-06-28,57253,27.0,면세,롯데,0.23,시바스리갈 25년 700ml,시바스리갈 25년 700ml,시바스리갈 25년 700ml
더 글렌그란트 2006 프라이빗 캐스크 700ml,700,700,700,700,98.7,14.1,109.25,15.61,119.4,17.06,신라,2.96,17.3,,,,,,,,신라,1.51,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml,더 글렌그란트 2006 프라이빗 캐스크 700ml
글렌알라키 15년 (24RB) 700ml,700,700,700,700,84.5,12.07,104.94,14.99,86.19,12.31,신라,2.92,19.5,147900,21129,데일리샷,2026-06-28,17866,15.4,면세,신라,2.92,글렌알라키 15년 (24RB) 700ml,글렌알라키 15년 700ml,글렌알라키 15년 (24RB) 700ml
잭다니엘 시나트라 셀렉트 1000ml,1000,1000,,1000,122.74,12.27,,,93.5,9.35,신세계,2.92,23.8,,,,,,,,,,잭다니엘 시나트라 셀렉트 1000ml,,잭다니엘 시나트라 셀렉트 1000ml
1792 풀프루프 싱글배럴셀렉트 750ml,750,,750,750,,,53.06,7.07,74.8,9.97,롯데,2.9,29.1,145000,20714,데일리샷,2026-06-28,10465,49.5,면세,,,,1792 풀프루프 싱글배럴 셀렉트 750ml,1792 풀프루프 싱글배럴셀렉트 750ml
탐나불린 올로로소 1000ml,1000,1000,1000,1000,26.5,2.65,53.0,5.3,24.91,2.49,신세계,2.81,53.0,,,,,,,,신라,2.65,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml,탐나불린 올로로소 1000ml
섀클턴 1000ml,1000,1000,1000,1000,30.31,3.03,58.0,5.8,34.8,3.48,신라,2.77,47.8,34900,4986,데일리샷,2026-06-28,4485,10.0,면세,신라,2.77,섀클턴 1000ml,섀클턴 1000ml,섀클턴 1000ml
글렌피딕 22년 그랑 코르테스 700ml,700,700,700,700,186.0,26.57,167.09,23.87,177.32,25.33,롯데,2.7,10.2,,,,,,,,롯데,2.7,글렌피딕 22년 그랑 코르테스 700ml,글렌피딕 22년 그랑 코르테즈 700ml,글렌피딕 22년 그랑 코르테즈 700ml
글렌파클라스 25년 700ml,700,700,,700,219.24,31.32,,,238.14,34.02,신라,2.7,7.9,719000,102714,데일리샷,2026-06-28,46359,54.9,면세,,,글렌파클라스 25년 700ml,,글렌파클라스 25년 700ml
카발란 페드로히메네즈 솔리스트 750ml,750,750,,750,319.2,42.56,,,339.15,45.22,신라,2.66,5.9,,,,,,,,,,카발란 페드로히메네즈 솔리스트 750ml,,카발란 페드로히메네즈 솔리스트 750ml
로얄브라클라 18년 700ml,700,700,700,700,104.03,14.86,98.65,14.09,116.95,16.71,롯데,2.61,15.6,207000,29571,데일리샷,2026-06-28,20855,29.5,면세,롯데,0.77,로얄브라클라 18년 700ml,로얄브라클라 18년 700ml,로얄브라클라 18년 700ml
로얄살루트 21년 루나 뉴이어 2026 700ml,700,700,,700,123.23,17.6,,,140.8,20.11,신라,2.51,12.5,185000,26429,데일리샷,2026-06-28,26051,1.4,면세,,,로얄살루트 21년 루나 뉴이어 2026 700ml,,로얄살루트 21년 루나 뉴이어 2026 700ml
탈리스커 써지 700ml,700,700,700,,51.66,7.38,68.88,9.84,,,신라,2.46,25.0,149000,21286,데일리샷,2026-06-28,10924,48.7,면세,신라,2.46,탈리스커 써지 700ml,탈리스커 써지 700ml,
라프로익 PX Cask 1000ml,1000,1000,1000,1000,59.28,5.93,80.94,8.09,56.76,5.68,신세계,2.42,29.9,,,,,,,,신라,2.17,라프로익 PX Cask 1000ml,라프로익 PX 캐스크 1000ml,라프로익 PX 캐스크 1000ml
듀어스 더블더블 21년 미즈나라캐스크 500ml,500,500,,500,92.57,18.51,,,104.4,20.88,신라,2.37,11.3,149000,29800,데일리샷,2026-06-28,27398,8.1,면세,,,듀어스 더블더블 21년 미즈나라캐스크 500ml,,듀어스 더블더블 21년 미즈나라 캐스크 500ml
씨앤씨 뀌베 캐스크 750ml,750,750,750,,70.0,9.33,52.25,6.97,,,롯데,2.37,25.4,,,,,,,,롯데,2.37,씨앤씨 뀌베 캐스크 750ml,씨앤씨 뀌베 캐스크 750ml,
에버펠디 21년 마데이라 캐스크 700ml,700,700,700,700,122.51,17.5,120.15,17.16,136.4,19.49,롯데,2.32,11.9,,,,,,,,롯데,0.34,에버펠디 21년 마데이라 캐스크 700ml,에버펠디 21년 마데이라캐스크 700ml,에버펠디 21년 마데이라 캐스크 700ml
우미키 750ml,750,750,750,750,43.8,5.84,33.87,4.52,51.1,6.81,롯데,2.3,33.7,,,,,,,,롯데,1.32,우미키 750ml,우미키 750ml,우미키 750ml
글렌피딕 23년 그랑크뤼 슬림팩 700ml,700,700,700,700,183.56,26.22,190.26,27.18,199.62,28.52,신라,2.29,8.0,,,,,,,,신라,0.96,글렌피딕 23년 그랑크뤼 슬림팩 700ml,글렌피딕 23년 그랑 크루 슬림팩 700ml,글렌피딕 23년 그랑 크루 700ml
블라드녹 알린타 700ml,700,,700,700,,,62.01,8.86,78.0,11.14,롯데,2.28,20.5,110000,15714,데일리샷,2026-06-28,13114,16.5,면세,,,,블라드녹 알린타 700ml,블라드녹 알린타 700ml
블라드녹 삼사라 700ml,700,,700,700,,,62.01,8.86,78.0,11.14,롯데,2.28,20.5,102000,14571,데일리샷,2026-06-28,13114,10.0,면세,,,,블라드녹 삼사라 700ml,블라드녹 삼사라 700ml
더 글렌리벳 16년 1000ml,1000,1000,1000,1000,58.65,5.87,80.5,8.05,69.23,6.92,신라,2.19,27.1,,,,,,,,신라,2.19,더 글렌리벳 16년 1000ml,더 글렌리벳 16년 1000ml,더 글렌리벳 16년 1000ml
아벨라워 SUTHAINN 700ml,700,,700,700,,,63.18,9.03,47.88,6.84,신세계,2.19,24.2,,,,,,,,,,,아벨라워 SUTHAINN 700ml,아벨라워 SUTHAINN 700ml
조니워커 킹조지 5세 750ml,750,750,750,,453.49,60.47,438.04,58.41,,,롯데,2.06,3.4,,,,,,,,롯데,2.06,조니워커 킹조지 5세 750ml,조니워커 킹조지 5세 750ml,
로즈아일 12년 SR FY24 700ml (2023 Special Release),700,700,,700,100.8,14.4,,,86.4,12.34,신세계,2.06,14.3,,,,,,,,,,로즈아일 12년 SR FY24 700ml (2023 Special Release),,로즈아일 12년 SR FY24 700ml(2023 Special Release)
노아스 밀 750ml,750,,750,750,,,66.69,8.89,81.9,10.92,롯데,2.03,18.6,155000,20667,데일리샷,2026-06-28,13159,36.3,면세,,,,노아스밀  750ml,노아스 밀 750ml
더 글렌그란트 18년 700ml,700,700,700,700,74.12,10.59,88.18,12.6,78.53,11.22,신라,2.01,15.9,200000,28571,데일리샷,2026-06-28,15675,45.1,면세,신라,2.01,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml,더 글렌그란트 18년 700ml
김창수위스키 김포 2025 700ml,700,,700,700,,,126.0,18.0,140.0,20.0,롯데,2.0,10.0,,,,,,,,,,,김창수 위스키 김포 2025 700ml,김창수위스키 김포 2025 700ml
아벨라워 16년 700ml,700,,700,700,,,91.26,13.04,77.35,11.05,신세계,1.99,15.2,149000,21286,데일리샷,2026-06-28,16356,23.2,면세,,,,아벨라워 16년 700ml,아벨라워 16년 700ml
보모어 14년 700ml,700,700,700,700,34.0,4.86,47.8,6.83,36.18,5.17,신라,1.97,28.9,101900,14557,데일리샷,2026-06-28,7194,50.6,면세,신라,1.97,보모어 14년 700ml,보모어 14년 700ml,보모어 14년 700ml
에버펠디 16년 마데이라 캐스크 700ml,700,,700,700,,,55.25,7.89,68.75,9.82,롯데,1.93,19.6,75800,10829,트레이더스,2026-05-27,11678,-7.8,국내,,,,에버펠디 16년 마데이라 캐스크 700ml,에버펠디 16년 마데이라 캐스크 700ml
보모어 22년 700ml,700,700,,700,199.5,28.5,,,212.27,30.32,신라,1.82,6.0,,,,,,,,,,보모어 22년 700ml,,보모어 22년 700ml
로얄살루트 25년 더 트레저드 블렌드 700ml,700,,700,700,,,185.32,26.47,198.0,28.29,롯데,1.81,6.4,444000,63429,데일리샷,2026-06-28,39180,38.2,면세,,,,로얄살루트 25년 더 트레저드 블렌드 700ml,로얄살루트 25년 더 트레저드 블렌드 700ml
토마틴 12년 1000ml,1000,1000,,1000,31.32,3.13,,,49.3,4.93,신라,1.8,36.5,60000,8571,데일리샷,2026-06-28,4633,45.9,면세,,,토마틴 12년 1000ml,,토마틴 12년 1000ml
블라드녹 리오라 700ml,700,,700,700,,,53.42,7.63,66.0,9.43,롯데,1.8,19.1,135900,19414,데일리샷,2026-06-28,11294,41.8,면세,,,,블라드녹 리오라 700ml,블라드녹 리오라 700ml
더 글렌리벳 21년 700ml,700,700,,700,184.19,26.31,,,196.5,28.07,신라,1.76,6.3,520000,74286,데일리샷,2026-06-28,38943,47.6,면세,,,더 글렌리벳 21년 700ml,,더 글렌리벳 21년 700ml
발베니 클래식 700ml,700,,700,700,,,53.32,7.62,65.65,9.38,롯데,1.76,18.8,,,,,,,,,,,발베니 클래식 700ml,발베니 클래식 700ml
캐퍼도닉 18년 피티드 700ml,700,,700,700,,,90.48,12.93,78.26,11.18,신세계,1.75,13.5,,,,,,,,,,,캐퍼도닉 18년 피티드 700mL,캐퍼도닉 18년 피티드 700ml
아드벡 언 오 1000ml,1000,1000,,1000,65.6,6.56,,,82.0,8.2,신라,1.64,20.0,96000,13714,데일리샷,2026-06-28,9710,29.2,면세,,,아드벡 언 오 1000ml,,아드벡 언오 1000ml
토마틴 16년 700ml,700,700,,700,38.95,5.56,,,50.35,7.19,신라,1.63,22.6,,,,,,,,,,토마틴 16년 700ml,,토마틴 16년 700ml
와일드무어 23년 웨이킹 포레스트 700ml,700,700,700,,101.52,14.5,90.24,12.89,,,롯데,1.61,11.1,278000,39714,데일리샷,2026-06-28,19079,52.0,면세,롯데,1.61,와일드무어 23년 웨이킹 포레스트 700ml,와일드무어 23년 웨이킹 포레스트 700ml,
부쉬밀 18년 트리플 캐스크 700ml,700,700,700,700,72.8,10.4,78.12,11.16,84.0,12.0,신라,1.6,13.3,259000,37000,데일리샷,2026-06-28,15394,58.4,면세,신라,0.76,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀 18년 트리플 캐스크 700ml,부쉬밀 18년 트리플 캐스크 700ml
듀어스 더블더블 27년 500ml,500,500,,500,151.05,30.21,,,159.0,31.8,신라,1.59,5.0,289000,57800,데일리샷,2026-06-28,44716,22.6,면세,,,듀어스 더블더블 27년 500ml,,듀어스 더블더블 27년 500ml
기원 코리안 트래블 익스클루시브 700ml,700,700,,700,66.0,9.43,,,77.0,11.0,신라,1.57,14.3,,,,,,,,,,기원 코리안 트래블 익스클루시브 700ml,,"기원 코리안 트래블 익스클루시브, 700ml"
웰러 스페셜 리저브 750ml,750,750,750,750,54.45,7.26,56.16,7.49,66.05,8.81,신라,1.55,17.6,,,,,,,,신라,0.23,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml,웰러 스페셜 리저브 750ml
더 글렌리벳 그라운드브레이커스 700ml,700,,700,700,,,60.0,8.57,70.0,10.0,롯데,1.43,14.3,,,,,,,,,,,더 글렌리벳 그라운드브레이커스 700ml,더 글렌리벳 그라운드브레이커스 700ml
글렌파클라스 15년 700ml,700,700,700,700,67.5,9.64,65.4,9.34,75.33,10.76,롯데,1.42,13.2,119400,17057,트레이더스,2026-07-18,13825,19.0,면세,롯데,0.3,글렌파클라스 15년 700ml,글렌파클라스 15년 700ml,글렌파클라스 15년 700ml
글렌모렌지 16년 트리뷰트 1000ml,1000,1000,1000,1000,74.25,7.42,74.25,7.42,88.5,8.85,신라/롯데,1.42,16.1,,,,,,,,동일,0.0,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지 16년 트리뷰트 1000ml
글렌모렌지 시그넷 700ml,700,700,700,700,178.2,25.46,168.3,24.04,168.3,24.04,롯데/신세계,1.41,5.6,520000,74286,데일리샷,2026-06-28,35583,52.1,면세,롯데,1.41,글렌모렌지 시그넷 700ml,글렌모렌지 시그넷 700ml,글렌모렌지 시그넷 700ml
라프로익 포트우드 2023 700ml,700,700,,700,86.94,12.42,,,96.8,13.83,신라,1.41,10.2,194000,27714,데일리샷,2026-06-28,18384,33.7,면세,,,라프로익 포트우드 2023 700ml,,라프로익 포트우드 2023 700ml
더 글렌리벳 12년 1000ml,1000,1000,1000,1000,38.25,3.82,52.2,5.22,45.15,4.51,신라,1.4,26.7,57000,8143,데일리샷,2026-07-18,5654,30.6,면세,신라,1.4,더 글렌리벳 12년 1000ml,더 글렌리벳 12년 1000ml,더 글렌리벳 12년 1000ml
클라이넬리시 10년 SR FY24 700ml (2023 Special Release),700,700,700,700,109.1,15.59,109.29,15.61,118.8,16.97,신라,1.39,8.2,,,,,,,,신라,0.03,클라이넬리시 10년 SR FY24 700ml (2023 Special Release),클라이넬리시 10년 SR FY24 700ml(2023 Special Release),클라이넬리시 10년 SR FY24 700ml(2023 Special Release)
레드브레스트 12년 700ml,700,700,,700,35.2,5.03,,,44.8,6.4,신라,1.37,21.4,74800,10686,데일리샷,2026-06-28,7445,30.3,면세,,,레드브레스트 12년 700ml,,레드브레스트 12년 700ml
더 글렌그란트 13년 1000ml,1000,1000,1000,1000,46.4,4.64,49.68,4.97,60.0,6.0,신라,1.36,22.7,,,,,,,,신라,0.33,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml
싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,1000,1000,,1000,82.8,8.28,,,95.4,9.54,신라,1.26,13.2,,,,,,,,,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml
더 글렌리벳 트리플 캐스크 머추어드 1000ml,1000,1000,1000,1000,33.15,3.31,45.24,4.52,35.95,3.6,신라,1.21,26.7,,,,,,,,신라,1.21,더 글렌리벳 트리플 캐스크 머추어드 1000ml,더 글렌리벳 트리플 캐스크 머추어드 1000ml,더 글렌리벳 트리플 캐스크 머추어드 1000ml
와일드터키 마스터스 킵 트라이엄프 750ml,750,,750,750,,,139.65,18.62,148.75,19.83,롯데,1.21,6.1,,,,,,,,,,,와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키 마스터스 킵 트라이엄프 750ml
글렌알라키 12년 (24RB) 700ml,700,700,700,700,53.66,7.67,45.26,6.47,53.55,7.65,롯데,1.2,15.7,89900,12843,데일리샷,2026-06-28,9577,25.4,면세,롯데,1.2,글렌알라키 12년 (24RB) 700ml,글렌알라키 12년 700ml,글렌알라키 12년 (24RB) 700mL
