역,식당명,rid,카테고리,대분류,1인_아낌,1인_표준,1인_넉넉,confidence,lat,lng,메뉴수,근거,정규화내역
강남역,녘,KLeUM2WJdKNP,"퓨전, 뉴욕스타일레스토랑",웨스턴(양식),20200,29000,31800,보통,37.5028034,127.0266171,16,"인당 정규화(웨스턴(양식)): 메인 14종 1인가 중앙값 29,000원 = 29,000원","우대갈비 스테이크 45,000원/인 | 안심스테이크 43,000원/인 | 녘 스테이크 39,000원/인 | 랍스타 파스타 32,000원/인 | 한우 피자 31,000원/인 | 뇨끼 29,000원/인 | 까르보나라 29,000원/인 | 바질새우피자 29,000원/인 | 봉골레 파스타 26,000원/인 | 트러플 스카치 에그 24,000원/인 | 그린샐러드 19,000원/인 | 샤퀴테리 16,000원/인 | 치즈 플레터 16,000원/인 | 트로피컬 파나코타 12,000원/인"
강남역,유니네 고깃간 강남역점,aNzgmVhU6NS6,"목살, 삼겹살",고기,25500,28500,30200,보통,37.5006717,127.0276997,15,"인당 정규화(고기): 메인 7종 1인가 중앙값 19,000원 ×1.5인분 = 28,500원","패밀리세트 (700g ) 79,000원(700g)→1인180g = 20,300/인 | 커플세트 (400g) 45,000원(400g)→1인180g = 20,200/인 | 유니표 육회 20,000원/인 | 1등급 한돈 가브리살 19,000원/인 | 1등급 한돈 특목살 17,000원/인 | 1등급 한돈 생삼겹살 17,000원/인 | 국내산 키조개관자구이 10,000원/인"
강남역,교대이층집 강남역점,7QIOMzZxejLk,"삼겹살, 꽃삼겹",고기,29200,32400,47700,보통,37.4949108,127.0305667,11,"인당 정규화(고기): 메인 6종 1인가 중앙값 21,600원 ×1.5인분 = 32,400원","한우채끝등심(한우1++, 150g) 43,000원(150g)→1인180g = 51,600/인 | 한우차돌박이(한우1++, 150g) 29,000원(150g)→1인180g = 34,800/인 | 통항정(150g) 19,000원(150g)→1인180g = 22,800/인 | 꽃삼겹(150g) 17,000원(150g)→1인180g = 20,400/인 | 통삼겹(160g) 17,000원(160g)→1인180g = 19,100/인 | 통목살(160g) 17,000원(160g)→1인180g = 19,100/인"
강남역,마노 디 셰프 강남역점,Umi9nOylORtX,"파스타, 피자",웨스턴(양식),28400,31900,32900,보통,37.4999326,127.0323679,15,"인당 정규화(웨스턴(양식)): 메인 15종 1인가 중앙값 31,900원 = 31,900원","스테이크 피자 35,900원/인 | 홍새우 비스크 링귀니 33,900원/인 | 감태 페스토 & 씨푸드 보리 리조또 32,900원/인 | 골든 보타르가 & 처빌 링귀니 32,900원/인 | 블루베리&루꼴라 피자 32,900원/인 | 스테이크 & 스파이시 라이스 31,900원/인 | 감태 페스토 & 문어 뇨끼 31,900원/인 | 홍새우 알리올리오 파스타 31,900원/인 | 프레쉬 바질 페스토 & 부라타 피자 29,900원/인 | 참송이 크림 뇨끼 28,900원/인 | 프리미엄 토마토 씨푸드 파스타 28,900원/인 | 마르게리따 피자 27,900원/인 | 봉골레 알리올리오 파스타 27,900원/인 | 흑임자 & 참송이 버섯 리조또 27,900원/인 | 허브 블라썸 부라타 22,900원/인"
강남역,흑우정 강남본점,PmRMpq50bBxD,"한우, 흑우",고기,25500,53700,79400,보통,37.5016628,127.0241931,28,"인당 정규화(고기): 메인 18종 1인가 중앙값 35,800원 ×1.5인분 = 53,700원","프리미엄 수원식 소금양념 왕갈비 한판 149,800원/인 | 프리미엄 수원식 소금양념 왕갈비 반판 79,800원/인 | 1% 명품 수제 특 생왕갈비 정식 56,800원/인 | 정통 특 대왕 소갈비찜 56,000원/인 | 0.1% A5고베혈통 꽃등심 600g 179,800원(600g)→1인180g = 53,900/인 | 1% 명품 수제 특 생왕갈비 49,800원/인 | 시그니처 2인 흑 set(700g) 159,800원(700g)→1인180g = 41,100/인 | 0.1% A5 고베혈통 순종 꽃갈비살 39,800원/인 | 청도 미나리 한우1++ 육회 35,800원/인 | 72시간 숙성양념 특양 구이 35,800원/인 | 프리미엄 안동식 마늘 양념 소갈빗살 21,800원/인 | 프리미엄 흑우 소갈빗살 21,800원/인 | 6년근 산양삼 순메밀 왕갈비탕(한정) 20,000원/인 | 명품 한우1++ 뚝배기 불고기 16,000원/인 | 한우 1++ 유자 육회 비빔밥 16,000원/인 | 100% 소고기 들기름 메밀 순면 14,000원/인"
강남역,호보식당,KT5EpR4UmQJi,"고깃집, 마늘갈비",고기,27200,30000,42900,보통,37.4980897,127.0346322,20,"인당 정규화(고기): 메인 12종 1인가 중앙값 20,000원 ×1.5인분 = 30,000원","마늘갈비(한판) 105,000원/인 | 마늘갈비(반판) 65,000원/인 | 한우육회 29,000원/인 | LA갈비 28,500원/인 | 양념포갈비 21,500원/인 | 찰살구이 20,500원/인 | 생삼겹살 19,500원/인 | 생목살 19,500원/인 | 항정살 19,500원/인 | 묵은지돼지찜 14,000원/인 | 갈비깍두기볶음밥 13,000원/인 | 묵은지육회비빔밥 12,000원/인"
강남역,빌즈 강남,550GjlSfCsxR,"브런치, 호주",웨스턴(양식),18500,25000,28000,보통,37.4997149,127.0349088,19,"인당 정규화(웨스턴(양식)): 메인 15종 1인가 중앙값 25,000원 = 25,000원","한우 채끝 스테이크 54,000원/인 | 포크 찹 48,000원/인 | 빌즈 플레이트 31,000원/인 | 풀 오지 28,000원/인 | 비프 버거 28,000원/인 | 오레키에테 27,000원/인 | 빌즈 리코타 핫케이크 25,000원/인 | 제철 토마토 샐러드 25,000원/인 | 빌즈 찹 샐러드 25,000원/인 | 쇼쿠팡 타르틴 24,000원/인 | 에그 브리오슈 롤 19,000원/인 | 아보카도 토스트 18,000원/인 | 빌즈 파블로바, 산딸기, 리치 16,000원/인 | 그랜저 그린 13,000원/인 | 명란 딥 & 크루디테 13,000원/인"
강남역,자매수산,E4fy3ENsBpaF,"횟집, 방어",물고기·해산물,38000,46000,53800,보통,37.500875,127.0277864,12,"인당 정규화(물고기·해산물): 메인 10종 1인가 중앙값 46,000원 = 46,000원","도다리회 63,000원/인 | 도다리회+오늘의회 59,000원/인 | 자매제철 모듬회 55,000원/인 | 연어회 50,000원/인 | 삼색막회무침 47,000원/인 | 도다리세꼬시 45,000원/인 | 육회낙지탕탕이 38,000원/인 | 단새우와 안키모 38,000원/인 | 통우럭매운탕 36,000원/인 | 신선한 멍게와 해삼 26,000원/인"
강남역,영통백합 칼국수 강남점,nHgzvF1v9ODk,백합샤브샤브,물고기·해산물,22000,25000,36000,보통,37.4943556,127.0283723,18,"인당 정규화(물고기·해산물): 메인 16종 1인가 중앙값 25,000원 = 25,000원","영통 백합탕 (보통) 65,000원/인 | 영통 항정살 보쌈 55,000원/인 | 숙회꼬막찜 한 상 39,000원/인 | 백합탕 해천 샤브 세트 39,000원/인 | 참소라숙회 35,000원/인 | 백합탕 낙지 샤브 세트 33,000원/인 | 반반파전 25,000원/인 | 백합탕 샤브샤브 세트 25,000원/인 | 통새우 미나리 해물파전 25,000원/인 | 포 뜬 오징어 25,000원/인 | 백합탕 한돈 항정보쌈 세트 25,000원/인 | 벌교 꼬막찜 22,000원/인 | 통오징어 숙회 22,000원/인 | 낙지 김치전 21,000원/인 | 백합탕 칼국수 세트 15,000원/인 | 알배기 배추전 15,000원/인"
강남역,고깃집열,oBWf42Xm5of8,"삼겹살, 돼지고기",고기,25500,30000,61500,보통,37.4935636,127.0287072,13,"인당 정규화(고기): 메인 7종 1인가 중앙값 20,000원 ×1.5인분 = 30,000원","한마리 세트 88,000원/인 | 반마리 세트 55,000원/인 | 한우육회 27,000원/인 | 1++ 한우갈빗살 20,000원/인 | 육즙목살 17,000원/인 | 두툼삼겹살 17,000원/인 | 가브리살 17,000원/인"
강남역,반갑다하대포,Y0cjHcEpFckx,"고깃집, 특수부위",고기,27000,27000,30000,보통,37.4940738,127.0313693,12,"인당 정규화(고기): 메인 9종 1인가 중앙값 18,000원 ×1.5인분 = 27,000원","특수부위 모듬(2인분) 35,000원/인 | 육회 25,000원/인 | 황제살(이베리코) 20,000원/인 | 숙성삼겹살 18,000원/인 | 숙성통목살 18,000원/인 | 가로막살(이베리코) 18,000원/인 | 천겹살(이베리코) 18,000원/인 | 꽃살(이베리코) 18,000원/인 | 꼬들살 18,000원/인"
강남역,양미당 강남본점,kLjwNLsPL842,"양갈비, 양고기",고기,49500,53200,59600,보통,37.5010183,127.0277441,11,"인당 정규화(고기): 메인 4종 1인가 중앙값 35,500원 ×1.5인분 = 53,200원","生 살치살 45,000원/인 | 生 부채살 38,000원/인 | 生 양갈비 33,000원/인 | 生 양등심 33,000원/인"
강남역,찬란한아구 강남본점,Kq3quvBnhdlP,"아구찜, 지리탕",물고기·해산물,21700,27000,31000,보통(인원표기 평균),37.494938,127.0303441,40,"인당(인원표기 평균, 물고기·해산물): 인원수 적힌 메뉴 9종 ÷인원 평균 = 27,000원","찬란한 2인 한상 62,000원 ÷2인 = 31,000/인 | 찬란한 3인 한상 85,000원 ÷3인 = 28,300/인 | 찬란한'생'아구찜(3~4인) 99,000원 ÷3.5인 = 28,300/인 | 초신선'생'아구수육(3~4인) 99,000원 ÷3.5인 = 28,300/인 | 초신선'생'아구수육(2~3인) 69,000원 ÷2.5인 = 27,600/인 | 찬란한'생'아구찜(2~3인) 69,000원 ÷2.5인 = 27,600/인 | 찬란한 4인 한상 109,000원 ÷4인 = 27,200/인 | 해물찜(2~3인) 58,000원 ÷2.5인 = 23,200/인 | 해물찜(3~4인) 76,000원 ÷3.5인 = 21,700/인"
강남역,모범갈빗살 강남역본점,rO5MT7NCCh3B,"한우, 소고기",고기,40500,47200,55100,보통,37.5007992,127.0244802,27,"인당 정규화(고기): 메인 4종 1인가 중앙값 31,500원 ×1.5인분 = 47,200원","한우 뭉티기 (월화수목 한정) 39,000원/인 | 한우 육회 36,000원/인 | 한우 특갈빗살 (생) 27,000원/인 | 한우 특갈빗살 (양념) 27,000원/인"
강남역,라그릴리아 SPC스퀘어점,JXx5fJjidtcV,"파스타, 스테이크",웨스턴(양식),23600,25900,37600,보통,37.4942803,127.0298034,32,"인당 정규화(웨스턴(양식)): 메인 24종 1인가 중앙값 25,900원 = 25,900원","티본 스테이크(850g) 179,000원/인 | 본인립아이 스테이크(500g) 119,000원/인 | 시그니처 빅 플래터 79,000원/인 | 비프 온더 스톤 안심(170g) 47,900원/인 | BBQ 폭립 플래터(600g) 43,900원/인 | 비프 온더 스톤 채끝등심(170g) 39,900원/인 | 비프 온더 스톤 부채살(210g) 36,900원/인 | 스테이크 트러플 파스타 29,900원/인 | 부라타 마르게리따 피자 29,900원/인 | 골든 글레이즈드 갈비 리조또 28,900원/인 | 감태페스토 전복 리조또 26,900원/인 | 페이보릿플래터 26,900원/인 | 마르게리따 피자 24,900원/인 | 블랙 트러플 풍기 피자 24,900원/인 | 고르곤졸라 피자 23,900원/인 | 트러플 크림 버섯 리조또 23,900원/인"
강남역,장서는날,pfDH4EkQJI2N,"한식, 항정",한식·기타,27200,27200,27200,낮음(인원표기 적음),37.4957385,127.0321708,22,"인당(인원표기 평균, 한식·기타): 인원수 적힌 메뉴 1종 ÷인원 평균 = 27,200원","대표님 4인 한상 109,000원 ÷4인 = 27,200/인"
강남역,세광양대창 강남점,4bO4f4Xgfiqt,"대창, 양대창",고기,27000,29800,31500,보통,37.4954017,127.0319691,14,"인당 정규화(고기): 메인 9종 1인가 중앙값 19,900원 ×1.5인분 = 29,800원","한우채끝등심(150g) 42,000원(150g)→1인180g = 50,400/인 | 특양구이(130g) 20,000원(130g)→1인180g = 27,700/인 | 곱창전골(2인 이상) 21,000원/인(N인이상=최소주문, 1인가) | 한우차돌박이 1++ 21,000원/인 | 모둠구이(마늘소갈비+대창+막창+특양) 19,900원/인 | 한우곱창구이 19,000원/인 | 마늘소 갈비살 18,000원/인 | 막창구이(180g) 16,000원(180g)→1인180g = 16,000/인 | 대창구이(200g) 17,000원(200g)→1인180g = 15,300/인"
강남역,다미곱창 강남본점,Un9osmaMw5Hw,곱창,고기,25900,25900,25900,보통,37.5012338,127.0270495,9,"인당 정규화(고기): 메인 6종 1인가 중앙값 17,300원 ×1.5인분 = 25,900원","프리미엄 한우곱창전골中 39,000원/인 | 모듬구이 (250g) 24,000원(250g)→1인180g = 17,300/인 | 수제 한우마늘곱창구이 (250g) 24,000원(250g)→1인180g = 17,300/인 | 한우곱창구이 (250g) 24,000원(250g)→1인180g = 17,300/인 | 한우대창구이 (250g) 24,000원(250g)→1인180g = 17,300/인 | 막창구이 (250g) 24,000원(250g)→1인180g = 17,300/인"
강남역,한판도,7beltkD5e6x8,"삼겹살, 목살",고기,31200,32400,34200,보통,37.4984964,127.032574,26,"인당 정규화(고기): 메인 10종 1인가 중앙값 21,600원 ×1.5인분 = 32,400원","한판도 한우 차돌박이(150g) 35,000원(150g)→1인180g = 42,000/인 | 한판도 전복한돈세트(600g) 79,000원(600g)→1인180g = 23,700/인 | 한판도 두항정살 150g 19,000원(150g)→1인180g = 22,800/인 | 한판도 갈매기살 150g 19,000원(150g)→1인180g = 22,800/인 | 한판도 목살 150g 18,000원(150g)→1인180g = 21,600/인 | 한판도 삼겹살 150g 18,000원(150g)→1인180g = 21,600/인 | 한판도 특제양념 소갈비(300g) 35,000원(300g)→1인180g = 21,000/인 | 한판도 한돈세트(600g) 69,000원(600g)→1인180g = 20,700/인 | 한판도 볶음밥 10,000원/인 | 고기폭탄 김치전골 + 라면사리 9,000원/인"
강남역,두껍삼,uYkPDFtbqlHK,"삼겹살, 고기집",고기,45500,53400,86200,보통,37.4938257,127.0286433,35,"인당 정규화(고기): 메인 16종 1인가 중앙값 35,600원 ×1.5인분 = 53,400원","두껍삼 스페셜 세트 189,000원/인 | 천미담 소고기 특선 스페셜 155,000원/인 | 두껍삼 실속세트 113,000원/인 | 숙성 커플세트 68,000원/인 | 천미담 숙성 등심 (150g) 45,000원(150g)→1인180g = 54,000/인 | 천미담 숙성 채끝 (150g) 45,000원(150g)→1인180g = 54,000/인 | 천미담 숙성 꽃살 (150g) 35,000원(150g)→1인180g = 42,000/인 | 광양 불고기 (180g) 38,000원(180g)→1인180g = 38,000/인 | 숙성 가브리살 (130g) 24,000원(130g)→1인180g = 33,200/인 | 육회 (200g) 35,000원(200g)→1인180g = 31,500/인 | 천미담 숙성 갈비살 (150g) 26,000원(150g)→1인180g = 31,200/인 | 숙성 특수부위 (140g) 24,000원(140g)→1인180g = 30,900/인 | 숙성 항정살 (150g) 24,000원(150g)→1인180g = 28,800/인 | 240시간 숙성 삼겹살 (150G) 20,000원(150g)→1인180g = 24,000/인 | 240시간 숙성 목살 (150G) 19,000원(150g)→1인180g = 22,800/인 | 광양식 숙성 목살 (180g) 21,000원(180g)→1인180g = 21,000/인"
강남역,스시도온,eRL5qlUREsr9,스시오마카세,일식,135000,140000,145000,보통,37.4956227,127.0271068,6,"인당 정규화(일식): 메인 3종 1인가 중앙값 140,000원 = 140,000원","디너 룸 사시미코스 150,000원/인 | 디너 카운터 스시오마카세 140,000원/인 | 디너 룸 스시코스 130,000원/인"
강남역,압구정수산시장 강남역점,RMb6jPA86QrH,"이자카야, 술집",일식,18000,24000,34900,보통,37.5008151,127.0282213,33,"인당 정규화(일식): 메인 29종 1인가 중앙값 24,000원 = 24,000원","모둠사시미(대) 75,000원/인 | 모둠사시미(중) 49,900원/인 | 스키야키 39,500원/인 | 메로구이 35,000원/인 | 소고기 타다끼 35,000원/인 | 압구정 수산시장탕 34,900원/인 | 모쯔나베 34,900원/인 | 나가사끼 짬뽕탕 34,900원/인 | 해산물짬뽕탕 34,900원/인 | 오뎅탕 29,000원/인 | 닭모둠꼬치 28,000원/인 | 모둠꼬치 28,000원/인 | 해산물 떡볶이 27,000원/인 | 나고야 테바사키 24,000원/인 | 새우튀김 24,000원/인 | 단새우회 22,000원/인"
강남역,두껍삼 역삼직영점,zzOqQ6k0MkWz,"삼겹살, 숙성삼겹살",고기,45500,53400,86200,보통,37.4979056,127.0320497,38,"인당 정규화(고기): 메인 16종 1인가 중앙값 35,600원 ×1.5인분 = 53,400원","두껍삼 스페셜 세트 189,000원/인 | 천미담 소고기 특선 스페셜 155,000원/인 | 두껍삼 실속세트 113,000원/인 | 숙성 커플세트 68,000원/인 | 천미담 숙성 등심 (150g) 45,000원(150g)→1인180g = 54,000/인 | 천미담 숙성 채끝 (150g) 45,000원(150g)→1인180g = 54,000/인 | 천미담 숙성 꽃살 (150g) 35,000원(150g)→1인180g = 42,000/인 | 광양 불고기 (180g) 38,000원(180g)→1인180g = 38,000/인 | 숙성 가브리살 (130g) 24,000원(130g)→1인180g = 33,200/인 | 육회 (200g) 35,000원(200g)→1인180g = 31,500/인 | 천미담 숙성 갈비살 (150g) 26,000원(150g)→1인180g = 31,200/인 | 숙성 특수부위 (140g) 24,000원(140g)→1인180g = 30,900/인 | 숙성 항정살 (150g) 24,000원(150g)→1인180g = 28,800/인 | 240시간 숙성 삼겹살 (150g) 20,000원(150g)→1인180g = 24,000/인 | 240시간 숙성 목살 (150g) 19,000원(150g)→1인180g = 22,800/인 | 광양식 숙성 목살 (180g) 21,000원(180g)→1인180g = 21,000/인"
강남역,이자카야 열,3viJjzeKO5BQ,"이자카야, 사시미",일식,28000,28000,38000,보통,37.4937741,127.0291868,35,"인당 정규화(일식): 메인 33종 1인가 중앙값 28,000원 = 28,000원","고노와다 사시미 70,000원/인 | 이자카야열 시그니처 풀코스 65,000원/인 | 세이로 무시 63,000원/인 | 광어회 60,000원/인 | 제철사시미(계절 생선회) 55,000원/인 | 연어회 50,000원/인 | 참치대뱃살마끼 38,000원/인 | 훈연 대삼치 회 38,000원/인 | 도미 머리 조림 38,000원/인 | 볏짚 대 삼치구이 35,000원/인 | 모쯔나베 33,000원/인 | 메로 구이 33,000원/인 | 후토마끼 33,000원/인 | 비스크 아귀 구이 33,000원/인 | 스지 오뎅탕 30,000원/인 | 마구로 아에모노 28,000원/인"
강남역,차이룸 강남점,bDSpnxYokMRh,중식당,중식,17000,17000,17000,낮음(인원표기 적음),37.4962533,127.0288473,40,"인당(인원표기 평균, 중식): 인원수 적힌 메뉴 1종 ÷인원 평균 = 17,000원","한우 차돌 쟁반짜장 (2인) 34,000원 ÷2인 = 17,000/인"
강남역,목향 강남역점,GVeGniCJosri,"양꼬치, 양갈비",중식,20500,23500,26500,낮음(인원표기 적음),37.4999892,127.0286261,35,"인당(인원표기 평균, 중식): 인원수 적힌 메뉴 2종 ÷인원 평균 = 23,500원","2인세트(590g) 53,000원 ÷2인 = 26,500/인 | 4인세트(930g) 82,000원 ÷4인 = 20,500/인"
강남역,꼰대김부장고깃집 강남역점,clsYl7RksFqP,"고깃집, 삼겹살",고기,25500,33000,172900,보통,37.5008056,127.0281846,19,"인당 정규화(고기): 메인 10종 1인가 중앙값 22,000원 ×1.5인분 = 33,000원","부장님접대용세트(2.0kg) 167,000원/인 | 김차장의 고기폭발set1.5kg 136,000원/인 | 김과장열정적인고기파티세트(1.5kg) 124,000원/인 | 김대리 칼퇴근세트(1.1kg) 89,000원/인 | 천겹항정살(200g) 25,900원(200g)→1인180g = 23,300/인 | 꽃등심가브리(200g) 23,000원(200g)→1인180g = 20,700/인 | 숙성삼겹살(200g) 18,900원(200g)→1인180g = 17,000/인 | 꼬들살(200g) 18,900원(200g)→1인180g = 17,000/인 | 숙성통목살(200g) 18,900원(200g)→1인180g = 17,000/인 | 돈마호크(850g) 73,000원(850g)→1인180g = 15,500/인"
강남역,한와담 블랙 강남N타워점,OWSjh4Ek2QA8,"한우, 소고기",고기,46500,82500,109100,보통,37.4999326,127.0323679,30,"인당 정규화(고기): 메인 12종 1인가 중앙값 55,000원 ×1.5인분 = 82,500원","[세트] 한우1++암소세트(600g) 340,000원(600g)→1인180g = 102,000/인 | [숙성한우] 1++ 새우등심(한정) 78,000원/인 | [숙성한우] 1++ 숙성살치살 75,000원/인 | [숙성한우] 1++ 숙성 꽃등심 72,000원/인 | [숙성한우] 1++ 볏집숙성 특안심 68,000원/인 | [숙성한우] 1++ 숙성 한우등심 65,000원/인 | [추천메뉴] 성게알 한판 45,000원/인 | [육회] 성게알 육회 45,000원/인 | [육회] 한와담 육회 34,000원/인 | [식사메뉴] 차돌깍두기볶음밥 22,000원/인 | [식사메뉴] 한우 육회덮밥 17,000원/인 | [야채파] 계절 야채모듬구이 15,000원/인"
