순위,식당명,카테고리,대분류,도로명주소,전화,도보거리_m,도보_분,콜키지태그,위스키신호,평판점수,user_score,리뷰수,confidence,대표사진,네이버지도,식당ID,lat,lng,추천_위스키종류,대안_위스키종류,페어링근거
11,다미곱창 강남본점,곱창,고기,서울 강남구 테헤란로1길 44 1층,0507-1303-1671,417,6,콜키지프리,,72,4.4,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8B%A4%EB%AF%B8%EA%B3%B1%EC%B0%BD%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,Un9osmaMw5Hw,37.5012338,127.0270495,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
12,베네티,레스토랑,웨스턴(양식),서울특별시 강남구 강남대로110길 14 3층,0507-1352-9539,128,2,콜키지프리,,68,3.7,6,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B2%A0%EB%84%A4%ED%8B%B0,y7b7eyI3Mppv,37.503801,127.0260985,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
13,신사고집 신논현점,"삼겹살, 한돈",고기,서울특별시 강남구 봉은사로5길 10 1층 신사고집,02-518-8292,154,2,콜키지프리,,68,4.2,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8B%A0%EC%82%AC%EA%B3%A0%EC%A7%91%20%EC%8B%A0%EB%85%BC%ED%98%84%EC%A0%90,UChXWihazoM8,37.5057484,127.0262092,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
14,이자카야 고코,"이자카야, 술집",일식,서울특별시 강남구 봉은사로2길 21 반석빌딩 2층 이자카야고코,0507-1461-9192,174,3,콜키지프리,,68,3.8,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9D%B4%EC%9E%90%EC%B9%B4%EC%95%BC%20%EA%B3%A0%EC%BD%94,KxhMK5tCPieh,37.5033195,127.0261503,재패니즈(하이볼),스페이사이드(과일몰트),야키토리·라멘 등 기름·짭짤한 안주에 일본식 하이볼 정석.
15,밤별 포차 라운지 본점,"어향가지, 동파육",중식,"서울특별시 강남구 강남대로102길 13-8 지층, 1층, 2층, 3층",0507-1350-0024,280,4,콜키지무료,,68,3.9,7,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%B0%A4%EB%B3%84%20%ED%8F%AC%EC%B0%A8%20%EB%9D%BC%EC%9A%B4%EC%A7%80%20%EB%B3%B8%EC%A0%90,FcLTYNSN1ApE,37.5024674,127.0266905,블렌디드(하이볼),버번,기름진 볶음·소스엔 하이볼 탄산이 느끼함 정리.
16,송화유수,"오마카세, 한우꽃등심",일식,서울특별시 서초구 강남대로79길 21 1층,02-549-1050,187,3,콜키지프리,,67,4.4,4,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%86%A1%ED%99%94%EC%9C%A0%EC%88%98,WUzdey81ODTK,37.5047994,127.0230117,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
17,뒷돈거래소 신논현본점,"고깃집, 냉삼",고기,서울특별시 강남구 강남대로114길 10 지상 1층 101호,0507-1390-3539,128,2,콜키지프리,,65,5,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%92%B7%EB%8F%88%EA%B1%B0%EB%9E%98%EC%86%8C%20%EC%8B%A0%EB%85%BC%ED%98%84%EB%B3%B8%EC%A0%90,KlSmdPaHeztS,37.5057992,127.0252697,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
18,산솔 신논현점,"고깃집, 삼겹살",고기,서울특별시 강남구 강남대로112길 15 지상1층,0507-1382-9927,112,2,콜키지프리,,64,4.5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%82%B0%EC%86%94%20%EC%8B%A0%EB%85%BC%ED%98%84%EC%A0%90,jmIlAPmWe2zi,37.5055924,127.0256071,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
19,셰프 김태홍,"프렌치레스토랑, 원테이블레스토랑",웨스턴(양식),서울특별시 서초구 사평대로55길 72 1층,0507-1413-5634,419,6,콜키지프리,,62,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%85%B0%ED%94%84%20%EA%B9%80%ED%83%9C%ED%99%8D,nt8zcpqHg8Lu,37.5071715,127.0215886,스페이사이드(과일몰트),재패니즈(하이볼),토마토·치즈·크림에 가벼운 배·사과향 식사주; 하이볼로도 무난.
20,칠백식당 신논현직영점,"한우, 소고기",고기,서울특별시 서초구 사평대로 365 지하1층,0507-1474-7045,206,3,콜키지프리,,61,4,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%B9%A0%EB%B0%B1%EC%8B%9D%EB%8B%B9%20%EC%8B%A0%EB%85%BC%ED%98%84%EC%A7%81%EC%98%81%EC%A0%90,Lhm1rehYQL0c,37.5042935,127.0228387,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
21,우이닝,"한우오마카세, 소고기오마카세",고기,서울특별시 서초구 사평대로55길 19 102호,0507-1415-6455,237,4,콜키지프리,,60,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9A%B0%EC%9D%B4%EB%8B%9D,h5gEEkHNQeiI,37.5049008,127.0224611,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
22,더막창스,"막창, 곱창",고기,서울특별시 서초구 서초대로77길 37 서초동월드 106호,0507-1459-8593,416,6,콜키지프리,,58,3.9,43,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8D%94%EB%A7%89%EC%B0%BD%EC%8A%A4,dAau1voMXHoC,37.5009217,127.0250411,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
23,조씨 밥세끼,한식,한식·기타,서울특별시 서초구 주흥1길 22 1층 회떠유,02-512-9342,492,7,콜키지프리,,56,4.4,2,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%A1%B0%EC%94%A8%20%EB%B0%A5%EC%84%B8%EB%81%BC,Ts6LnuysRbkP,37.5038431,127.0196445,블렌디드(하이볼),버번,"진한 국물·마늘·기름엔 부드러운 블렌디드, 하이볼로 입가심."
24,원할머니보쌈족발 논현직영점,"보쌈, 김밥",한식·기타,"서울특별시 강남구 강남대로120길 9 1층, 2층",02-3445-1975,286,4,콜키지프리,,50,4.5,5,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9B%90%ED%95%A0%EB%A8%B8%EB%8B%88%EB%B3%B4%EC%8C%88%EC%A1%B1%EB%B0%9C%20%EB%85%BC%ED%98%84%EC%A7%81%EC%98%81%EC%A0%90,Vi5F4naRH4tL,37.5071373,127.0242803,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
25,해화옥 신논현 직영점,"전골, 한우불고기전골",고기,서울특별시 강남구 봉은사로1길 29 1층,0507-1338-3304,231,3,콜키지프리,,47,5,1,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%ED%95%B4%ED%99%94%EC%98%A5%20%EC%8B%A0%EB%85%BC%ED%98%84%20%EC%A7%81%EC%98%81%EC%A0%90,wey93g4h8BML,37.5066373,127.0243154,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
26,육회더잡수소 논현점,"육회, 생고기",한식·기타,서울특별시 강남구 강남대로114길 18 1층,010-6443-6918,153,2,콜키지무료,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%9C%A1%ED%9A%8C%EB%8D%94%EC%9E%A1%EC%88%98%EC%86%8C%20%EB%85%BC%ED%98%84%EC%A0%90,UHTC8h0itrdr,37.5059515,127.0257047,블렌디드(하이볼),스페이사이드(과일몰트),분류 밖 범용; 가벼운 훈연·과일 밸런스의 블렌디드가 올라운더.
27,여수해변,"횟집, 장어탕",물고기·해산물,서울특별시 서초구 강남대로79길 18,02-569-0055,200,3,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%97%AC%EC%88%98%ED%95%B4%EB%B3%80,4yjwrk25AcZ0,37.5050613,127.0229145,피트(스모키),버번,"단짠 양념·기름을 피트의 후추·훈연이 대비로 끊고, 버번 단맛은 양념과 결이 맞음."
28,산산옥 신논현점,"국밥, 알곱창",한식·기타,서울특별시 서초구 사평대로55길 18 101호 산산옥,0507-1409-5140,209,3,콜키지무료,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%82%B0%EC%82%B0%EC%98%A5%20%EC%8B%A0%EB%85%BC%ED%98%84%EC%A0%90,62UqdFWgZKeW,37.5048133,127.0227638,버번,피트(스모키),버번 단맛+도수로 기름·잡내 정리; 피트는 숯불 불향과 훈연 동조.
29,신논현고기집 룸 화연,"삼겹살, 고기집",고기,서울특별시 강남구 강남대로118길 17 지상1층,0507-1398-2255,244,4,콜키지무료,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EC%8B%A0%EB%85%BC%ED%98%84%EA%B3%A0%EA%B8%B0%EC%A7%91%20%EB%A3%B8%20%ED%99%94%EC%97%B0,F6zYMfm6OzaT,37.5068397,127.0248509,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
30,등심한판,"한우, 한우등심",고기,서울특별시 서초구 서초대로77길 45 3층,02-3481-1118,349,5,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%93%B1%EC%8B%AC%ED%95%9C%ED%8C%90,JU6EhEK5xStn,37.5015245,127.0248476,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
31,김춘배더프라이빗 강남점,"고깃집, 소고기",고기,서울특별시 강남구 강남대로100길 13 4층,0507-1387-3503,363,5,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EA%B9%80%EC%B6%98%EB%B0%B0%EB%8D%94%ED%94%84%EB%9D%BC%EC%9D%B4%EB%B9%97%20%EA%B0%95%EB%82%A8%EC%A0%90,otvvjUovgiT3,37.5018446,127.0272056,셰리,버번,셰리 건과일·견과가 숙성육 감칠맛·마이야르에 층을 더함; 버번 도수로 마블링 절단.
32,도산대로 강남본점,"고깃집, 우대갈비",고기,서울특별시 강남구 봉은사로18길 88 1층 도산대로,0507-1382-5693,468,7,콜키지프리,,25,0,0,콜키지프리(주종확인필요),,https://map.naver.com/p/search/%EB%8F%84%EC%82%B0%EB%8C%80%EB%A1%9C%20%EA%B0%95%EB%82%A8%EB%B3%B8%EC%A0%90,6tcgDkGEoAbk,37.5009961,127.0277323,재패니즈(하이볼),피트(스모키),하이볼 탄산이 기름 절단(클래식); 피트는 숯불 훈연 동조.
