suggested_class,confidence,norm_key,rep_name,freq,n_variants,price_min,price_max,est_brand,est_category,est_origin,est_age,nearest_canon_id,nearest_canon_name,nearest_ratio,nearest_canon_age,sources,raw_variants
new_sku,high,커클랜드 시그니처 캐나디안 위스키,커클랜드 시그니처 캐나디안 위스키 1.75L,4,2,34990,34990,Kirkland,블렌디드,(상표:코스트코),,w009,발베니 14년 캐리비안 캐스크,0.353,14,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,커클랜드 시그니처 캐나디안 위스키 | 커클랜드 시그니처 캐나디안 위스키 1.75L
new_sku,high,커클랜드 시그니처 바틀 인본드 버번위스키,커클랜드 시그니처 바틀 인본드 버뉴스키,3,2,62900,62900,Kirkland,블렌디드,(상표:코스트코),,w086,글렌드로(?) 오드 투 더 엠버스,0.263,,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,커클랜드 시그니처 바틀 인본드 버뉴스키 | 커클랜드 시그니처 바틀 인본드 버뉴스키 1L
new_sku,high,발베니 16년 프렌치오크,발베니 16년 프렌치오크,3,2,249800,259000,Balvenie,싱글몰트,스코틀랜드-스페이사이드,16,w008,발베니 12년 더블우드,0.56,12,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,발베니 16년 프렌치오크 | 발베니 16년 프렌치오크 700ml
new_sku,high,부쉬밀 12년 싱글몰트,부시밀 12년 싱글트,3,2,59400,59400,Bushmills,싱글몰트,아일랜드,12,w062,부쉬밀 15년 싱글몰트,0.917,15,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,부시밀 12년 싱글트 | 부시밀 12년 싱글트 700ml
new_sku,high,라프로익 오크셀렉트,라프로익 오크셀렉트,3,2,48000,69800,Laphroaig,싱글몰트,스코틀랜드-아일라,,w035,라프로익 10년,0.556,10,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,라프로익 오크셀렉트 | 라프로익 오크셀렉트 700ml
new_sku,high,에반 윌리엄스 싱글 배럴,에반 윌리엄스 싱글 베럴,3,2,69800,69800,Evan Williams,버번,미국,,w080,에반 윌리엄스 블랙,0.696,,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,에반 윌리엄스 싱글 베럴 | 에반 윌리엄스 싱글 베럴 750ml
new_sku,high,코발 밀레 위스키,코발 밀레 위스키,3,2,53400,99000,Koval,싱글몰트,미국,,w069,버팔로 트레이스,0.353,,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,코발 밀레 위스키 | 코발 밀레 위스키 500ml
new_sku,high,코발라이 위스키,코발라이 위스키,3,2,53400,53400,Koval,싱글몰트,미국,,w025,클라이넬리시 14년,0.333,14,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,코발라이 위스키 | 코발라이 위스키 500ml
new_sku,high,에반윌리엄스 bib,에반윌리엄스 BIB,3,2,31800,31800,Evan Williams,버번,미국,,w080,에반 윌리엄스 블랙,0.7,,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,에반윌리엄스 BIB | 에반윌리엄스 BIB 750ml
new_sku,high,린도어스 1494 코어 위스키,린도어스 1494 코어 위스키,3,2,69800,69800,Lindores Abbey,싱글몰트,스코틀랜드-로우랜드,,w009,발베니 14년 캐리비안 캐스크,0.375,14,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,린도어스 1494 코어 위스키 | 린도어스 1494 코어 위스키 700ml
new_sku,high,아벨라워 셰리 캐스크 에디션,아벨라워 셰리 캐스크 에디션,3,1,235800,235800,Aberlour,싱글몰트,스코틀랜드-스페이사이드,,w031,아란 셰리 캐스크,0.667,,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,아벨라워 셰리 캐스크 에디션
new_sku,high,에반윌리엄스 보트림본드 12주년 에디션 50도,에반윌리엄스 보트림본드 12주년 에디션 50도,3,2,39980,39980,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.556,12,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,에반윌리엄스 보트림본드 12주년 에디션 50도 | 에반윌리엄스 보트림본드 12주년 에디션 50도 1L
new_sku,high,부쉬밀 10년 싱글몰트,부시밀 10년 싱글트,3,2,44940,44940,Bushmills,싱글몰트,아일랜드,10,w062,부쉬밀 15년 싱글몰트,0.917,15,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,부시밀 10년 싱글트 | 부시밀 10년 싱글트 700ml
new_sku,high,글렌라키 10년 루비 포트,글렌라키 10년 루비 포트,3,2,89800,89800,GlenAllachie,싱글몰트,스코틀랜드-스페이사이드,10,w030,글렌글라사 포트소이,0.5,,2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,글렌라키 10년 루비 포트 | 글렌라키 10년 루비 포트 700ml
new_sku,high,맥캘란 셰리오크 12년,맥캘란 쉐리오크 12년,3,2,119800,119800,The Macallan,싱글몰트,스코틀랜드-스페이사이드,12,w012,맥캘란 12년 더블캐스크,0.56,12,2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,맥캘란 쉐리오크 12년 | 맥캘란 쉐리오크 12년 700ml
new_sku,high,벨즈,벨즈 스카치 위스키,3,2,17790,19900,Bell's,블렌디드,스코틀랜드,,w049,조니워커 레드라벨,0.182,,2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,벨즈 스카치 위스키 | 벨즈 스카치 위스키 1L
new_sku,high,에반윌리엄스 12주년 에디션 50도,에반윌리엄스 12주년 에디션 50도,2,1,,,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.667,12,2026-05_dailyshot.csv;2026-06_dailyshot.csv,에반윌리엄스 12주년 에디션 50도
new_sku,high,에반윌리엄스 bib 12주년 에디션 50도,에반윌리엄스 BIB 12주년 에디션 50도,2,1,,,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.588,12,2026-05_dailyshot.csv;2026-06_dailyshot.csv,에반윌리엄스 BIB 12주년 에디션 50도
new_sku,high,진 버번위스키,진 법원위스키,2,1,,,,,,,w006,글렌피딕 14년 버번배럴,0.3,14,2026-05_dailyshot.csv;2026-06_dailyshot.csv,진 법원위스키
new_sku,med,탈리스커 포트리,탈리스커 포트리 700ml,1,1,95000,95000,Talisker,싱글몰트,스코틀랜드-스카이,,w033,탈리스커 9년,0.667,9,2026-04.csv,탈리스커 포트리 700ml
new_sku,med,탈리스커 디스틸러스 에디션,탈리스커 디스틸러스 에디션 700ml,1,1,99800,99800,Talisker,싱글몰트,스코틀랜드-스카이,,w034,탈리스커 와일더 시즈,0.48,,2026-04.csv,탈리스커 디스틸러스 에디션 700ml
new_sku,med,글렌피딕 18년,글렌피딕 18년 700ml,1,1,256600,256600,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,18,w005,글렌피딕 12년,0.875,12,2026-04.csv,글렌피딕 18년 700ml
new_sku,med,글렌리벳 파운더스 리저브,글렌리벳 파운더스 리저브 700ml,1,1,54800,54800,The Glenlivet,싱글몰트,스코틀랜드-스페이사이드,,w001,글렌리벳 12년,0.476,12,2026-04.csv,글렌리벳 파운더스 리저브 700ml
new_sku,med,발렌타인 마스터즈,발렌타인 마스터즈 700ml,1,1,78500,78500,Ballantine's,블렌디드,스코틀랜드,,w043,발렌타인 파이니스트,0.632,,2026-04.csv,발렌타인 마스터즈 700ml
new_sku,med,제임슨 블랙배럴,제임슨 블랙베럴 700ml,1,1,60000,60000,Jameson,블렌디드,아일랜드,,w061,제임슨,0.545,,2026-04.csv,제임슨 블랙베럴 700ml
new_sku,med,그란츠 트리플 우드,그란츠 트리플 우드 700ml,1,1,16800,16800,Grant's,블렌디드,스코틀랜드,,w031,아란 셰리 캐스크,0.421,,2026-04.csv,그란츠 트리플 우드 700ml
new_sku,med,조니워커 블ml,조니워커 블ml,1,1,26800,26800,Johnnie Walker,블렌디드,스코틀랜드,,w051,조니워커 더블블랙,0.706,,2026-04.csv,조니워커 블ml
new_sku,med,듀어스 화이트랍에,듀어스 화이트랍에 700ml,1,1,19800,19800,Dewar's,블렌디드,스코틀랜드,,w065,짐빔 화이트,0.533,,2026-04.csv,듀어스 화이트랍에 700ml
new_sku,med,윈저 12년,윈저 12년 500ml,1,1,24800,24800,Windsor,블렌디드,스코틀랜드,12,w023,달모어 12년,0.615,12,2026-04.csv,윈저 12년 500ml
new_sku,med,윈저 17년,윈저 17년 450mml,1,1,39800,39800,Windsor,블렌디드,스코틀랜드,17,w016,탐두 15년,0.5,15,2026-04.csv,윈저 17년 450mml
new_sku,med,스카치 블루 클래식,스카치 블루 클래식 700ml,1,1,27900,27900,Scotch Blue,블렌디드,스코틀랜드,,w064,골든블루 사피루스,0.316,,2026-04.csv,스카치 블루 클래식 700ml
new_sku,med,스카치 블로 17년,스카치 블로 17년 450ml,1,1,45800,45800,,,,17,w048,시바스 리갈 12년,0.5,12,2026-04.csv,스카치 블로 17년 450ml
new_sku,med,주라 10년,주라 10년 700ml,1,1,78000,78000,Jura,싱글몰트,스코틀랜드-아일랜드(섬),10,w035,라프로익 10년,0.714,10,2026-04.csv,주라 10년 700ml
new_sku,med,주라 12년 셰리캐스크,주라 12년 쉐리케스크 700ml,1,1,89900,89900,Jura,싱글몰트,스코틀랜드-아일랜드(섬),12,w010,아벨라워 12년 더블캐스크,0.692,12,2026-04.csv,주라 12년 쉐리케스크 700ml
new_sku,med,스모키 스컷 아일라,스모키 스컷 아일라 싱글모트 위스키 700ml,1,1,56300,56300,,,,,w079,포 로지스 스몰배치 셀렉트,0.348,,2026-04.csv,스모키 스컷 아일라 싱글모트 위스키 700ml
new_sku,med,스모크헤드 오리지널,스모크헤드 오리지널 700ml,1,1,76100,76100,Smokehead,싱글몰트,스코틀랜드-아일라,,w072,우드포드 리저브,0.333,,2026-04.csv,스모크헤드 오리지널 700ml
new_sku,med,네이키드 몰트,네이키드 몰트 700ml,1,1,67100,67100,The Naked Malt,블렌디드몰트,스코틀랜드,,w040,뱅크홀 싱글몰트,0.4,,2026-04.csv,네이키드 몰트 700ml
new_sku,med,윈저 21년,윈저 21년 500ml,1,1,89800,89800,Windsor,블렌디드,스코틀랜드,21,w047,발렌타인 21년,0.571,21,2026-04.csv,윈저 21년 500ml
new_sku,med,조니워커 골드 리저브 리미티드 에디션,조니워커 골드 리저브 리미티드 에디션 750ml,1,1,85800,85800,Johnnie Walker,블렌디드,스코틀랜드,,w049,조니워커 레드라벨,0.414,,2026-04.csv,조니워커 골드 리저브 리미티드 에디션 750ml
new_sku,med,듀어스 캐리비안 스무스 8연,듀어스 캐리비안 스무스 8연 700ml,1,1,47500,47500,Dewar's,블렌디드,스코틀랜드,,w057,듀어스 18년,0.455,18,2026-04.csv,듀어스 캐리비안 스무스 8연 700ml
new_sku,med,윈저,윈저 450mml,1,1,38900,38900,Windsor,블렌디드,스코틀랜드,,w072,우드포드 리저브,0.2,,2026-04.csv,윈저 450mml
new_sku,med,윈저 w그니처ml,윈저 W그니처ml,1,1,17400,17400,Windsor,블렌디드,스코틀랜드,,w054,페이머스 그라우스,0.222,,2026-04.csv,윈저 W그니처ml
new_sku,med,글렌고인 미니어처 세트,글렌고인 미니어처 세트,1,1,54900,54900,Glengoyne,싱글몰트,스코틀랜드-하일랜드,,w043,발렌타인 파이니스트,0.455,,2026-04.csv,글렌고인 미니어처 세트
new_sku,med,조니워커 블랙 오징어 게임 에디션,조니워커 블랙 오징어 게임 에디션 750mml,1,1,59800,59800,Johnnie Walker,블렌디드,스코틀랜드,,w052,조니워커 블랙 루비,0.571,,2026-04.csv,조니워커 블랙 오징어 게임 에디션 750mml
new_sku,med,시바스리갈 15년 리미티드 에디션,시바스리갈 15년 리미티드 에디션 700ml,1,1,65800,65800,Chivas Regal,블렌디드,스코틀랜드,15,w048,시바스 리갈 12년,0.571,12,2026-04.csv,시바스리갈 15년 리미티드 에디션 700ml
new_sku,med,짐빔 허니,진빔 허니 750ml,1,1,24800,24800,Jim Beam,버번,미국,,w065,짐빔 화이트,0.545,,2026-04.csv,진빔 허니 750ml
new_sku,med,글렌고인 18년,글랜고인 18년 700ml,1,1,360000,360000,Glengoyne,싱글몰트,스코틀랜드-하일랜드,18,w001,글렌리벳 12년,0.625,12,2026-04.csv,글랜고인 18년 700ml
new_sku,med,발렌타인 18년 싱글몰트 글렌버기,발렌타인 18년 싱글트 글램버기 700ml,1,1,267500,267500,Ballantine's,블렌디드,스코틀랜드,18,w046,발렌타인 싱글몰트 15년,0.645,15,2026-04.csv,발렌타인 18년 싱글트 글램버기 700ml
new_sku,med,커클랜드 시그니처꽃 약 xo,커클랜드 시그니처꽃 약 XO 750ml,1,1,147900,147900,Kirkland,블렌디드,(상표:코스트코),,w042,조니워커 그린라벨 15년,0.286,15,2026-04.csv,커클랜드 시그니처꽃 약 XO 750ml
new_sku,med,에반 윌리엄스 bib 12주년 에디션 50도,에반 윌리엄스 BIB 12주년 에디션 50도 1L,1,1,35980,35980,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.629,12,2026-05.csv,에반 윌리엄스 BIB 12주년 에디션 50도 1L
new_sku,med,글렌모렌지 오리지널 10년,글렌모렌지 오리지널 10년 700ml,1,1,88800,88800,Glenmorangie,싱글몰트,스코틀랜드-하일랜드,10,w020,글렌모렌지 12년,0.696,12,2026-06.csv,글렌모렌지 오리지널 10년 700ml
new_sku,med,탈리스커 스톰,탈리스커 스톰 700ml,1,1,92800,92800,Talisker,싱글몰트,스코틀랜드-스카이,,w033,탈리스커 9년,0.714,9,2026-06.csv,탈리스커 스톰 700ml
new_sku,med,에반 윌리엄스 bib 12주년 에디션,에반 윌리엄스 BIB 12주년 에디션,1,1,39980,39980,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.71,12,2026-06.csv,에반 윌리엄스 BIB 12주년 에디션
new_sku,med,조니어 그린,조니어 그린,1,1,69800,69800,Johnnie Walker,블렌디드,스코틀랜드,,w042,조니워커 그린라벨 15년,0.526,15,2026-06.csv,조니어 그린
new_sku,med,조니어 레드,조니어 레드 1.75l,1,1,49940,49940,Johnnie Walker,블렌디드,스코틀랜드,,w049,조니워커 레드라벨,0.667,,2026-06.csv,조니어 레드 1.75l
new_sku,med,칼라 1 블렌디드,칼라 1 블렌디드 스카치 위스키,1,1,23980,23980,,,,,w008,발베니 12년 더블우드,0.476,12,2026-06.csv,칼라 1 블렌디드 스카치 위스키
new_sku,med,조니어커 블루,조니어커 블루,1,1,259800,259800,Johnnie Walker,블렌디드,스코틀랜드,,w052,조니워커 블랙 루비,0.706,,2026-06.csv,조니어커 블루
new_sku,med,에반 윌리엄스 12주년 에디션 50도,에반 윌리엄스 12주년 에디션 50도,1,1,9980,9980,Evan Williams,버번,미국,,w081,에반 윌리엄스 12년,0.71,12,2026-05_whiskeypick_traders_guwol.csv,에반 윌리엄스 12주년 에디션 50도
review,low,탈리스커 와일드 블루,탈리스커 와일드 블루 700ml,12,2,69400,109000,Talisker,싱글몰트,스코틀랜드-스카이,,w034,탈리스커 와일더 시즈,0.727,,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-05_whiskeypick_traders_guwol.csv;2026-06.csv;2026-06_dailyshot.csv,탈리스커 와일드 블루 | 탈리스커 와일드 블루 700ml
review,low,글렌피딕 12년 셰리캐스크,글렌피딕 12년 쉐리케스크 700ml,5,2,69900,69900,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,12,w005,글렌피딕 12년,0.727,12,2026-04.csv;2026-05.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,글렌피딕 12년 쉐리케스크 | 글렌피딕 12년 쉐리케스크 700ml
review,low,발렌타인 17년산,발렌타인 17년산,4,1,136900,136900,Ballantine's,블렌디드,스코틀랜드,17,w044,발렌타인 10년,0.824,10,2026-05.csv;2026-05_dailyshot.csv;2026-06.csv;2026-06_dailyshot.csv,발렌타인 17년산
review,low,탈리스커,탈리스커,3,2,16980,75000,Talisker,싱글몰트,스코틀랜드-스카이,,w033,탈리스커 9년,0.727,9,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,탈리스커 | 탈리스커 1L
review,low,글렌피딕 12년 셰리,글렌피딕 12년 쉐리 700ml,1,1,89800,89800,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,12,w005,글렌피딕 12년,0.842,12,2026-04.csv,글렌피딕 12년 쉐리 700ml
review,low,와일드 터키 81,와일드 터키 81 750mml,1,1,53900,53900,Wild Turkey,버번,미국,,w073,와일드터키 8년,0.824,8,2026-04.csv,와일드 터키 81 750mml
review,low,잭다니엘 파이어,잭 다니엘스 파이어 700ml,1,1,51300,51300,Jack Daniel's,테네시위스키,미국,,w068,잭다니엘 라이,0.8,,2026-04.csv,잭 다니엘스 파이어 700ml
review,low,조니어 블랙 루비,조니어 블랙 루비,1,1,54800,54800,Johnnie Walker,블렌디드,스코틀랜드,,w052,조니워커 블랙 루비,0.842,,2026-06.csv,조니어 블랙 루비
review,low,조니어커 블랙,조니어커 블랙,1,1,44980,44980,Johnnie Walker,블렌디드,스코틀랜드,,w051,조니워커 더블블랙,0.75,,2026-06.csv,조니어커 블랙
review,low,발렌타인 싱글렌버기 16년,발렌타인 싱글램버이 16년,1,1,169800,169800,Ballantine's,블렌디드,스코틀랜드,16,w046,발렌타인 싱글몰트 15년,0.741,15,2026-06.csv,발렌타인 싱글램버이 16년
synonym_of_existing,high,맥켈란 12년 더블 캐스크,맥켈란 12년 더블 캐스크,1,1,94800,94800,The Macallan,싱글몰트,스코틀랜드-스페이사이드,12,w012,맥캘란 12년 더블캐스크,0.889,12,2026-06.csv,맥켈란 12년 더블 캐스크
synonym_of_existing,high,커티 프로히비션,커티 프로이비션,1,1,39980,39980,Cutty Sark,블렌디드,스코틀랜드,,w058,커티삭 프로히비션,0.941,,2026-06.csv,커티 프로이비션
noise,low,블랙보트,블랙보트 스카치 위스키,3,2,19800,19800,,,,,w051,조니워커 더블블랙,0.308,,2026-03.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,블랙보트 스카치 위스키 | 블랙보트 스카치 위스키 700ml
noise,low,글랜파 클라스 12년,글랜파 클라스 12년,3,2,69400,69400,,,,12,w026,로얄 브라클라 12년,0.636,12,2026-04.csv;2026-05_dailyshot.csv;2026-06_dailyshot.csv,글랜파 클라스 12년 | 글랜파 클라스 12년 700ml
noise,low,글랜그란트 아보랄리스,글랜그란트 아보랄리스 700ml,1,1,74000,74000,,,,,w013,글렌그란트 12년,0.5,12,2026-04.csv,글랜그란트 아보랄리스 700ml
noise,low,글랜드로 12년,글랜드로 12년 700ml,1,1,87800,87800,,,,12,w018,글렌드로낙 12년,0.824,12,2026-04.csv,글랜드로 12년 700ml
noise,low,미스터 보스턴,미스터 보스턴 스카치 위스키 1L,1,1,19900,19900,,,,,w054,페이머스 그라우스,0.375,,2026-04.csv,미스터 보스턴 스카치 위스키 1L
noise,low,칼라일,칼라일 스카치 위스키 700ml,1,1,15800,15800,,,,,w068,잭다니엘 라이,0.2,,2026-04.csv,칼라일 스카치 위스키 700ml
noise,low,라벨 5오,라벨 5오 스카치 위스키 700ml,1,1,25800,25800,,,,,w042,조니워커 그린라벨 15년,0.444,15,2026-04.csv,라벨 5오 스카치 위스키 700ml
noise,low,글랜 글라사 샌드엔드,글랜 글라사 샌드엔드,1,1,99800,99800,,,,,w029,글렌글라사 샌드엔드,0.857,,2026-06.csv,글랜 글라사 샌드엔드
noise,low,글랜란트 12년,글랜란트 12년,1,1,59400,59400,,,,12,w013,글렌그란트 12년,0.824,12,2026-06.csv,글랜란트 12년
noise,low,글랜란트 15년,글랜란트 15년,1,1,89400,89400,,,,15,w014,글렌그란트 15년,0.824,15,2026-06.csv,글랜란트 15년
noise,low,글랜드로 오드트 더더밸리,글랜드로 오드트 더더밸리,1,1,89400,89400,,,,,w085,글렌드로(?) 오드 투 더 밸리,0.643,,2026-06.csv,글랜드로 오드트 더더밸리
noise,low,글랜드러 오드더 엠버스,글랜드러 오드더 엠버스,1,1,99400,99400,,,,,w086,글렌드로(?) 오드 투 더 엠버스,0.714,,2026-06.csv,글랜드러 오드더 엠버스
noise,low,글랜립의 15년,글랜립의 15년,1,1,94800,94800,,,,15,w002,글렌리벳 15년,0.625,15,2026-06.csv,글랜립의 15년
noise,low,글랜킨치 12년,글랜킨치 12년,1,1,59800,59800,,,,12,w038,글렌킨치 12년,0.875,12,2026-06.csv,글랜킨치 12년
noise,low,글랜피딕 12년,글랜피딕 12년,1,1,69800,69800,,,,12,w005,글렌피딕 12년,0.875,12,2026-06.csv,글랜피딕 12년
noise,low,글랜피딕 14년,글랜피딕 14년,1,1,99800,99800,,,,14,w005,글렌피딕 12년,0.75,12,2026-06.csv,글랜피딕 14년
noise,low,글램피닉 15년,글램피닉 15년,1,1,99800,99800,,,,15,w007,글렌피딕 15년,0.75,15,2026-06.csv,글램피닉 15년
noise,low,라가블린 11년,라가블린 11년,1,1,89800,89800,,,,11,w036,라가불린 11년 오퍼맨 스위트피트,0.538,11,2026-06.csv,라가블린 11년
noise,low,벤 10년,벤 10년,1,1,49940,49940,,,,10,w017,벤리악 10년,0.833,10,2026-06.csv,벤 10년
noise,low,부심일 15년,부심일 15년,1,1,99800,99800,,,,15,w016,탐두 15년,0.615,15,2026-06.csv,부심일 15년
noise,low,일라이저 크레이그 스몰 배치,일라이저 크레이그 스몰 배치,1,1,79400,79400,,,,,w003,글렌리벳 17년 스몰배치,0.429,17,2026-06.csv,일라이저 크레이그 스몰 배치
noise,low,클라인엘리시 14년,클라인엘리시 14년,1,1,84800,84800,,,,14,w025,클라이넬리시 14년,0.8,14,2026-06.csv,클라인엘리시 14년
noise,low,업타운 마가리타,업타운 마가리타,1,1,24980,24980,,,,,w071,메이커스 마크,0.267,,2026-06.csv,업타운 마가리타
noise,low,글랜립의 17년 스몰 배치 2,글랜립의 17년 스몰 배치 2,1,1,229800,229800,,,,17,w003,글렌리벳 17년 스몰배치,0.69,17,2026-06.csv,글랜립의 17년 스몰 배치 2
noise,low,글랜립의 19년 스몰 배치,글랜립의 19년 스몰 배치,1,1,349800,349800,,,,19,w004,글렌리벳 19년 스몰배치,0.741,19,2026-06.csv,글랜립의 19년 스몰 배치
noise,low,아벨라오 아부나흐흐 셰리케스 퀘디션,아벨라오 아브나우 쉐리케스 퀘디션,1,1,235800,235800,,,,,w011,아벨라워 아부나흐,0.621,,2026-06.csv,아벨라오 아브나우 쉐리케스 퀘디션
