술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
글렌피딕 15년 700ml,99800,트레이더스,구월점,2026-06-08,유튜브 @whiskeypick / k3GQq_-rD1k @ 46초 (프레임OCR · 트레이더스 구월점),중,프레임OCR 보정 '글렌피릭15년700ml'→글렌피딕 15년; id=w007; brand_score=0.75
로얄 살루트 21년 700ml,179800,트레이더스,동탄점,2026-06-09,유튜브 @whiskeykey / GTnHWxwFsTc @ 419초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알살루트21년그레인700m'→로얄 살루트 21년; id=w059; brand_score=0.8
러셀스 리저브 싱글배럴 750ml,89400,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 131초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '러셀리저브싱글배럴750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.78
글렌리벳 17년 스몰배치,229800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 415초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳17년스몰배치2700m'→글렌리벳 17년 스몰배치; id=w003; brand_score=0.89
글렌리벳 19년 스몰배치,349800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 420초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벤19년스몰배치2700m'→글렌리벳 19년 스몰배치; id=w004; brand_score=0.67
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 275초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글올트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
1792 스몰배치 750ml,44980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 18초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '1792스몰배치 750m'→1792 스몰배치; id=w070; brand_score=0.8
골든블루 사피루스,28980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 22초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '골든블루사피루스450m'→골든블루 사피루스; id=w064; brand_score=0.8
글렌글라사 샌드엔드 700ml,79800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 29초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사샌드엔드700m'→글렌글라사 샌드엔드; id=w029; brand_score=0.73
글렌그란트 12년 700ml,59400,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 34초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트12년700m'→글렌그란트 12년; id=w013; brand_score=0.91
글렌드로(?) 오드 투 더 밸리 700ml,89400,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 42초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌드로낙오드투더벨리700m'→글렌드로(?) 오드 투 더 밸리; id=w085; brand_score=0.69
글렌리벳 15년 700ml,94800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 55초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳15년700m'→글렌리벳 15년; id=w002; brand_score=0.89
글렌킨치 12년 700ml,59800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 61초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌킨치12년700ml'→글렌킨치 12년; id=w038; brand_score=1.0
글렌피딕 12년 700ml,69800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 64초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피딕 12년 700m'→글렌피딕 12년; id=w005; brand_score=alias_exact
글렌피딕 14년 버번배럴 700ml,89800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 72초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피릭14년버번캐스크700ml'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
글렌피딕 15년 700ml,99800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 78초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피릭15년700m'→글렌피딕 15년; id=w007; brand_score=0.75
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 83초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '노마드아웃랜드세리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
달모어 12년 700ml,99800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 89초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어12년 700ml'→달모어 12년; id=w023; brand_score=1.0
듀어스 12년 700ml,39980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 94초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 12년퍼스트 필버번캐스크700ml'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,59400,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 101초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스15년파인오크스페셜리저브 700m'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,79800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 109초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린11년스윗피트700ml'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
메이커스 마크 1L,49980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 119초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '메이커스마크1L'→메이커스 마크; id=w071; brand_score=1.0
발렌타인 17년 700ml,149800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 138초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인17년말본 리미티드에디션700m'→발렌타인 17년; id=w090; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 144초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니12년700m'→발베니 12년 더블우드; id=w008; brand_score=1.0
뱅크홀 싱글몰트 700ml,29940,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 149초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,49980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 157초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스1L'→버팔로 트레이스; id=w069; brand_score=1.0
부쉬밀 15년 싱글몰트 700ml,99800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 162초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '부쉬밀 15년싱글몰트 700ml'→부쉬밀 15년 싱글몰트; id=w062; brand_score=1.0
산토리 가쿠빈 700ml,29980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 168초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '산토리가쿠빈700m'→산토리 가쿠빈; id=w083; brand_score=0.75
아란 셰리 캐스크 700ml,99800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 174초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,79800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 181초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스 12년750ml'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 블랙 1L,29980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 193초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스블랙1L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
와일드터키 레어브리드,79800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 199초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키레어브리드 750mI'→와일드터키 레어브리드; id=w074; brand_score=0.8
이글 레어 10년 750ml,74800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 209초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 235초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드 700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 그린라벨 15년 700ml,69800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 241초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커그린라벨700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 블랙라벨 12년 700ml,44980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 258초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
짐빔 화이트 750ml,19980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 268초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750ml'→짐빔 화이트; id=w065; brand_score=1.0
칼라일 1500ml,23980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 287초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '칼라일블렌디드스카치위스키1.5L'→칼라일; id=w130; brand_score=alias0.92
커티삭 프로히비션 1L,39980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 293초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '커티삭 프로히비션1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,84800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 301초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '클라이넬리쉬14년700m'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크,19980,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 304초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만 9년 포르투기즈 캐스크에디션700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 318초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커10년700ml'→탈리스커 10년; id=w032; brand_score=1.0
탈리스커 와일드 블루,69400,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 324초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커와일드블루700mI'→탈리스커 와일드 블루; id=w089; brand_score=0.78
글렌글라사 포트소이 700ml,109800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 403초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사포트소이 700m'→글렌글라사 포트소이; id=w030; brand_score=0.73
글렌리벳 17년 스몰배치,229800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 413초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳 17년스몰배치2700m'→글렌리벳 17년 스몰배치; id=w003; brand_score=0.89
글렌리벳 19년 스몰배치,349800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 419초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳19년스몰배치2700m'→글렌리벳 19년 스몰배치; id=w004; brand_score=0.89
달모어 2005 빈티지 700ml,678000,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 434초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어 2005빈티지 700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
로얄 살루트 21년 700ml,179800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 438초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알살루트21년그레인700m'→로얄 살루트 21년; id=w059; brand_score=0.8
로얄 살루트 21년 700ml,209800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 442초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알살루트 21년700m'→로얄 살루트 21년; id=w059; brand_score=0.8
발렌타인 싱글몰트 글렌버기 16년,169800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 449초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '빌렌타인싱글몰트글렌버기16년스몰배치'→발렌타인 싱글몰트 글렌버기 16년; id=w092; brand_score=0.92
조니워커 블루라벨,259800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 467초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조나워커블루라벨기'→조니워커 블루라벨; id=w053; brand_score=0.82
탐두 15년 700ml,169800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 474초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탐두15년700ml'→탐두 15년; id=w016; brand_score=1.0
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-06-16,유튜브 @whiskeykey / KNvhsGbAdvY @ 479초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치 셀렉트750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
1792 스몰배치 750ml,39980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 26초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '1792스몰배치750ml'→1792 스몰배치; id=w070; brand_score=1.0
골든블루 사피루스,28980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 32초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '골든블루사피루스 450m'→골든블루 사피루스; id=w064; brand_score=0.8
글렌글라사 샌드엔드 700ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 37초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글랜글라사샌드엔드700m'→글렌글라사 샌드엔드; id=w029; brand_score=0.73
글렌그란트 12년 700ml,59400,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 43초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트 12년700m'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년 700ml,89400,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 48초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌그란트15년 700m'→글렌그란트 15년; id=w014; brand_score=0.91
글렌리벳 15년 700ml,94800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 66초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌리벳15년700m'→글렌리벳 15년; id=w002; brand_score=0.89
글렌킨치 12년,59800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 74초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌킨치12년700mI'→글렌킨치 12년; id=w038; brand_score=1.0
글렌피딕 12년 700ml,69800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 80초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피딕 12년 700ml'→글렌피딕 12년; id=w005; brand_score=1.0
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 85초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피닥14년버번캐스크700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
글렌피딕 15년 700ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 92초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '글렌피릭15년 700ml'→글렌피딕 15년; id=w007; brand_score=0.75
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 96초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '노마드아웃랜드세리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
달모어 12년 700ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 104초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어 12년 700m'→달모어 12년; id=w023; brand_score=alias_exact
듀어스 12년 700ml,39980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 110초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스12년퍼스트 필버번캐스크700m'→듀어스 12년; id=w055; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트,89800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 122초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린 11년 스윗피트 /00ml'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
메이커스 마크 1L,49980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 140초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '메이커스 마크1L'→메이커스 마크; id=w071; brand_score=1.0
몽키숄더 700ml,49980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 146초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '몽키슬더700ml'→몽키숄더; id=w041; brand_score=0.75
발렌타인 10년 700ml,31980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 152초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인10년700m'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 17년 700ml,149800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 158초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인 17년 말본 리미티드에디션700ml'→발렌타인 17년; id=w090; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 164초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니12년700m'→발베니 12년 더블우드; id=w008; brand_score=1.0
뱅크홀 싱글몰트 700ml,29940,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 170초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,42980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 176초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스 1L'→버팔로 트레이스; id=w069; brand_score=1.0
벤리악 10년 700ml,49940,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 180초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '벤리악 10년 700ml'→벤리악 10년; id=w017; brand_score=1.0
부쉬밀 15년 싱글몰트,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 188초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '부쉬밀15년싱글몰트70Cm'→부쉬밀 15년 싱글몰트; id=w062; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 198초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,99800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 206초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스12년750m'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 BIB 1L,39980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 211초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스 BIB 12주년에디션50도1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.95
에반 윌리엄스 블랙 1L,29980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 218초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반윌리엄스블랙 1L'→에반 윌리엄스 블랙; id=w080; brand_score=1.0
와일드터키 레어브리드 750ml,79800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 224초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키레어브리드750m'→와일드터키 레어브리드; id=w074; brand_score=0.83
이글 레어 10년 750ml,69800,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 236초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-06-01,유튜브 @whiskeykey / dMF5i15ucJQ @ 262초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드 700m'→제임슨; id=w061; brand_score=alias_exact
