술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 96초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린11년스윗피트700m'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,89800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 101초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '러셀리저브싱글배럼750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.7
로얄 브라클라 12년 700ml,92800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 108초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알브라클라12년700m'→로얄 브라클라 12년; id=w026; brand_score=1.0
맥캘란 12년 더블캐스크 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 114초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '맥캘란 12년 더블캐스크 700m'→맥캘란 12년 더블캐스크; id=w012; brand_score=1.0
발렌타인 10년,39980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 126초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인10년700mi'→발렌타인 10년; id=w044; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 132초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니 12년 700ml'→발베니 12년 더블우드; id=w008; brand_score=1.0
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 137초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니14년캐리비안캐스크700m'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
발렌타인 파이니스트 1L,28980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 150초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인파이니스트1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
뱅크홀 싱글몰트 700ml,37980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 155초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 162초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스1L'→버팔로 트레이스; id=w069; brand_score=1.0
산토리 가쿠빈 700ml,32980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 168초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '산토리 가쿠빈700m'→산토리 가쿠빈; id=w083; brand_score=0.75
아란 셰리 캐스크 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 174초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 178초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스 12년750m'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 블랙 1750ml,47980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 192초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스블랙1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
오반 14년 700ml,89400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 204초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '오반14년700ml'→오반 14년; id=w019; brand_score=1.0
와일드터키 8년 1L,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 210초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
와일드터키 레어브리드,79800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 216초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키레어브리드75Oml'→와일드터키 레어브리드; id=w074; brand_score=0.8
와일드터키 켄터키 스피릿 싱글배럴,69400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 222초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키덴터키스피릿싱글배럴750mI'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.8
이글 레어 10년 750ml,74800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 228초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 246초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 그린라벨 15년 700ml,74800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 252초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 그린라벨700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 더블블랙 1L,59800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 259초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 더블블랙 1L'→조니워커 더블블랙; id=w051; brand_score=1.0
조니워커 레드라벨 1750ml,54800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 264초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 1L,49940,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 270초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불랙라벨1L'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블랙라벨 12년 700ml,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 282초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블랙 루비 700ml,54800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 288초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙루비700m'→조니워커 블랙 루비; id=w052; brand_score=0.8
주라 18년,79400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 294초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '주라 18년 700mi'→주라 18년; id=w097; brand_score=1.0
짐빔 화이트 750ml,27980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 300초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750m'→짐빔 화이트; id=w065; brand_score=0.71
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 304초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글몰트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
커티삭 프로히비션 1L,39940,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 317초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '커티삭 프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,79400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 326초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '클라이넬리쉬14년700m'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크 700ml,25980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 330초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만 9년 포드루기즈 캐스크에디션 705'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 342초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커10년700m'→탈리스커 10년; id=w032; brand_score=1.0
포 로지스 싱글배럴 750ml,82800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 354초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스싱글배럼750m'→포 로지스 싱글배럴; id=w078; brand_score=0.7
듀어스 18년 750ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 424초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 18년 750ml'→듀어스 18년; id=w057; brand_score=1.0
조니워커 블루라벨 750ml,259800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 454초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 750m'→조니워커 블루라벨; id=w053; brand_score=0.7
조니워커 블루라벨,259800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 457초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 75Om'→조니워커 블루라벨; id=w053; brand_score=0.7
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 461초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
로얄 브라클라 12년 700ml,82900,코스트코,,2026-04-20,유튜브 @whiskeykey / ofBlOQDrUL0 @ 39초 (프레임OCR),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 1L,64900,코스트코,,2026-04-20,유튜브 @whiskeykey / ofBlOQDrUL0 @ 58초 (프레임OCR),중,프레임OCR 보정 '메이커스마크 버번 위스키'→메이커스 마크; id=w071; brand_score=0.71
발베니 14년 캐리비안 캐스크,134900,코스트코,,2026-04-20,유튜브 @whiskeykey / ofBlOQDrUL0 @ 88초 (프레임OCR),중,프레임OCR 보정 '발베니 14년캐리비안캐스크'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
스카파 스키렌 1L,20990,코스트코,,2026-04-20,유튜브 @whiskeykey / ofBlOQDrUL0 @ 93초 (프레임OCR),중,프레임OCR 보정 '스카치 위스키'→스카파 스키렌; id=w247; brand_score=0.67
글렌모렌지 12년 700ml,79900,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 28초 (프레임OCR),중,프레임OCR 보정 '글렌모렌지 디오리지널12년'→글렌모렌지 12년; id=w020; brand_score=0.67
아란 셰리 캐스크,144900,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 44초 (프레임OCR),중,프레임OCR 보정 '1리캐스크'→아란 셰리 캐스크; id=w031; brand_score=0.67
로얄 브라클라 12년 700ml,82900,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 52초 (프레임OCR),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 1L,64900,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 69초 (프레임OCR),중,프레임OCR 보정 '메이커스마크 버번위스키'→메이커스 마크; id=w071; brand_score=0.71
발베니 14년 캐리비안 캐스크,94900,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 93초 (프레임OCR),중,프레임OCR 보정 '발베니 14년캐리비안캐스크'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
스카파 스키렌 1L,20990,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 104초 (프레임OCR),중,프레임OCR 보정 '스카치위스키'→스카파 스키렌; id=w247; brand_score=0.67
스카파 스키렌 1750ml,921081,코스트코,,2026-04-28,유튜브 @whiskeykey / -t-Q7jSi14g @ 207초 (프레임OCR),중,프레임OCR 보정 '스카치 위스키'→스카파 스키렌; id=w247; brand_score=0.67
1792 스몰배치 750ml,44980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 21초 (프레임OCR),중,프레임OCR 보정 '1792스물배치 750ml'→1792 스몰배치; id=w070; brand_score=0.88
골든블루 사피루스 450ml,28980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 27초 (프레임OCR),중,프레임OCR 보정 '골든블루사피루스 450ml'→골든블루 사피루스; id=w064; brand_score=1.0
글렌그란트 12년 700ml,69800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 33초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 12년700m 100m1당 9.971원'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년,97800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 39초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트15년700mI'→글렌그란트 15년; id=w014; brand_score=0.91
글렌그란트 익스플로레이션 No.1 700ml,99800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 45초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트익스플로레이션넘버원700m'→글렌그란트 익스플로레이션 No.1; id=w015; brand_score=0.69
글렌드로낙 12년 700ml,79800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 51초 (프레임OCR),중,프레임OCR 보정 '더글렌드로낙12년700m'→글렌드로낙 12년; id=w018; brand_score=0.91
글렌알라키 10년 루비 포트 700ml,89800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 63초 (프레임OCR),중,프레임OCR 보정 '글렌알라키 10년 루비포트 700m(유러피언 신상품'→글렌알라키 10년 루비 포트; id=w096; brand_score=1.0
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 77초 (프레임OCR),중,프레임OCR 보정 '글렌피릭14년버번캐스크700m 신상품'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
듀어스 12년 700ml,45980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 87초 (프레임OCR),중,프레임OCR 보정 '듀어스 12년퍼스트 필버번캐스크700m 100m1당6.569원'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,59400,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 93초 (프레임OCR),중,프레임OCR 보정 '듀어스 15년파인오크스페셜 리저브700m -2024년까지6년연속 세제 19'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 99초 (프레임OCR),중,프레임OCR 보정 '라가불린11년스윗피트700m 신상품'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,99800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 105초 (프레임OCR),중,프레임OCR 보정 '러셀리저브싱글배럴750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.78
발렌타인 10년 700ml,39980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 123초 (프레임OCR),중,프레임OCR 보정 '발렌타인10년700ml'→발렌타인 10년; id=w044; brand_score=1.0
발렌타인 파이니스트 1L,28980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 135초 (프레임OCR),중,"프레임OCR 보정 '발렌타인 파이니스트 1L 100m1당2,8982'→발렌타인 파이니스트; id=w043; brand_score=0.62"
발베니 12년 몬틸라 700ml,96800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 144초 (프레임OCR),중,프레임OCR 보정 '발베니12년700ml'→발베니 12년 몬틸라; id=w204; brand_score=1.0
버팔로 트레이스 1L,49980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 154초 (프레임OCR),중,프레임OCR 보정 '버팔로트레이스 1L'→버팔로 트레이스; id=w069; brand_score=1.0
에반 윌리엄스 12년 750ml,99800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 171초 (프레임OCR),중,프레임OCR 보정 '에반월리엄스12년750m'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 BIB 1L,35980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 177초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스 BB 12주년에디션 50도 1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.92
에반 윌리엄스 블랙 1L,33980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 183초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스블랙1L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
에반 윌리엄스 블랙 1750ml,47980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 189초 (프레임OCR),중,프레임OCR 보정 '에반월리엄스블랙1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
오반 14년 700ml,89400,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 195초 (프레임OCR),중,프레임OCR 보정 '오반14년700ml'→오반 14년; id=w019; brand_score=1.0
와일드터키 켄터키 스피릿 싱글배럴 750ml,69400,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 213초 (프레임OCR),중,프레임OCR 보정 '와일드터키켄터키스피릿싱글배750m 100mI59.253원'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.64
이글 레어 10년 750ml,74800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 219초 (프레임OCR),중,프레임OCR 보정 '이글레어10년750ml 100m1당 9.973원'→이글 레어 10년; id=w076; brand_score=1.0
조니워커 더블블랙 1L,59800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 249초 (프레임OCR),중,프레임OCR 보정 '조니워커 더블블랙 1L 위스키'→조니워커 더블블랙; id=w051; brand_score=0.84
조니워커 레드라벨 1750ml,54800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 255초 (프레임OCR),중,프레임OCR 보정 '조니워커 레드 1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙 루비 700ml,54800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 267초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙 루비700m'→조니워커 블랙 루비; id=w052; brand_score=0.8
조니워커 블랙라벨 12년 700ml,39980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 273초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 291초 (프레임OCR),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글몰트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
탈리스만 9년 포르투기즈 캐스크,25980,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 309초 (프레임OCR),중,프레임OCR 보정 '탈리스만9년포르투기즈 캐스크에디션 700 100m1당 3.711원'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 321초 (프레임OCR),중,프레임OCR 보정 '탈리스커10년 700ml 100m1당 9.971원'→탈리스커 10년; id=w032; brand_score=1.0
달모어 2005 빈티지 700ml,678000,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 399초 (프레임OCR),중,프레임OCR 보정 '달모어2005빈티지 700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
듀어스 18년 750ml,109800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 405초 (프레임OCR),중,프레임OCR 보정 '듀어스18년750m'→듀어스 18년; id=w057; brand_score=alias_exact
조니워커 블루라벨 500ml,189800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 423초 (프레임OCR),중,프레임OCR 보정 '조니워커블루라벨500m'→조니워커 블루라벨; id=w053; brand_score=0.8
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,,2026-04-28,유튜브 @whiskeykey / awsJBAzS3Fc @ 429초 (프레임OCR),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
1792 스몰배치 750ml,39980,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 20초 (프레임OCR),중,프레임OCR 보정 '1792스몰배치 750m'→1792 스몰배치; id=w070; brand_score=0.8
글렌그란트 12년 700ml,69800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 32초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 12년 700m -보리에서 방업자지 모든 과정이 증류소 내에서 진행되어 최교의 품질관리가'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년 700ml,97800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 38초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 15년 700m'→글렌그란트 15년; id=w014; brand_score=0.91
글렌드로낙 12년 700ml,79800,트레이더스,,2026-04-20,유튜브 @whiskeykey / KoaUsHp5By8 @ 50초 (프레임OCR),중,"프레임OCR 보정 '더글렌드로낙12년700m 100mI당 11,400'→글렌드로낙 12년; id=w018; brand_score=0.91"
