술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 187초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니12년700m'→발베니 12년 더블우드; id=w008; brand_score=1.0
뱅크홀 싱글몰트 700ml,29940,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 192초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,49980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 198초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스 1L'→버팔로 트레이스; id=w069; brand_score=1.0
산토리 가쿠빈 700ml,29980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 205초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '산토리가쿠빈700m'→산토리 가쿠빈; id=w083; brand_score=0.75
에반 윌리엄스 BIB 1L,39980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 229초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스BIB12주년에디션50도1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.95
에반 윌리엄스 블랙 1750ml,47980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 235초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스블랙1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
와일드터키 8년 1L,49980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 247초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키 8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
와일드터키 레어브리드,79800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 251초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키레어브리드 750'→와일드터키 레어브리드; id=w074; brand_score=0.87
와일드터키 켄터키 스피릿 싱글배럴 750ml,69400,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 258초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키킨터키스피릿싱글배750m'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.79
이글 레어 10년 750ml,69800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 264초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 289초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드 700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 그린라벨 15년 700ml,74800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 302초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 그린라벨 700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 레드라벨 1750ml,49940,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 307초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 700ml,49980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 311초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
짐빔 화이트 750ml,19980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 319초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750ml'→짐빔 화이트; id=w065; brand_score=1.0
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 326초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글몰트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
칼라일 1500ml,23980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 329초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '칼라일블렌디드스카치위스키1.5L'→칼라일; id=w130; brand_score=alias0.92
커티삭 프로히비션 1L,39980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 337초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '커티삭 프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,84800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 343초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '클라이넬리쉬14년700m'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크,19980,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 348초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만9년포르투기즈 캐스크에디션700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
글렌드로(?) 오드 투 더 다크 700ml,159800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 427초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '더글렌드로낙오드투더다크700m'→글렌드로(?) 오드 투 더 다크; id=w087; brand_score=0.77
달모어 2005 빈티지 700ml,678000,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 444초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '달모어2005빈티지700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
로얄 살루트 21년 700ml,179800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 451초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알살루트 21년그레인 700m'→로얄 살루트 21년; id=w059; brand_score=0.8
맥캘란 셰리 오크 12년 700ml,119800,트레이더스,동탄점,2026-05-20,유튜브 @whiskeykey / PI6s6wIHdKw @ 456초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '맥캘란쉬리오크12년700m'→맥캘란 셰리 오크 12년; id=w104; brand_score=0.86
로얄 브라클라 12년 700ml,82900,코스트코,,2026-05-04,유튜브 @whiskeykey / 1iGtaA_QLRk @ 33초 (프레임OCR),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 750ml,37590,코스트코,,2026-05-04,유튜브 @whiskeykey / 1iGtaA_QLRk @ 53초 (프레임OCR),중,프레임OCR 보정 '메이커스 마크 버번 위스키'→메이커스 마크; id=w071; brand_score=0.71
몽키숄더 700ml,42290,코스트코,,2026-05-04,유튜브 @whiskeykey / 1iGtaA_QLRk @ 59초 (프레임OCR),중,프레임OCR 보정 '몽키솔더'→몽키숄더; id=w041; brand_score=0.75
발베니 14년 캐리비안 캐스크,134900,코스트코,,2026-05-04,유튜브 @whiskeykey / 1iGtaA_QLRk @ 83초 (프레임OCR),중,프레임OCR 보정 '발베니 14년캐리비안캐스크'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
스카파 스키렌,35990,코스트코,,2026-05-05,유튜브 @whiskeypick / S3YrdtxmRX4 @ 107초 (프레임OCR),중,프레임OCR 보정 '스카치 위스키'→스카파 스키렌; id=w247; brand_score=0.67
로얄 브라클라 12년 700ml,103900,코스트코,,2026-05-20,유튜브 @whiskeykey / HxTIqsmL008 @ 56초 (프레임OCR),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 750ml,37590,코스트코,,2026-05-20,유튜브 @whiskeykey / HxTIqsmL008 @ 74초 (프레임OCR),중,프레임OCR 보정 '메이커스마크 버번 위스키'→메이커스 마크; id=w071; brand_score=0.71
발베니 14년 캐리비안 캐스크,134900,코스트코,,2026-05-20,유튜브 @whiskeykey / HxTIqsmL008 @ 105초 (프레임OCR),중,프레임OCR 보정 '발베니 14년캐리비안캐스크'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
스카파 스키렌 1750ml,35990,코스트코,,2026-05-20,유튜브 @whiskeykey / HxTIqsmL008 @ 215초 (프레임OCR),중,프레임OCR 보정 '스카치 위스키'→스카파 스키렌; id=w247; brand_score=0.67
글렌모렌지 12년 700ml,79900,코스트코,,2026-05-25,유튜브 @whiskeykey / B4AR1ItQvAo @ 16초 (프레임OCR),중,프레임OCR 보정 '글렌모렌지 디오리지널12년'→글렌모렌지 12년; id=w020; brand_score=0.67
로얄 브라클라 12년 700ml,103900,코스트코,,2026-05-25,유튜브 @whiskeykey / B4AR1ItQvAo @ 38초 (프레임OCR),중,프레임OCR 보정 '로일브라클라 12년'→로얄 브라클라 12년; id=w026; brand_score=0.83
메이커스 마크 750ml,37590,코스트코,,2026-05-25,유튜브 @whiskeykey / B4AR1ItQvAo @ 57초 (프레임OCR),중,프레임OCR 보정 '메이커스마크 버번 위스키'→메이커스 마크; id=w071; brand_score=0.71
몽키숄더 700ml,49790,코스트코,,2026-05-25,유튜브 @whiskeykey / B4AR1ItQvAo @ 65초 (프레임OCR),중,프레임OCR 보정 '몽키솔더'→몽키숄더; id=w041; brand_score=0.75
발베니 14년 캐리비안 캐스크,94900,코스트코,,2026-05-25,유튜브 @whiskeykey / B4AR1ItQvAo @ 81초 (프레임OCR),중,프레임OCR 보정 '발베니 14년캐리비안캐스크'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
1792 스몰배치 750ml,44980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 35초 (프레임OCR),중,프레임OCR 보정 '1792스몰배치 750m'→1792 스몰배치; id=w070; brand_score=0.8
골든블루 사피루스 450ml,28980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 39초 (프레임OCR),중,프레임OCR 보정 '골든블루사피루스 450ml'→골든블루 사피루스; id=w064; brand_score=1.0
글렌그란트 12년 700ml,59400,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 53초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트 12년 700m'→글렌그란트 12년; id=w013; brand_score=0.91
글렌그란트 15년 700ml,89400,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 59초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트15년 700m'→글렌그란트 15년; id=w014; brand_score=0.91
글렌킨치 12년 700ml,59800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 82초 (프레임OCR),중,프레임OCR 보정 '글렌킨치12년700ml'→글렌킨치 12년; id=w038; brand_score=1.0
글렌피딕 14년 버번배럴 700ml,99800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 95초 (프레임OCR),중,프레임OCR 보정 '글렌피닥14년버번캐스크700m'→글렌피딕 14년 버번배럴; id=w006; brand_score=0.75
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 106초 (프레임OCR),중,프레임OCR 보정 '노마드아웃랜드세리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
듀어스 12년 700ml,39980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 117초 (프레임OCR),중,프레임OCR 보정 '듀어스12년퍼스트필버번캐스크700ml 12년의 새로운버전'→듀어스 12년; id=w055; brand_score=1.0
듀어스 15년 700ml,59400,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 125초 (프레임OCR),중,프레임OCR 보정 '듀어스15년파인오크스페셜리저브700m'→듀어스 15년; id=w056; brand_score=1.0
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 131초 (프레임OCR),중,프레임OCR 보정 '라가불린11년 스윗피트 700ml'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
메이커스 마크 1L,49980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 147초 (프레임OCR),중,프레임OCR 보정 '메이커스마크1L 신상품'→메이커스 마크; id=w071; brand_score=0.8
몽키숄더 700ml,49980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 155초 (프레임OCR),중,프레임OCR 보정 '몽키슬더700ml'→몽키숄더; id=w041; brand_score=0.75
발렌타인 10년 700ml,39980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 161초 (프레임OCR),중,프레임OCR 보정 '발렌타인10년 700m'→발렌타인 10년; id=w044; brand_score=1.0
벤리악 10년 700ml,49940,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 197초 (프레임OCR),중,프레임OCR 보정 '벤리악10년 700m 100m1당7.134원'→벤리악 10년; id=w017; brand_score=1.0
부쉬밀 15년 싱글몰트 700ml,99800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 201초 (프레임OCR),중,프레임OCR 보정 '부쉬밀15년싱글몰트700ml 신상품'→부쉬밀 15년 싱글몰트; id=w062; brand_score=1.0
아란 셰리 캐스크 700ml,99800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 215초 (프레임OCR),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 BIB 1L,39980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 225초 (프레임OCR),중,프레임OCR 보정 '에반 월리엄스 BIB 12주년에디션 50도 1L'→에반 윌리엄스 BIB; id=w111; brand_score=alias0.95
에반 윌리엄스 블랙 1L,29980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 233초 (프레임OCR),중,프레임OCR 보정 '에반 윌리엄스블랙 1L'→에반 윌리엄스 블랙; id=w080; brand_score=1.0
와일드터키 8년 1L,154998,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 239초 (프레임OCR),중,프레임OCR 보정 '와일드터키 8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
와일드터키 레어브리드 750ml,79800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 245초 (프레임OCR),중,프레임OCR 보정 '와일드터키레어브리드750m'→와일드터키 레어브리드; id=w074; brand_score=0.83
와일드터키 켄터키 스피릿 싱글배럴 750ml,69400,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 251초 (프레임OCR),중,프레임OCR 보정 '와일드터키켄터키스피릿싱글배럴750m'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.88
제임슨 700ml,27980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 281초 (프레임OCR),중,프레임OCR 보정 '제임슨 스탠다드700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 블랙라벨 12년 700ml,49980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 305초 (프레임OCR),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
짐빔 화이트 750ml,19980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 311초 (프레임OCR),중,프레임OCR 보정 '짐빔화이트750m'→짐빔 화이트; id=w065; brand_score=0.71
커티삭 프로히비션 1L,39980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 329초 (프레임OCR),중,프레임OCR 보정 '커티삭 프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,84800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 335초 (프레임OCR),중,프레임OCR 보정 '클라이넬리쉬14년700m'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크,25980,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 341초 (프레임OCR),중,프레임OCR 보정 '탈리스만9년 포르투기즈 캐스크에디션 700'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 353초 (프레임OCR),중,프레임OCR 보정 '탈리스커10년700ml 100m1당9.971원'→탈리스커 10년; id=w032; brand_score=1.0
탈리스커 와일드 블루 700ml,69400,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 359초 (프레임OCR),중,프레임OCR 보정 '탈리스커와일드블루700m'→탈리스커 와일드 블루; id=w089; brand_score=0.82
더 글렌리벳 19년,349800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 443초 (프레임OCR),중,프레임OCR 보정 '더글렌리벳 19년스몰배치2700m'→더 글렌리벳 19년; id=w236; brand_score=1.0
달모어 2005 빈티지 700ml,678000,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 449초 (프레임OCR),중,프레임OCR 보정 '달모어2005빈티지 700m'→달모어 2005 빈티지; id=w024; brand_score=0.83
탐두 15년 700ml,169800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 473초 (프레임OCR),중,프레임OCR 보정 '탐두15년700m'→탐두 15년; id=w016; brand_score=1.0
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,,2026-05-26,유튜브 @whiskeykey / JM7Vc6j0J44 @ 477초 (프레임OCR),중,프레임OCR 보정 '포로지스스몰배치셀렉트750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
탈리스커 10년 700ml,69800,트레이더스,,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 154초 (프레임OCR),중,프레임OCR 보정 '날리스커10년700m'→탈리스커 10년; id=w032; brand_score=0.75
탈리스커 와일드 블루,84800,트레이더스,,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 161초 (프레임OCR),중,프레임OCR 보정 '탈리스커와일드블루700'→탈리스커 와일드 블루; id=w089; brand_score=0.86
노마드 아웃랜드 셰리 피니시 700ml,49980,트레이더스,,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 234초 (프레임OCR),중,프레임OCR 보정 '노마드아웃랜드페리피니시700m'→노마드 아웃랜드 셰리 피니시; id=w060; brand_score=0.79
와일드터키 8년 1L,49980,트레이더스,,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 356초 (프레임OCR),중,프레임OCR 보정 '와일드터키 8년1L'→와일드터키 8년; id=w073; brand_score=1.0
산토리 가쿠빈 700ml,29980,트레이더스,,2026-05-19,유튜브 @whiskeypick / eA5_Nd4QGYM @ 408초 (프레임OCR),중,프레임OCR 보정 '산토리가쿠빈700m'→산토리 가쿠빈; id=w083; brand_score=0.75
1792 스몰배치 750ml,44980,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 37초 (프레임OCR),중,프레임OCR 보정 '1792스몰배치 750m'→1792 스몰배치; id=w070; brand_score=0.8
글렌그란트 12년 700ml,69800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 49초 (프레임OCR),중,"프레임OCR 보정 '더글렌그란트12년700m 100m1당9,9719'→글렌그란트 12년; id=w013; brand_score=0.91"
글렌그란트 15년,97800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 55초 (프레임OCR),중,프레임OCR 보정 '더글렌그란트15년700mI'→글렌그란트 15년; id=w014; brand_score=0.91
글렌드로낙 12년 700ml,79800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 61초 (프레임OCR),중,프레임OCR 보정 '더글렌드로낙12년700m'→글렌드로낙 12년; id=w018; brand_score=0.91
글렌드로낙 오드 투 더 다크 700ml,159800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 71초 (프레임OCR),중,"프레임OCR 보정 '더글렌드로낙오드투더다크700ml 100m1당22,829일'→글렌드로낙 오드 투 더 다크; id=w087; brand_score=0.63"
글렌킨치 12년 700ml,59800,트레이더스,,2026-05-11,유튜브 @whiskeykey / QeGCpiC3ewI @ 79초 (프레임OCR),중,프레임OCR 보정 '글렌킨치12년700m 100m당 8.543원'→글렌킨치 12년; id=w038; brand_score=1.0
