술이름,가격_KRW,위치,지점,가져온날짜,출처,신뢰도,비고
라가불린 11년 오퍼맨 스위트피트 700ml,89800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 96초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '라가불린11년스윗피트700m'→라가불린 11년 오퍼맨 스위트피트; id=w036; brand_score=1.0
러셀스 리저브 싱글배럴 750ml,89800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 101초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '러셀리저브싱글배럼750m'→러셀스 리저브 싱글배럴; id=w077; brand_score=0.7
로얄 브라클라 12년 700ml,92800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 108초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '로알브라클라12년700m'→로얄 브라클라 12년; id=w026; brand_score=1.0
맥캘란 12년 더블캐스크 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 114초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '맥캘란 12년 더블캐스크 700m'→맥캘란 12년 더블캐스크; id=w012; brand_score=1.0
발렌타인 10년,39980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 126초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인10년700mi'→발렌타인 10년; id=w044; brand_score=1.0
발베니 12년 더블우드 700ml,96800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 132초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니 12년 700ml'→발베니 12년 더블우드; id=w008; brand_score=1.0
발베니 14년 캐리비안 캐스크 700ml,139800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 137초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발베니14년캐리비안캐스크700m'→발베니 14년 캐리비안 캐스크; id=w009; brand_score=1.0
발렌타인 파이니스트 1L,28980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 150초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '발렌타인파이니스트1L'→발렌타인 파이니스트; id=w043; brand_score=1.0
뱅크홀 싱글몰트 700ml,37980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 155초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '뱅크홀싱글몰트위스키700m'→뱅크홀 싱글몰트; id=w040; brand_score=0.67
버팔로 트레이스 1L,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 162초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '버팔로트레이스1L'→버팔로 트레이스; id=w069; brand_score=1.0
산토리 가쿠빈 700ml,32980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 168초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '산토리 가쿠빈700m'→산토리 가쿠빈; id=w083; brand_score=0.75
아란 셰리 캐스크 700ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 174초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '아란쉐리캐스크700m'→아란 셰리 캐스크; id=w031; brand_score=0.67
에반 윌리엄스 12년 750ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 178초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반월리엄스 12년750m'→에반 윌리엄스 12년; id=w081; brand_score=0.83
에반 윌리엄스 블랙 1750ml,47980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 192초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '에반 월리엄스블랙1.75L'→에반 윌리엄스 블랙; id=w080; brand_score=0.88
오반 14년 700ml,89400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 204초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '오반14년700ml'→오반 14년; id=w019; brand_score=1.0
와일드터키 8년 1L,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 210초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키8년 1L'→와일드터키 8년; id=w073; brand_score=1.0
와일드터키 레어브리드,79800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 216초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키레어브리드75Oml'→와일드터키 레어브리드; id=w074; brand_score=0.8
와일드터키 켄터키 스피릿 싱글배럴,69400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 222초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '와일드터키덴터키스피릿싱글배럴750mI'→와일드터키 켄터키 스피릿 싱글배럴; id=w075; brand_score=0.8
이글 레어 10년 750ml,74800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 228초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '이글레어10년750m'→이글 레어 10년; id=w076; brand_score=1.0
제임슨 700ml,27980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 246초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '제임슨 스탠다드700m'→제임슨; id=w061; brand_score=alias_exact
조니워커 그린라벨 15년 700ml,74800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 252초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 그린라벨700m'→조니워커 그린라벨 15년; id=w042; brand_score=alias_exact
조니워커 더블블랙 1L,59800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 259초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커 더블블랙 1L'→조니워커 더블블랙; id=w051; brand_score=1.0
조니워커 레드라벨 1750ml,54800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 264초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커레드1.75L'→조니워커 레드라벨; id=w049; brand_score=0.86
조니워커 블랙라벨 12년 1L,49940,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 270초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불랙라벨1L'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블랙라벨 12년 700ml,49980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 282초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙라벨700m'→조니워커 블랙라벨 12년; id=w050; brand_score=alias_exact
조니워커 블랙 루비 700ml,54800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 288초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커블랙루비700m'→조니워커 블랙 루비; id=w052; brand_score=0.8
주라 18년,79400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 294초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '주라 18년 700mi'→주라 18년; id=w097; brand_score=1.0
짐빔 화이트 750ml,27980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 300초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '짐빔화이트750m'→짐빔 화이트; id=w065; brand_score=0.71
카발란 디스틸러리 셀렉트 700ml,69800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 304초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '카발란디스틸러리셀렉트싱글몰트700m'→카발란 디스틸러리 셀렉트; id=w084; brand_score=0.73
커티삭 프로히비션 1L,39940,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 317초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '커티삭 프로히비션 1L'→커티삭 프로히비션; id=w058; brand_score=1.0
클라이넬리시 14년 700ml,79400,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 326초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '클라이넬리쉬14년700m'→클라이넬리시 14년; id=w025; brand_score=0.83
탈리스만 9년 포르투기즈 캐스크 700ml,25980,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 330초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스만 9년 포드루기즈 캐스크에디션 705'→탈리스만 9년 포르투기즈 캐스크; id=w088; brand_score=1.0
탈리스커 10년 700ml,69800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 342초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '탈리스커10년700m'→탈리스커 10년; id=w032; brand_score=1.0
포 로지스 싱글배럴 750ml,82800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 354초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스싱글배럼750m'→포 로지스 싱글배럴; id=w078; brand_score=0.7
듀어스 18년 750ml,99800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 424초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '듀어스 18년 750ml'→듀어스 18년; id=w057; brand_score=1.0
조니워커 블루라벨 750ml,259800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 454초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 750m'→조니워커 블루라벨; id=w053; brand_score=0.7
조니워커 블루라벨,259800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 457초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '조니워커불루라벨 75Om'→조니워커 블루라벨; id=w053; brand_score=0.7
포 로지스 스몰배치 셀렉트 750ml,116800,트레이더스,동탄점,2026-04-07,유튜브 @whiskeykey / mBH4Xqtr1YU @ 461초 (프레임OCR · 트레이더스 동탄점),중,프레임OCR 보정 '포로지스스몰배치셀렉트 750m'→포 로지스 스몰배치 셀렉트; id=w079; brand_score=0.85
