술이름,가격_KRW,위치,가져온날짜,출처,신뢰도,비고
저스트 포 하이브 리제르바,6980,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,itemId=1000719295877; 채널=이마트/shpp31; 100ml당 931원; https://emart.ssg.com/item/itemView.ssg?itemId=1000719295877&siteNo=6001&salestrNo=2014
산토리 가쿠빈 700ml,39800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"정본=w083(산토리 가쿠빈); itemId=1000664946027; 채널=이마트/shpp31; 100ml당 5,686원; https://emart.ssg.com/item/itemView.ssg?itemId=1000664946027&siteNo=6001&salestrNo=2014"
버팔로 트레이스 750ml,49800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"정본=w069(버팔로 트레이스); itemId=1000674730432; 채널=이마트/shpp31; 100ml당 6,640원; https://emart.ssg.com/item/itemView.ssg?itemId=1000674730432&siteNo=6001&salestrNo=2014"
조니워커 블랙 루비 700ml,64800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"정본=w052(조니워커 블랙 루비); itemId=1000675902523; 채널=이마트/shpp31; 100ml당 9,257원; https://emart.ssg.com/item/itemView.ssg?itemId=1000675902523&siteNo=6001&salestrNo=2014"
커티삭 프로히비션 700ml,39800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"정본=w058(커티삭 프로히비션); itemId=1000648312953; 채널=이마트/shpp31; 100ml당 5,686원; https://emart.ssg.com/item/itemView.ssg?itemId=1000648312953&siteNo=6001&salestrNo=2014"
니카 프롬 더 배럴 500ml,69800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"itemId=1000727226205; 채널=이마트/shpp31; 100ml당 13,960원; https://emart.ssg.com/item/itemView.ssg?itemId=1000727226205&siteNo=6001&salestrNo=2014"
더 글렌그란트 15년 700ml,149800,이마트(SSG),2026-06-16,WebScrape(emart.ssg.com),상,"정본=w014(글렌그란트 15년); itemId=1000631449292; 채널=이마트/shpp31; 100ml당 21,400원; https://emart.ssg.com/item/itemView.ssg?itemId=1000631449292&siteNo=6001&salestrNo=2084"
발렌타인 17년산,136900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w090(발렌타인 17년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/ballantines-17yo-whiskey/"
커클랜드 15년 하일랜드 싱글몰트 위스키,133900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w098(커클랜드 15년 하일랜드 싱글몰트); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-15-years-highland-single-malt-whiskey/"
커클랜드 시그니처 아일레이 싱글몰트 위스키,95900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-islay-single-malt-whiskey/"
벨즈 블렌디드 위스키,20990,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w106(벨즈); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/bells-blended-scotch-whisky/"
더 글렌리벳 15년 싱글몰트 위스키,106900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w002(글렌리벳 15년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/the-glenlivet-15yo/"
조니워커 블랙라벨 12년 700,40790,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w050(조니워커 블랙라벨 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/johnnie-walker-black-700ml/"
시바스리갈 12년산,63900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w048(시바스 리갈 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/chivas-regal-12yo/"
커클랜드 시그니처 스카치 위스키 1.75L,32490,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-blended-scotch-whiskey-1-75l-costco-price-summary/"
커클랜드 시그니처 캐나디안 위스키 1.75L,34990,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w100(커클랜드 시그니처 캐나디안); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-canadian-whiskey-1-75l-costco-price-summary/"
잭다니엘 테네시 애플 위스키 1L,57900,코스트코,2026-06-20,WebScrape(costcome.com(코스트컴)),중,"정본=w067(잭다니엘 애플); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-tennessee-apple-whiskey-costco-sales-price-and-features-summary/"
발렌타인 17년산,136900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w090(발렌타인 17년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/ballantines-17yo-whiskey/"
커클랜드 15년 하일랜드 싱글몰트 위스키,133900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w098(커클랜드 15년 하일랜드 싱글몰트); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-15-years-highland-single-malt-whiskey/"
커클랜드 시그니처 아일레이 싱글몰트 위스키,95900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-islay-single-malt-whiskey/"
벨즈 블렌디드 위스키,20990,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w106(벨즈); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/bells-blended-scotch-whisky/"
더 글렌리벳 15년 싱글몰트 위스키,106900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w002(글렌리벳 15년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/the-glenlivet-15yo/"
조니워커 블랙라벨 12년 700,40790,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w050(조니워커 블랙라벨 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/johnnie-walker-black-700ml/"
시바스리갈 12년산,63900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w048(시바스 리갈 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/chivas-regal-12yo/"
커클랜드 시그니처 스카치 위스키 1.75L,32490,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-blended-scotch-whiskey-1-75l-costco-price-summary/"
커클랜드 시그니처 캐나디안 위스키 1.75L,34990,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w100(커클랜드 시그니처 캐나디안); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-canadian-whiskey-1-75l-costco-price-summary/"
잭다니엘 테네시 애플 위스키 1L,57900,코스트코,2026-06-21,WebScrape(costcome.com(코스트컴)),중,"정본=w067(잭다니엘 애플); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-tennessee-apple-whiskey-costco-sales-price-and-features-summary/"
발렌타인 17년산,136900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w090(발렌타인 17년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/ballantines-17yo-whiskey/"
커클랜드 15년 하일랜드 싱글몰트 위스키,133900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w098(커클랜드 15년 하일랜드 싱글몰트); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-15-years-highland-single-malt-whiskey/"
커클랜드 시그니처 아일레이 싱글몰트 위스키,95900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-islay-single-malt-whiskey/"
벨즈 블렌디드 위스키,20990,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w106(벨즈); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/bells-blended-scotch-whisky/"
더 글렌리벳 15년 싱글몰트 위스키,106900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w002(글렌리벳 15년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/the-glenlivet-15yo/"
조니워커 블랙라벨 12년 700,40790,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w050(조니워커 블랙라벨 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/johnnie-walker-black-700ml/"
시바스리갈 12년산,63900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w048(시바스 리갈 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/chivas-regal-12yo/"
커클랜드 시그니처 스카치 위스키 1.75L,32490,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-blended-scotch-whiskey-1-75l-costco-price-summary/"
커클랜드 시그니처 캐나디안 위스키 1.75L,34990,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w100(커클랜드 시그니처 캐나디안); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-canadian-whiskey-1-75l-costco-price-summary/"
잭다니엘 테네시 애플 위스키 1L,57900,코스트코,2026-06-22,WebScrape(costcome.com(코스트컴)),중,"정본=w067(잭다니엘 애플); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-tennessee-apple-whiskey-costco-sales-price-and-features-summary/"
발렌타인 17년산,136900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w090(발렌타인 17년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/ballantines-17yo-whiskey/"
커클랜드 15년 하일랜드 싱글몰트 위스키,133900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w098(커클랜드 15년 하일랜드 싱글몰트); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-15-years-highland-single-malt-whiskey/"
커클랜드 시그니처 아일레이 싱글몰트 위스키,95900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-islay-single-malt-whiskey/"
벨즈 블렌디드 위스키,20990,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w106(벨즈); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/bells-blended-scotch-whisky/"
더 글렌리벳 15년 싱글몰트 위스키,106900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w002(글렌리벳 15년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/the-glenlivet-15yo/"
조니워커 블랙라벨 12년 700,40790,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w050(조니워커 블랙라벨 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/johnnie-walker-black-700ml/"
시바스리갈 12년산,63900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w048(시바스 리갈 12년); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/chivas-regal-12yo/"
커클랜드 시그니처 스카치 위스키 1.75L,32490,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-blended-scotch-whiskey-1-75l-costco-price-summary/"
커클랜드 시그니처 캐나디안 위스키 1.75L,34990,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w100(커클랜드 시그니처 캐나디안); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/kirkland-signature-canadian-whiskey-1-75l-costco-price-summary/"
잭다니엘 테네시 애플 위스키 1L,57900,코스트코,2026-06-29,WebScrape(costcome.com(코스트컴)),중,"정본=w067(잭다니엘 애플); 코스트코 매장가(점포미상), costcome.com(코스트컴) 추적; https://costcome.com/jack-daniels-tennessee-apple-whiskey-costco-sales-price-and-features-summary/"
